x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
2,30,Pass,36,0,2,0.003,0,0,0
2,30,Pass,36,2,3,0.006,0,0,0
2,30,Pass,34,0,2,0.004,0,0,0
2,30,Pass,34,2,4,0.01,0,0,0
2,30,Pass,34,4,4,0.017,0,0,0
2,30,Pass,34,6,4,0.022,0,0,0
2,30,Pass,32,0,2,0.005,0,0,0
2,30,Pass,32,2,4,0.011,0,0,0
2,30,Pass,32,4,4,0.019,0,0,0
2,30,Pass,32,6,4,0.023,0,0,0
2,30,Pass,32,8,6,0.023,0,0,0
2,30,Pass,30,0,3,0.007,0,0,0
2,30,Pass,30,2,4,0.011,0,0,0
2,30,Pass,30,4,4,0.015,0,0,0
2,30,Pass,30,6,6,0.018,0,0,0
2,30,Pass,30,8,6,0.017,0,0,0
2,30,Pass,30,10,7,0.015,0,0,0
2,30,Pass,28,0,3,0.013,0,0,0
2,30,Pass,28,2,4,0.013,0,0,0
2,30,Pass,28,4,4,0.012,0,0,0
2,30,Pass,28,6,6,0.011,0,0,0
2,30,Pass,28,8,6,0.009,0,0,0
2,30,Pass,28,10,7,0.008,0,0,0
2,30,Pass,28,12,9,0.008,0,0,0
2,30,Pass,26,0,3,0.024,0,0,0
2,30,Pass,26,2,3,0.021,0,0,0
2,30,Pass,26,4,5,0.014,0,0,0
2,30,Pass,26,6,7,0.008,0,0,0
2,30,Pass,26,8,7,0.004,0,0,0
2,30,Pass,26,10,9,0.003,0,0,0
2,30,Pass,26,12,10,0.004,0,0,0
2,30,Pass,24,0,4,0.034,0,0,0
2,30,Pass,24,2,6,0.029,0,0,0
2,30,Pass,24,4,5,0.017,0,0,0
2,30,Pass,24,6,8,0.008,0,0,0
2,30,Pass,24,8,9,0.003,0,0,0
2,30,Pass,24,10,11,0.002,0,0,0
2,30,Pass,24,12,11,0.002,0,0,0
2,30,Pass,22,0,6,0.035,0,0,0
2,30,Pass,22,2,8,0.029,0,0,0
2,30,Pass,22,4,8,0.017,0,0,0
2,30,Pass,22,6,9,0.007,0,0,0
2,30,Pass,22,8,11,0.003,0,0,0
2,30,Pass,22,10,11,0.001,0,0,0
2,30,Pass,22,12,11,0.002,0,0,0
2,30,Pass,20,0,6,0.028,0,0,0
2,30,Pass,20,2,8,0.023,0,0,0
2,30,Pass,20,4,9,0.014,0,0,0
2,30,Pass,20,6,10,0.007,0,0,0
2,30,Pass,20,8,12,0.004,0,0,0
2,30,Pass,20,10,11,0.003,0,0,0
2,30,Pass,20,12,10,0.004,0,0,0
2,30,Pass,18,0,8,0.026,0,0,0
2,30,Pass,18,2,9,0.022,0,0,0
2,30,Pass,18,4,10,0.015,0,0,0
2,30,Pass,18,6,9,0.01,0,0,0
2,30,Pass,18,8,10,0.01,0,0,0
2,30,Pass,18,10,13,0.01,0,0,0
2,30,Pass,18,12,11,0.009,0,0,0
2,30,Pass,16,0,8,0.045,0,0,0
2,30,Pass,16,2,9,0.039,0,0,0
2,30,Pass,16,4,9,0.027,0,0,0
2,30,Pass,16,6,9,0.021,0,0,0
2,30,Pass,16,8,12,0.023,0,0,0
2,30,Pass,16,10,12,0.024,0,0,0
2,30,Pass,14,0,9,0.093,0,0,0
2,30,Pass,14,2,10,0.081,0,0,0
2,30,Pass,14,4,10,0.055,0,0,0
2,30,Pass,14,6,10,0.041,0,0,0
2,30,Pass,14,8,11,0.04,0,0,0
2,30,Pass,12,0,10,0.179,0,0,0
2,30,Pass,12,2,13,0.155,0,0,0
2,30,Pass,12,4,13,0.102,0,0,0
2,30,Pass,12,6,13,0.065,0,0,0
2,30,Pass,10,0,12,0.319,0,0,0
2,30,Pass,10,2,13,0.279,0,0,0
2,30,Pass,42,20,2,0,0,0,0
2,30,Pass,42,22,2,0,0,0,0
2,30,Pass,42,24,3,0,0,0,0
2,30,Pass,42,26,3,0,0,0,0
2,30,Pass,42,28,3,0,0,0,0
2,30,Pass,40,16,5,0.002,0,0,0
2,30,Pass,40,18,3,0.001,0,0,0
2,30,Pass,40,20,4,0,0,0,0
2,30,Pass,40,22,4,0,0,0,0
2,30,Pass,40,24,4,0,0,0,0
2,30,Pass,40,26,3,0,0,0,0
2,30,Pass,40,28,3,0,0,0,0
2,30,Pass,40,30,4,0.001,0,0,0
2,30,Pass,40,32,4,0.002,0,0,0
2,30,Pass,38,14,5,0.008,0,0,0
2,30,Pass,38,16,5,0.006,0,0,0
2,30,Pass,38,18,6,0.003,0,0,0
2,30,Pass,38,20,5,0.001,0,0,0
2,30,Pass,38,22,4,0.001,0,0,0
2,30,Pass,38,24,5,0.001,0,0,0
2,30,Pass,38,26,6,0.001,0,0,0
2,30,Pass,38,28,4,0.001,0,0,0
2,30,Pass,38,30,5,0.001,0,0,0
2,30,Pass,38,32,7,0.002,0,0,0
2,30,Pass,38,34,7,0.004,0,0,0
2,30,Pass,36,14,6,0.015,0,0,0
2,30,Pass,36,16,8,0.011,0,0,0
2,30,Pass,36,18,8,0.006,0,0,0
2,30,Pass,36,20,7,0.003,0,0,0
2,30,Pass,36,22,7,0.002,0,0,0
2,30,Pass,36,24,7,0.002,0,0,0
2,30,Pass,36,26,8,0.002,0,0,0
2,30,Pass,36,28,7,0.002,0,0,0
2,30,Pass,36,30,7,0.002,0,0,0
2,30,Pass,36,32,7,0.003,0,0,0
2,30,Pass,36,34,8,0.005,0,0,0
2,30,Pass,36,36,9,0.005,0,0,0
2,30,Pass,34,12,6,0.021,0,0,0
2,30,Pass,34,14,7,0.021,0,0,0
2,30,Pass,34,16,8,0.016,0,0,0
2,30,Pass,34,18,8,0.01,0,0,0
2,30,Pass,34,20,7,0.005,0,0,0
2,30,Pass,34,22,8,0.005,0,0,0
2,30,Pass,34,24,9,0.005,0,0,0
2,30,Pass,34,26,8,0.005,0,0,0
2,30,Pass,34,28,9,0.006,0,0,0
2,30,Pass,34,30,9,0.007,0,0,0
2,30,Pass,34,32,8,0.01,0,0,0
2,30,Pass,34,34,10,0.013,0,0,0
2,30,Pass,34,36,12,0.012,0,0,0
2,30,Pass,32,12,7,0.021,0,0,0
2,30,Pass,32,14,8,0.021,0,0,0
2,30,Pass,32,16,8,0.016,0,0,0
2,30,Pass,32,18,8,0.011,0,0,0
2,30,Pass,32,20,8,0.009,0,0,0
2,30,Pass,32,22,8,0.01,0,0,0
2,30,Pass,32,24,9,0.011,0,0,0
2,30,Pass,32,26,10,0.012,0,0,0
2,30,Pass,32,28,10,0.014,0,0,0
2,30,Pass,32,30,10,0.022,0,0,0
2,30,Pass,32,32,9,0.035,0,0,0
2,30,Pass,32,34,11,0.043,0,0,0
2,30,Pass,32,36,12,0.039,0,0,0
2,30,Pass,30,12,7,0.015,0,0,0
2,30,Pass,30,14,8,0.015,0,0,0
2,30,Pass,30,16,8,0.014,0,0,0
2,30,Pass,30,18,9,0.015,0,0,0
2,30,Pass,30,20,9,0.017,0,0,0
2,30,Pass,30,22,10,0.02,0,0,0
2,30,Pass,30,24,9,0.021,0,0,0
2,30,Pass,30,26,11,0.021,0,0,0
2,30,Pass,30,28,11,0.029,0,0,0
2,30,Pass,30,30,10,0.053,0,0,0
2,30,Pass,30,32,9,0.088,0,0,0
2,30,Pass,30,34,11,0.109,0,0,0
2,30,Pass,30,36,13,0.098,0,0,0
2,30,Pass,28,14,9,0.01,0,0,0
2,30,Pass,28,16,9,0.014,0,0,0
2,30,Pass,28,18,9,0.022,0,0,0
2,30,Pass,28,20,9,0.032,0,0,0
2,30,Pass,28,22,10,0.038,0,0,0
2,30,Pass,28,24,12,0.035,0,0,0
2,30,Pass,28,26,14,0.032,0,0,0
2,30,Pass,28,28,11,0.047,0,0,0
2,30,Pass,28,30,12,0.093,0,0,0
2,30,Pass,28,32,11,0.157,0,0,0
2,30,Pass,28,34,14,0.195,0,0,0
2,30,Pass,28,36,14,0.173,0,0,0
