x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
94,72,Pass,120,0,1,0.013,0,0,0
94,72,Pass,120,2,1,0.024,0,0,0
94,72,Pass,120,4,2,0.032,0,0,0
94,72,Pass,120,6,2,0.029,0,0,0
94,72,Pass,120,8,3,0.018,0,0,0
94,72,Pass,120,10,5,0.008,0,0,0.001
94,72,Pass,120,12,5,0.004,0,0,0.002
94,72,Pass,120,14,8,0.009,0,0,0.001
94,72,Pass,120,16,11,0.028,0,0,0
94,72,Pass,120,18,12,0.08,0,0,0
94,72,Pass,120,20,15,0.179,0,0,0
94,72,Pass,120,22,18,0.336,0,0,0
94,72,Pass,120,24,21,0.567,1,0,0
94,72,Pass,120,26,26,0.876,3,0,0
94,72,Pass,120,28,31,1.207,3,0,0.001
94,72,Pass,120,30,42,1.406,4,0,0.002
94,72,Pass,120,32,46,1.335,4,0,0.005
94,72,Pass,120,34,46,1.052,4,0.001,0.014
94,72,Pass,120,36,48,0.787,4,0.001,0.03
94,72,Pass,120,38,51,0.676,4,0.001,0.043
94,72,Pass,120,40,52,0.614,4,0.001,0.044
94,72,Run,120,40,1,0,0,0,0
94,72,Pass,120,42,51,0.471,3,0.001,0.039
94,72,Run,120,42,1,0,0,0,0
94,72,Pass,120,44,48,0.274,3,0,0.033
94,72,Run,120,44,1,0.001,0,0,0
94,72,Pass,120,46,48,0.125,3,0,0.025
94,72,Run,120,46,3,0.003,0,0,0
94,72,Pass,120,48,42,0.066,2,0,0.012
94,72,Run,120,48,3,0.009,0,0,0
94,72,Pass,120,50,44,0.09,1,0,0.003
94,72,Run,120,50,7,0.026,0,0,0.004
94,72,Pass,120,52,44,0.223,1,0,0.001
94,72,Run,120,52,8,0.068,0,0,0.012
94,72,Pass,120,54,43,0.557,0,0,0.002
94,72,Run,120,54,9,0.159,0,0,0.028
94,72,Pass,120,56,49,1.162,0,0,0.002
94,72,Run,120,56,15,0.3,1,0.001,0.054
94,72,Pass,120,58,60,1.901,0,0,0.002
94,72,Run,120,58,17,0.45,1,0.002,0.091
94,72,Pass,120,60,59,2.4,1,0,0.003
94,72,Run,120,60,17,0.553,1,0.004,0.132
94,72,Pass,120,62,63,2.41,1,0,0.004
94,72,Run,120,62,19,0.585,1,0.005,0.154
94,72,Pass,120,64,65,2.11,1,0.001,0.007
94,72,Run,120,64,21,0.564,1,0.004,0.138
94,72,Pass,120,66,70,1.862,1,0.002,0.02
94,72,Run,120,66,18,0.517,1,0.002,0.091
94,72,Pass,120,68,67,1.783,1,0.004,0.047
94,72,Run,120,68,18,0.473,1,0.001,0.043
94,72,Pass,120,70,64,1.716,1,0.007,0.083
94,72,Run,120,70,17,0.451,1,0,0.013
94,72,Pass,120,72,57,1.464,1,0.009,0.117
94,72,Run,120,72,15,0.465,0,0,0.003
94,72,Pass,120,74,45,1.018,1,0.007,0.143
94,72,Run,120,74,13,0.483,0,0,0
94,72,Pass,120,76,36,0.558,1,0.004,0.155
94,72,Run,120,76,11,0.435,0,0,0
94,72,Pass,120,78,29,0.244,1,0.002,0.149
94,72,Run,120,78,9,0.302,0,0,0
94,72,Pass,120,80,21,0.088,1,0.001,0.122
94,72,Run,120,80,7,0.153,0,0,0
94,72,Pass,118,0,2,0.019,0,0,0
94,72,Pass,118,2,3,0.035,0,0,0
94,72,Pass,118,4,3,0.046,0,0,0
94,72,Pass,118,6,3,0.042,0,0,0
94,72,Pass,118,8,5,0.027,0,0,0
94,72,Pass,118,10,6,0.013,0,0,0.001
94,72,Pass,118,12,6,0.009,0,0,0.002
94,72,Pass,118,14,8,0.019,0,0,0.001
94,72,Pass,118,16,11,0.053,0,0,0
94,72,Pass,118,18,12,0.133,0,0,0
94,72,Pass,118,20,16,0.28,0,0,0
94,72,Pass,118,22,20,0.494,1,0,0
94,72,Pass,118,24,24,0.752,3,0,0
94,72,Pass,118,26,27,1.024,3,0,0.001
94,72,Pass,118,28,40,1.252,3,0,0.002
94,72,Pass,118,30,46,1.35,4,0,0.005
94,72,Pass,118,32,48,1.275,4,0.001,0.012
94,72,Pass,118,34,50,1.125,4,0.002,0.027
94,72,Pass,118,36,52,1.091,5,0.003,0.045
94,72,Pass,118,38,59,1.186,5,0.003,0.053
94,72,Pass,118,40,58,1.179,5,0.003,0.05
94,72,Run,118,40,1,0,0,0,0
94,72,Pass,118,42,58,0.916,5,0.002,0.044
94,72,Run,118,42,1,0,0,0,0
94,72,Pass,118,44,60,0.532,4,0.001,0.038
94,72,Run,118,44,2,0.001,0,0,0
94,72,Pass,118,46,57,0.244,3,0,0.031
94,72,Run,118,46,3,0.004,0,0,0
94,72,Pass,118,48,64,0.132,3,0,0.018
94,72,Run,118,48,5,0.013,0,0,0
94,72,Pass,118,50,60,0.176,2,0,0.006
94,72,Run,118,50,7,0.039,0,0,0.004
94,72,Pass,118,52,59,0.401,1,0,0.003
94,72,Run,118,52,10,0.112,0,0,0.01
94,72,Pass,118,54,60,0.894,0,0,0.003
94,72,Run,118,54,15,0.268,1,0,0.023
94,72,Pass,118,56,73,1.68,0,0,0.004
94,72,Run,118,56,17,0.507,1,0.001,0.044
94,72,Pass,118,58,74,2.543,0,0.001,0.004
94,72,Run,118,58,19,0.742,1,0.003,0.077
94,72,Pass,118,60,81,3.095,1,0.001,0.005
94,72,Run,118,60,20,0.876,1,0.005,0.117
94,72,Pass,118,62,84,3.162,1,0.001,0.005
94,72,Run,118,62,21,0.883,1,0.007,0.144
94,72,Pass,118,64,85,2.965,1,0.001,0.007
94,72,Run,118,64,23,0.809,1,0.006,0.139
94,72,Pass,118,66,92,2.759,2,0.002,0.016
94,72,Run,118,66,22,0.712,1,0.004,0.098
94,72,Pass,118,68,88,2.558,2,0.005,0.039
94,72,Run,118,68,20,0.65,1,0.002,0.048
94,72,Pass,118,70,83,2.27,2,0.009,0.076
94,72,Run,118,70,18,0.668,1,0.001,0.015
94,72,Pass,118,72,77,1.843,2,0.011,0.117
94,72,Run,118,72,18,0.767,1,0,0.003
94,72,Pass,118,74,69,1.308,2,0.01,0.145
94,72,Run,118,74,14,0.853,0,0,0
94,72,Pass,118,76,59,0.789,1,0.006,0.15
94,72,Run,118,76,13,0.786,0,0,0
94,72,Pass,118,78,44,0.405,1,0.003,0.13
94,72,Run,118,78,11,0.547,0,0,0
94,72,Pass,118,80,36,0.177,1,0.001,0.094
94,72,Run,118,80,8,0.275,0,0,0
94,72,Pass,116,0,2,0.02,0,0,0
94,72,Pass,116,2,3,0.037,0,0,0
94,72,Pass,116,4,3,0.05,0,0,0
94,72,Pass,116,6,4,0.047,0,0,0
94,72,Pass,116,8,5,0.032,0,0,0
94,72,Pass,116,10,6,0.018,0,0,0.001
94,72,Pass,116,12,6,0.018,0,0,0.002
94,72,Pass,116,14,9,0.038,0,0,0.001
94,72,Pass,116,16,12,0.088,0,0,0
94,72,Pass,116,18,13,0.184,0,0,0
94,72,Pass,116,20,17,0.347,0,0,0
94,72,Pass,116,22,21,0.579,1,0,0
94,72,Pass,116,24,26,0.834,3,0,0
94,72,Pass,116,26,33,1.033,3,0,0.001
94,72,Pass,116,28,45,1.116,4,0,0.004
94,72,Pass,116,30,49,1.092,4,0.001,0.01
94,72,Pass,116,32,51,1.046,5,0.001,0.023
94,72,Pass,116,34,55,1.128,5,0.002,0.041
94,72,Pass,116,36,59,1.429,5,0.004,0.052
94,72,Pass,116,38,61,1.776,5,0.005,0.054
94,72,Pass,116,40,63,1.805,5,0.005,0.05
94,72,Run,116,40,1,0,0,0,0
94,72,Pass,116,42,70,1.393,5,0.003,0.046
94,72,Run,116,42,1,0,0,0,0
94,72,Pass,116,44,67,0.817,4,0.002,0.041
94,72,Run,116,44,2,0.001,0,0,0
94,72,Pass,116,46,73,0.402,4,0.001,0.036
94,72,Run,116,46,3,0.003,0,0,0
94,72,Pass,116,48,78,0.245,4,0,0.027
94,72,Run,116,48,5,0.014,0,0,0
94,72,Pass,116,50,77,0.314,2,0,0.013
94,72,Run,116,50,9,0.047,0,0,0.003
94,72,Pass,116,52,92,0.619,1,0,0.006
94,72,Run,116,52,13,0.145,1,0,0.008
94,72,Pass,116,54,84,1.218,1,0,0.005
94,72,Run,116,54,17,0.354,1,0,0.018
94,72,Pass,116,56,89,2.068,1,0.001,0.007
94,72,Run,116,56,19,0.66,1,0.001,0.035
94,72,Pass,116,58,96,2.921,1,0.001,0.008
94,72,Run,116,58,20,0.938,1,0.003,0.062
94,72,Pass,116,60,97,3.479,2,0.001,0.008
94,72,Run,116,60,22,1.058,1,0.005,0.1
94,72,Pass,116,62,105,3.71,2,0.001,0.007
94,72,Run,116,62,24,1.018,1,0.007,0.133
94,72,Pass,116,64,106,3.785,3,0.001,0.007
94,72,Run,116,64,28,0.904,1,0.006,0.138
94,72,Pass,116,66,112,3.711,3,0.002,0.012
94,72,Run,116,66,25,0.792,1,0.004,0.106
94,72,Pass,116,68,107,3.356,3,0.005,0.029
94,72,Run,116,68,26,0.746,1,0.002,0.055
94,72,Pass,116,70,109,2.779,3,0.009,0.065
94,72,Run,116,70,24,0.812,1,0.001,0.019
94,72,Pass,116,72,103,2.176,3,0.012,0.11
94,72,Run,116,72,20,0.981,1,0,0.004
94,72,Pass,116,74,90,1.626,3,0.012,0.14
94,72,Run,116,74,19,1.114,0,0,0.001
94,72,Pass,116,76,78,1.121,3,0.008,0.139
94,72,Run,116,76,13,1.028,0,0,0
94,72,Pass,116,78,63,0.676,2,0.004,0.112
94,72,Run,116,78,11,0.711,0,0,0
94,72,Pass,116,80,43,0.339,1,0.001,0.078
94,72,Run,116,80,9,0.356,0,0,0
94,72,Pass,114,0,3,0.018,0,0,0
94,72,Pass,114,2,5,0.037,0,0,0
94,72,Pass,114,4,5,0.053,0,0,0
94,72,Pass,114,6,5,0.056,0,0,0
94,72,Pass,114,8,6,0.043,0,0,0
94,72,Pass,114,10,7,0.03,0,0,0.001
94,72,Pass,114,12,6,0.035,0,0,0.001
94,72,Pass,114,14,7,0.072,0,0,0.001
94,72,Pass,114,16,11,0.138,0,0,0
94,72,Pass,114,18,13,0.23,0,0,0
94,72,Pass,114,20,18,0.362,1,0,0
94,72,Pass,114,22,23,0.559,1,0,0
94,72,Pass,114,24,26,0.787,3,0,0.001
94,72,Pass,114,26,36,0.945,3,0,0.003
94,72,Pass,114,28,49,0.959,4,0,0.008
94,72,Pass,114,30,53,0.885,5,0.001,0.018
94,72,Pass,114,32,54,0.903,5,0.002,0.034
94,72,Pass,114,34,59,1.194,5,0.003,0.045
94,72,Pass,114,36,60,1.753,5,0.004,0.047
94,72,Pass,114,38,70,2.249,5,0.005,0.046
94,72,Pass,114,40,73,2.254,5,0.005,0.045
94,72,Run,114,40,1,0,0,0,0
94,72,Pass,114,42,76,1.73,5,0.004,0.044
94,72,Run,114,42,1,0,0,0,0
94,72,Pass,114,44,79,1.061,5,0.002,0.043
94,72,Run,114,44,2,0,0,0,0
94,72,Pass,114,46,88,0.609,4,0.001,0.043
94,72,Run,114,46,4,0.003,0,0,0
94,72,Pass,114,48,97,0.456,4,0.001,0.04
94,72,Run,114,48,7,0.013,0,0,0
94,72,Pass,114,50,107,0.55,3,0.001,0.026
94,72,Run,114,50,13,0.053,1,0,0.003
94,72,Pass,114,52,112,0.875,2,0.001,0.013
94,72,Run,114,52,15,0.171,1,0,0.006
94,72,Pass,114,54,120,1.464,2,0.001,0.009
94,72,Run,114,54,18,0.42,1,0,0.013
94,72,Pass,114,56,117,2.263,2,0.001,0.01
94,72,Run,114,56,19,0.763,1,0.001,0.026
94,72,Pass,114,58,123,3.064,2,0.002,0.011
94,72,Run,114,58,22,1.038,1,0.003,0.048
94,72,Pass,114,60,126,3.69,3,0.002,0.011
94,72,Run,114,60,24,1.109,1,0.005,0.084
94,72,Pass,114,62,132,4.187,4,0.002,0.01
94,72,Run,114,62,28,1.009,1,0.006,0.124
94,72,Pass,114,64,141,4.592,5,0.002,0.008
94,72,Run,114,64,29,0.864,1,0.006,0.146
94,72,Pass,114,66,140,4.659,5,0.003,0.011
94,72,Run,114,66,28,0.755,1,0.005,0.126
94,72,Pass,114,68,138,4.181,4,0.005,0.024
94,72,Run,114,68,26,0.72,1,0.003,0.075
94,72,Pass,114,70,135,3.405,4,0.01,0.057
94,72,Run,114,70,24,0.789,1,0.001,0.029
94,72,Pass,114,72,130,2.731,4,0.014,0.101
94,72,Run,114,72,21,0.947,1,0,0.008
94,72,Pass,114,74,112,2.227,4,0.015,0.129
94,72,Run,114,74,21,1.064,1,0,0.002
94,72,Pass,114,76,100,1.719,4,0.011,0.123
94,72,Run,114,76,17,0.971,0,0,0
