x,y,WeightedExpectedGoals,GoalProbability
0,0,0,0
0,2,0,0
0,4,0,0
0,6,0,0
0,8,0.000294098922887444,0
0,10,0.00118358063289995,0
0,12,0.00352211692829675,0.001
0,14,0.00754619254902568,0.001
0,16,0.0128282201216938,0.002
0,18,0.0185550324697892,0.004
0,20,0.0237171455918361,0.004
0,22,0.0253734148514316,0.004
0,24,0.0221574201406608,0.003
0,26,0.0189163927322496,0.002
0,28,0.0264319413892865,0.002
0,30,0.0551717890481793,0.003
0,32,0.108040924070087,0.003
0,34,0.178226084240348,0.004
0,36,0.256447485549821,0.006
0,38,0.330916358435964,0.007
0,40,0.380455182831666,0.008
0,42,0.381861891213675,0.009
0,44,0.333832601398748,0.009
0,46,0.253917863025572,0.008
0,48,0.162909635598747,0.007
0,50,0.0834153951886389,0.005
0,52,0.0324100377140377,0.003
0,54,0.00933872617589774,0.001
0,56,0.00181446499689438,0
0,58,0.000189386834241576,0
0,60,0.0000380374330624036,0
0,62,0.000159850764736216,0
0,64,0.000468337636951317,0
0,66,0.000956630508647261,0
0,68,0.00136229203952283,0
0,70,0.00135249925747185,0
0,72,0.00123989947036404,0
0,74,0.00152530151299442,0.001
0,76,0.00279726645297346,0.001
0,78,0.00457989075346601,0.002
0,80,0.00544241040635915,0.003
2,0,0,0
2,2,0,0
2,4,0,0
2,6,0.0003136221935548,0
2,8,0.00144124854474117,0
2,10,0.00520164469804398,0
2,12,0.0145608841438042,0.001
2,14,0.0302552973644233,0.003
2,16,0.0492029789098853,0.005
2,18,0.0679645542220445,0.007
2,20,0.0834684194514599,0.007
2,22,0.0883705808952289,0.006
2,24,0.0773234482244864,0.004
2,26,0.0656517529339256,0.003
2,28,0.0837521200290535,0.003
2,30,0.157233801192996,0.003
2,32,0.287520247438198,0.004
2,34,0.451293315121819,0.005
2,36,0.614568453398496,0.006
2,38,0.748554678155146,0.007
2,40,0.822849315444295,0.008
2,42,0.81632910805831,0.009
