x,y,WeightedExpectedGoals,GoalProbability
0,0,0.15953248737815,0.006
0,2,0.133204700082065,0.006
0,4,0.0775408908606,0.006
0,6,0.0314689931819706,0.005
0,8,0.00897504923179405,0.004
0,10,0.00210220717158139,0.002
0,12,0.00141214929150464,0.003
0,14,0.00276224280953718,0.009
0,16,0.00454413801637431,0.015
0,18,0.00521173109882486,0.015
0,20,0.00416728604225233,0.011
0,22,0.00232308685629251,0.008
0,24,0.000902855834001146,0.005
0,26,0.000244631396505519,0.003
0,28,0,0
0,30,0,0
0,32,0,0
0,34,0,0
0,36,0,0
0,38,0,0
0,40,0,0
0,42,0,0
0,44,0,0
0,46,0,0
0,48,0,0
0,50,0,0
0,52,0,0
0,54,0,0
0,56,0,0
0,58,0,0
0,60,0,0
0,62,0,0
0,64,0,0
0,66,0,0
0,68,0,0
0,70,0,0
0,72,0,0
0,74,0,0
0,76,0,0
0,78,0,0
0,80,0,0
2,0,0.133204700082065,0.006
2,2,0.111221810776975,0.006
2,4,0.0647442491553414,0.005
2,6,0.0262756374427535,0.004
2,8,0.00772950773694342,0.003
2,10,0.00289914930276702,0.002
2,12,0.00505065353826641,0.005
2,14,0.0114419225027277,0.016
2,16,0.0188229922603239,0.024
2,18,0.0215883350775385,0.022
2,20,0.0172619741383776,0.016
2,22,0.00962282522196444,0.011
2,24,0.00373986184274207,0.007
2,26,0.00101332637047183,0.003
2,28,0.000191418520603758,0.001
2,30,0,0
2,32,0,0
2,34,0,0
2,36,0,0
2,38,0,0
2,40,0,0
2,42,0,0
2,44,0,0
2,46,0,0
2,48,0,0
2,50,0,0
2,52,0,0
2,54,0,0
2,56,0,0
2,58,0,0
2,60,0,0
2,62,0,0
2,64,0,0
2,66,0,0
2,68,0,0
2,70,0,0
2,72,0,0
2,74,0,0
2,76,0,0
2,78,0,0
2,80,0,0
4,0,0.0775408908606,0.006
4,2,0.0647442491553414,0.006
4,4,0.0376888109392004,0.005
4,6,0.0154179134115463,0.003
4,8,0.00517992475689862,0.002
4,10,0.00499100178961408,0.002
4,12,0.0141206266885873,0.009
4,14,0.0330428102890188,0.027
4,16,0.0543583966926255,0.036
4,18,0.0623443534294885,0.031
4,20,0.0498503758028757,0.022
4,22,0.0277894897625774,0.015
4,24,0.0108002431713207,0.008
4,26,0.00292635708836327,0.003
4,28,0.000552792230554501,0.001
4,30,0.0000728010035356863,0
4,32,0,0
4,34,0,0
4,36,0,0
4,38,0,0
4,40,0,0
4,42,0,0
4,44,0,0
4,46,0,0
4,48,0,0
4,50,0,0
4,52,0,0
4,54,0,0
4,56,0,0
4,58,0,0
4,60,0,0
4,62,0,0
4,64,0,0
4,66,0,0
4,68,0,0
4,70,0,0
4,72,0,0
4,74,0,0
4,76,0,0
4,78,0,0
4,80,0,0
6,0,0.0314689931819706,0.006
6,2,0.0262756374427535,0.005
6,4,0.015295528866369,0.003
6,6,0.00645390024817328,0.002
6,8,0.0034721635142462,0.001
6,10,0.00867633557360949,0.003
6,12,0.0281933666860293,0.016
6,14,0.0665266686902982,0.041
6,16,0.109442357223106,0.049
6,18,0.125520865478346,0.041
6,20,0.100366143379364,0.03
6,22,0.0559499074787176,0.018
6,24,0.0217767089066679,0.009
6,26,0.00595821917420354,0.003
6,28,0.00120895881427324,0.001
6,30,0.000243264602081474,0
6,32,0.0000678983852920724,0
6,34,0.0000332410152436656,0
6,36,0,0
6,38,0,0
6,40,0,0
6,42,0,0
6,44,0,0
6,46,0,0
6,48,0,0
6,50,0,0
6,52,0,0
6,54,0,0
6,56,0,0
6,58,0,0
6,60,0,0
6,62,0,0
6,64,0,0
6,66,0,0
6,68,0,0
6,70,0,0
6,72,0,0
6,74,0,0
6,76,0,0
6,78,0,0
6,80,0,0
8,0,0.00890380695089278,0.005
8,2,0.00743440382566689,0.004
8,4,0.00432770236564109,0.002
8,6,0.00210220717158139,0.001
8,8,0.00290535337578252,0.001
8,10,0.0117902871943917,0.005
8,12,0.0395736915598616,0.022
8,14,0.0933803293722829,0.051
8,16,0.153619045804754,0.061
8,18,0.176187685212792,0.051
8,20,0.140879194931905,0.036
8,22,0.0786161385585584,0.02
8,24,0.0307653906152991,0.009
8,26,0.00877453152477619,0.003
8,28,0.00229112827167163,0.001
8,30,0.000939931204182529,0
8,32,0.000515565693242882,0
8,34,0.000252405517369478,0
8,36,0.0000861498453077461,0
8,38,0,0
8,40,0,0
8,42,0,0
8,44,0,0
8,46,0,0
8,48,0,0
8,50,0,0
8,52,0,0
8,54,0,0
8,56,0,0
8,58,0,0
8,60,0,0
8,62,0,0
8,64,0,0
8,66,0,0
8,68,0,0
8,70,0.000078843054840347,0
8,72,0.000156464521345823,0
8,74,0.00021647569046496,0
8,76,0.000208806116417666,0
8,78,0.000140416493418311,0
8,80,0,0
10,0,0.00175634345603266,0.004
10,2,0.00146649254422626,0.002
10,4,0.00085367211704749,0.001
10,6,0.000684910589386735,0
