x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
18,34,Pass,96,54,14,0.325,0,0,0
18,34,Pass,96,56,14,0.4,0,0,0
18,34,Pass,96,58,13,0.504,0,0,0
18,34,Pass,96,60,11,0.562,0,0,0
18,34,Pass,94,50,21,0.349,0,0,0
18,34,Pass,94,52,21,0.437,0,0,0
18,34,Pass,94,54,18,0.553,0,0,0
18,34,Pass,94,56,18,0.696,0,0,0
18,34,Pass,94,58,15,0.865,0,0,0
18,34,Pass,94,60,15,0.949,0,0,0
18,34,Pass,94,62,15,0.814,0,0,0
18,34,Pass,94,64,14,0.526,0,0,0
18,34,Pass,92,48,30,0.431,0,0,0
18,34,Pass,92,50,27,0.48,0,0,0
18,34,Pass,92,52,26,0.607,0,0,0
18,34,Pass,92,54,25,0.763,0,0,0
18,34,Pass,92,56,22,0.927,0,0,0
18,34,Pass,92,58,19,1.097,0,0,0
18,34,Pass,92,60,19,1.164,0,0,0
18,34,Pass,92,62,19,0.986,0,0,0
18,34,Pass,92,64,17,0.637,0,0,0
18,34,Pass,92,66,17,0.377,0,0,0
18,34,Pass,90,46,36,0.465,0,0,0
18,34,Pass,90,48,34,0.496,0,0,0
18,34,Pass,90,50,34,0.584,0,0,0
18,34,Pass,90,52,33,0.735,0,0,0
18,34,Pass,90,54,31,0.891,0,0,0
18,34,Pass,90,56,30,1.018,0,0,0
18,34,Pass,90,58,29,1.114,0,0,0
18,34,Pass,90,60,28,1.116,0,0,0
18,34,Pass,90,62,22,0.929,0,0,0
18,34,Pass,90,64,20,0.61,0,0,0
18,34,Pass,90,66,21,0.363,0,0,0
18,34,Pass,90,68,18,0.339,0,0,0
18,34,Pass,88,46,47,0.48,0,0,0
18,34,Pass,88,48,46,0.538,0,0,0
18,34,Pass,88,50,39,0.681,0,0,0
18,34,Pass,88,52,38,0.875,0,0,0
18,34,Pass,88,54,35,1.05,0,0,0
18,34,Pass,88,56,34,1.146,0,0,0
18,34,Pass,88,58,32,1.147,0,0,0
18,34,Pass,88,60,31,1.054,0,0,0
18,34,Pass,88,62,31,0.864,0,0,0
18,34,Pass,88,64,21,0.601,0,0,0
18,34,Pass,88,66,25,0.369,0,0,0
18,34,Pass,88,68,22,0.279,0,0,0
18,34,Pass,86,46,57,0.589,0,0,0
18,34,Pass,86,48,51,0.627,0,0,0
18,34,Pass,86,50,50,0.829,0,0,0
18,34,Pass,86,52,45,1.131,0,0,0
18,34,Pass,86,54,40,1.415,0,0,0
18,34,Pass,86,56,38,1.546,0,0,0
18,34,Pass,86,58,36,1.462,0,0,0
18,34,Pass,86,60,32,1.253,0,0,0
18,34,Pass,86,62,35,1.022,0,0,0
18,34,Pass,86,64,32,0.769,0,0,0
18,34,Pass,86,66,27,0.499,0,0,0
18,34,Pass,86,68,25,0.306,0,0,0
18,34,Pass,86,70,24,0.266,0,0,0
18,34,Pass,84,44,63,1.109,0,0,0
18,34,Pass,84,46,60,0.867,0,0,0
18,34,Pass,84,48,56,0.815,0,0,0
18,34,Pass,84,50,52,1.04,0,0,0
18,34,Pass,84,52,49,1.477,0,0,0
18,34,Pass,84,54,44,1.926,0,0,0
18,34,Pass,84,56,40,2.12,0,0,0
18,34,Pass,84,58,37,1.954,0,0,0
18,34,Pass,84,60,36,1.627,0,0,0
18,34,Pass,84,62,36,1.352,0,0,0
18,34,Pass,84,64,37,1.088,0,0,0
18,34,Pass,84,66,32,0.747,0,0,0
18,34,Pass,84,68,29,0.429,0,0,0
18,34,Pass,84,70,24,0.283,0,0,0
18,34,Pass,82,44,66,1.648,0,0,0
18,34,Pass,82,46,63,1.276,0,0,0
18,34,Pass,82,48,59,1.09,0,0,0
18,34,Pass,82,50,55,1.264,0,0,0
18,34,Pass,82,52,54,1.756,0,0,0
18,34,Pass,82,54,49,2.287,0,0,0
18,34,Pass,82,56,41,2.489,0,0,0
18,34,Pass,82,58,39,2.25,0,0,0
18,34,Pass,82,60,40,1.873,0,0,0
18,34,Pass,82,62,40,1.627,0,0,0
18,34,Pass,82,64,40,1.4,0,0,0
18,34,Pass,82,66,35,1.017,0,0,0
18,34,Pass,82,68,32,0.587,0,0,0
18,34,Pass,82,70,27,0.335,0,0,0
18,34,Pass,80,46,62,1.661,0,0,0
18,34,Pass,80,48,61,1.386,0,0,0
18,34,Pass,80,50,58,1.47,0,0,0
18,34,Pass,80,52,55,1.892,0,0,0
18,34,Pass,80,54,49,2.362,0,0,0
18,34,Pass,80,56,45,2.501,0,0,0
18,34,Pass,80,58,42,2.232,0,0,0
18,34,Pass,80,60,41,1.894,0,0,0
18,34,Pass,80,62,45,1.744,0,0,0
18,34,Pass,80,64,43,1.596,0,0,0
18,34,Pass,80,66,36,1.213,0,0,0
18,34,Pass,80,68,35,0.718,0,0,0
18,34,Pass,80,70,30,0.38,0,0,0
18,34,Pass,78,46,63,1.843,0,0,0
18,34,Pass,78,48,56,1.62,0,0,0
18,34,Pass,78,50,55,1.669,0,0,0
18,34,Pass,78,52,54,1.985,0,0,0
18,34,Pass,78,54,47,2.331,0,0,0
18,34,Pass,78,56,44,2.399,0,0,0
18,34,Pass,78,58,42,2.151,0,0,0
18,34,Pass,78,60,40,1.887,0,0,0
18,34,Pass,78,62,42,1.802,0,0,0
18,34,Pass,78,64,43,1.687,0,0,0
18,34,Pass,78,66,37,1.314,0,0,0
18,34,Pass,78,68,35,0.806,0,0,0
18,34,Pass,76,48,59,1.673,1,0,0
18,34,Pass,76,50,57,1.784,1,0,0
18,34,Pass,76,52,52,2.047,1,0,0
18,34,Pass,76,54,46,2.306,1,0,0
18,34,Pass,76,56,44,2.357,1,0,0
18,34,Pass,76,58,44,2.178,1,0,0
18,34,Pass,76,60,42,1.984,1,0,0
18,34,Pass,76,62,43,1.889,0,0,0
18,34,Pass,76,64,43,1.726,0,0,0
18,34,Pass,76,66,36,1.346,0,0,0
18,34,Pass,76,68,36,0.875,0,0,0
18,34,Pass,74,48,63,1.439,1,0,0
18,34,Pass,74,50,59,1.628,1,0,0
18,34,Pass,74,52,50,1.883,1,0,0
18,34,Pass,74,54,43,2.117,1,0,0
18,34,Pass,74,56,43,2.209,1,0,0
18,34,Pass,74,58,41,2.135,1,0,0
