x,y,WeightedExpectedGoals,GoalProbability
0,28,0,0
0,30,0,0
0,32,0,0
0,34,0,0
0,36,0,0
0,38,0,0
0,40,0,0
0,42,0,0
0,44,0,0
0,46,0,0
0,48,0.00192897948997408,0
0,50,0.00598738824071397,0.002
0,52,0.0129565106073846,0.004
0,54,0.0195469730698638,0.006
0,56,0.0205594645232708,0.005
0,58,0.0150759576397403,0.003
0,60,0.00770723928558127,0.002
0,62,0.00274696800890286,0.001
0,64,0.000682573126129288,0
0,66,0,0
0,68,0,0
0,70,0,0
0,72,0,0
0,74,0,0
0,76,0,0
0,78,0,0
0,80,0,0
2,26,0,0
2,28,0,0
2,30,0,0
2,32,0,0
2,34,0,0
2,36,0,0
2,38,0,0
2,40,0,0
2,42,0,0
2,44,0,0
2,46,0.00263567884424294,0
2,48,0.0100865389341872,0.001
2,50,0.0293903194740555,0.004
2,52,0.0620442199959496,0.008
2,54,0.0927239445026689,0.011
2,56,0.0969719775820392,0.01
2,58,0.0711081470343707,0.007
2,60,0.0363524173684021,0.004
2,62,0.0129565106073846,0.002
2,64,0.0032194644860615,0
2,66,0.000557724916823804,0
2,68,0,0
2,70,0,0
2,72,0,0
2,74,0,0
2,76,0,0
2,78,0,0
2,80,0,0
4,0,0.0000187935732749118,0.009
4,2,0.0000309171194100608,0.009
4,4,0.0000354592470859985,0.009
4,6,0.0000283531177354061,0.009
4,8,0.0000158056717197258,0.009
4,26,0,0
4,28,0,0
4,30,0,0
4,32,0,0
4,34,0,0
4,36,0.0003615800815733,0
4,38,0.000433046054412835,0
4,40,0.0003615800815733,0
4,42,0.000562933349870242,0
4,44,0.00298529930485944,0
4,46,0.0113474872389673,0.001
4,48,0.0376416239367558,0.003
4,50,0.101850633183334,0.007
4,52,0.208776253082846,0.013
4,54,0.307959927034527,0.017
4,56,0.32108109607591,0.017
4,58,0.2342738746962,0.013
4,60,0.119538712525234,0.007
4,62,0.04260527109189,0.003
4,64,0.0105866588123799,0.001
4,66,0.00183398308356547,0
4,68,0,0
4,70,0,0
4,72,0,0
4,74,0,0
4,76,0,0
4,78,0,0
4,80,0,0
6,0,0.000151181759017244,0.009
6,2,0.000248707599549406,0.009
6,4,0.000285245986458821,0.009
6,6,0.000228081916629653,0.009
6,8,0.000127146084359972,0.009
6,10,0.0000494146758757042,0.009
6,24,0,0
6,26,0,0
6,28,0,0
6,30,0,0
6,32,0.000717557868681148,0.001
6,34,0.00176809204094421,0.001
6,36,0.00303734155511398,0.001
6,38,0.00363766933903855,0.001
6,40,0.00366010275593626,0.001
6,42,0.00483538389798917,0
6,44,0.0136624484453009,0.001
6,46,0.0406199776879799,0.003
6,48,0.111681471015094,0.006
6,50,0.264459569391216,0.012
6,52,0.505080601804629,0.019
6,54,0.724283566614644,0.024
6,56,0.746374635868325,0.025
6,58,0.543011091237883,0.021
6,60,0.276841075451396,0.012
6,62,0.0981796559790808,0.005
6,64,0.0242702930228113,0.001
6,66,0.00420447164925745,0
6,68,0.000507795282447423,0
6,70,0,0
6,72,0,0
6,74,0,0
6,76,0,0
6,78,0,0
