x,y,WeightedExpectedGoals,GoalProbability
0,28,0,0
0,30,0,0
0,32,0,0
0,34,0,0
0,36,0,0
0,38,0,0
0,40,0,0
0,42,0,0
0,44,0,0
0,46,0,0
0,48,0.00192897948997408,0.002
0,50,0.00598738824071397,0.005
0,52,0.0129565106073846,0.008
0,54,0.0195469730698638,0.007
0,56,0.0205594645232708,0.005
0,58,0.0150759576397403,0.003
0,60,0.00770723928558127,0.002
0,62,0.00274696800890286,0.001
0,64,0.000682573126129288,0
0,66,0,0
0,68,0,0
0,70,0,0
0,72,0,0
0,74,0,0
0,76,0,0
0,78,0,0
0,80,0,0
2,26,0,0
2,28,0,0
2,30,0,0
2,32,0,0
2,34,0,0
2,36,0,0
2,38,0,0
2,40,0,0
2,42,0,0
2,44,0,0
2,46,0.00263567884424294,0.001
2,48,0.0100865389341872,0.003
2,50,0.0293903194740555,0.009
2,52,0.0620442199959496,0.014
2,54,0.0927239445026689,0.014
2,56,0.0969719775820392,0.011
2,58,0.0711081470343707,0.007
2,60,0.0363524173684021,0.004
2,62,0.0129565106073846,0.002
2,64,0.0032194644860615,0
2,66,0.000557724916823804,0
2,68,0,0
2,70,0,0
2,72,0,0
2,74,0,0
2,76,0,0
2,78,0,0
2,80,0,0
4,0,0.0000187935732749118,0.009
4,2,0.0000309171194100608,0.009
4,4,0.0000354592470859985,0.009
4,6,0.0000283531177354061,0.009
4,8,0.0000158056717197258,0.009
4,26,0,0
4,28,0,0
4,30,0,0
4,32,0,0
4,34,0,0
4,36,0,0
4,38,0,0
4,40,0,0
4,42,0.000562933349870242,0
4,44,0.00298529930485944,0
4,46,0.0113474872389673,0.002
4,48,0.0376416239367558,0.005
4,50,0.101850633183334,0.013
4,52,0.20824468437162,0.02
4,54,0.307295131492448,0.022
4,56,0.320501457057972,0.019
4,58,0.2342738746962,0.014
4,60,0.119538712525234,0.007
4,62,0.04260527109189,0.003
4,64,0.0105866588123799,0.001
4,66,0.00183398308356547,0
4,68,0,0
4,70,0,0
4,72,0,0
4,74,0,0
4,76,0,0
4,78,0,0
4,80,0,0
6,0,0.000151181759017244,0.009
6,2,0.000248707599549406,0.009
6,4,0.000285245986458821,0.009
6,6,0.000228081916629653,0.009
6,8,0.000127146084359972,0.009
6,10,0.0000494146758757042,0.009
6,24,0,0
6,26,0,0
6,28,0,0
6,30,0,0
6,32,0,0
6,34,0,0
6,36,0,0
6,38,0,0
6,40,0.000622761200822279,0
6,42,0.00306729185704496,0
6,44,0.0129448905766197,0.001
6,46,0.0406199776879799,0.004
6,48,0.110671258506417,0.01
6,50,0.261860249197903,0.018
6,52,0.500417792606774,0.025
6,54,0.717498256674162,0.029
6,56,0.739892043216365,0.028
6,58,0.538491685441342,0.021
6,60,0.274513416348501,0.012
6,62,0.097674103987113,0.005
6,64,0.0242702930228113,0.001
6,66,0.00420447164925745,0
6,68,0.000507795282447423,0
6,70,0,0
6,72,0,0
6,74,0,0
6,76,0,0
6,78,0,0
6,80,0,0
8,0,0.000847871918041786,0.009
8,2,0.00139482561145138,0.009
