x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
18,54,Pass,36,26,44,0.465,0,0.001,0.039
18,54,Pass,36,28,40,0.528,0,0.001,0.018
18,54,Pass,36,30,39,0.743,0,0,0.006
18,54,Pass,36,32,34,0.924,0,0,0.002
18,54,Pass,36,34,35,0.866,0,0,0.002
18,54,Pass,34,22,45,1.054,0,0.002,0.038
18,54,Pass,34,24,46,0.825,0,0.003,0.052
18,54,Pass,34,26,44,0.673,0,0.002,0.048
18,54,Pass,34,28,45,0.629,0,0.001,0.028
18,54,Pass,34,30,46,0.683,0,0,0.011
18,54,Pass,34,32,40,0.73,0,0,0.004
18,54,Pass,34,34,38,0.64,0,0,0.002
18,54,Pass,34,36,38,0.42,0,0,0.002
18,54,Pass,32,20,45,1.242,0,0.002,0.028
18,54,Pass,32,22,45,1.2,1,0.003,0.045
18,54,Pass,32,24,48,1.087,1,0.004,0.055
18,54,Pass,32,26,44,0.95,1,0.003,0.049
18,54,Pass,32,28,48,0.827,1,0.002,0.031
18,54,Pass,32,30,47,0.732,1,0.001,0.014
18,54,Pass,32,32,45,0.625,0,0,0.005
18,54,Pass,32,34,42,0.464,0,0,0.002
18,54,Pass,32,36,38,0.276,0,0,0.002
18,54,Pass,32,38,36,0.131,0,0,0.001
18,54,Pass,30,18,44,1.11,1,0.001,0.014
18,54,Pass,30,20,45,1.302,1,0.002,0.027
18,54,Pass,30,22,48,1.379,1,0.003,0.041
18,54,Pass,30,24,50,1.348,1,0.004,0.047
18,54,Pass,30,26,49,1.27,1,0.003,0.039
18,54,Pass,30,28,50,1.172,1,0.002,0.023
18,54,Pass,30,30,48,1.021,1,0.001,0.01
18,54,Pass,30,32,47,0.782,1,0,0.004
18,54,Pass,30,34,46,0.497,1,0,0.002
18,54,Pass,30,36,42,0.255,0,0,0.001
18,54,Pass,30,38,36,0.109,0,0,0.001
18,54,Pass,30,40,35,0.049,0,0,0.001
18,54,Pass,28,18,41,1.031,1,0.001,0.011
18,54,Pass,28,20,41,1.298,1,0.002,0.021
18,54,Pass,28,22,46,1.436,1,0.003,0.03
18,54,Pass,28,24,52,1.485,1,0.003,0.032
18,54,Pass,28,26,52,1.539,1,0.002,0.024
18,54,Pass,28,28,51,1.57,2,0.001,0.013
18,54,Pass,28,30,50,1.45,2,0,0.005
18,54,Pass,28,32,51,1.116,2,0,0.002
18,54,Pass,28,34,47,0.682,2,0,0.001
18,54,Pass,28,36,43,0.329,2,0,0
18,54,Pass,28,38,36,0.131,0,0,0
18,54,Pass,28,40,37,0.052,0,0,0
18,54,Pass,28,42,40,0.039,0,0,0
18,54,Pass,26,18,41,0.797,1,0,0.008
18,54,Pass,26,20,41,1.057,1,0.001,0.014
18,54,Pass,26,22,46,1.226,1,0.001,0.019
18,54,Pass,26,24,50,1.375,1,0.002,0.019
18,54,Pass,26,26,51,1.581,2,0.001,0.013
18,54,Pass,26,28,48,1.756,2,0.001,0.006
18,54,Pass,26,30,50,1.7,2,0,0.003
18,54,Pass,26,32,51,1.334,2,0,0.001
18,54,Pass,26,34,50,0.821,2,0,0
18,54,Pass,26,36,44,0.395,2,0,0
18,54,Pass,26,38,38,0.154,1,0,0
18,54,Pass,26,40,33,0.059,1,0,0
18,54,Pass,26,42,37,0.043,0,0,0
18,54,Pass,24,18,39,0.468,1,0,0.005
18,54,Pass,24,20,43,0.657,1,0,0.009
18,54,Pass,24,22,44,0.821,1,0.001,0.011
18,54,Pass,24,24,48,1.02,2,0.001,0.01
18,54,Pass,24,26,47,1.293,2,0.001,0.007
18,54,Pass,24,28,46,1.525,2,0,0.003
18,54,Pass,24,30,47,1.522,2,0,0.001
18,54,Pass,24,32,49,1.213,2,0,0.001
18,54,Pass,24,34,48,0.756,2,0,0
18,54,Pass,24,36,41,0.369,2,0,0
18,54,Pass,24,38,37,0.147,2,0,0
18,54,Pass,24,40,29,0.061,1,0,0
18,54,Pass,24,42,32,0.051,1,0,0
18,54,Pass,22,18,36,0.205,1,0,0.004
18,54,Pass,22,20,36,0.31,1,0,0.006
18,54,Pass,22,22,41,0.427,2,0,0.007
18,54,Pass,22,24,44,0.592,2,0,0.007
18,54,Pass,22,26,45,0.813,2,0,0.004
18,54,Pass,22,28,45,1.002,2,0,0.002
18,54,Pass,22,30,46,1.023,2,0,0.001
18,54,Pass,22,32,46,0.828,2,0,0.001
18,54,Pass,22,34,42,0.525,2,0,0.001
18,54,Pass,22,36,39,0.262,2,0,0.001
18,54,Pass,22,38,30,0.108,2,0,0.001
18,54,Pass,22,40,26,0.052,1,0,0.001
18,54,Pass,22,42,27,0.056,1,0,0
18,54,Pass,20,18,30,0.07,1,0,0.003
18,54,Pass,20,20,35,0.117,1,0,0.006
18,54,Pass,20,22,36,0.181,2,0,0.008
18,54,Pass,20,24,38,0.274,2,0,0.008
18,54,Pass,20,26,42,0.396,2,0,0.007
18,54,Pass,20,28,43,0.503,2,0,0.005
18,54,Pass,20,30,43,0.524,2,0,0.004
18,54,Pass,20,32,39,0.434,2,0,0.003
18,54,Pass,20,34,38,0.283,2,0,0.004
18,54,Pass,20,36,33,0.146,2,0,0.004
18,54,Pass,20,38,29,0.064,2,0,0.004
18,54,Pass,20,40,25,0.037,1,0,0.002
18,54,Pass,20,42,25,0.048,1,0,0
18,54,Pass,18,18,24,0.023,1,0,0.005
18,54,Pass,18,20,31,0.044,2,0,0.01
18,54,Pass,18,22,33,0.076,2,0,0.014
18,54,Pass,18,24,35,0.118,2,0,0.016
18,54,Pass,18,26,35,0.168,2,0,0.015
18,54,Pass,18,28,38,0.209,2,0,0.012
18,54,Pass,18,30,35,0.219,2,0,0.011
18,54,Pass,18,32,34,0.187,2,0,0.012
18,54,Pass,18,34,34,0.129,2,0,0.014
18,54,Pass,18,36,29,0.07,2,0,0.015
18,54,Pass,18,38,22,0.033,2,0,0.015
18,54,Pass,18,40,18,0.021,1,0,0.007
18,54,Pass,16,20,27,0.028,2,0,0.01
18,54,Pass,16,22,28,0.052,2,0,0.014
18,54,Pass,16,24,32,0.077,2,0,0.017
18,54,Pass,16,26,32,0.093,2,0,0.021
18,54,Pass,16,28,30,0.097,2,0,0.024
18,54,Pass,16,30,32,0.092,2,0,0.028
18,54,Pass,16,32,29,0.078,2,0,0.033
18,54,Pass,16,34,29,0.057,2,0,0.038
18,54,Pass,16,36,25,0.033,2,0,0.041
18,54,Pass,16,38,19,0.016,2,0,0.038
18,54,Pass,16,40,13,0.01,1,0,0.019
18,54,Pass,14,22,25,0.063,2,0,0.006
18,54,Pass,14,24,25,0.089,2,0,0.008
18,54,Pass,14,26,29,0.093,2,0,0.013
