x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
118,34,Run,120,0,27,6.961,1,0.03,0.063
118,34,Run,120,2,27,6.239,1,0.027,0.064
118,34,Run,120,4,27,3.9,1,0.017,0.064
118,34,Run,120,6,27,1.701,1,0.007,0.064
118,34,Run,120,8,27,0.517,1,0.002,0.064
118,34,Run,120,10,27,0.11,1,0,0.064
118,34,Run,120,12,27,0.016,1,0,0.064
118,34,Pass,120,14,2,0,0,0,0
118,34,Run,120,14,1,0,0,0,0
118,34,Pass,120,16,2,0,0,0,0
118,34,Pass,120,18,2,0.001,0,0,0
118,34,Pass,120,20,2,0.002,0,0,0
118,34,Pass,120,22,3,0.006,0,0,0
118,34,Pass,120,24,3,0.013,0,0,0
118,34,Pass,120,26,5,0.018,0,0,0
118,34,Pass,120,28,5,0.018,0,0,0
118,34,Pass,120,30,6,0.014,0,0,0
118,34,Pass,120,32,6,0.013,0,0,0.001
118,34,Pass,120,34,7,0.018,1,0,0.002
118,34,Pass,120,36,7,0.025,1,0,0.002
118,34,Pass,120,38,7,0.026,1,0,0.002
118,34,Pass,120,40,6,0.019,1,0,0.004
118,34,Pass,120,42,4,0.01,1,0,0.013
118,34,Pass,120,44,4,0.004,1,0,0.044
118,34,Pass,120,46,4,0.002,1,0,0.121
118,34,Pass,120,48,3,0.001,1,0,0.209
118,34,Pass,120,50,2,0,1,0,0.252
118,34,Pass,120,52,1,0,1,0,0.269
118,34,Pass,120,54,1,0,1,0,0.269
118,34,Pass,120,56,1,0,1,0,0.269
118,34,Pass,120,58,1,0,1,0,0.269
118,34,Run,120,66,1,0,1,0,0.162
118,34,Run,120,68,9,0.002,1,0,0.123
118,34,Run,120,70,9,0.011,1,0,0.123
118,34,Run,120,72,9,0.053,1,0,0.123
118,34,Run,120,74,9,0.174,1,0.001,0.123
118,34,Run,120,76,9,0.399,1,0.003,0.123
118,34,Run,120,78,9,0.637,1,0.005,0.123
118,34,Run,120,80,9,0.71,1,0.006,0.123
118,34,Run,118,0,27,6.443,1,0.028,0.064
118,34,Run,118,2,27,5.777,1,0.025,0.064
118,34,Run,118,4,27,3.613,1,0.016,0.064
118,34,Run,118,6,27,1.576,1,0.007,0.064
118,34,Run,118,8,27,0.479,1,0.002,0.064
118,34,Run,118,10,27,0.102,1,0,0.064
118,34,Run,118,12,27,0.015,1,0,0.064
118,34,Pass,118,14,2,0,0,0,0
118,34,Pass,118,16,2,0,0,0,0
118,34,Pass,118,18,2,0.001,0,0,0
118,34,Pass,118,20,2,0.003,0,0,0
118,34,Pass,118,22,3,0.008,0,0,0
118,34,Pass,118,24,4,0.016,0,0,0
118,34,Pass,118,26,6,0.023,0,0,0
118,34,Pass,118,28,6,0.023,0,0,0
118,34,Pass,118,30,6,0.019,0,0,0.001
118,34,Pass,118,32,6,0.018,0,0,0.002
118,34,Pass,118,34,7,0.026,1,0,0.003
118,34,Pass,118,36,7,0.036,1,0,0.003
118,34,Pass,118,38,8,0.037,1,0,0.003
118,34,Pass,118,40,7,0.028,1,0,0.005
118,34,Pass,118,42,6,0.015,1,0,0.015
118,34,Pass,118,44,5,0.006,1,0,0.049
118,34,Pass,118,46,4,0.002,1,0,0.13
118,34,Pass,118,48,3,0.001,1,0,0.214
118,34,Pass,118,50,2,0,1,0,0.254
118,34,Pass,118,52,1,0,1,0,0.269
118,34,Pass,118,54,1,0,1,0,0.269
118,34,Pass,118,56,1,0,1,0,0.269
118,34,Pass,118,58,1,0,1,0,0.269
118,34,Run,118,68,9,0.002,1,0,0.123
118,34,Run,118,70,9,0.01,1,0,0.123
118,34,Run,118,72,9,0.049,1,0,0.123
118,34,Run,118,74,9,0.162,1,0.001,0.123
118,34,Run,118,76,9,0.371,1,0.003,0.123
118,34,Run,118,78,9,0.593,1,0.005,0.123
118,34,Run,118,80,9,0.661,1,0.006,0.123
118,34,Run,116,0,27,4.16,1,0.018,0.065
118,34,Run,116,2,27,3.732,1,0.017,0.065
118,34,Run,116,4,27,2.334,1,0.01,0.065
118,34,Run,116,6,27,1.019,1,0.005,0.065
118,34,Run,116,8,27,0.31,1,0.001,0.065
118,34,Run,116,10,27,0.066,1,0,0.065
118,34,Run,116,12,27,0.01,1,0,0.065
118,34,Pass,116,14,2,0,0,0,0
118,34,Pass,116,16,2,0,0,0,0
118,34,Pass,116,18,2,0.001,0,0,0
118,34,Pass,116,20,2,0.003,0,0,0
118,34,Pass,116,22,3,0.008,0,0,0
118,34,Pass,116,24,5,0.015,0,0,0
118,34,Pass,116,26,6,0.021,0,0,0
118,34,Pass,116,28,6,0.021,0,0,0
118,34,Pass,116,30,6,0.018,0,0,0.001
118,34,Pass,116,32,6,0.019,0,0,0.003
118,34,Pass,116,34,8,0.027,1,0,0.004
118,34,Pass,116,36,8,0.037,1,0,0.004
118,34,Pass,116,38,8,0.038,1,0,0.004
118,34,Pass,116,40,8,0.028,1,0,0.006
118,34,Pass,116,42,6,0.015,1,0,0.017
118,34,Pass,116,44,6,0.006,1,0,0.055
118,34,Pass,116,46,5,0.003,1,0,0.139
118,34,Pass,116,48,4,0.001,1,0,0.22
118,34,Pass,116,50,2,0.001,1,0,0.255
118,34,Pass,116,52,1,0,1,0,0.269
118,34,Pass,116,54,1,0,1,0,0.269
118,34,Pass,116,56,1,0,1,0,0.269
118,34,Pass,116,58,1,0,1,0,0.269
118,34,Run,116,68,9,0.001,1,0,0.123
118,34,Run,116,70,9,0.007,1,0,0.123
118,34,Run,116,72,9,0.032,1,0,0.123
118,34,Run,116,74,9,0.105,1,0.001,0.123
118,34,Run,116,76,9,0.241,1,0.002,0.123
118,34,Run,116,78,9,0.385,1,0.003,0.123
118,34,Run,116,80,9,0.429,1,0.004,0.123
118,34,Run,114,0,27,1.874,1,0.008,0.065
118,34,Run,114,2,27,1.681,1,0.008,0.066
118,34,Run,114,4,27,1.052,1,0.005,0.066
118,34,Run,114,6,27,0.459,1,0.002,0.066
118,34,Run,114,8,27,0.14,1,0.001,0.066
118,34,Run,114,10,27,0.03,1,0,0.065
118,34,Run,114,12,27,0.004,1,0,0.065
118,34,Pass,114,14,1,0,0,0,0
118,34,Pass,114,16,2,0,0,0,0
118,34,Pass,114,18,2,0,0,0,0
118,34,Pass,114,20,2,0.002,0,0,0
118,34,Pass,114,22,3,0.005,0,0,0
118,34,Pass,114,24,5,0.01,0,0,0
118,34,Pass,114,26,6,0.014,0,0,0
118,34,Pass,114,28,6,0.015,0,0,0
118,34,Pass,114,30,6,0.014,0,0,0.002
118,34,Pass,114,32,7,0.017,0,0,0.004
118,34,Pass,114,34,8,0.024,1,0,0.005
118,34,Pass,114,36,8,0.031,1,0,0.005
118,34,Pass,114,38,8,0.03,1,0,0.006
118,34,Pass,114,40,6,0.021,1,0,0.008
118,34,Pass,114,42,6,0.011,1,0,0.019
118,34,Pass,114,44,6,0.005,1,0,0.06
118,34,Pass,114,46,6,0.002,1,0,0.146
118,34,Pass,114,48,4,0.001,1,0,0.225
118,34,Pass,114,50,3,0,1,0,0.257
118,34,Pass,114,52,1,0,1,0,0.269
118,34,Pass,114,54,1,0,1,0,0.269
118,34,Pass,114,56,1,0,1,0,0.269
118,34,Pass,114,58,1,0,1,0,0.269
118,34,Run,114,68,9,0,1,0,0.123
118,34,Run,114,70,9,0.003,1,0,0.123
118,34,Run,114,72,9,0.014,1,0,0.123
118,34,Run,114,74,9,0.048,1,0,0.123
118,34,Run,114,76,9,0.109,1,0.001,0.123
118,34,Run,114,78,9,0.174,1,0.001,0.123
118,34,Run,114,80,9,0.194,1,0.002,0.123
118,34,Run,112,0,27,0.589,1,0.003,0.066
118,34,Run,112,2,27,0.528,1,0.002,0.066
118,34,Run,112,4,27,0.331,1,0.001,0.066
118,34,Run,112,6,27,0.144,1,0.001,0.066
118,34,Run,112,8,27,0.044,1,0,0.066
118,34,Run,112,10,27,0.009,1,0,0.066
118,34,Pass,112,16,2,0,0,0,0
118,34,Pass,112,18,2,0,0,0,0
118,34,Pass,112,20,2,0.001,0,0,0
118,34,Pass,112,22,4,0.002,0,0,0
118,34,Pass,112,24,5,0.005,0,0,0
118,34,Pass,112,26,6,0.007,0,0,0
118,34,Pass,112,28,6,0.009,0,0,0.001
118,34,Pass,112,30,7,0.012,0,0,0.002
118,34,Pass,112,32,7,0.018,0,0,0.003
118,34,Pass,112,34,8,0.024,1,0,0.004
118,34,Pass,112,36,8,0.026,1,0,0.005
118,34,Pass,112,38,8,0.021,1,0,0.006
118,34,Pass,112,40,6,0.013,1,0,0.008
118,34,Pass,112,42,6,0.006,1,0,0.02
118,34,Pass,112,44,6,0.003,1,0,0.062
118,34,Pass,112,46,6,0.001,1,0,0.15
118,34,Pass,112,48,4,0.001,1,0,0.228
118,34,Pass,112,50,2,0,1,0,0.268
118,34,Pass,112,52,2,0,1,0,0.268
118,34,Pass,112,54,1,0,1,0,0.269
118,34,Pass,112,56,1,0,1,0,0.269
118,34,Run,112,70,9,0.001,1,0,0.123
118,34,Run,112,72,9,0.005,1,0,0.123
118,34,Run,112,74,9,0.015,1,0,0.123
118,34,Run,112,76,9,0.034,1,0,0.123
118,34,Run,112,78,9,0.055,1,0,0.123
118,34,Run,112,80,9,0.061,1,0.001,0.123
118,34,Run,110,0,27,0.129,1,0.001,0.067
118,34,Run,110,2,27,0.116,1,0.001,0.067
118,34,Run,110,4,27,0.073,1,0,0.067
