x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
44,34,Pass,120,0,2,0.001,0,0,0
44,34,Pass,120,2,2,0.001,0,0,0
44,34,Pass,120,4,2,0.001,0,0,0
44,34,Pass,120,6,2,0.001,0,0,0
44,34,Pass,120,8,2,0.001,0,0,0
44,34,Pass,120,10,2,0.001,0,0,0
44,34,Pass,120,12,2,0,0,0,0
44,34,Pass,120,14,3,0,0,0,0
44,34,Pass,120,16,2,0,0,0,0
44,34,Pass,120,18,1,0,0,0,0
44,34,Pass,120,20,1,0,0,0,0
44,34,Pass,120,22,1,0,0,0,0
44,34,Pass,120,24,1,0,0,0,0
44,34,Pass,120,26,1,0,0,0,0
44,34,Pass,120,28,1,0,0,0,0
44,34,Run,120,30,1,0,0,0,0
44,34,Run,120,32,1,0,0,0,0
44,34,Run,120,34,1,0,0,0,0
44,34,Run,120,36,1,0,0,0,0
44,34,Pass,120,52,1,0,0,0,0
44,34,Pass,120,54,1,0.001,0,0,0
44,34,Pass,120,56,1,0.004,0,0,0
44,34,Pass,120,58,2,0.015,0,0,0
44,34,Pass,120,60,2,0.043,0,0,0
44,34,Pass,120,62,2,0.088,0,0,0
44,34,Pass,120,64,2,0.126,0,0,0
44,34,Pass,120,66,2,0.125,0,0,0
44,34,Pass,120,68,2,0.087,0,0,0
44,34,Pass,120,70,2,0.042,0,0,0
44,34,Pass,120,72,2,0.014,0,0,0
44,34,Pass,120,74,1,0.003,0,0,0
44,34,Pass,120,76,1,0.001,0,0,0
44,34,Pass,120,78,1,0,0,0,0
44,34,Pass,118,0,2,0.001,0,0,0
44,34,Pass,118,2,2,0.002,0,0,0
44,34,Pass,118,4,2,0.004,0,0,0
44,34,Pass,118,6,2,0.005,0,0,0
44,34,Pass,118,8,2,0.005,0,0,0
44,34,Pass,118,10,2,0.004,0,0,0
44,34,Pass,118,12,3,0.002,0,0,0
44,34,Pass,118,14,3,0.001,0,0,0
44,34,Pass,118,16,2,0,0,0,0
44,34,Pass,118,18,1,0,0,0,0
44,34,Pass,118,20,1,0,0,0,0
44,34,Pass,118,22,1,0,0,0,0
44,34,Pass,118,24,1,0,0,0,0
44,34,Run,118,26,1,0,0,0,0
44,34,Pass,118,26,1,0,0,0,0
44,34,Run,118,28,1,0,0,0,0
44,34,Pass,118,28,1,0,0,0,0
44,34,Run,118,30,1,0,0,0,0
44,34,Pass,118,30,1,0,0,0,0
44,34,Run,118,32,1,0,0,0,0
44,34,Run,118,34,1,0,0,0,0
44,34,Run,118,36,1,0,0,0,0
44,34,Run,118,38,1,0,0,0,0
44,34,Run,118,40,1,0,0,0,0
44,34,Pass,118,52,1,0,0,0,0
44,34,Pass,118,54,1,0,0,0,0
44,34,Pass,118,56,3,0.003,0,0,0
44,34,Pass,118,58,3,0.012,0,0,0
44,34,Pass,118,60,3,0.036,0,0,0
44,34,Pass,118,62,3,0.074,0,0,0
44,34,Pass,118,64,2,0.105,0,0,0
44,34,Pass,118,66,2,0.104,0,0,0
44,34,Pass,118,68,2,0.072,0,0,0
44,34,Pass,118,70,2,0.035,0,0,0
44,34,Pass,118,72,2,0.012,0,0,0
44,34,Pass,118,74,2,0.003,0,0,0
44,34,Pass,118,76,1,0,0,0,0
44,34,Pass,118,78,1,0,0,0,0
44,34,Pass,116,0,3,0.002,0,0,0
44,34,Pass,116,2,3,0.006,0,0,0
44,34,Pass,116,4,3,0.012,0,0,0
44,34,Pass,116,6,3,0.018,0,0,0
44,34,Pass,116,8,3,0.019,0,0,0
44,34,Pass,116,10,5,0.014,0,0,0
44,34,Pass,116,12,4,0.007,0,0,0
44,34,Pass,116,14,3,0.003,0,0,0
44,34,Pass,116,16,2,0.001,0,0,0
44,34,Pass,116,18,3,0,0,0,0
44,34,Pass,116,20,3,0,0,0,0.01
44,34,Pass,116,22,2,0,0,0,0
44,34,Run,116,24,1,0,0,0,0
44,34,Pass,116,24,2,0,0,0,0
44,34,Run,116,26,1,0,0,0,0
44,34,Pass,116,26,1,0,0,0,0
44,34,Run,116,28,1,0,0,0,0
44,34,Pass,116,28,1,0,0,0,0
44,34,Run,116,30,1,0,0,0,0
44,34,Pass,116,30,1,0,0,0,0
44,34,Run,116,32,1,0,0,0,0
44,34,Pass,116,32,1,0,0,0,0
44,34,Run,116,34,1,0,0,0,0
44,34,Run,116,36,1,0,0,0,0
44,34,Run,116,38,1,0,0,0,0
44,34,Run,116,40,1,0,0,0,0
44,34,Run,116,42,1,0,0,0,0
44,34,Pass,116,52,2,0,0,0,0
44,34,Pass,116,54,3,0,0,0,0
44,34,Pass,116,56,4,0.002,0,0,0
44,34,Pass,116,58,4,0.008,0,0,0
44,34,Pass,116,60,4,0.022,0,0,0
44,34,Pass,116,62,4,0.044,0,0,0
44,34,Pass,116,64,3,0.062,0,0,0
44,34,Pass,116,66,3,0.061,0,0,0
44,34,Pass,116,68,3,0.042,0,0,0
44,34,Pass,116,70,3,0.02,0,0,0
44,34,Pass,116,72,3,0.007,0,0,0
44,34,Pass,116,74,3,0.002,0,0,0
44,34,Pass,116,76,3,0,0,0,0
44,34,Pass,116,78,1,0,0,0,0
44,34,Pass,114,0,4,0.005,0,0,0
44,34,Pass,114,2,4,0.015,0,0,0
44,34,Pass,114,4,3,0.033,0,0,0
44,34,Pass,114,6,4,0.049,0,0,0
44,34,Pass,114,8,4,0.052,0,0,0
44,34,Pass,114,10,5,0.038,0,0,0
44,34,Pass,114,12,5,0.019,0,0,0
44,34,Pass,114,14,6,0.007,0,0,0
44,34,Pass,114,16,5,0.002,0,0,0.002
44,34,Pass,114,18,5,0.001,0,0,0.01
44,34,Pass,114,20,3,0.001,0,0,0.015
44,34,Run,114,22,1,0,0,0,0
44,34,Pass,114,22,3,0.001,0,0,0.015
