Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedExpectedGoals,y,x,event
1,0.000390532252213125,0,0,0,0,26,78,Shot
1,0.000528324436444508,0,0,0,0,30,78,Shot
1,0.00158717432158724,0,0,0,0,32,78,Shot
2,0.00244882006320336,0,0,0,0,34,78,Shot
2,0.00271838639873148,0,0,0,0,36,78,Shot
2,0.00274230834342106,0,0,0,0,38,78,Shot
2,0.00299313033257279,0,0,0,0,40,78,Shot
2,0.00365767714034342,0,0,0,0,42,78,Shot
2,0.00380382659350343,0,0,0,0,44,78,Shot
1,0.00261890234836328,0,0,0,0,46,78,Shot
1,0.00102301615535649,0,0,0,0,48,78,Shot
1,0.00132280605427981,0,0,0,0,22,80,Shot
1,0.00668425846357337,0,0,0,0,24,80,Shot
1,0.0124255554968853,0,0,0,0,26,80,Shot
3,0.0118594979842438,0,0,0,0,28,80,Shot
3,0.0192197941152171,0,0,0,0,30,80,Shot
4,0.0419420617711779,0,0,0,0,32,80,Shot
4,0.0544928285494654,0,0,0,0,34,80,Shot
6,0.0586650379161589,0,0,0,0,36,80,Shot
6,0.0588813280678337,0,0,0,0,38,80,Shot
5,0.0622413785098926,0,0,0,0,40,80,Shot
4,0.0731169202087958,0,0,0,0,42,80,Shot
4,0.0721613078949229,0,0,0,0,44,80,Shot
4,0.0539388994894482,0,0,0,0,46,80,Shot
2,0.0200818117602746,0,0,0,0,48,80,Shot
3,0.0043509647270381,0,0,0,0,50,80,Shot
1,0.000847008354266645,0,0,0,0,52,80,Shot
1,0.000344367898391635,0,0,0,0,54,80,Shot
1,0.00112722096316144,0,0,0,0,20,82,Shot
2,0.0164268033166852,0,0,0,0,22,82,Shot
3,0.081553058477987,0,0,0,0,24,82,Shot
6,0.156647067545825,0,0,0,0,26,82,Shot
6,0.14646979100542,0,0,0,0,28,82,Shot
7,0.200104436818525,0,0,0,0,30,82,Shot
6,0.371420475724051,0,0,0,0,32,82,Shot
6,0.450331294556977,0,0,0,0,34,82,Shot
9,0.473647236160359,0,0,0,0,36,82,Shot
10,0.47243637403659,0,0,0,0,38,82,Shot
11,0.496162699019897,0,0,0,0,40,82,Shot
11,0.557663539311833,0,0,0,0,42,82,Shot
13,0.529676767290544,0,0,0,0,44,82,Shot
11,0.403357475437294,0,0,0,0,46,82,Shot
9,0.183858366509762,0,0,0,0,48,82,Shot
7,0.0716463198160221,0,0,0,0,50,82,Shot
5,0.0373829851239665,0,0,0,0,52,82,Shot
4,0.0143531433759166,0,0,0,0,54,82,Shot
3,0.00451878147230466,0,0,0,0,56,82,Shot
1,0.0020485972261193,0,0,0,0,58,82,Shot
1,0.000655180360953066,0,0,0,0,60,82,Shot
2,0.00757736987420277,0,0,0,0,20,84,Shot
6,0.088724709053132,0,0,0,0,22,84,Shot
11,0.41248594212984,0,0,0,0,24,84,Shot
14,0.783507494373696,0,0,0,0,26,84,Shot
13,0.752154791037704,0,0,0,0,28,84,Shot
16,0.875300049296883,0,0,0,0,30,84,Shot
16,1.33747475357247,0,0,0,0,32,84,Shot
17,1.52246665826062,0,0,0,0,34,84,Shot
20,1.62463308800711,1,0.000497557216469325,0.000306258206940538,0.0000264301422325502,36,84,Shot
22,1.6839061335175,0,0,0,0,38,84,Shot
21,1.80718135396279,0,0,0,0,40,84,Shot
21,1.89331621886284,0,0,0,0,42,84,Shot
20,1.69383893208798,0,0,0,0,44,84,Shot
21,1.39572514135242,0,0,0,0,46,84,Shot
19,0.906423226170052,0,0,0,0,48,84,Shot
12,0.60386636564697,0,0,0,0,50,84,Shot
10,0.391249887475427,0,0,0,0,52,84,Shot
6,0.167599960474599,0,0,0,0,54,84,Shot
3,0.0699398556491115,0,0,0,0,56,84,Shot
3,0.0411687018060306,0,0,0,0,58,84,Shot
1,0.0126436521004324,0,0,0,0,60,84,Shot
1,0.00148758690309836,0,0,0,0,62,84,Shot
2,0.00140018346942816,0,0,0,0,18,86,Shot
8,0.0342244361813711,0,0,0,0,20,86,Shot
12,0.300717564257795,0,0,0,0,22,86,Shot
16,1.16722505548751,0,0,0,0,24,86,Shot
19,2.11088415043236,0,0,0,0,26,86,Shot
22,2.08802354173072,0,0,0,0,28,86,Shot
26,1.9531011289212,0,0,0,0,30,86,Shot
27,2.3055444325011,1,0.00218574182509887,0.000948037172602974,0.000116106179166549,32,86,Shot
29,2.5612008780096,1,0.00941171583828715,0.00367472771038613,0.00049994850848196,34,86,Shot
29,2.9451922575098,1,0.0149088542135912,0.00506209880715795,0.000791955426123066,36,86,Shot
33,3.39223305387383,1,0.00868810873786888,0.00256117684129848,0.000461510640531315,38,86,Shot
34,3.95776493268085,1,0.00186256632054168,0.000470610648237779,0.0000989391594373736,40,86,Shot
33,3.88072937213295,0,0,0,0,42,86,Shot
35,3.31570365513832,0,0,0,0,44,86,Shot
33,3.24826122221618,0,0,0,0,46,86,Shot
29,2.94943603912919,0,0,0,0,48,86,Shot
27,2.39474185837055,0,0,0,0,50,86,Shot
24,1.63039040909156,0,0,0,0,52,86,Shot
13,0.77036586924319,0,0,0,0,54,86,Shot
13,0.43826208517251,0,0,0,0,56,86,Shot
6,0.299905933813257,0,0,0,0,58,86,Shot
4,0.099987609826594,0,0,0,0,60,86,Shot
4,0.0138577698007474,0,0,0,0,62,86,Shot
1,0.000457103827143628,0,0,0,0,64,86,Shot
1,0.000501653959334733,0,0,0,0,16,88,Shot
4,0.010482578131054,0,0,0,0,18,88,Shot
12,0.129751740631401,0,0,0,0,20,88,Shot
18,0.866091177207597,1,0.000875425941294191,0.00101077803853942,0.0000465024551480826,22,88,Shot
21,2.84185491750558,1,0.00479203554799766,0.0016862351130169,0.000254551993066758,24,88,Shot
30,4.67510467258979,2,0.0105414791241561,0.00225481135983135,0.000559961313735826,26,88,Shot
35,4.50340421151846,2,0.009431112103441,0.00209421843131887,0.000500978834301439,28,88,Shot
38,3.57506333695077,3,0.00615607848688756,0.00172194948919092,0.000327009687765651,30,88,Shot
38,3.48252480894664,2,0.0248384648671597,0.00713231526832183,0.00131941440611726,32,88,Shot
37,3.89754106354846,1,0.103747003729917,0.0266185787496135,0.00551102059023533,34,88,Shot
40,4.55455044282822,1,0.164342929629687,0.0360832384430978,0.00872986434776072,36,88,Shot
41,5.58461015221432,1,0.095770555031722,0.0171490135249188,0.00508731319211957,38,88,Shot
39,6.80338436492335,1,0.0205313970719736,0.00301782112705974,0.00109062380543059,40,88,Shot
46,6.37679874578602,1,0.00161923736973936,0.000253926371882036,0.0000860135730603162,42,88,Shot
49,5.53333051022491,1,0.00119956054711165,0.000216788161288216,0.0000637204221490196,44,88,Shot
49,6.32022201434715,1,0.00516525916766239,0.00081725913360908,0.00027437755890275,46,88,Shot
49,6.26906164587942,1,0.00818215267324824,0.00130516385632071,0.000434634353124138,48,88,Shot
42,4.78479730802413,1,0.00476813517099259,0.000996517692190722,0.000253282409704791,50,88,Shot
42,3.09990386960309,1,0.0010221980697101,0.000329751538340763,0.0000542989619645923,52,88,Shot
37,1.60362954105711,0,0,0,0,54,88,Shot
26,1.17784927556666,0,0,0,0,56,88,Shot
18,0.956576553759305,0,0,0,0,58,88,Shot
11,0.404791817189482,0,0,0,0,60,88,Shot
5,0.0825370099931804,0,0,0,0,62,88,Shot
4,0.0079697054768838,0,0,0,0,64,88,Shot
1,0.00349088497644459,0,0,0,0,16,90,Shot
7,0.0525513788570873,0,0,0,0,18,90,Shot
14,0.392580367003184,1,0.000745988778573744,0.00190021927043462,0.0000396267783261184,20,90,Shot
21,1.9025418993566,1,0.0111001128949429,0.00583435923208665,0.000589635830613647,22,90,Shot
28,5.48983685079214,3,0.063618006420843,0.0115883236879186,0.00337937608499712,24,90,Shot
34,8.33175378939854,3,0.140336529970955,0.016843576216753,0.00745464908312421,26,90,Shot
