x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
66,8,Pass,88,8,196,2.693,1,0,0.002
66,8,Pass,88,10,205,2.524,1,0,0.003
66,8,Pass,88,12,200,2.732,1,0.001,0.004
66,8,Pass,88,14,199,3.087,1,0.001,0.004
66,8,Pass,88,16,179,3.51,1,0.001,0.003
66,8,Pass,86,6,216,3.772,1,0.001,0.003
66,8,Pass,86,8,240,3.286,1,0,0.003
66,8,Pass,86,10,244,3.269,1,0.001,0.003
66,8,Pass,86,12,238,3.637,1,0.001,0.004
66,8,Pass,86,14,235,4.038,1,0.001,0.003
66,8,Pass,86,16,207,4.388,1,0.001,0.003
66,8,Pass,86,18,173,4.709,1,0.001,0.003
66,8,Pass,86,20,157,4.797,1,0.002,0.007
66,8,Pass,84,4,235,5.798,2,0.001,0.003
66,8,Pass,84,6,250,5.202,1,0.001,0.002
66,8,Pass,84,8,267,4.336,1,0,0.002
66,8,Pass,84,10,278,4.08,1,0.001,0.002
66,8,Pass,84,12,274,4.417,1,0.001,0.003
66,8,Pass,84,14,270,4.888,1,0.001,0.003
66,8,Pass,84,16,235,5.287,1,0.001,0.002
66,8,Pass,84,18,198,5.582,1,0.001,0.003
66,8,Pass,84,20,178,5.583,1,0.002,0.006
66,8,Pass,84,22,163,5.16,1,0.004,0.014
66,8,Pass,82,2,233,7.636,2,0.001,0.002
66,8,Pass,82,4,267,8.543,2,0.001,0.002
66,8,Pass,82,6,286,7.576,2,0.001,0.002
66,8,Pass,82,8,298,5.947,2,0,0.001
66,8,Pass,82,10,307,5.049,2,0,0.002
66,8,Pass,82,12,299,5.151,1,0,0.002
66,8,Pass,82,14,284,5.71,1,0.001,0.002
66,8,Pass,82,16,255,6.266,1,0.001,0.002
66,8,Pass,82,18,219,6.603,1,0.001,0.002
66,8,Pass,82,20,192,6.505,1,0.002,0.005
66,8,Pass,82,22,180,5.902,1,0.004,0.013
66,8,Pass,82,24,163,4.985,1,0.007,0.026
66,8,Pass,80,2,256,10.56,1,0.001,0.002
66,8,Pass,80,4,287,11.951,2,0.001,0.002
66,8,Pass,80,6,315,10.637,2,0.001,0.002
66,8,Pass,80,8,328,8.101,2,0.001,0.001
66,8,Pass,80,10,340,6.338,2,0,0.001
66,8,Pass,80,12,335,6.009,2,0,0.002
66,8,Pass,80,14,327,6.524,1,0.001,0.002
66,8,Pass,80,16,289,7.141,1,0.001,0.002
66,8,Pass,80,18,249,7.462,1,0.001,0.003
66,8,Pass,80,20,222,7.26,1,0.002,0.006
66,8,Pass,80,22,198,6.509,1,0.004,0.013
66,8,Pass,80,24,184,5.451,1,0.007,0.026
66,8,Pass,78,0,238,9.047,1,0.001,0.003
66,8,Pass,78,2,279,13.493,1,0.002,0.003
66,8,Pass,78,4,308,15.392,2,0.002,0.003
66,8,Pass,78,6,333,13.809,2,0.002,0.003
66,8,Pass,78,8,356,10.503,2,0.001,0.002
66,8,Pass,78,10,359,7.947,2,0.001,0.002
66,8,Pass,78,12,363,7.081,2,0.001,0.002
66,8,Pass,78,14,361,7.287,1,0.001,0.002
66,8,Pass,78,16,313,7.688,1,0.001,0.003
66,8,Pass,78,18,270,7.851,1,0.001,0.004
66,8,Pass,78,20,242,7.569,1,0.002,0.006
66,8,Pass,78,22,218,6.775,1,0.004,0.012
66,8,Pass,78,24,191,5.661,1,0.006,0.022
66,8,Pass,76,0,251,10.655,1,0.002,0.004
66,8,Pass,76,2,290,15.812,1,0.003,0.004
66,8,Pass,76,4,322,17.974,1,0.004,0.004
66,8,Pass,76,6,348,16.188,2,0.003,0.004
66,8,Pass,76,8,378,12.49,2,0.002,0.003
66,8,Pass,76,10,386,9.536,2,0.001,0.002
66,8,Pass,76,12,389,8.258,2,0.001,0.002
66,8,Pass,76,14,383,7.999,2,0.001,0.003
66,8,Pass,76,16,334,7.973,1,0.001,0.004
66,8,Pass,76,18,286,7.901,1,0.002,0.004
66,8,Pass,76,20,259,7.586,1,0.002,0.006
66,8,Pass,76,22,233,6.807,1,0.003,0.009
66,8,Pass,76,24,199,5.63,0,0.004,0.015
66,8,Pass,76,26,182,4.282,0,0.005,0.023
66,8,Pass,74,0,260,11.523,1,0.003,0.004
66,8,Pass,74,2,292,16.774,1,0.004,0.005
66,8,Pass,74,4,321,18.79,1,0.005,0.005
66,8,Pass,74,6,360,16.911,1,0.004,0.004
66,8,Pass,74,8,374,13.359,1,0.002,0.003
66,8,Pass,74,10,396,10.598,2,0.001,0.002
66,8,Pass,74,12,410,9.253,2,0.001,0.002
66,8,Pass,74,14,389,8.637,2,0.001,0.003
66,8,Pass,74,16,350,8.222,1,0.002,0.004
66,8,Pass,74,18,296,7.972,1,0.002,0.005
66,8,Pass,74,20,267,7.675,1,0.002,0.006
66,8,Pass,74,22,240,6.912,0,0.003,0.007
66,8,Pass,74,24,214,5.621,0,0.003,0.009
66,8,Pass,72,0,257,11.344,1,0.002,0.004
66,8,Pass,72,2,291,16.111,1,0.004,0.005
66,8,Pass,72,4,321,17.725,1,0.004,0.005
66,8,Pass,72,6,344,15.951,1,0.004,0.004
66,8,Pass,72,8,373,13.024,1,0.002,0.003
66,8,Pass,72,10,390,10.948,1,0.001,0.002
66,8,Pass,72,12,397,9.915,1,0.001,0.002
66,8,Pass,72,14,393,9.214,1,0.001,0.003
66,8,Pass,72,16,346,8.597,0,0.002,0.004
66,8,Pass,72,18,289,8.258,0,0.002,0.005
66,8,Pass,72,20,266,7.997,0,0.002,0.006
66,8,Pass,72,22,237,7.263,0,0.002,0.006
66,8,Pass,72,24,210,5.884,0,0.002,0.006
66,8,Pass,70,2,278,14.371,2,0.003,0.004
66,8,Pass,70,4,309,15.64,2,0.003,0.004
66,8,Pass,70,6,332,14.177,2,0.003,0.004
66,8,Pass,70,8,362,12.084,1,0.002,0.003
66,8,Pass,70,10,382,10.905,1,0.001,0.003
66,8,Pass,70,12,390,10.452,1,0.002,0.003
66,8,Pass,70,14,381,9.95,1,0.002,0.004
66,8,Pass,70,16,339,9.29,0,0.002,0.005
66,8,Pass,70,18,293,8.851,0,0.002,0.005
66,8,Pass,70,20,261,8.554,0,0.002,0.006
66,8,Pass,70,22,239,7.844,0,0.002,0.005
66,8,Pass,70,24,212,6.425,0,0.002,0.005
66,8,Pass,68,2,268,12.308,2,0.001,0.002
66,8,Pass,68,4,304,13.417,2,0.002,0.002
66,8,Pass,68,6,327,12.365,2,0.002,0.002
66,8,Pass,68,8,345,11.062,2,0.001,0.003
66,8,Pass,68,10,369,10.746,2,0.002,0.004
