x,y,WeightedExpectedGoals,GoalProbability
0,0,0.00143131205061351,0
0,2,0.00268115111607839,0
0,4,0.00357211834125139,0
0,6,0.00340417333285741,0
0,8,0.00253314500484679,0
0,10,0.00181633389537866,0
0,12,0.00178298161929514,0
0,14,0.00245110343067467,0
0,16,0.00334817891143187,0
0,18,0.003681902252018,0
0,20,0.00295611466036905,0
0,22,0.00220905559354218,0
0,24,0.00409099812025525,0
0,26,0.0153071530301598,0.001
0,28,0.0492586780483599,0.003
0,30,0.115513503557668,0.005
0,32,0.196226035223891,0.006
0,34,0.245801539821928,0.006
0,36,0.234585468429969,0.005
0,38,0.178477274730012,0.003
0,40,0.115269295361814,0.002
0,42,0.0720079544870904,0.001
0,44,0.0563314136417064,0.001
0,46,0.0577676279390835,0.001
0,48,0.0572788193937618,0.002
0,50,0.0468791812571422,0.002
0,52,0.0356779002317839,0.003
0,54,0.0317238647832769,0.003
0,56,0.030005999151839,0.003
0,58,0.0233563840267082,0.003
0,60,0.0131879427151599,0.002
0,62,0.00527202213823628,0.001
0,64,0.00147029251104037,0
0,66,0.00028587165099143,0
0,68,0.0000387506738818075,0
0,70,0,0
0,72,0,0
0,74,0,0
0,76,0,0
0,78,0,0
0,80,0,0
2,0,0.00580192255435374,0
2,2,0.010954708051575,0.001
2,4,0.0145728971144179,0.001
2,6,0.0140837892364348,0.001
2,8,0.0108799086250665,0.001
2,10,0.00828662435203059,0.001
2,12,0.00823432861498495,0.001
2,14,0.0107790098813709,0.001
2,16,0.0143558530363999,0.001
2,18,0.0156696301858645,0.001
2,20,0.0129628565840094,0.001
2,22,0.00919590945521958,0
2,24,0.0101365443912973,0
2,26,0.0281390549964616,0.001
2,28,0.087141278695744,0.003
2,30,0.208381316301891,0.005
2,32,0.368055029734648,0.006
2,34,0.487918479374656,0.006
2,36,0.502322655959572,0.005
2,38,0.418797717332175,0.004
2,40,0.296975115132753,0.003
2,42,0.196497373338628,0.002
2,44,0.148085619666019,0.001
2,46,0.139706219704694,0.002
2,48,0.131349559451629,0.002
2,50,0.102151191723382,0.002
2,52,0.0686556723416528,0.002
2,54,0.0504124875958055,0.002
2,56,0.0424688694509835,0.002
2,58,0.0318903364628826,0.002
2,60,0.0179829576273655,0.001
2,62,0.00719964536188046,0.001
2,64,0.0020092770522674,0
2,66,0.000396697906297665,0
2,68,0.0000520882519499589,0
2,70,0,0
2,72,0,0
2,74,0,0
2,76,0.0000129259381559151,0
2,78,0,0
2,80,0,0
4,0,0.0164479105394864,0.001
4,2,0.0310378607618877,0.002
4,4,0.0415320774244607,0.003
4,6,0.0409507090518336,0.003
4,8,0.0330335225510726,0.002
4,10,0.0268601862829112,0.002
4,12,0.0270199016303153,0.002
4,14,0.0337301912308252,0.002
4,16,0.0432215734767341,0.002
4,18,0.046947961242839,0.002
4,20,0.0402790642318169,0.002
4,22,0.029350565234514,0.001
4,24,0.0253231964033058,0.001
4,26,0.0449895179811705,0.001
4,28,0.120865525116773,0.002
4,30,0.287609643814533,0.004
4,32,0.5262215208162,0.005
4,34,0.738975804042615,0.006
4,36,0.820651917369426,0.005
4,38,0.746789307357853,0.004
4,40,0.575602908452417,0.003
4,42,0.398773762432045,0.002
4,44,0.287381566677797,0.002
4,46,0.24524176159934,0.002
4,48,0.216172605792823,0.002
4,50,0.161352528383411,0.002
4,52,0.0997116412450487,0.002
4,54,0.0614653274910887,0.002
4,56,0.0445437170778196,0.002
4,58,0.0317852081250144,0.001
4,60,0.0179781159664952,0.001
4,62,0.0074412160801924,0
4,64,0.00224679626789893,0
4,66,0.00049703850761348,0
4,68,0.0000694138251643811,0
4,70,0.0000287902504318827,0
4,72,0.0000660026762518128,0
4,74,0.000105491744255159,0
4,76,0.000117548265655999,0
4,78,0.0000913176660833324,0
4,80,0.0000494577329651894,0
6,0,0.0324392722979825,0.002
6,2,0.0613593437911098,0.004
6,4,0.0827378571079076,0.005
6,6,0.0834694383808463,0.005
6,8,0.0710452330825458,0.004
6,10,0.0618984879142312,0.003
6,12,0.0629002185461482,0.003
6,14,0.07459690303462,0.004
6,16,0.0920442619701211,0.004
6,18,0.100607271940382,0.004
6,20,0.0911232470303226,0.003
6,22,0.0730482958947096,0.002
6,24,0.0611752800658904,0.001
6,26,0.0726580574643707,0.001
6,28,0.142648021505113,0.002
6,30,0.315133108266153,0.003
6,32,0.58532291148339,0.005
6,34,0.864344047416498,0.005
6,36,1.03103740830855,0.005
6,38,1.01684763005911,0.005
6,40,0.842927983403563,0.004
6,42,0.605738266877809,0.003
6,44,0.418259819738784,0.002
6,46,0.321638084378302,0.002
6,48,0.26550935043378,0.002
6,50,0.195082898203297,0.002
6,52,0.117940246745012,0.002
6,54,0.0654651776115774,0.001
6,56,0.0408021361372919,0.001
6,58,0.0280558788886242,0.001
6,60,0.017255845607917,0.001
6,62,0.00839765387723489,0
6,64,0.00316329591259737,0
6,66,0.000905417001807021,0
6,68,0.000249109739738062,0
6,70,0.000199123713790604,0
6,72,0.000418462477937116,0
6,74,0.000668826465983037,0
6,76,0.000745265818251857,0
6,78,0.000578961626993357,0
6,80,0.000313566156178355,0
8,0,0.0446184974605999,0.003
8,2,0.0846604116566314,0.004
8,4,0.115304208750263,0.006
8,6,0.119723650924947,0.006
8,8,0.108426331658049,0.005
8,10,0.1013096556685,0.004
8,12,0.104033973080334,0.004
8,14,0.117509925318832,0.004
8,16,0.140398136561152,0.005
8,18,0.157286625262134,0.004
8,20,0.155419460465264,0.004
8,22,0.141682227168986,0.003
8,24,0.126415615731798,0.002
8,26,0.121127750603018,0.002
8,28,0.160063747369448,0.002
8,30,0.29139021336694,0.003
8,32,0.525760504957402,0.004
8,34,0.804375682906833,0.005
8,36,1.02201580953359,0.005
8,38,1.08081108345338,0.005
8,40,0.949776235158199,0.004
8,42,0.701655054876648,0.003
8,44,0.47071234909222,0.002
8,46,0.337746002416571,0.002
8,48,0.273931458619158,0.002
8,50,0.214075637495068,0.002
8,52,0.141996282592121,0.002
8,54,0.082918931037342,0.002
8,56,0.0510181066070252,0.001
8,58,0.0373458107167391,0.001
8,60,0.0275504424234056,0.001
8,62,0.0166427194381981,0.001
8,64,0.00754444016133951,0
8,66,0.00253485415676472,0
8,68,0.000813299640566164,0
8,70,0.000899702369372032,0
8,72,0.00184966178602921,0
8,74,0.00295630509505251,0
8,76,0.00329417755983705,0
8,78,0.00255909012991085,0
8,80,0.00138600559680844,0
10,0,0.0428043672967368,0.002
10,2,0.0815526054440059,0.003
10,4,0.112520133499919,0.004
10,6,0.121083284108585,0.005
10,8,0.117575022656983,0.004
10,10,0.117681484347303,0.004
10,12,0.122077443068498,0.004
10,14,0.132647201430256,0.004
10,16,0.156028799403809,0.004
10,18,0.184792902955589,0.004
10,20,0.205684455139797,0.004
10,22,0.214343463867893,0.004
10,24,0.206548668303661,0.003
10,26,0.184534477738586,0.002
10,28,0.182894947009919,0.002
10,30,0.253809253130894,0.002
10,32,0.419560918758883,0.003
10,34,0.649330719708241,0.004
10,36,0.863289053450682,0.004
10,38,0.95724377259408,0.004
10,40,0.870551528084548,0.004
10,42,0.653205536447812,0.003
10,44,0.439039548992014,0.002
10,46,0.325421437378602,0.002
10,48,0.295267094788013,0.002
10,50,0.269742805980257,0.003
10,52,0.208685137165056,0.003
10,54,0.137674196762225,0.002
10,56,0.0927480074355438,0.002
10,58,0.0743642152703891,0.002
10,60,0.0597934454833258,0.001
10,62,0.0385469346346715,0.001
10,64,0.0181617660475093,0
10,66,0.00622465816754082,0
10,68,0.0021838240899666,0
10,70,0.0027085836202259,0
10,72,0.00571377557398009,0
10,74,0.00911015735579472,0
10,76,0.0101513460089986,0
10,78,0.0079528801636188,0
10,80,0.00435109915563836,0
12,0,0.0286451344269258,0.001
12,2,0.0550511947623752,0.002
12,4,0.0773434953722034,0.002
12,6,0.0871661460624749,0.003
12,8,0.091400644041126,0.003
12,10,0.0974982568286491,0.003
12,12,0.10211505161996,0.003
12,14,0.108286184561513,0.003
12,16,0.1296280370179,0.003
12,18,0.168971857029858,0.003
12,20,0.21523015135223,0.004
12,22,0.251303760990115,0.004
12,24,0.257319334841079,0.003
12,26,0.22963859798855,0.003
12,28,0.204455343105878,0.002
12,30,0.237838313192145,0.002
12,32,0.359103271297418,0.002
12,34,0.548519949464242,0.003
12,36,0.732897253965374,0.004
12,38,0.811001325936928,0.004
12,40,0.729367460778043,0.004
12,42,0.543493717553559,0.003
12,44,0.380574996855129,0.002
12,46,0.327069203758194,0.002
12,48,0.354920308759329,0.003
12,50,0.366334198612424,0.003
12,52,0.307796295711186,0.003
12,54,0.217406537488723,0.003
12,56,0.157391976327744,0.003
12,58,0.133827339934099,0.003
12,60,0.110780233440837,0.002
12,62,0.0722813255148073,0.002
12,64,0.034207023775599,0.001
12,66,0.0117665225463656,0
12,68,0.00430453312691049,0
12,70,0.00578526650712447,0
12,72,0.012266412728134,0
12,74,0.0197048942802148,0.001
12,76,0.0221358226187485,0.001
12,78,0.0175035614783073,0.001
12,80,0.00984797311960044,0.001
14,0,0.013900768172422,0.001
14,2,0.027326184160879,0.001
14,4,0.0400592525969382,0.001
14,6,0.0483712578018357,0.001
14,8,0.0548544457600536,0.001
14,10,0.0608376025550565,0.001
14,12,0.0631349188672189,0.001
14,14,0.0660335064542912,0.001
14,16,0.0834904479608812,0.002
14,18,0.123448805581265,0.002
14,20,0.177851584561339,0.003
14,22,0.225068654840536,0.003
14,24,0.241173869338072,0.003
14,26,0.222758034926888,0.002
14,28,0.204750545120979,0.002
