x,y,WeightedExpectedGoals,GoalProbability
0,0,0.00143131205061351,0.001
0,2,0.00268115111607839,0.001
0,4,0.00357211834125139,0.001
0,6,0.00340417333285741,0.001
0,8,0.00248471185780047,0.001
0,10,0.00158120290320323,0
0,12,0.000987156050116944,0
0,14,0.000573228235222377,0
0,16,0.000258905211017792,0
0,18,0.000138773993322176,0
0,20,0.000123038920582283,0
0,22,0.000629734916427662,0
0,24,0.00347720321059478,0
0,26,0.0151408435261798,0.001
0,28,0.0492586780483599,0.003
0,30,0.115513503557668,0.006
0,32,0.196226035223891,0.007
0,34,0.245801539821928,0.007
0,36,0.234585468429969,0.005
0,38,0.178477274730012,0.004
0,40,0.115269295361814,0.002
0,42,0.0720079544870904,0.001
0,44,0.0563314136417064,0.001
0,46,0.0577676279390835,0.001
0,48,0.0572788193937618,0.002
0,50,0.0468791812571422,0.002
0,52,0.0356779002317839,0.003
0,54,0.0317238647832769,0.003
0,56,0.030005999151839,0.003
0,58,0.0233563840267082,0.003
0,60,0.0131879427151599,0.002
0,62,0.00527202213823628,0.001
0,64,0.00147029251104037,0
0,66,0.00028587165099143,0
0,68,0.0000387506738818075,0
0,70,0,0
0,72,0,0
0,74,0,0
0,76,0,0
0,78,0,0
0,80,0,0
2,0,0.00580192255435374,0.002
2,2,0.010954708051575,0.002
2,4,0.0145728971144179,0.002
2,6,0.0140837892364348,0.002
2,8,0.0106792860320223,0.001
2,10,0.00731265110783503,0.001
2,12,0.00493781374786805,0.001
2,14,0.00300036624368145,0
2,16,0.00155928419465667,0
2,18,0.000993078648378558,0
2,20,0.00122752580603567,0
2,22,0.00265395567327543,0
2,24,0.0075940474881809,0
2,26,0.0274501581154791,0.001
2,28,0.0870111452800461,0.003
2,30,0.208381316301891,0.005
2,32,0.368055029734648,0.006
2,34,0.487918479374656,0.006
2,36,0.502322655959572,0.005
2,38,0.418797717332175,0.004
2,40,0.296975115132753,0.003
2,42,0.196497215259269,0.002
2,44,0.148085344160505,0.001
2,46,0.139705884950327,0.002
2,48,0.131349275879836,0.002
2,50,0.102151024251988,0.002
2,52,0.0686556723416528,0.002
2,54,0.0504124875958055,0.002
2,56,0.0424025669780018,0.002
2,58,0.0318024900800088,0.002
2,60,0.0179018131690707,0.001
2,62,0.0071473895413361,0.001
2,64,0.0020092770522674,0
2,66,0.000396697906297665,0
2,68,0.0000520882519499589,0
2,70,0,0
2,72,0,0
2,74,0,0
2,76,0.0000129259381559151,0
2,78,0,0
2,80,0,0
4,0,0.0164479105394864,0.003
4,2,0.0310378607618877,0.003
4,4,0.0415320774244607,0.004
4,6,0.0408675074951487,0.003
4,8,0.0324541501352857,0.003
4,10,0.0240474759952072,0.002
4,12,0.0174999878795356,0.001
4,14,0.0112664622582875,0.001
4,16,0.00626671763958887,0
4,18,0.00456395557993211,0
4,20,0.00638892833175069,0
4,22,0.0104582385573515,0
4,24,0.0179807901940289,0.001
4,26,0.0430000718071051,0.001
4,28,0.12048971643898,0.002
4,30,0.287560150989981,0.004
4,32,0.5262215208162,0.006
4,34,0.738975804042615,0.006
4,36,0.820651917369426,0.006
4,38,0.746789307357853,0.005
4,40,0.575602392372141,0.003
4,42,0.398772472307714,0.002
4,44,0.287379318209878,0.002
4,46,0.245239029587041,0.002
4,48,0.216170291494027,0.002
4,50,0.161351161608388,0.002
4,52,0.099608862058351,0.002
4,54,0.0611865325081649,0.002
4,56,0.0440141919469235,0.002
4,58,0.0310836224179048,0.001
4,60,0.0173300552235431,0.001
4,62,0.00702387463017611,0
4,64,0.00205942277541842,0
4,66,0.000438388832910068,0
4,68,0.0000694138251643811,0
4,70,0.0000287902504318827,0
4,72,0.0000660026762518128,0
4,74,0.000105491744255159,0
