x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
114,38,Pass,120,28,1,0,0,0,0
114,38,Pass,120,30,2,0,0,0,0.309
114,38,Pass,120,32,2,0,0,0,0.338
114,38,Pass,120,34,2,0.001,0,0,0.348
114,38,Pass,120,36,3,0.002,0,0,0.349
114,38,Pass,120,38,3,0.004,0,0,0.342
114,38,Pass,120,40,3,0.006,0,0,0.314
114,38,Pass,120,42,3,0.008,0,0,0.24
114,38,Pass,120,44,2,0.01,0,0,0.126
114,38,Pass,120,46,2,0.014,0,0,0.045
114,38,Pass,120,48,2,0.016,0,0,0.013
114,38,Pass,120,50,2,0.014,0,0,0.003
114,38,Run,120,50,1,0,1,0,0.138
114,38,Pass,120,52,2,0.009,0,0,0.001
114,38,Run,120,52,1,0,1,0,0.138
114,38,Pass,120,54,1,0.004,0,0,0
114,38,Run,120,54,1,0.001,1,0,0.138
114,38,Pass,120,56,1,0.001,0,0,0
114,38,Run,120,56,1,0.006,1,0,0.138
114,38,Pass,120,58,1,0,0,0,0
114,38,Run,120,58,1,0.014,1,0,0.138
114,38,Pass,120,60,1,0,0,0,0
114,38,Run,120,60,2,0.026,1,0,0.138
114,38,Run,120,62,2,0.033,1,0,0.138
114,38,Run,120,64,2,0.03,1,0,0.137
114,38,Run,120,66,2,0.018,1,0,0.137
114,38,Run,120,68,3,0.008,1,0,0.134
114,38,Run,120,70,3,0.003,1,0,0.124
114,38,Run,120,72,3,0.001,1,0,0.085
114,38,Run,120,74,3,0.001,1,0,0.018
114,38,Run,120,76,2,0.001,0,0,0
114,38,Run,120,78,2,0.001,0,0,0
114,38,Run,120,80,2,0.001,0,0,0
114,38,Pass,118,26,1,0,0,0,0
114,38,Pass,118,28,2,0,0,0,0.152
114,38,Pass,118,30,2,0,0,0,0.248
114,38,Pass,118,32,2,0,0,0,0.311
114,38,Pass,118,34,2,0.001,0,0,0.339
114,38,Pass,118,36,3,0.004,0,0,0.347
114,38,Pass,118,38,3,0.008,0,0,0.346
114,38,Pass,118,40,3,0.011,0,0,0.331
114,38,Pass,118,42,3,0.013,0,0,0.281
114,38,Pass,118,44,3,0.015,0,0,0.178
114,38,Pass,118,46,2,0.017,0,0,0.074
114,38,Pass,118,48,2,0.018,0,0,0.023
114,38,Pass,118,50,2,0.016,0,0,0.006
114,38,Run,118,50,1,0,1,0,0.138
114,38,Pass,118,52,2,0.01,0,0,0.002
114,38,Run,118,52,1,0,1,0,0.138
114,38,Pass,118,54,1,0.004,0,0,0
114,38,Run,118,54,1,0.002,1,0,0.138
114,38,Pass,118,56,1,0.001,0,0,0
114,38,Run,118,56,1,0.009,1,0,0.138
114,38,Pass,118,58,1,0,0,0,0
114,38,Run,118,58,2,0.024,1,0,0.138
114,38,Pass,118,60,1,0,0,0,0
114,38,Run,118,60,2,0.043,1,0.001,0.138
114,38,Run,118,62,2,0.055,1,0.001,0.138
114,38,Run,118,64,2,0.049,1,0.001,0.137
114,38,Run,118,66,2,0.03,1,0,0.136
114,38,Run,118,68,3,0.013,1,0,0.131
114,38,Run,118,70,3,0.005,1,0,0.115
114,38,Run,118,72,3,0.002,1,0,0.073
114,38,Run,118,74,3,0.001,1,0,0.02
114,38,Run,118,76,2,0.001,0,0,0
114,38,Run,118,78,2,0.001,0,0,0
114,38,Run,118,80,2,0.001,0,0,0
114,38,Pass,116,24,1,0,0,0,0
114,38,Pass,116,26,1,0,0,0,0
114,38,Pass,116,28,2,0,0,0,0.072
114,38,Pass,116,30,2,0,0,0,0.157
114,38,Pass,116,32,2,0.001,0,0,0.253
114,38,Pass,116,34,2,0.002,0,0,0.313
114,38,Pass,116,36,3,0.006,0,0,0.339
114,38,Pass,116,38,3,0.011,0,0,0.346
114,38,Pass,116,40,3,0.016,0,0,0.339
114,38,Pass,116,42,3,0.017,0,0,0.309
114,38,Pass,116,44,3,0.016,0,0,0.23
114,38,Pass,116,46,2,0.016,0,0,0.116
114,38,Pass,116,48,2,0.015,0,0,0.04
114,38,Pass,116,50,2,0.013,0,0,0.011
114,38,Run,116,50,1,0,1,0,0.138
114,38,Pass,116,52,2,0.008,0,0,0.003
114,38,Run,116,52,1,0.001,1,0,0.138
114,38,Pass,116,54,2,0.003,0,0,0.001
