Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedExpectedGoals,y,x,event
1,0.00059235763044329,0,0,0,0,36,76,Shot
1,0.00299323660633571,0,0,0,0,38,76,Shot
1,0.00556421146339843,0,0,0,0,40,76,Shot
1,0.0038051494925152,0,0,0,0,42,76,Shot
1,0.000957294003503042,0,0,0,0,44,76,Shot
1,0.000654656426266124,0,0,0,0,34,78,Shot
1,0.00899217971438644,0,0,0,0,36,78,Shot
1,0.0454382962395682,0,0,0,0,38,78,Shot
1,0.0844665230534546,0,0,0,0,40,78,Shot
1,0.0577633954866035,0,0,0,0,42,78,Shot
2,0.0152708930080635,0,0,0,0,44,78,Shot
2,0.0033939548902218,0,0,0,0,46,78,Shot
1,0.0020903996733915,0,0,0,0,48,78,Shot
1,0.00078455019845917,0,0,0,0,50,78,Shot
1,0.000471967703267761,0,0,0,0,60,78,Shot
1,0.00328430571322397,0,0,0,0,62,78,Shot
1,0.00840776159796601,0,0,0,0,64,78,Shot
1,0.007918131679796,0,0,0,0,66,78,Shot
1,0.00274328272742382,0,0,0,0,68,78,Shot
1,0.000349642274154056,0,0,0,0,70,78,Shot
1,0.0036559474468044,0,0,0,0,34,80,Shot
1,0.0502170835708767,0,0,0,0,36,80,Shot
1,0.253751458718076,0,0,0,0,38,80,Shot
1,0.471705702270446,0,0,0,0,40,80,Shot
3,0.326358733630639,0,0,0,0,42,80,Shot
3,0.100245784800734,0,0,0,0,44,80,Shot
5,0.0530517260943968,0,0,0,0,46,80,Shot
3,0.0433842152290782,0,0,0,0,48,80,Shot
3,0.0162402178614663,0,0,0,0,50,80,Shot
2,0.00319081365656468,0,0,0,0,52,80,Shot
1,0.000957485481450895,0,0,0,0,54,80,Shot
1,0.00610528798830822,0,0,0,0,60,80,Shot
1,0.0424851787146598,0,0,0,0,62,80,Shot
1,0.108761268063927,0,0,0,0,64,80,Shot
1,0.102427504890256,0,0,0,0,66,80,Shot
1,0.0354866042068393,0,0,0,0,68,80,Shot
1,0.00452290858424791,0,0,0,0,70,80,Shot
1,0.000352521127971613,0,0,0,0,28,82,Shot
1,0.000536523604316111,0,0,0,0,30,82,Shot
1,0.00751089985108369,0,0,0,0,34,82,Shot
1,0.103167644229689,0,0,0,0,36,82,Shot
1,0.521315424039746,0,0,0,0,38,82,Shot
4,0.974497977064969,0,0,0,0,40,82,Shot
5,0.709683376994669,0,0,0,0,42,82,Shot
5,0.359603563755176,0,0,0,0,44,82,Shot
6,0.404088304455099,0,0,0,0,46,82,Shot
7,0.35286158186045,0,0,0,0,48,82,Shot
6,0.14021078774129,0,0,0,0,50,82,Shot
5,0.0453772835369901,0,0,0,0,52,82,Shot
4,0.0249867865174194,0,0,0,0,54,82,Shot
2,0.00800177924583952,0,0,0,0,56,82,Shot
2,0.00247448551674034,0,0,0,0,58,82,Shot
1,0.0290539741864462,0,0,0,0,60,82,Shot
1,0.202179371070802,0,0,0,0,62,82,Shot
1,0.517575433110751,0,0,0,0,64,82,Shot
1,0.487434186358211,0,0,0,0,66,82,Shot
1,0.168874406017306,0,0,0,0,68,82,Shot
1,0.0215237134605354,0,0,0,0,70,82,Shot
1,0.00100919731673994,0,0,0,0,72,82,Shot
1,0.00250266278484842,0,0,0,0,26,84,Shot
1,0.0103538173622529,0,0,0,0,28,84,Shot
2,0.0172023116094542,0,0,0,0,30,84,Shot
2,0.0126709478766358,0,0,0,0,32,84,Shot
3,0.0112657332436239,0,0,0,0,34,84,Shot
2,0.0793325241442331,0,0,0,0,36,84,Shot
2,0.395398202349477,0,0,0,0,38,84,Shot
4,0.763935838175477,0,0,0,0,40,84,Shot
6,0.752500374609645,0,0,0,0,42,84,Shot
7,1.00415308743005,0,0,0,0,44,84,Shot
8,1.50986921805797,0,0,0,0,46,84,Shot
10,1.2705581966181,0,0,0,0,48,84,Shot
10,0.592770975829256,0,0,0,0,50,84,Shot
9,0.342223734460054,0,0,0,0,52,84,Shot
7,0.238385249749572,0,0,0,0,54,84,Shot
5,0.0792353461969785,0,0,0,0,56,84,Shot
4,0.0158787731670454,0,0,0,0,58,84,Shot
3,0.055284930799157,0,0,0,0,60,84,Shot
3,0.356543413386822,0,0,0,0,62,84,Shot
2,0.90696867831795,0,0,0,0,64,84,Shot
1,0.853337625761526,0,0,0,0,66,84,Shot
1,0.295643778618336,0,0,0,0,68,84,Shot
1,0.0376809732596124,0,0,0,0,70,84,Shot
1,0.00176677398978924,0,0,0,0,72,84,Shot
1,0.00240453197344192,0,0,0,0,24,86,Shot
1,0.027041028291463,0,0,0,0,26,86,Shot
2,0.115151045895781,0,0,0,0,28,86,Shot
2,0.19401422204043,0,0,0,0,30,86,Shot
2,0.158610133450899,0,0,0,0,32,86,Shot
3,0.0832402285577881,0,0,0,0,34,86,Shot
3,0.0455334260328778,0,0,0,0,36,86,Shot
4,0.116321237894575,0,0,0,0,38,86,Shot
6,0.280999018500468,0,0,0,0,40,86,Shot
7,0.739894834514317,0,0,0,0,42,86,Shot
7,1.99066714327095,0,0,0,0,44,86,Shot
10,3.01264297776002,0,0,0,0,46,86,Shot
11,2.52033558643196,0,0,0,0,48,86,Shot
12,1.55369154080237,0,0,0,0,50,86,Shot
12,1.32549403591623,0,0,0,0,52,86,Shot
9,0.993643941906646,0,0,0,0,54,86,Shot
7,0.350501876907019,0,0,0,0,56,86,Shot
8,0.103463778572374,0,0,0,0,58,86,Shot
5,0.109552924629455,0,0,0,0,60,86,Shot
3,0.278169030800719,0,0,0,0,62,86,Shot
3,0.60956294695898,0,0,0,0,64,86,Shot
2,0.557374518826724,0,0,0,0,66,86,Shot
2,0.191439278900112,0,0,0,0,68,86,Shot
1,0.0242679191610504,0,0,0,0,70,86,Shot
1,0.00113786679724665,0,0,0,0,72,86,Shot
1,0.00955777805459744,0,0,0,0,24,88,Shot
2,0.108493011256985,0,0,0,0,26,88,Shot
2,0.464517285502568,0,0,0,0,28,88,Shot
2,0.820461317767328,0,0,0,0,30,88,Shot
2,0.761747750266022,0,0,0,0,32,88,Shot
2,0.453286483717805,0,0,0,0,34,88,Shot
3,0.14343985742603,0,0,0,0,36,88,Shot
4,0.0328300201690205,0,0,0,0,38,88,Shot
7,0.103307920094786,0,0,0,0,40,88,Shot
7,0.681289942699882,0,0,0,0,42,88,Shot
8,2.24548480526699,0,0,0,0,44,88,Shot
12,3.46520751340626,0,0,0,0,46,88,Shot
14,3.11143173782149,0,0,0,0,48,88,Shot
15,2.60429283210462,0,0,0,0,50,88,Shot
15,2.83989028931076,0,0,0,0,52,88,Shot
11,2.20604230088089,0,0,0,0,54,88,Shot
8,0.854933456572259,0,0,0,0,56,88,Shot
8,0.459023511559061,0,0,0,0,58,88,Shot
6,0.49107826282832,0,0,0,0,60,88,Shot
3,0.427406616322814,0,0,0,0,62,88,Shot
3,0.363794198440849,0,0,0,0,64,88,Shot
3,0.203491745011755,0,0,0,0,66,88,Shot
2,0.0546319387484926,0,0,0,0,68,88,Shot
2,0.00621431291022848,0,0,0,0,70,88,Shot
1,0.000457195257051744,0,0,0,0,22,90,Shot
1,0.0139761915584705,0,0,0,0,24,90,Shot
2,0.159416703215195,0,0,0,0,26,90,Shot
3,0.695295946194286,0,0,0,0,28,90,Shot
3,1.3141353170803,0,0,0,0,30,90,Shot
3,1.41522349985725,0,0,0,0,32,90,Shot
3,0.95574393018693,0,0,0,0,34,90,Shot
3,0.311486515690414,0,0,0,0,36,90,Shot
4,0.0418372289850818,0,0,0,0,38,90,Shot
8,0.0461514161135111,0,0,0,0,40,90,Shot
11,0.392089317926099,0,0,0,0,42,90,Shot
9,1.45869590063442,0,0,0,0,44,90,Shot
15,2.45001731813691,0,0,0,0,46,90,Shot
15,2.54097675187272,0,0,0,0,48,90,Shot
15,2.98724591293314,0,0,0,0,50,90,Shot
16,3.96145387414674,0,0,0,0,52,90,Shot
12,3.12431965283554,0,0,0,0,54,90,Shot
11,1.28897753967925,0,0,0,0,56,90,Shot
7,0.952048667932775,0,0,0,0,58,90,Shot
8,1.16183099287253,0,0,0,0,60,90,Shot
3,1.07156813037342,0,0,0,0,62,90,Shot
3,0.745160117988574,0,0,0,0,64,90,Shot
3,0.25780097255275,0,0,0,0,66,90,Shot
2,0.0361767791054621,0,0,0,0,68,90,Shot
2,0.00207473570435262,0,0,0,0,70,90,Shot
2,0.0088293687207134,0,0,0,0,24,92,Shot
4,0.0902981107488919,0,0,0,0,26,92,Shot
4,0.400261640718812,0,0,0,0,28,92,Shot
4,0.856172795040121,0,0,0,0,30,92,Shot
3,1.11390672680274,0,0,0,0,32,92,Shot
4,0.8298224342388,1,0.000504471102144742,0.000607926565166313,0.0000434098854508336,34,92,Shot
5,0.275963513254259,1,0.00235315099505902,0.00852703666260021,0.000202489329338667,36,92,Shot
6,0.0470705459356688,1,0.0040380232552784,0.0857866246292779,0.000347473078664362,38,92,Shot
9,0.0514204486191601,1,0.00254913804123389,0.049574402979519,0.000219354071814753,40,92,Shot
11,0.193077940818205,1,0.000592002322468073,0.00306613132478703,0.0000509419724850622,42,92,Shot
14,0.640928676618175,0,0,0,0,44,92,Shot
18,1.34544580256478,0,0,0,0,46,92,Shot
17,2.15505635159368,0,0,0,0,48,92,Shot
15,3.20197192791238,0,0,0,0,50,92,Shot
15,3.88442449732544,0,0,0,0,52,92,Shot
12,2.80048458204709,0,0,0,0,54,92,Shot
12,1.10932717286697,0,0,0,0,56,92,Shot
10,0.801960264360448,0,0,0,0,58,92,Shot
6,1.06125577141304,0,0,0,0,60,92,Shot
2,1.16735820163716,0,0,0,0,62,92,Shot
3,0.888672562807353,0,0,0,0,64,92,Shot
3,0.306017072645913,0,0,0,0,66,92,Shot
1,0.0401794342533241,0,0,0,0,68,92,Shot
1,0.00196080534465861,0,0,0,0,70,92,Shot
1,0.00363553135950075,0,0,0,0,22,94,Shot
2,0.0248415809279414,0,0,0,0,24,94,Shot
4,0.0763436665437702,0,0,0,0,26,94,Shot
4,0.183411134804592,0,0,0,0,28,94,Shot
4,0.490503292935079,0,0,0,0,30,94,Shot
5,0.834486129413525,1,0.000667480754710434,0.000799870400697419,0.0000574369135901511,32,94,Shot
4,0.627224525671286,1,0.00846343634909217,0.0134934716400546,0.000728281165903332,34,94,Shot
8,0.228255500768566,1,0.0394784628531025,0.172957333865661,0.00339713324101657,36,94,Shot
8,0.172056092920289,1,0.0677453131644339,0.393739692762983,0.00582950395334072,38,94,Shot
9,0.394261896687983,1,0.0427665082604522,0.108472334302945,0.00368007050716196,40,94,Shot
11,0.622477150736749,1,0.00993193456160686,0.0159555006153265,0.000854645865326147,42,94,Shot
15,0.627826388114864,1,0.000848534342281525,0.0013515429716635,0.0000730166275985632,44,94,Shot
17,1.08423092130322,0,0,0,0,46,94,Shot
18,2.43447081739326,0,0,0,0,48,94,Shot
17,3.51574880083702,0,0,0,0,50,94,Shot
15,3.08323534639211,0,0,0,0,52,94,Shot
14,1.65545250160814,0,0,0,0,54,94,Shot
13,0.548281257784544,0,0,0,0,56,94,Shot
9,0.280820035824312,0,0,0,0,58,94,Shot
4,0.372047330311245,0,0,0,0,60,94,Shot
2,0.48632091202348,0,0,0,0,62,94,Shot
2,0.399598402437344,0,0,0,0,64,94,Shot
2,0.139678158074082,0,0,0,0,66,94,Shot
1,0.0184184941925668,0,0,0,0,68,94,Shot
1,0.000898844956990918,0,0,0,0,70,94,Shot
1,0.00136445526944295,0,0,0,0,20,96,Shot
1,0.0238254724411366,0,0,0,0,22,96,Shot
1,0.153048563416801,0,0,0,0,24,96,Shot
3,0.369670956380372,0,0,0,0,26,96,Shot
4,0.417523306879473,0,0,0,0,28,96,Shot
4,0.626327390970574,0,0,0,0,30,96,Shot
5,1.02903071000962,1,0.00411959673609424,0.0040033758915278,0.000354492500476606,32,96,Shot
7,0.782644333437044,1,0.0522351311461961,0.0667418505629517,0.00449484826767153,34,96,Shot
7,0.487385902553386,1,0.243655484548335,0.49992312718082,0.0209666254989484,36,96,Shot
8,0.792344301072403,1,0.418114483493919,0.527692927087403,0.0359788732330555,38,96,Shot
7,1.60585401968497,1,0.263948835379286,0.164366643632443,0.0227128742557948,40,96,Shot
11,2.33348527355164,1,0.0612984942477438,0.0262690726796169,0.00527475330557122,42,96,Shot
14,1.81067925792979,2,0.0056001455713182,0.00309284239425211,0.000481894159497694,44,96,Shot
13,1.31135411937105,0,0,0,0,46,96,Shot
17,2.06119137988325,0,0,0,0,48,96,Shot
16,2.78898034804136,0,0,0,0,50,96,Shot
13,2.16830325938267,0,0,0,0,52,96,Shot
14,1.07358487634732,0,0,0,0,54,96,Shot
13,0.430473501262245,0,0,0,0,56,96,Shot
9,0.127581120807157,0,0,0,0,58,96,Shot
4,0.0598583561090047,0,0,0,0,60,96,Shot
3,0.077035548112582,0,0,0,0,62,96,Shot
2,0.066545728548294,0,0,0,0,64,96,Shot
2,0.0240439854640439,0,0,0,0,66,96,Shot
2,0.00432399388155452,0,0,0,0,68,96,Shot
1,0.000866888668035017,0,0,0,0,70,96,Shot
1,0.00328956480851944,0,0,0,0,20,98,Shot
1,0.0574408245135878,0,0,0,0,22,98,Shot
1,0.368984736609142,0,0,0,0,24,98,Shot
2,0.876333205996215,0,0,0,0,26,98,Shot
2,0.82042891857948,0,0,0,0,28,98,Shot
3,0.570842854241337,0,0,0,0,30,98,Shot
5,0.675259268442103,1,0.00935354372000101,0.0138517813188713,0.00080487516473859,32,98,Shot
7,0.601642766708633,1,0.118599856780922,0.197126705984913,0.010205552261481,34,98,Shot
6,0.874352483928272,1,0.553219738080874,0.632719353178229,0.0476047197889652,36,98,Shot
8,1.74058987980328,2,0.94975498239474,0.545651214806605,0.0817266931977499,38,98,Shot
9,2.72977261919762,2,0.602775519844339,0.220815285348388,0.0518690092609146,40,98,Shot
10,3.59728951648181,2,0.149631913873722,0.0415957384547862,0.0128758698237259,42,98,Shot
14,2.90772628039899,2,0.0234438016023537,0.00806258888960372,0.00201734596444386,44,98,Shot
15,1.63102649048743,2,0.00507086827086231,0.00310900423778334,0.00043634969344833,46,98,Shot
16,1.45860394564263,1,0.000702545774112583,0.000481656296221697,0.0000604542687351873,48,98,Shot
15,1.67651735148452,0,0,0,0,50,98,Shot
13,1.52094200073346,0,0,0,0,52,98,Shot
13,1.4002693534274,1,0.000579815852804915,0.000414074514582295,0.0000498933232167916,54,98,Shot
10,0.954552721328747,1,0.00304943180243911,0.00319461852059284,0.000262404495859566,56,98,Shot
8,0.298057318419787,1,0.00590001727564097,0.0197949082643605,0.000507698207101719,58,98,Shot
7,0.0464810676053649,1,0.00419945720058795,0.0903476924463594,0.000361364516734788,60,98,Shot
6,0.0111485796051202,1,0.00109960967836242,0.0986322668277315,0.0000946217334856272,62,98,Shot
4,0.0107637300749111,0,0,0,0,64,98,Shot
3,0.0212093095757134,0,0,0,0,66,98,Shot
2,0.0315740920844765,0,0,0,0,68,98,Shot
2,0.0210476449639097,0,0,0,0,70,98,Shot
1,0.00535031415092018,0,0,0,0,72,98,Shot
1,0.000515383125949325,0,0,0,0,74,98,Shot
1,0.00291758225658146,0,0,0,0,20,100,Shot
1,0.050945441162985,0,0,0,0,22,100,Shot
1,0.327260103735346,0,0,0,0,24,100,Shot
2,0.774401924805828,0,0,0,0,26,100,Shot
2,0.687112257510396,0,0,0,0,28,100,Shot
2,0.292748525587991,0,0,0,0,30,100,Shot
4,0.18774692817556,1,0.00781273644044982,0.0416131252658591,0.000672288249010884,32,100,Shot
5,0.276275738379375,1,0.0990629274467475,0.358565424629204,0.00852439379501604,34,100,Shot
13,0.923920648080765,6,0.467515020594317,0.506012092667778,0.0402298038564763,36,100,Shot
16,1.94088991205207,7,0.822081384249646,0.423558996903887,0.0707403428458439,38,100,Shot
17,2.30620622282215,8,0.581311506575894,0.252063974515051,0.0500220246599392,40,100,Shot
19,2.51151376535417,8,0.264629990624822,0.105366729131785,0.0227714878633081,42,100,Shot
21,2.36178835412457,9,0.15463050678082,0.0654717881518796,0.0133060002010458,44,100,Shot
15,1.81300211836051,2,0.0573641145142114,0.0316404012622364,0.00493619878217709,46,100,Shot
17,1.79372324574201,2,0.0087770251147395,0.00489318802974465,0.000755265570634434,48,100,Shot
16,1.84841723014798,1,0.000452465066006554,0.000244785137590571,0.0000389347508754086,50,100,Shot
17,1.78727516133963,1,0.000603478586646905,0.000337652869407404,0.0000519295083643,52,100,Shot
15,2.09369866798456,1,0.00862750433956552,0.00412070011386621,0.000742399264328231,54,100,Shot
