x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
46,54,Pass,120,0,1,0,0,0,0
46,54,Pass,120,2,1,0,0,0,0
46,54,Run,120,4,1,0,0,0,0
46,54,Pass,120,4,1,0.001,0,0,0
46,54,Run,120,6,1,0,0,0,0
46,54,Pass,120,6,1,0.003,0,0,0
46,54,Pass,120,8,2,0.004,0,0,0
46,54,Run,120,8,1,0,0,0,0
46,54,Pass,120,10,2,0.004,0,0,0
46,54,Run,120,10,1,0,0,0,0
46,54,Pass,120,12,2,0.003,0,0,0
46,54,Run,120,12,1,0,0,0,0
46,54,Pass,120,14,3,0.003,0,0,0
46,54,Run,120,14,1,0,0,0,0
46,54,Pass,120,16,3,0.006,0,0,0
46,54,Run,120,16,1,0,0,0,0
46,54,Pass,120,18,3,0.017,0,0,0
46,54,Run,120,18,1,0,0,0,0
46,54,Pass,120,20,2,0.039,0,0,0
46,54,Run,120,20,1,0,0,0,0
46,54,Pass,120,22,2,0.061,0,0,0
46,54,Run,120,22,1,0,0,0,0
46,54,Pass,120,24,2,0.067,0,0,0
46,54,Pass,120,26,2,0.052,0,0,0
46,54,Pass,120,28,2,0.028,0,0,0
46,54,Pass,120,30,2,0.011,0,0,0
46,54,Pass,120,32,2,0.003,0,0,0
46,54,Pass,120,34,2,0.001,0,0,0
46,54,Run,120,40,1,0,0,0,0
46,54,Run,120,42,1,0,0,0,0
46,54,Run,120,44,1,0.001,0,0,0
46,54,Run,120,46,1,0.003,0,0,0
46,54,Pass,120,48,1,0,0,0,0
46,54,Run,120,48,2,0.007,0,0,0
46,54,Pass,120,50,1,0.001,0,0,0
46,54,Run,120,50,2,0.015,0,0,0
46,54,Pass,120,52,1,0.002,0,0,0
46,54,Run,120,52,2,0.02,0,0,0
46,54,Pass,120,54,4,0.008,0,0,0
46,54,Run,120,54,2,0.022,0,0,0
46,54,Pass,120,56,6,0.02,0,0,0
46,54,Run,120,56,3,0.02,0,0,0
46,54,Pass,120,58,5,0.034,0,0,0
46,54,Run,120,58,3,0.018,0,0,0
46,54,Pass,120,60,5,0.045,0,0,0
46,54,Run,120,60,3,0.016,0,0,0
46,54,Pass,120,62,5,0.056,0,0,0
46,54,Run,120,62,3,0.011,0,0,0
46,54,Pass,120,64,5,0.071,0,0,0
46,54,Run,120,64,3,0.006,0,0,0
46,54,Pass,120,66,6,0.082,0,0,0
46,54,Run,120,66,2,0.004,0,0,0
46,54,Pass,120,68,5,0.074,0,0,0
46,54,Run,120,68,2,0.002,0,0,0
46,54,Pass,120,70,6,0.05,0,0,0
46,54,Run,120,70,2,0.001,0,0,0
46,54,Pass,120,72,6,0.026,0,0,0
46,54,Run,120,72,2,0.001,0,0,0
46,54,Pass,120,74,5,0.016,0,0,0
46,54,Run,120,74,1,0,0,0,0
46,54,Pass,120,76,5,0.02,0,0,0
46,54,Run,120,76,1,0,0,0,0
46,54,Pass,120,78,5,0.03,0,0,0
46,54,Run,120,78,1,0,0,0,0
46,54,Pass,120,80,4,0.035,0,0,0
46,54,Run,120,80,1,0,0,0,0
46,54,Pass,118,0,1,0,0,0,0
46,54,Run,118,2,1,0,0,0,0
46,54,Pass,118,2,1,0.001,0,0,0
46,54,Run,118,4,1,0,0,0,0
46,54,Pass,118,4,1,0.004,0,0,0
46,54,Run,118,6,1,0,0,0,0
46,54,Pass,118,6,1,0.009,0,0,0
46,54,Pass,118,8,2,0.014,0,0,0
46,54,Run,118,8,1,0,0,0,0
46,54,Pass,118,10,2,0.014,0,0,0
46,54,Run,118,10,1,0.001,0,0,0
46,54,Pass,118,12,3,0.011,0,0,0
46,54,Run,118,12,1,0.001,0,0,0
46,54,Pass,118,14,3,0.009,0,0,0
46,54,Run,118,14,1,0.001,0,0,0
46,54,Pass,118,16,3,0.018,0,0,0
46,54,Run,118,16,1,0.001,0,0,0
46,54,Pass,118,18,3,0.054,0,0,0
46,54,Run,118,18,1,0,0,0,0
46,54,Pass,118,20,3,0.123,0,0,0
46,54,Run,118,20,1,0,0,0,0
46,54,Pass,118,22,2,0.195,0,0,0
46,54,Run,118,22,1,0,0,0,0
46,54,Pass,118,24,2,0.217,0,0,0
46,54,Run,118,24,1,0,0,0,0
46,54,Pass,118,26,3,0.168,0,0,0
46,54,Pass,118,28,3,0.091,0,0,0
46,54,Pass,118,30,3,0.034,0,0,0
46,54,Pass,118,32,3,0.009,0,0,0
46,54,Pass,118,34,3,0.002,0,0,0
46,54,Run,118,40,1,0,0,0,0
46,54,Run,118,42,1,0,0,0,0
46,54,Run,118,44,1,0.001,0,0,0
46,54,Run,118,46,1,0.002,0,0,0
46,54,Pass,118,48,4,0,0,0,0
46,54,Run,118,48,2,0.006,0,0,0
46,54,Pass,118,50,4,0.001,0,0,0
46,54,Run,118,50,2,0.012,0,0,0
46,54,Pass,118,52,4,0.003,0,0,0
46,54,Run,118,52,2,0.018,0,0,0
46,54,Pass,118,54,6,0.011,0,0,0
46,54,Run,118,54,2,0.021,0,0,0
46,54,Pass,118,56,7,0.026,0,0,0
46,54,Run,118,56,3,0.023,0,0,0
46,54,Pass,118,58,6,0.043,0,0,0
46,54,Run,118,58,3,0.024,0,0,0
46,54,Pass,118,60,7,0.055,0,0,0
46,54,Run,118,60,3,0.022,0,0,0
46,54,Pass,118,62,7,0.06,0,0,0
46,54,Run,118,62,3,0.016,0,0,0
46,54,Pass,118,64,6,0.067,0,0,0
46,54,Run,118,64,3,0.009,0,0,0
46,54,Pass,118,66,6,0.071,0,0,0
46,54,Run,118,66,2,0.004,0,0,0
46,54,Pass,118,68,7,0.063,0,0,0
46,54,Run,118,68,2,0.002,0,0,0
46,54,Pass,118,70,7,0.043,0,0,0
46,54,Run,118,70,2,0.001,0,0,0
46,54,Pass,118,72,6,0.027,0,0,0
46,54,Run,118,72,3,0.001,0,0,0
46,54,Pass,118,74,5,0.031,0,0,0
46,54,Run,118,74,2,0,0,0,0
46,54,Pass,118,76,5,0.058,0,0,0
46,54,Run,118,76,1,0,0,0,0
46,54,Pass,118,78,6,0.095,0,0,0
46,54,Run,118,78,1,0,0,0,0
46,54,Pass,118,80,6,0.113,0,0,0
46,54,Run,118,80,1,0,0,0,0
46,54,Pass,116,0,1,0.001,0,0,0
46,54,Run,116,2,1,0,0,0,0
46,54,Pass,116,2,1,0.003,0,0,0
46,54,Run,116,4,1,0,0,0,0
46,54,Pass,116,4,1,0.01,0,0,0
46,54,Run,116,6,1,0,0,0,0
46,54,Pass,116,6,1,0.023,0,0,0
46,54,Run,116,8,1,0.001,0,0,0
46,54,Pass,116,8,1,0.034,0,0,0
46,54,Pass,116,10,2,0.036,0,0,0
46,54,Run,116,10,1,0.002,0,0,0
46,54,Pass,116,12,4,0.027,0,0,0
46,54,Run,116,12,1,0.003,0,0,0
46,54,Pass,116,14,4,0.021,0,0,0
46,54,Run,116,14,1,0.003,0,0,0
46,54,Pass,116,16,4,0.042,0,0,0
46,54,Run,116,16,1,0.002,0,0,0
46,54,Pass,116,18,3,0.122,0,0,0
46,54,Run,116,18,1,0.001,0,0,0
46,54,Pass,116,20,3,0.277,0,0,0
46,54,Run,116,20,1,0,0,0,0
46,54,Pass,116,22,2,0.442,0,0,0
46,54,Run,116,22,1,0,0,0,0
46,54,Pass,116,24,3,0.492,0,0,0
46,54,Run,116,24,1,0,0,0,0
46,54,Pass,116,26,3,0.382,0,0,0
46,54,Pass,116,28,3,0.207,0,0,0
46,54,Pass,116,30,3,0.078,0,0,0
46,54,Pass,116,32,3,0.021,0,0,0
46,54,Pass,116,34,2,0.004,0,0,0
46,54,Pass,116,36,2,0,0,0,0
46,54,Pass,116,38,1,0,0,0,0
46,54,Run,116,40,1,0,0,0,0
46,54,Run,116,42,1,0,0,0,0
46,54,Pass,116,44,1,0,0,0,0
46,54,Run,116,44,1,0,0,0,0
46,54,Pass,116,46,4,0,0,0,0
46,54,Run,116,46,1,0.001,0,0,0
46,54,Pass,116,48,5,0,0,0,0
46,54,Run,116,48,2,0.004,0,0,0
46,54,Pass,116,50,5,0.001,0,0,0
46,54,Run,116,50,2,0.007,0,0,0
46,54,Pass,116,52,6,0.004,0,0,0
46,54,Run,116,52,2,0.011,0,0,0
46,54,Pass,116,54,6,0.011,0,0,0
46,54,Run,116,54,2,0.015,0,0,0
46,54,Pass,116,56,7,0.024,0,0,0
46,54,Run,116,56,3,0.019,0,0,0
46,54,Pass,116,58,7,0.039,0,0,0
46,54,Run,116,58,3,0.023,0,0,0
46,54,Pass,116,60,8,0.048,0,0,0
46,54,Run,116,60,3,0.023,0,0,0
46,54,Pass,116,62,8,0.048,0,0,0
46,54,Run,116,62,3,0.016,0,0,0
46,54,Pass,116,64,8,0.046,0,0,0
46,54,Run,116,64,3,0.009,0,0,0
46,54,Pass,116,66,6,0.044,0,0,0
46,54,Run,116,66,2,0.004,0,0,0
46,54,Pass,116,68,7,0.039,0,0,0
46,54,Run,116,68,3,0.002,0,0,0
46,54,Pass,116,70,7,0.03,0,0,0
46,54,Run,116,70,3,0.001,0,0,0
46,54,Pass,116,72,7,0.03,0,0,0
46,54,Run,116,72,3,0.001,0,0,0
46,54,Pass,116,74,7,0.059,0,0,0
46,54,Run,116,74,2,0.001,0,0,0
46,54,Pass,116,76,7,0.129,0,0,0
46,54,Run,116,76,2,0.001,0,0,0
46,54,Pass,116,78,7,0.217,0,0,0
46,54,Run,116,78,2,0,0,0,0
46,54,Pass,116,80,6,0.258,0,0,0
46,54,Run,116,80,2,0,0,0,0
46,54,Run,114,0,1,0,0,0,0
46,54,Pass,114,0,1,0.001,0,0,0
46,54,Run,114,2,1,0,0,0,0
46,54,Pass,114,2,1,0.006,0,0,0
46,54,Run,114,4,1,0,0,0,0
