x,y,WeightedExpectedGoals,GoalProbability
0,0,0,0
0,2,0,0
0,4,0.0000995663703828623,0
0,6,0.000558397586969122,0
0,8,0.0021833090504291,0
0,10,0.00595151759717567,0.001
0,12,0.0113104804615262,0.001
0,14,0.0151987939122956,0.002
0,16,0.015037808122185,0.002
0,18,0.013783332141339,0.002
0,20,0.0180814074257922,0.002
0,22,0.0319680464804437,0.003
0,24,0.0546021186225751,0.005
0,26,0.0838774904341228,0.007
0,28,0.116688433887652,0.007
0,30,0.148238926585736,0.007
0,32,0.179214506189051,0.006
0,34,0.213099291244636,0.005
0,36,0.240783932267935,0.005
0,38,0.256249017524456,0.005
0,40,0.27711350195248,0.005
0,42,0.310518646823141,0.006
0,44,0.32031401034798,0.007
0,46,0.272684022825611,0.008
0,48,0.188391531088806,0.008
0,50,0.113333618441708,0.007
0,52,0.0703035197274093,0.006
0,54,0.0573209712983488,0.006
0,56,0.0614891953878297,0.007
0,58,0.0627379250118733,0.008
0,60,0.0491315370007044,0.008
0,62,0.0275613868215145,0.005
0,64,0.0109160383247982,0.002
0,66,0.00314271151630103,0
0,68,0.000836519006567529,0
0,70,0.000337698691719049,0
0,72,0.000176361631121894,0
0,74,0.0000826836878934749,0
0,76,0,0
0,78,0,0
0,80,0,0
2,0,0,0
2,2,0,0
2,4,0.000279355944026455,0
2,6,0.00156671057155161,0
2,8,0.0061257667477362,0
2,10,0.016764923627146,0.001
2,12,0.0320127953552676,0.002
2,14,0.042820374583106,0.003
2,16,0.041898654364821,0.003
2,18,0.0365328683061645,0.002
2,20,0.043997426635785,0.002
2,22,0.0736929795607461,0.004
2,24,0.121083720034619,0.006
2,26,0.179274708035911,0.008
2,28,0.243375291999806,0.008
2,30,0.304845768775583,0.007
2,32,0.362112012993552,0.006
2,34,0.419212400826084,0.005
2,36,0.465208589046532,0.005
2,38,0.498356865262607,0.004
2,40,0.553291343612435,0.005
2,42,0.636351701171224,0.006
2,44,0.670989524738296,0.007
