x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
108,58,Pass,118,48,126,1.481,4,0,0.004
108,58,Pass,118,50,130,1.128,4,0,0.008
108,58,Pass,118,52,124,1.16,2,0.001,0.014
108,58,Pass,118,54,119,1.394,1,0.001,0.016
108,58,Pass,116,44,136,3.777,5,0.003,0.014
108,58,Pass,116,46,141,3.319,6,0.001,0.008
108,58,Pass,116,48,147,2.597,6,0.001,0.006
108,58,Pass,116,50,151,2.106,5,0.001,0.01
108,58,Pass,116,52,150,2.189,4,0.002,0.016
108,58,Pass,116,54,147,2.635,3,0.002,0.018
108,58,Pass,116,56,134,2.883,4,0.002,0.016
108,58,Pass,116,58,129,2.609,4,0.002,0.013
108,58,Pass,114,42,146,4.857,6,0.007,0.03
108,58,Pass,114,44,155,5.088,7,0.005,0.02
108,58,Pass,114,46,164,4.809,7,0.003,0.013
108,58,Pass,114,48,162,4.089,6,0.002,0.011
108,58,Pass,114,50,172,3.469,7,0.003,0.015
108,58,Pass,114,52,176,3.503,9,0.004,0.021
108,58,Pass,114,54,168,4.101,5,0.005,0.022
108,58,Pass,114,56,162,4.582,5,0.004,0.019
108,58,Pass,114,58,149,4.368,5,0.003,0.015
108,58,Pass,114,60,134,3.488,6,0.002,0.01
108,58,Pass,112,40,143,4.752,6,0.012,0.048
108,58,Pass,112,42,152,5.609,7,0.012,0.04
108,58,Pass,112,44,163,6.285,7,0.009,0.029
108,58,Pass,112,46,170,6.451,7,0.007,0.021
108,58,Pass,112,48,182,5.928,10,0.006,0.018
108,58,Pass,112,50,187,5.179,9,0.006,0.023
108,58,Pass,112,52,190,4.978,9,0.008,0.03
108,58,Pass,112,54,190,5.516,6,0.009,0.03
108,58,Pass,112,56,182,6.152,6,0.008,0.025
108,58,Pass,112,58,164,6.072,5,0.006,0.019
108,58,Pass,112,60,150,5.063,6,0.003,0.013
108,58,Pass,110,38,144,3.925,6,0.012,0.059
108,58,Pass,110,40,146,4.828,6,0.015,0.06
108,58,Pass,110,42,156,5.972,7,0.016,0.053
108,58,Pass,110,44,162,7.155,7,0.015,0.041
108,58,Pass,110,46,174,7.883,10,0.013,0.031
108,58,Pass,110,48,189,7.712,9,0.012,0.03
108,58,Pass,110,50,201,6.935,11,0.013,0.036
108,58,Pass,110,52,200,6.429,9,0.014,0.043
108,58,Pass,110,54,203,6.69,8,0.015,0.042
108,58,Pass,110,56,192,7.277,6,0.013,0.034
108,58,Pass,110,58,185,7.264,6,0.01,0.026
108,58,Pass,110,60,162,6.193,7,0.006,0.02
108,58,Pass,110,62,152,4.515,7,0.003,0.014
108,58,Pass,108,38,143,3.549,6,0.012,0.067
108,58,Pass,108,40,148,4.411,7,0.016,0.072
108,58,Pass,108,42,151,5.705,7,0.019,0.066
108,58,Pass,108,44,164,7.22,7,0.02,0.054
108,58,Pass,108,46,189,8.404,10,0.019,0.045
108,58,Pass,108,48,205,8.674,11,0.019,0.044
108,58,Pass,108,50,213,8.105,11,0.021,0.051
108,58,Pass,108,52,215,7.474,10,0.022,0.057
108,58,Pass,108,54,212,7.456,7,0.021,0.054
108,58,Pass,108,56,199,7.868,6,0.018,0.044
108,58,Pass,108,58,189,7.8,6,0.014,0.035
108,58,Pass,108,60,179,6.648,7,0.01,0.029
108,58,Pass,108,62,161,4.862,7,0.006,0.023
108,58,Pass,106,38,136,2.779,6,0.01,0.071
108,58,Pass,106,40,147,3.537,7,0.015,0.081
108,58,Pass,106,42,154,4.749,7,0.019,0.079
108,58,Pass,106,44,168,6.249,9,0.022,0.068
108,58,Pass,106,46,195,7.587,11,0.023,0.06
108,58,Pass,106,48,209,8.227,12,0.025,0.059
108,58,Pass,106,50,215,8.057,11,0.027,0.064
108,58,Pass,106,52,212,7.606,11,0.026,0.068
108,58,Pass,106,54,215,7.54,9,0.024,0.062
108,58,Pass,106,56,203,7.844,6,0.02,0.051
108,58,Pass,106,58,193,7.684,6,0.017,0.043
108,58,Pass,106,60,179,6.439,7,0.013,0.038
108,58,Pass,106,62,171,4.609,7,0.008,0.034
108,58,Pass,104,38,127,1.92,6,0.007,0.072
108,58,Pass,104,40,141,2.523,7,0.011,0.088
108,58,Pass,104,42,155,3.463,7,0.016,0.09
108,58,Pass,104,44,173,4.64,10,0.019,0.081
108,58,Pass,104,46,191,5.792,10,0.022,0.073
108,58,Pass,104,48,204,6.559,11,0.024,0.071
108,58,Pass,104,50,211,6.764,11,0.025,0.073
108,58,Pass,104,52,219,6.684,11,0.024,0.071
108,58,Pass,104,54,217,6.808,9,0.021,0.061
108,58,Pass,104,56,205,7.12,7,0.019,0.051
108,58,Pass,104,58,201,6.899,7,0.016,0.045
108,58,Pass,104,60,184,5.651,6,0.013,0.043
108,58,Pass,104,62,170,3.905,7,0.008,0.042
108,58,Pass,102,38,111,1.226,4,0.004,0.07
108,58,Pass,102,40,129,1.667,6,0.008,0.09
108,58,Pass,102,42,143,2.308,6,0.011,0.094
108,58,Pass,102,44,162,3.1,9,0.014,0.088
108,58,Pass,102,46,175,3.935,10,0.016,0.08
108,58,Pass,102,48,195,4.637,11,0.018,0.076
108,58,Pass,102,50,205,5.074,11,0.019,0.072
108,58,Pass,102,52,204,5.353,10,0.017,0.063
108,58,Pass,102,54,204,5.694,9,0.015,0.052
108,58,Pass,102,56,203,5.974,7,0.013,0.044
108,58,Pass,102,58,189,5.669,7,0.012,0.041
108,58,Pass,102,60,181,4.525,7,0.01,0.041
108,58,Pass,102,62,165,3.031,6,0.007,0.043
108,58,Pass,100,40,119,1.049,5,0.005,0.084
108,58,Pass,100,42,135,1.507,6,0.007,0.086
108,58,Pass,100,44,148,2.096,8,0.009,0.079
108,58,Pass,100,46,167,2.78,9,0.01,0.073
108,58,Pass,100,48,175,3.468,10,0.012,0.067
108,58,Pass,100,50,181,4.061,10,0.012,0.058
108,58,Pass,100,52,179,4.551,9,0.011,0.047
108,58,Pass,100,54,190,4.92,9,0.009,0.037
108,58,Pass,100,56,183,4.975,7,0.008,0.032
108,58,Pass,100,58,178,4.477,7,0.007,0.031
108,58,Pass,100,60,173,3.443,7,0.006,0.032
108,58,Pass,100,62,153,2.255,6,0.004,0.035
108,58,Pass,98,40,105,0.643,5,0.002,0.069
108,58,Pass,98,42,127,1.038,6,0.004,0.066
108,58,Pass,98,44,143,1.63,8,0.005,0.061
108,58,Pass,98,46,158,2.416,9,0.007,0.058
108,58,Pass,98,48,166,3.276,9,0.009,0.054
108,58,Pass,98,50,165,4.025,9,0.01,0.046
108,58,Pass,98,52,166,4.537,9,0.008,0.036
108,58,Pass,98,54,160,4.693,8,0.006,0.026
108,58,Pass,98,56,160,4.365,7,0.005,0.022
108,58,Pass,98,58,162,3.591,7,0.004,0.02
108,58,Pass,98,60,159,2.599,7,0.003,0.02
108,58,Pass,96,42,100,0.778,4,0.002,0.048
108,58,Pass,96,44,123,1.411,6,0.004,0.051
108,58,Pass,96,46,133,2.354,7,0.007,0.054
108,58,Pass,96,48,145,3.43,7,0.009,0.053
108,58,Pass,96,50,148,4.298,8,0.01,0.046
108,58,Pass,96,52,141,4.704,9,0.008,0.035
108,58,Pass,96,54,137,4.558,7,0.006,0.024
108,58,Pass,96,56,137,3.891,7,0.003,0.017
108,58,Pass,96,58,139,2.92,7,0.002,0.014
108,58,Pass,94,44,93,1.171,4,0.003,0.05
108,58,Pass,94,46,100,2.102,5,0.006,0.057
108,58,Pass,94,48,113,3.215,7,0.009,0.057
108,58,Pass,94,50,119,4.077,6,0.01,0.05
108,58,Pass,94,52,121,4.362,7,0.009,0.038
108,58,Pass,94,54,119,4.044,7,0.005,0.025
108,58,Pass,94,56,116,3.281,7,0.003,0.016
108,58,Pass,120,34,62,0.446,4,0,0.018
108,58,Pass,120,36,71,0.706,4,0.001,0.021
108,58,Pass,120,38,80,0.976,4,0.001,0.021
108,58,Pass,120,40,89,1.176,4,0.001,0.018
108,58,Pass,120,42,93,1.278,4,0.001,0.013
108,58,Pass,120,44,98,1.239,4,0,0.007
108,58,Pass,120,46,100,1.017,4,0,0.004
108,58,Pass,120,48,103,0.709,3,0,0.003
108,58,Pass,120,50,98,0.504,1,0,0.008
108,58,Pass,120,52,89,0.494,0,0,0.014
