x,y,WeightedExpectedGoals,GoalProbability
0,0,0.00749344580885334,0.002
0,2,0.021330114116253,0.005
0,4,0.0423297410559419,0.008
0,6,0.0585679181177888,0.012
0,8,0.0564998651193417,0.012
0,10,0.0380113128458108,0.008
0,12,0.0179691344833704,0.004
0,14,0.00661363069404564,0.001
0,16,0.00459549588571484,0.001
0,18,0.0100306809255491,0.002
0,20,0.0208176078595721,0.004
0,22,0.0312328169461263,0.004
0,24,0.0340052375692521,0.004
0,26,0.0303500923853057,0.003
0,28,0.0293606147933965,0.002
0,30,0.0388997725822806,0.002
0,32,0.0589363615107214,0.002
0,34,0.0842505539477125,0.003
0,36,0.1077873449505,0.003
0,38,0.123226473693141,0.003
0,40,0.127986141101568,0.003
0,42,0.120150484106608,0.003
0,44,0.0959458864626393,0.003
0,46,0.0611221012895278,0.002
0,48,0.032516373629715,0.002
0,50,0.0206484148536468,0.002
0,52,0.0211568183564647,0.002
0,54,0.0230979534932555,0.003
0,56,0.0201594625247497,0.003
0,58,0.0141715472440409,0.002
0,60,0.0112298867541756,0.002
0,62,0.0162365841381883,0.003
0,64,0.0281713118136591,0.005
0,66,0.0381364885211926,0.006
0,68,0.0366652135366838,0.007
0,70,0.0246515563231251,0.005
0,72,0.0115558999353885,0.003
0,74,0.00377612117010115,0.001
0,76,0.000861161151914927,0
0,78,0.000137694534790993,0
0,80,0.000000915321401744585,0
2,0,0.0138191965880139,0.002
2,2,0.03897175426581,0.005
2,4,0.0770415834111456,0.009
2,6,0.106668515774673,0.012
2,8,0.102919513346652,0.012
2,10,0.0692403919281579,0.008
2,12,0.032865828286874,0.004
2,14,0.0125233602853155,0.001
2,16,0.0100895120852647,0.001
2,18,0.0233381446493584,0.003
2,20,0.0489508753160418,0.005
2,22,0.0745929234196146,0.005
2,24,0.0844993150719366,0.005
2,26,0.0802660316796642,0.004
2,28,0.0832881940250032,0.003
2,30,0.112384748658684,0.003
2,32,0.167326649904115,0.003
2,34,0.231727306276756,0.003
2,36,0.283006844039622,0.004
2,38,0.303981833903564,0.004
2,40,0.292810046326535,0.004
2,42,0.25554398040108,0.003
2,44,0.193999740271274,0.003
2,46,0.120826680317829,0.002
2,48,0.0652582070970708,0.002
2,50,0.0438021673508183,0.002
2,52,0.0468531117067756,0.003
2,54,0.0537501942706174,0.004
2,56,0.0505067910978965,0.004
2,58,0.0381411237786287,0.003
2,60,0.0274463803881664,0.003
2,62,0.0287134078157288,0.003
2,64,0.0423951282678025,0.004
2,66,0.0553210421404681,0.005
2,68,0.0527629285198652,0.005
2,70,0.0354079313801332,0.004
2,72,0.0165921018878904,0.002
2,74,0.00542266792589171,0.001
2,76,0.00123730251544408,0
2,78,0.000200226297042622,0
2,80,0.0000255071282892093,0
4,0,0.0188996077847694,0.003
4,2,0.0507587008142252,0.005
4,4,0.0990072980575366,0.008
4,6,0.136220286657635,0.01
4,8,0.13120195915741,0.01
4,10,0.0886363041949537,0.007
4,12,0.0424756661693611,0.003
4,14,0.0170042580725636,0.001
4,16,0.0158522089242707,0.001
4,18,0.0382196098843518,0.003
4,20,0.0817035190418173,0.005
4,22,0.128568990452138,0.006
4,24,0.154856620515856,0.005
4,26,0.161599352944409,0.005
4,28,0.180683411703019,0.004
4,30,0.244867830153119,0.004
4,32,0.355500932364266,0.004
4,34,0.475960335264292,0.004
4,36,0.55578588758339,0.004
4,38,0.565679246619373,0.004
4,40,0.514325707351331,0.004
4,42,0.424880161290741,0.003
4,44,0.309859430599161,0.003
4,46,0.190204241176147,0.002
4,48,0.104482408615664,0.002
4,50,0.0731486200971608,0.002
4,52,0.0819076647599363,0.003
4,54,0.100843316784444,0.004
4,56,0.105642781833735,0.005
4,58,0.0892959252000406,0.005
4,60,0.0630972925530376,0.004
4,62,0.047140241873135,0.003
4,64,0.0496103441544417,0.003
4,66,0.0577087028373664,0.003
4,68,0.053538475063081,0.003
4,70,0.0356533932609638,0.003
4,72,0.0166544372351614,0.001
4,74,0.00544022162995139,0
4,76,0.00124652171863315,0
4,78,0.00020808796598629,0
4,80,0.0000326649910300261,0
6,0,0.0248018045505935,0.003
6,2,0.0527581556994292,0.004
6,4,0.0941671517397092,0.006
6,6,0.126125258059891,0.007
6,8,0.120874555110719,0.007
6,10,0.0821865486136093,0.005
6,12,0.0405912503907513,0.002
6,14,0.0181010333260397,0.001
6,16,0.0188744147676359,0.001
6,18,0.045416659881332,0.003
6,20,0.0989915865039613,0.004
6,22,0.164814972344351,0.006
6,24,0.218343526838246,0.006
6,26,0.255589056393029,0.006
6,28,0.305794914391344,0.005
6,30,0.409816846042307,0.005
6,32,0.57448075882881,0.005
6,34,0.741650031021012,0.005
6,36,0.830477344836158,0.005
6,38,0.811186402883736,0.005
6,40,0.714812390943126,0.004
6,42,0.578900482904126,0.004
6,44,0.41925839491238,0.003
6,46,0.262382615234509,0.003
6,48,0.152431762162613,0.002
6,50,0.111452923371829,0.002
6,52,0.125139143691263,0.003
6,54,0.164287126130179,0.005
6,56,0.193049176602815,0.007
6,58,0.181461839270131,0.008
6,60,0.13235006564009,0.006
6,62,0.0809879073837234,0.004
6,64,0.0546567074950906,0.002
6,66,0.0475335525617299,0.002
6,68,0.040091986003387,0.002
6,70,0.0258266806368455,0.001
6,72,0.0119493443481109,0.001
6,74,0.00388272014412262,0
6,76,0.000887283080088594,0
6,78,0.000160901673850146,0
6,80,0.0000220448699979435,0
8,0,0.0485167973257428,0.005
8,2,0.0653989138101383,0.004
8,4,0.0868394077362946,0.005
8,6,0.102609844184924,0.005
8,8,0.0955099536593621,0.004
8,10,0.0672213550051183,0.003
8,12,0.0376559390078122,0.002
8,14,0.0208650587014955,0.001
8,16,0.0207755001170627,0.001
8,18,0.0427398155110202,0.002
8,20,0.0929861755374128,0.003
8,22,0.166616770628977,0.005
8,24,0.247887386671419,0.006
8,26,0.325080185409535,0.006
8,28,0.408988922484275,0.006
8,30,0.536580951021887,0.006
8,32,0.721778256389781,0.006
8,34,0.897959333955649,0.006
8,36,0.971111622410804,0.005
8,38,0.9258896065839,0.005
8,40,0.815795813287448,0.004
8,42,0.675754673912406,0.004
8,44,0.511432193370032,0.004
8,46,0.350257311482264,0.003
8,48,0.235553857992353,0.003
8,50,0.184274973391151,0.003
8,52,0.191101398298379,0.004
8,54,0.244630394484296,0.006
8,56,0.304823696685073,0.009
8,58,0.308630538816949,0.01
8,60,0.236557609951486,0.009
8,62,0.139436645429457,0.005
8,64,0.0723899082621673,0.003
8,66,0.0421975317822375,0.002
8,68,0.027714623420145,0.001
8,70,0.0160018988698334,0.001
8,72,0.00693497894866017,0
