x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
102,30,Pass,106,38,3,0.016,0,0,0
102,30,Pass,106,40,3,0.003,0,0,0
102,30,Pass,106,42,3,0,0,0,0
102,30,Pass,106,44,2,0,0,0,0
102,30,Pass,106,46,2,0,0,0,0
102,30,Pass,106,48,2,0,0,0,0
102,30,Pass,106,50,2,0,0,0,0
102,30,Pass,104,36,3,0.079,0,0,0
102,30,Pass,104,38,4,0.018,0,0,0
102,30,Pass,104,40,4,0.003,0,0,0
102,30,Pass,104,42,4,0.001,0,0,0
102,30,Pass,104,44,2,0.001,0,0,0
102,30,Pass,104,46,2,0.001,0,0,0
102,30,Pass,104,48,2,0,0,0,0
102,30,Pass,104,50,2,0,0,0,0
102,30,Pass,104,52,2,0,0,0,0
102,30,Pass,102,34,3,0.185,0,0,0
102,30,Pass,102,36,4,0.062,0,0,0
102,30,Pass,102,38,4,0.015,0,0,0.001
102,30,Pass,102,40,4,0.005,0,0,0.001
102,30,Pass,102,42,3,0.004,0,0,0.001
102,30,Pass,102,44,3,0.004,0,0,0
102,30,Pass,102,46,2,0.003,0,0,0
102,30,Pass,102,48,2,0.002,0,0,0
102,30,Pass,102,50,2,0.001,0,0,0
102,30,Pass,102,52,2,0,0,0,0
102,30,Pass,102,54,2,0,0,0,0
102,30,Pass,100,32,3,0.21,0,0,0
102,30,Pass,100,34,4,0.101,0,0,0.001
102,30,Pass,100,36,4,0.035,0,0,0.002
102,30,Pass,100,38,4,0.011,0,0,0.004
102,30,Pass,100,40,4,0.009,0,0,0.003
102,30,Pass,100,42,3,0.012,0,0,0.001
102,30,Pass,100,44,3,0.014,0,0,0
102,30,Pass,100,46,3,0.011,0,0,0
102,30,Pass,100,48,2,0.006,0,0,0
102,30,Pass,100,50,2,0.002,0,0,0
102,30,Pass,100,52,2,0.001,0,0,0
102,30,Pass,100,54,2,0,0,0,0
102,30,Pass,98,32,3,0.08,0,0,0.001
102,30,Pass,98,34,4,0.04,0,0,0.004
102,30,Pass,98,36,4,0.016,0,0,0.011
102,30,Pass,98,38,4,0.011,0,0,0.012
102,30,Pass,98,40,4,0.018,0,0,0.004
102,30,Pass,98,42,3,0.028,0,0,0.001
102,30,Pass,98,44,3,0.031,0,0,0
102,30,Pass,98,46,3,0.025,0,0,0
102,30,Pass,98,48,2,0.014,0,0,0
102,30,Pass,98,50,2,0.005,0,0,0
102,30,Pass,98,52,2,0.001,0,0,0
102,30,Pass,98,54,2,0,0,0,0
102,30,Pass,98,56,2,0,0,0,0
102,30,Pass,96,32,3,0.023,0,0,0.009
102,30,Pass,96,34,4,0.013,0,0,0.023
102,30,Pass,96,36,4,0.01,0,0,0.034
102,30,Pass,96,38,4,0.014,0,0,0.017
102,30,Pass,96,40,3,0.028,0,0,0.005
102,30,Pass,96,42,3,0.043,0,0,0.001
102,30,Pass,96,44,3,0.049,0,0,0
102,30,Pass,96,46,3,0.039,0,0,0
102,30,Pass,96,48,3,0.022,0,0,0
102,30,Pass,96,50,2,0.009,0,0,0
102,30,Pass,96,52,2,0.002,0,0,0
102,30,Pass,96,54,2,0,0,0,0
102,30,Pass,96,56,2,0,0,0,0
102,30,Pass,94,32,4,0.006,0,0,0.041
102,30,Pass,94,34,4,0.006,0,0,0.065
102,30,Pass,94,36,4,0.008,0,0,0.053
102,30,Pass,94,38,3,0.015,0,0,0.021
102,30,Pass,94,40,3,0.03,0,0,0.006
102,30,Pass,94,42,3,0.047,0,0,0.001
102,30,Pass,94,44,3,0.053,0,0,0
102,30,Pass,94,46,3,0.042,0,0,0
102,30,Pass,94,48,3,0.024,0,0,0
102,30,Pass,94,50,2,0.009,0,0,0
102,30,Pass,94,52,2,0.003,0,0,0
102,30,Pass,94,54,2,0.001,0,0,0
