x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
102,16,Pass,114,30,4,0.026,0,0,0
102,16,Pass,114,32,4,0.019,0,0,0
102,16,Pass,114,34,5,0.058,0,0,0
102,16,Pass,114,36,5,0.181,0,0,0
102,16,Pass,114,38,4,0.403,0,0,0
102,16,Pass,114,40,4,0.628,0,0,0
102,16,Pass,112,28,4,0.105,0,0,0
102,16,Pass,112,30,5,0.046,0,0,0
102,16,Pass,112,32,4,0.023,0,0,0
102,16,Pass,112,34,5,0.047,0,0,0
102,16,Pass,112,36,5,0.142,0,0,0
102,16,Pass,112,38,4,0.315,0,0,0
102,16,Pass,112,40,4,0.492,0,0,0
102,16,Pass,112,42,5,0.537,0,0,0
102,16,Pass,112,44,6,0.412,1,0,0
102,16,Pass,110,26,5,0.224,0,0,0
102,16,Pass,110,28,5,0.136,0,0,0
102,16,Pass,110,30,6,0.058,0,0,0
102,16,Pass,110,32,5,0.022,0,0,0
102,16,Pass,110,34,6,0.028,0,0,0
102,16,Pass,110,36,6,0.078,0,0,0
102,16,Pass,110,38,5,0.173,0,0,0
102,16,Pass,110,40,5,0.269,0,0,0
102,16,Pass,110,42,6,0.294,0,0,0
102,16,Pass,110,44,6,0.226,1,0,0
102,16,Pass,110,46,7,0.123,1,0,0
102,16,Pass,108,24,8,0.234,0,0,0
102,16,Pass,108,26,6,0.203,0,0,0.001
102,16,Pass,108,28,6,0.124,0,0,0.002
102,16,Pass,108,30,8,0.053,0,0,0.003
102,16,Pass,108,32,7,0.019,0,0,0.006
102,16,Pass,108,34,6,0.015,0,0,0.005
102,16,Pass,108,36,6,0.033,0,0,0.002
102,16,Pass,108,38,5,0.069,0,0,0.001
102,16,Pass,108,40,5,0.105,0,0,0.001
102,16,Pass,108,42,6,0.114,0,0,0
102,16,Pass,108,44,7,0.087,1,0,0
102,16,Pass,108,46,7,0.047,1,0,0
102,16,Pass,106,24,9,0.151,0,0,0.004
102,16,Pass,106,26,7,0.133,0,0,0.008
102,16,Pass,106,28,7,0.084,0,0,0.014
102,16,Pass,106,30,7,0.039,0,0,0.024
102,16,Pass,106,32,8,0.018,0,0,0.034
102,16,Pass,106,34,7,0.016,0,0,0.026
102,16,Pass,106,36,7,0.025,0,0,0.016
102,16,Pass,106,38,6,0.036,0,0,0.011
102,16,Pass,106,40,6,0.041,0,0,0.007
102,16,Pass,106,42,6,0.037,0,0,0.004
102,16,Pass,106,44,7,0.026,1,0,0.002
102,16,Pass,106,46,7,0.013,1,0,0.001
102,16,Pass,106,48,7,0.005,1,0,0.002
102,16,Pass,104,24,10,0.079,0,0,0.032
102,16,Pass,104,26,9,0.079,0,0,0.053
102,16,Pass,104,28,10,0.061,0,0,0.078
102,16,Pass,104,30,9,0.039,0,0,0.096
102,16,Pass,104,32,8,0.031,0,0,0.076
102,16,Pass,104,34,9,0.042,0,0,0.037
102,16,Pass,104,36,9,0.059,0,0,0.024
102,16,Pass,104,38,7,0.066,0,0,0.021
102,16,Pass,104,40,6,0.053,0,0,0.02
102,16,Pass,104,42,7,0.031,0,0,0.018
102,16,Pass,104,44,7,0.014,0,0,0.015
102,16,Pass,104,46,7,0.005,1,0,0.011
102,16,Pass,104,48,7,0.001,1,0,0.009
102,16,Pass,102,24,14,0.06,0,0,0.122
102,16,Pass,102,26,13,0.082,0,0.001,0.144
102,16,Pass,102,28,13,0.086,0,0.001,0.156
102,16,Pass,102,30,11,0.073,0,0.001,0.146
102,16,Pass,102,32,8,0.071,0,0,0.093
102,16,Pass,102,34,8,0.098,0,0,0.041
102,16,Pass,102,36,7,0.138,0,0,0.025
102,16,Pass,102,38,9,0.149,0,0,0.022
102,16,Pass,102,40,8,0.114,0,0,0.022
102,16,Pass,102,42,6,0.061,0,0,0.022
102,16,Pass,102,44,8,0.023,0,0,0.021
102,16,Pass,102,46,8,0.006,0,0,0.021
102,16,Pass,102,48,6,0.001,1,0,0.022
102,16,Pass,100,24,17,0.085,0,0.001,0.17
102,16,Pass,100,26,17,0.134,0,0.002,0.175
102,16,Pass,100,28,15,0.153,0,0.002,0.174
102,16,Pass,100,30,14,0.135,0,0.001,0.157
102,16,Pass,100,32,12,0.127,0,0.001,0.101
102,16,Pass,100,34,9,0.167,0,0,0.045
102,16,Pass,100,36,9,0.232,0,0,0.026
102,16,Pass,100,38,9,0.249,0,0,0.023
102,16,Pass,100,40,8,0.19,0,0,0.022
102,16,Pass,100,42,7,0.101,0,0,0.022
102,16,Pass,100,44,6,0.038,0,0,0.022
102,16,Pass,100,46,6,0.01,0,0,0.022
102,16,Pass,100,48,6,0.002,0,0,0.022
102,16,Pass,98,24,16,0.117,0,0.001,0.171
102,16,Pass,98,26,17,0.187,0,0.002,0.173
102,16,Pass,98,28,17,0.214,0,0.002,0.172
102,16,Pass,98,30,15,0.187,0,0.002,0.157
102,16,Pass,98,32,13,0.163,0,0.001,0.107
102,16,Pass,98,34,12,0.201,0,0.001,0.048
102,16,Pass,98,36,10,0.272,0,0,0.027
102,16,Pass,98,38,9,0.29,0,0,0.023
102,16,Pass,98,40,8,0.221,0,0,0.022
102,16,Pass,98,42,6,0.118,0,0,0.022
102,16,Pass,98,44,6,0.044,0,0,0.022
102,16,Pass,98,46,5,0.012,0,0,0.021
102,16,Pass,98,48,5,0.002,0,0,0.021
102,16,Pass,96,24,15,0.129,0,0.001,0.152
102,16,Pass,96,26,18,0.2,0,0.002,0.157
102,16,Pass,96,28,18,0.225,0,0.002,0.157
102,16,Pass,96,30,16,0.191,0,0.002,0.148
102,16,Pass,96,32,16,0.154,0,0.001,0.107
102,16,Pass,96,34,14,0.173,0,0.001,0.051
102,16,Pass,96,36,12,0.225,0,0,0.028
102,16,Pass,96,38,11,0.239,0,0,0.023
102,16,Pass,96,40,10,0.182,0,0,0.022
102,16,Pass,96,42,6,0.098,0,0,0.021
102,16,Pass,96,44,6,0.037,0,0,0.021
102,16,Pass,96,46,5,0.01,0,0,0.02
102,16,Pass,94,26,18,0.186,0,0.001,0.114
102,16,Pass,94,28,18,0.202,0,0.002,0.118
102,16,Pass,94,30,19,0.163,0,0.001,0.116
102,16,Pass,94,32,18,0.118,0,0.001,0.094
102,16,Pass,94,34,16,0.113,0,0,0.05
102,16,Pass,94,36,13,0.137,0,0,0.027
102,16,Pass,94,38,11,0.144,0,0,0.022
102,16,Pass,94,40,10,0.111,0,0,0.02
102,16,Pass,94,42,7,0.061,0,0,0.019
102,16,Pass,94,44,7,0.024,0,0,0.018
102,16,Pass,94,46,5,0.007,0,0,0.016
102,16,Pass,92,28,19,0.195,0,0.001,0.058
102,16,Pass,92,30,19,0.148,0,0.001,0.061
102,16,Pass,92,32,18,0.092,0,0,0.056
102,16,Pass,92,34,18,0.068,0,0,0.037
102,16,Pass,92,36,13,0.072,0,0,0.022
102,16,Pass,92,38,12,0.074,0,0,0.017
102,16,Pass,92,40,8,0.058,0,0,0.016
102,16,Pass,92,42,7,0.035,0,0,0.014
102,16,Pass,92,44,7,0.016,0,0,0.011
102,16,Pass,90,32,19,0.087,0,0,0.02
102,16,Pass,90,34,18,0.051,0,0,0.017
102,16,Pass,90,36,14,0.045,0,0,0.012
102,16,Pass,90,38,12,0.045,0,0,0.01
102,16,Pass,90,40,10,0.037,0,0,0.008
102,16,Run,120,14,3,0.019,0,0,0
102,16,Run,120,16,3,0.069,0,0,0
102,16,Run,120,18,3,0.176,0,0,0
102,16,Run,120,20,3,0.326,0,0,0
102,16,Run,120,22,3,0.457,0,0,0
102,16,Run,120,24,3,0.505,0,0,0
102,16,Run,120,26,3,0.455,0,0,0
102,16,Run,120,28,3,0.331,0,0,0
102,16,Run,120,30,3,0.187,0,0,0
102,16,Run,120,32,3,0.078,0,0,0
102,16,Run,120,34,3,0.023,0,0,0
102,16,Run,120,36,1,0.005,0,0,0
102,16,Run,120,38,1,0.001,0,0,0
102,16,Run,118,14,3,0.019,0,0,0
102,16,Run,118,16,3,0.068,0,0,0
102,16,Run,118,18,3,0.177,0,0,0
102,16,Run,118,20,3,0.34,0,0,0
102,16,Run,118,22,3,0.506,0,0,0
102,16,Run,118,24,3,0.607,0,0,0
102,16,Run,118,26,3,0.595,0,0,0
102,16,Run,118,28,3,0.461,0,0,0
102,16,Run,118,30,3,0.27,0,0,0
102,16,Run,118,32,3,0.115,0,0,0
102,16,Run,118,34,3,0.035,0,0,0
102,16,Run,118,36,1,0.007,0,0,0
102,16,Run,118,38,1,0.001,0,0,0
102,16,Run,116,14,3,0.013,0,0,0
102,16,Run,116,16,3,0.047,0,0,0
102,16,Run,116,18,3,0.126,0,0,0
102,16,Run,116,20,3,0.255,0,0,0
102,16,Run,116,22,3,0.408,0,0,0
102,16,Run,116,24,3,0.534,0,0,0
102,16,Run,116,26,3,0.563,0,0,0
102,16,Run,116,28,3,0.458,0,0,0
102,16,Run,116,30,3,0.275,0,0,0
102,16,Run,116,32,3,0.119,0,0,0
102,16,Run,116,34,3,0.036,0,0,0
102,16,Run,116,36,1,0.008,0,0,0
102,16,Run,116,38,1,0.001,0,0,0
