x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
34,66,Pass,74,72,63,0.495,0,0,0
34,66,Pass,74,74,55,0.788,0,0,0
34,66,Pass,74,76,48,1.158,0,0,0
34,66,Pass,74,78,46,1.344,0,0,0
34,66,Pass,72,68,70,0.523,0,0,0
34,66,Pass,72,70,68,0.515,0,0,0
34,66,Pass,72,72,63,0.591,0,0,0
34,66,Pass,72,74,59,0.791,0,0,0
34,66,Pass,72,76,49,1.02,0,0,0
34,66,Pass,72,78,48,1.077,0,0,0
34,66,Pass,72,80,45,0.864,0,0,0
34,66,Pass,70,66,66,0.529,0,0,0
34,66,Pass,70,68,66,0.561,0,0,0
34,66,Pass,70,70,69,0.594,0,0,0
34,66,Pass,70,72,65,0.651,0,0,0
34,66,Pass,70,74,62,0.74,0,0,0
34,66,Pass,70,76,57,0.809,1,0,0
34,66,Pass,70,78,52,0.757,0,0,0
34,66,Pass,70,80,49,0.557,0,0,0
34,66,Pass,68,64,68,0.452,0,0,0
34,66,Pass,68,66,71,0.46,0,0,0
34,66,Pass,68,68,72,0.519,0,0,0
34,66,Pass,68,70,76,0.611,1,0,0
34,66,Pass,68,72,73,0.696,1,0,0
34,66,Pass,68,74,69,0.735,1,0,0
34,66,Pass,68,76,70,0.701,1,0,0
34,66,Pass,68,78,65,0.579,1,0,0
34,66,Pass,68,80,62,0.391,1,0,0
34,66,Pass,66,64,78,0.393,0,0,0
34,66,Pass,66,66,81,0.372,0,0,0
34,66,Pass,66,68,87,0.437,1,0,0
34,66,Pass,66,70,90,0.584,1,0,0
34,66,Pass,66,72,87,0.75,2,0,0
34,66,Pass,66,74,81,0.844,2,0,0
34,66,Pass,66,76,76,0.808,1,0,0
34,66,Pass,66,78,71,0.647,1,0,0
34,66,Pass,66,80,66,0.425,1,0,0
34,66,Pass,64,64,82,0.37,0,0,0.003
34,66,Pass,64,66,96,0.31,2,0,0.002
34,66,Pass,64,68,108,0.361,2,0,0.001
34,66,Pass,64,70,111,0.549,2,0,0
34,66,Pass,64,72,108,0.828,2,0,0
34,66,Pass,64,74,96,1.07,2,0,0
34,66,Pass,64,76,91,1.124,2,0,0.001
34,66,Pass,64,78,82,0.938,2,0,0.001
34,66,Pass,64,80,71,0.622,1,0,0.001
34,66,Pass,62,64,105,0.503,2,0,0.008
34,66,Pass,62,66,108,0.354,2,0,0.007
34,66,Pass,62,68,123,0.357,2,0,0.003
34,66,Pass,62,70,121,0.562,2,0,0.001
34,66,Pass,62,72,114,0.956,2,0,0.001
34,66,Pass,62,74,110,1.387,2,0,0.002
34,66,Pass,62,76,101,1.579,2,0,0.002
34,66,Pass,62,78,91,1.376,2,0,0.003
34,66,Pass,62,80,84,0.917,2,0,0.003
34,66,Pass,60,64,124,0.962,3,0.001,0.011
34,66,Pass,60,66,132,0.627,2,0,0.011
34,66,Pass,60,68,132,0.513,2,0,0.007
34,66,Pass,60,70,133,0.703,2,0,0.004
34,66,Pass,60,72,133,1.189,2,0,0.003
34,66,Pass,60,74,131,1.802,2,0,0.004
34,66,Pass,60,76,120,2.154,2,0,0.004
34,66,Pass,60,78,111,1.943,2,0.001,0.005
34,66,Pass,60,80,99,1.307,2,0,0.006
34,66,Pass,58,64,152,1.778,3,0.001,0.012
34,66,Pass,58,66,152,1.165,2,0.001,0.012
34,66,Pass,58,68,162,0.882,2,0,0.009
34,66,Pass,58,70,171,1.041,2,0,0.007
34,66,Pass,58,72,162,1.602,2,0.001,0.006
34,66,Pass,58,74,150,2.377,2,0.001,0.006
34,66,Pass,58,76,142,2.888,2,0.001,0.007
34,66,Pass,58,78,131,2.672,2,0.001,0.008
34,66,Pass,58,80,115,1.832,2,0.001,0.009
34,66,Pass,56,64,170,2.628,4,0.002,0.012
34,66,Pass,56,66,187,1.78,3,0.001,0.011
34,66,Pass,56,68,196,1.371,2,0.001,0.009
