x,y,WeightedExpectedGoals,GoalProbability
0,0,0.0984863840864509,0.004
0,2,0.0822330891344171,0.003
0,4,0.0478693843818833,0.002
0,6,0.0194271862757776,0.001
0,8,0.00549670957689424,0
0,10,0.00108426765633348,0
0,12,0.000149111465821884,0
0,14,0,0
0,16,0,0
0,18,0,0
0,20,0.000164664141504746,0
0,22,0.00085920749454187,0
0,24,0.00365309622100266,0
0,26,0.0106185154464922,0.001
0,28,0.0238566907351934,0.001
0,30,0.0426391161404341,0.001
0,32,0.0618748401816462,0.002
0,34,0.071641061003104,0.002
0,36,0.065801936933071,0.001
0,38,0.0503984469057177,0.001
0,40,0.0376112980977264,0.001
0,42,0.0312826983852754,0.001
0,44,0.0260672149059042,0.001
0,46,0.0182419622604948,0
0,48,0.00981824302074771,0
0,50,0.00456171026126284,0
0,52,0.00312742915137341,0
0,54,0.0039727468661108,0
0,56,0.00463693209635978,0
0,58,0.00402763941585403,0
0,60,0.00262723034680821,0
0,62,0.00178061189211933,0
0,64,0.0020440413275428,0
0,66,0.0027985993694845,0
0,68,0.00299469052990383,0
0,70,0.00229166895106181,0
0,72,0.00122808520491527,0
0,74,0.000460978782925523,0
0,76,0.000121225360443545,0
0,78,0.0000099498615177014,0
0,80,0,0
2,0,0.0822330891344171,0.003
2,2,0.0686620898037345,0.002
2,4,0.0399694575976074,0.001
2,6,0.016221100565989,0.001
2,8,0.00458958274055401,0
2,10,0.000905330007349745,0
2,12,0.0001245034689174,0
2,14,0,0
2,16,0.0000157285075086208,0
2,18,0.0000909156857250342,0
2,20,0.000481426864460664,0
2,22,0.00261037888347487,0
2,24,0.0099588942539097,0
2,26,0.0288422638909144,0.001
2,28,0.064395004997907,0.001
2,30,0.114661594886307,0.002
2,32,0.164917976099412,0.002
2,34,0.190848917702981,0.002
2,36,0.178555903714406,0.002
2,38,0.143377702432817,0.001
2,40,0.113547738455698,0.001
2,42,0.0966845545629014,0.001
2,44,0.0797490139016605,0.001
2,46,0.0549255141508115,0.001
2,48,0.0297712618593996,0
2,50,0.0146103340247774,0
2,52,0.0113507565144658,0
2,54,0.014754504093089,0.001
2,56,0.0173731294455643,0.001
2,58,0.0151246794934773,0.001
2,60,0.0100006925111454,0.001
2,62,0.00710904835602266,0.001
2,64,0.00852076674897699,0.001
2,66,0.0119418649423083,0.001
2,68,0.0128331062791145,0.001
2,70,0.0098635486003747,0.001
2,72,0.00533213384589552,0
2,74,0.0020916462896114,0
2,76,0.000571613050117541,0
2,78,0.000156061072690953,0
2,80,0.0000395788527634297,0
4,0,0.0478693843818833,0.002
4,2,0.0399694575976074,0.001
4,4,0.0232669518975236,0.001
4,6,0.00944259915642067,0
4,8,0.00267918020869972,0
4,10,0.000538655688297217,0
4,12,0.0000928401635989515,0
4,14,0.0000430646916944855,0
4,16,0.000101169326285742,0
4,18,0.000520192391995287,0
4,20,0.00152585148560661,0
4,22,0.00571891822130089,0
4,24,0.0199219258372835,0.001
4,26,0.0563467367378445,0.001
4,28,0.126422271564878,0.002
4,30,0.226556341230981,0.002
4,32,0.328570670501113,0.002
4,34,0.386415560729004,0.003
4,36,0.374615154683176,0.002
4,38,0.319264473350547,0.002
4,40,0.267293494552744,0.002
4,42,0.230050452645411,0.001
4,44,0.186192770590103,0.001
4,46,0.126522351122992,0.001
4,48,0.0693712552249427,0.001
4,50,0.03588806207774,0
4,52,0.029758768579901,0.001
4,54,0.0390486702880755,0.001
4,56,0.0459585916831421,0.002
4,58,0.0400210340514639,0.002
4,60,0.0269768877168202,0.001
4,62,0.0202934091636691,0.001
4,64,0.025642577381543,0.002
4,66,0.0360441214322893,0.002
4,68,0.0390359281746596,0.002
4,70,0.0303237168095386,0.002
4,72,0.0168567329913445,0.001
4,74,0.00695616359056987,0
4,76,0.00241177856431337,0
4,78,0.000892063442936279,0
4,80,0.000335820617963951,0
6,0,0.0194271862757776,0.001
6,2,0.016221100565989,0.001
6,4,0.00945145308508435,0
6,6,0.00386044630480297,0
6,8,0.00114727075814991,0
6,10,0.000317319049526728,0
6,12,0.0001406941074675,0
6,14,0.000434814163336681,0
6,16,0.00113171662711204,0
6,18,0.00255225734406372,0
6,20,0.00528503941696621,0
6,22,0.0122339334176597,0
6,24,0.0323969429525849,0.001
6,26,0.0832614975331278,0.001
6,28,0.183656040041257,0.002
6,30,0.334183840128788,0.002
6,32,0.497677958877499,0.003
6,34,0.607809919247625,0.003
6,36,0.622265538639513,0.003
6,38,0.566220016957764,0.003
6,40,0.494347219883243,0.002
6,42,0.423387415412958,0.002
6,44,0.33423789703508,0.002
6,46,0.224893579653268,0.001
6,48,0.126152898529992,0.001
6,50,0.0688368217312621,0.001
6,52,0.0580740575631986,0.001
6,54,0.0742046829491988,0.002
6,56,0.0867332750902138,0.002
6,58,0.0765006142544751,0.003
6,60,0.0533769755201132,0.002
6,62,0.0422756983125546,0.002
6,64,0.0551768398854207,0.002
6,66,0.0784821707218922,0.003
6,68,0.0866370995038688,0.004
6,70,0.0693335314125378,0.003
6,72,0.0407836132563343,0.002
6,74,0.0189360918254357,0.001
6,76,0.00832877769578685,0
6,78,0.00411658515058425,0
6,80,0.00200090616437675,0
8,0,0.00549670957689424,0
8,2,0.00460089799326166,0
8,4,0.00272353206496547,0
8,6,0.00124992417145608,0
8,8,0.00067575236595815,0
8,10,0.000650990263573635,0
8,12,0.00104645633974741,0
8,14,0.00217790894239445,0
8,16,0.00512502817071022,0
8,18,0.0106434162197944,0
8,20,0.0186931571046738,0
8,22,0.0307035101998091,0.001
8,24,0.0536512349973171,0.001
8,26,0.104267145982218,0.001
8,28,0.207078709185691,0.002
8,30,0.375618167040858,0.003
8,32,0.581458979696592,0.003
8,34,0.753669533553717,0.004
8,36,0.82991413084422,0.004
8,38,0.807382758765842,0.004
8,40,0.724756866397982,0.003
8,42,0.608704428730875,0.003
8,44,0.465497210106812,0.002
8,46,0.311735102529999,0.002
8,48,0.182788853587258,0.001
8,50,0.107552750135312,0.001
8,52,0.089041867047318,0.001
8,54,0.106555382933556,0.002
8,56,0.123689936196404,0.003
8,58,0.113268597622842,0.003
8,60,0.0838649318619193,0.003
8,62,0.0688403256167875,0.002
8,64,0.0887901012093287,0.003
8,66,0.127619752470756,0.004
8,68,0.146430200785962,0.005
8,70,0.124891871679984,0.004
8,72,0.0812918573299465,0.003
8,74,0.0448823392088825,0.002
8,76,0.0251891613390651,0.001
8,78,0.0150282035059718,0.001
8,80,0.00799434793580155,0
10,0,0.00109129634240427,0
10,2,0.000951529269644818,0
10,4,0.000738716898165634,0
10,6,0.00101363387652597,0
10,8,0.00173047840814862,0
10,10,0.00276811426020457,0
10,12,0.00413513719916004,0
10,14,0.00780937368682123,0
10,16,0.0174017290426384,0
10,18,0.0343225886829148,0.001
10,20,0.0557404694183283,0.001
10,22,0.0782219987500175,0.001
10,24,0.101946640200885,0.001
10,26,0.134829781759005,0.002
10,28,0.201405533853797,0.002
10,30,0.333654600816321,0.003
10,32,0.531941524000816,0.003
10,34,0.745071043916392,0.004
10,36,0.898299636427953,0.005
10,38,0.940026423365507,0.004
10,40,0.864676236327309,0.004
10,42,0.707052753023413,0.003
10,44,0.520378478173493,0.003
10,46,0.350243652893685,0.002
10,48,0.222568945745037,0.002
10,50,0.145527802476687,0.001
10,52,0.117709133593914,0.002
10,54,0.128605951209784,0.002
10,56,0.150212446271521,0.003
10,58,0.148955445827553,0.004
10,60,0.120614486478035,0.003
10,62,0.0981584133211134,0.003
10,64,0.114966908079831,0.003
10,66,0.164183455141189,0.005
10,68,0.200525534009737,0.006
10,70,0.188374248311067,0.006
10,72,0.139876108966639,0.004
10,74,0.0923701426370137,0.003
10,76,0.0622016282543722,0.002
10,78,0.0411455955647383,0.001
10,80,0.0226463839879445,0.001
12,0,0.000169118640064763,0
12,2,0.000447616245029092,0
12,4,0.00119740557360455,0
