x,y,WeightedExpectedGoals,GoalProbability
0,0,0.0984863840864509,0.006
0,2,0.0822330891344171,0.005
0,4,0.0478693843818833,0.005
0,6,0.0194271862757776,0.005
0,8,0.00549670957689424,0.004
0,10,0.00108426765633348,0.002
0,12,0.000149111465821884,0
0,14,0,0
0,16,0,0
0,18,0,0
0,20,0,0
0,22,0,0
0,24,0,0
0,26,0,0
0,28,0,0
0,30,0,0
0,32,0,0
0,34,0,0
0,36,0,0
0,38,0,0
0,40,0,0
0,42,0,0
0,44,0,0
0,46,0,0
0,48,0,0
0,50,0,0
0,52,0,0
0,54,0,0
0,56,0,0
0,58,0,0
0,60,0,0
0,62,0,0
0,64,0,0
0,66,0,0
0,68,0,0
0,70,0,0
0,72,0,0
0,74,0,0
0,76,0,0
0,78,0,0
0,80,0,0
2,0,0.0822330891344171,0.005
2,2,0.0686620898037345,0.005
2,4,0.0399694575976074,0.005
2,6,0.016221100565989,0.004
2,8,0.00458958274055401,0.003
2,10,0.000905330007349745,0.001
2,12,0.0001245034689174,0
2,14,0,0
2,16,0,0
2,18,0,0
2,20,0,0
2,22,0.0000739451653128187,0
2,24,0.000114824345313579,0
2,26,0.000124307976337612,0
2,28,0.0000938220331095095,0
2,30,0,0
2,32,0,0
2,34,0,0
2,36,0,0
2,38,0,0
2,40,0,0
2,42,0,0
2,44,0,0
2,46,0,0
2,48,0,0
2,50,0,0
2,52,0,0
2,54,0,0
2,56,0.0000782281073272869,0
2,58,0.000103647058076712,0
2,60,0.000095739677677755,0
2,62,0.000061654924080289,0
2,64,0,0
2,66,0,0
2,68,0,0
2,70,0,0
2,72,0,0
2,74,0.0000597110435476295,0
2,76,0.0000746763959673547,0
2,78,0.000065110774789895,0
2,80,0.0000395788527634297,0
4,0,0.0478693843818833,0.005
4,2,0.0399694575976074,0.005
4,4,0.0232669518975236,0.004
4,6,0.00944259915642067,0.003
4,8,0.00267168000950223,0.002
4,10,0.000527009146445163,0.001
4,12,0.0000724757451436966,0
4,14,0,0
4,16,0,0
4,18,0.0000866642177371585,0
4,20,0.000276874121342028,0
4,22,0.000616688335917552,0
4,24,0.000957612767984141,0
4,26,0.00103670441122986,0.001
4,28,0.000782457557920622,0.001
4,30,0.000411725208389539,0.001
4,32,0.000151041034339422,0
4,34,0,0
4,36,0,0
4,38,0,0
4,40,0,0
4,42,0,0
4,44,0,0
4,46,0,0
4,48,0,0
4,50,0,0
4,52,0.00012060181204634,0
4,54,0.00032875043801243,0
4,56,0.0006247692870172,0
4,58,0.000827777902194372,0
4,60,0.000764625557304303,0
4,62,0.000492407451423863,0
4,64,0.000221075821472123,0
4,66,0.00006919882232263,0
4,68,0,0
4,70,0.00010557866300892,0
4,72,0.000271658436601128,0
4,74,0.000487316437627602,0
4,76,0.000609452340732441,0.001
4,78,0.000531384965604815,0.001
4,80,0.000323012702309866,0.001
6,0,0.0194271862757776,0.004
6,2,0.016221100565989,0.003
6,4,0.00944259915642067,0.002
6,6,0.00383215984721773,0.002
6,8,0.00108426765633348,0.001
6,10,0.00021388001933243,0
6,12,0,0
6,14,0,0
6,16,0.000109960036894202,0
6,18,0.000503890993784421,0
6,20,0.00160982675202068,0.001
6,22,0.00358560553079937,0.001
6,24,0.00556783943730547,0.002
6,26,0.00602770127827884,0.004
6,28,0.00454943605041857,0.007
6,30,0.0023938902333454,0.005
6,32,0.000878196548503385,0.001
6,34,0.000224605322582492,0
6,36,0,0
6,38,0,0
6,40,0,0
6,42,0,0
6,44,0,0
6,46,0,0
6,48,0,0
6,50,0.000171743308432721,0
6,52,0.000671508488579003,0
6,54,0.00183047589421448,0.001
6,56,0.00347870295244235,0.001
6,58,0.00460905088033052,0.001
6,60,0.00425741988119549,0.001
6,62,0.00274171488686775,0.001
6,64,0.00123094577286338,0.001
6,66,0.000385297665108559,0
6,68,0.000246847681785912,0
6,70,0.000600721785807705,0
6,72,0.00154568296769368,0.001
6,74,0.00277273449314629,0.002
6,76,0.00346766371211335,0.003
6,78,0.00302347573261578,0.004
6,80,0.00183787861903272,0.005
