x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
6,68,Pass,64,72,10,0.007,0,0,0
6,68,Pass,64,74,11,0.009,0,0,0
6,68,Pass,64,76,10,0.016,0,0,0
6,68,Pass,64,78,10,0.021,0,0,0
6,68,Pass,64,80,9,0.021,0,0,0
6,68,Pass,62,70,11,0.011,0,0,0
6,68,Pass,62,72,12,0.012,0,0,0
6,68,Pass,62,74,12,0.019,0,0,0
6,68,Pass,62,76,12,0.028,0,0,0
6,68,Pass,62,78,10,0.032,0,0,0
6,68,Pass,62,80,9,0.026,0,0,0
6,68,Pass,60,68,17,0.022,0,0,0
6,68,Pass,60,70,16,0.021,0,0,0
6,68,Pass,60,72,14,0.033,0,0,0
6,68,Pass,60,74,14,0.058,0,0,0
6,68,Pass,60,76,13,0.082,0,0,0
6,68,Pass,60,78,10,0.084,0,0,0
6,68,Pass,60,80,9,0.061,0,0,0
6,68,Pass,58,66,16,0.046,0,0,0
6,68,Pass,58,68,17,0.042,0,0,0
6,68,Pass,58,70,17,0.051,0,0,0
6,68,Pass,58,72,17,0.092,0,0,0
6,68,Pass,58,74,17,0.166,0,0,0
6,68,Pass,58,76,15,0.23,0,0,0
6,68,Pass,58,78,14,0.23,0,0,0
6,68,Pass,58,80,10,0.162,0,0,0
6,68,Pass,56,66,19,0.073,0,0,0
6,68,Pass,56,68,17,0.08,0,0,0
6,68,Pass,56,70,17,0.113,0,0,0
6,68,Pass,56,72,20,0.21,0,0,0
6,68,Pass,56,74,18,0.373,0,0,0
6,68,Pass,56,76,18,0.512,0,0,0
6,68,Pass,56,78,14,0.508,0,0,0
6,68,Pass,56,80,13,0.359,0,0,0
6,68,Pass,54,66,25,0.111,0,0,0
6,68,Pass,54,68,24,0.147,0,0,0
6,68,Pass,54,70,24,0.218,0,0,0
6,68,Pass,54,72,19,0.378,0,0,0
6,68,Pass,54,74,19,0.637,0,0,0
6,68,Pass,54,76,19,0.864,0,0,0
6,68,Pass,54,78,17,0.869,0,0,0
6,68,Pass,54,80,15,0.635,0,0,0
6,68,Pass,52,66,25,0.172,0,0,0
6,68,Pass,52,68,28,0.255,0,0,0
6,68,Pass,52,70,26,0.364,0,0,0
6,68,Pass,52,72,26,0.544,0,0,0
6,68,Pass,52,74,25,0.832,0,0,0
6,68,Pass,52,76,21,1.115,0,0,0
6,68,Pass,52,78,19,1.167,0,0,0
6,68,Pass,52,80,16,0.917,0,0,0
6,68,Pass,50,66,31,0.252,0,0,0
6,68,Pass,50,68,32,0.38,0,0,0
6,68,Pass,50,70,32,0.506,0,0,0
6,68,Pass,50,72,32,0.642,0,0,0
6,68,Pass,50,74,32,0.867,0,0,0
6,68,Pass,50,76,29,1.152,0,0,0
6,68,Pass,50,78,24,1.293,0,0,0
6,68,Pass,50,80,22,1.13,0,0,0
6,68,Pass,48,66,35,0.328,0,0,0
6,68,Pass,48,68,36,0.458,0,0,0
6,68,Pass,48,70,36,0.568,0,0,0
6,68,Pass,48,72,35,0.634,0,0,0
6,68,Pass,48,74,34,0.762,0,0,0
6,68,Pass,48,76,33,1.015,0,0,0
6,68,Pass,48,78,27,1.241,0,0,0
6,68,Pass,48,80,23,1.204,0,0,0
6,68,Pass,46,68,39,0.481,0,0,0
6,68,Pass,46,70,41,0.546,0,0,0
6,68,Pass,46,72,39,0.554,0,0,0
6,68,Pass,46,74,36,0.604,0,0,0
6,68,Pass,46,76,37,0.798,0,0,0
6,68,Pass,46,78,29,1.034,0,0,0
