x,y,WeightedExpectedGoals,GoalProbability
0,0,0.255783653596422,0.016
0,2,0.213571451327303,0.016
0,4,0.124323845841083,0.016
0,6,0.0504552657792244,0.016
0,8,0.014275764831637,0.015
0,10,0.00281600289406464,0.01
0,12,0.000387264451576984,0.002
0,14,0,0
0,16,0,0
0,18,0,0
0,20,0,0
0,22,0,0
0,24,0,0
0,26,0,0
0,28,0.0000584866557753407,0.001
0,30,0.000150488678461622,0.001
0,32,0.000269955196712264,0.001
0,34,0.00033761394819787,0.001
0,36,0.000294367523529772,0
0,38,0.000178937033228614,0
0,40,0.0000758318053622944,0
0,42,0,0
0,44,0,0
0,46,0,0
0,48,0,0
0,50,0,0
0,52,0,0
0,54,0,0
0,56,0,0
0,58,0,0
0,60,0,0
0,62,0,0
0,64,0,0
0,66,0,0
0,68,0,0
0,70,0,0
0,72,0,0
0,74,0,0
0,76,0,0
0,78,0,0
0,80,0,0
2,0,0.213571451327303,0.016
2,2,0.178325566081789,0.016
2,4,0.10380657175523,0.016
2,6,0.0421285887040143,0.016
2,8,0.0119198227526711,0.014
2,10,0.00235127544927555,0.006
2,12,0.00032335385708919,0.001
2,14,0,0
2,16,0,0
2,18,0,0
2,20,0,0
2,22,0,0
2,24,0,0
2,26,0.000107988469794653,0.001
2,28,0.000398550723053897,0.002
2,30,0.00102548813600645,0.003
2,32,0.00183957925813211,0.003
2,34,0.00230063219350753,0.002
2,36,0.00200593430742608,0.002
2,38,0.00121934624281342,0.001
2,40,0.000516747289735916,0
2,42,0.000152675796864685,0
2,44,0,0
2,46,0,0
2,48,0,0
2,50,0,0
2,52,0,0
2,54,0,0
2,56,0,0
2,58,0,0
2,60,0,0
2,62,0,0
2,64,0,0
2,66,0,0
2,68,0,0
2,70,0,0
2,72,0,0
2,74,0,0
2,76,0,0
2,78,0,0
2,80,0,0
4,0,0.124323845841083,0.016
4,2,0.10380657175523,0.016
4,4,0.0604277029723904,0.016
4,6,0.0245238215828461,0.015
4,8,0.00693874671519206,0.011
4,10,0.00136872041964856,0.002
4,12,0.000188230191025241,0
4,14,0,0
4,16,0,0
4,18,0,0
4,20,0,0
4,22,0,0
4,24,0.000096912463782507,0
4,26,0.000513032672431396,0.002
4,28,0.0018934386507802,0.005
4,30,0.00487189900887113,0.009
4,32,0.00873949102847289,0.01
4,34,0.0109298657973512,0.009
4,36,0.00952981221437383,0.006
4,38,0.00579288198785761,0.003
4,40,0.00245496804917246,0.001
4,42,0.000725333660436411,0
4,44,0.000149406896592126,0
4,46,0,0
4,48,0,0
4,50,0,0
4,52,0,0
4,54,0,0
4,56,0,0
4,58,0,0
4,60,0,0
4,62,0,0
4,64,0,0
4,66,0,0
4,68,0,0
4,70,0,0
4,72,0,0
4,74,0,0
4,76,0,0
4,78,0,0
4,80,0,0
6,0,0.0504552657792244,0.016
6,2,0.0421285887040143,0.015
6,4,0.0245238215828461,0.015
6,6,0.00995268387583851,0.013
6,8,0.00281600289406464,0.005
6,10,0.000555477930107586,0.001
6,12,0,0
6,14,0,0
6,16,0,0
6,18,0,0
6,20,0,0
6,22,0,0
6,24,0.000320987482235469,0
6,26,0.00169923515924495,0.002
6,28,0.00627133065820338,0.008
6,30,0.0161364032604989,0.02
6,32,0.0289464028852329,0.029
6,34,0.0362012270303731,0.029
6,36,0.0315640559477844,0.022
6,38,0.0191868262511891,0.011
6,40,0.00813119368052461,0.004
6,42,0.00240240539097868,0.001
6,44,0.000494856303244437,0
6,46,0.0000710645064269168,0
6,48,0,0
6,50,0,0
6,52,0,0
6,54,0,0
6,56,0,0
6,58,0,0
6,60,0,0
6,62,0,0
6,64,0,0
6,66,0,0
6,68,0,0
6,70,0,0
6,72,0,0
6,74,0,0
6,76,0,0
6,78,0,0
6,80,0,0
8,0,0.014275764831637,0.013
8,2,0.0119198227526711,0.012
8,4,0.00693874671519206,0.01
8,6,0.00281600289406464,0.006
8,8,0.000796757176085061,0.002
8,10,0.000157166396349569,0
8,12,0,0
8,14,0,0
8,16,0.00000454720542023608,0
8,18,0.00000915510593114742,0
8,20,0.0000128505879539608,0
8,22,0.000110189606761657,0
8,24,0.000749782919814432,0
8,26,0.00392784385389261,0.002
8,28,0.0144813478655335,0.008
8,30,0.0372611303166013,0.026
8,32,0.0668411462388156,0.05
8,34,0.0835935131406663,0.062
8,36,0.072885660020034,0.057
8,38,0.0443049681993037,0.035
8,40,0.0187760222937181,0.012
8,42,0.00554747789215789,0.003
8,44,0.00114268991085021,0
8,46,0.0001640975248394,0
8,48,0,0
