Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedExpectedGoals,y,x,event
1,0.00072771577860726,0,0,0,0,44,76,Shot
1,0.0007727152092229,0,0,0,0,46,76,Shot
1,0.000384256599760061,0,0,0,0,34,78,Shot
2,0.00126660128956592,0,0,0,0,36,78,Shot
2,0.00253208900514361,0,0,0,0,38,78,Shot
2,0.00370146200923304,0,0,0,0,40,78,Shot
2,0.00810852718675921,0,0,0,0,42,78,Shot
1,0.0189566592040265,0,0,0,0,44,78,Shot
1,0.0201288735432407,0,0,0,0,46,78,Shot
1,0.00786289830040152,0,0,0,0,48,78,Shot
1,0.00112992954246808,0,0,0,0,50,78,Shot
2,0.000767329037373653,0,0,0,0,52,78,Shot
2,0.000954806400124238,0,0,0,0,54,78,Shot
1,0.000447336254027269,0,0,0,0,30,80,Shot
3,0.00430327245899678,0,0,0,0,32,80,Shot
5,0.0175087102119342,0,0,0,0,34,80,Shot
7,0.0398678834686591,0,0,0,0,36,80,Shot
7,0.0609540501056519,0,0,0,0,38,80,Shot
6,0.0701086730874865,0,0,0,0,40,80,Shot
6,0.0943204709629812,0,0,0,0,42,80,Shot
4,0.188962542967787,0,0,0,0,44,80,Shot
5,0.194963086845542,0,0,0,0,46,80,Shot
3,0.0764957211871221,0,0,0,0,48,80,Shot
3,0.0176692545226855,0,0,0,0,50,80,Shot
4,0.0241421512845741,0,0,0,0,52,80,Shot
4,0.0297537450298416,0,0,0,0,54,80,Shot
4,0.0161385736341278,0,0,0,0,56,80,Shot
4,0.00561698904228369,0,0,0,0,58,80,Shot
2,0.00141545840510495,0,0,0,0,60,80,Shot
1,0.000994172326135912,0,0,0,0,26,82,Shot
7,0.00899358749574164,0,0,0,0,28,82,Shot
10,0.0296254223878383,0,0,0,0,30,82,Shot
11,0.0904702240555761,0,0,0,0,32,82,Shot
14,0.249659440182332,0,0,0,0,34,82,Shot
14,0.45972933149189,0,0,0,0,36,82,Shot
15,0.576691004034549,0,0,0,0,38,82,Shot
15,0.535154670111359,0,0,0,0,40,82,Shot
11,0.480429522563829,0,0,0,0,42,82,Shot
8,0.73194394524825,0,0,0,0,44,82,Shot
8,0.729701464733955,0,0,0,0,46,82,Shot
11,0.307063662888416,0,0,0,0,48,82,Shot
10,0.139760596471791,0,0,0,0,50,82,Shot
10,0.283076938442909,0,0,0,0,52,82,Shot
8,0.349121521363774,0,0,0,0,54,82,Shot
6,0.209270931195352,0,0,0,0,56,82,Shot
4,0.0943461166478487,0,0,0,0,58,82,Shot
4,0.0310156073976817,0,0,0,0,60,82,Shot
2,0.00460189702377591,0,0,0,0,62,82,Shot
1,0.00180679630362313,0,0,0,0,20,84,Shot
3,0.00496406523181344,0,0,0,0,22,84,Shot
6,0.0089180988735266,0,0,0,0,24,84,Shot
11,0.0388967035273065,0,0,0,0,26,84,Shot
14,0.160192577197157,0,0,0,0,28,84,Shot
18,0.39215619405179,0,0,0,0,30,84,Shot
21,0.77017590221331,0,0,0,0,32,84,Shot
23,1.52294272068701,0,0,0,0,34,84,Shot
20,2.34838152605609,1,0.000497557216469325,0.000211872394220768,0.0000255147854681148,36,84,Shot
20,2.48501139727063,0,0,0,0,38,84,Shot
22,1.92362563961773,0,0,0,0,40,84,Shot
22,1.34942829057721,0,0,0,0,42,84,Shot
21,1.48219556112349,0,0,0,0,44,84,Shot
22,1.41787156833746,0,0,0,0,46,84,Shot
20,0.790268526940088,0,0,0,0,48,84,Shot
19,0.721555856875459,0,0,0,0,50,84,Shot
20,1.39072046571965,0,0,0,0,52,84,Shot
16,1.61416241732357,0,0,0,0,54,84,Shot
12,1.10988569514815,0,0,0,0,56,84,Shot
8,0.652207675798263,0,0,0,0,58,84,Shot
6,0.239882792275527,0,0,0,0,60,84,Shot
3,0.0368958320949954,0,0,0,0,62,84,Shot
2,0.00211008470031651,0,0,0,0,64,84,Shot
2,0.0065293735766181,0,0,0,0,18,86,Shot
4,0.0395061606767269,0,0,0,0,20,86,Shot
6,0.0995714958820207,0,0,0,0,22,86,Shot
13,0.156755277962251,0,0,0,0,24,86,Shot
17,0.385057970670871,0,0,0,0,26,86,Shot
22,1.18787922240851,0,0,0,0,28,86,Shot
25,2.3527489911145,0,0,0,0,30,86,Shot
31,3.20713726274696,1,0.00218574182509887,0.000681524252325499,0.000112085066621723,32,86,Shot
31,4.41493550851774,1,0.00941171583828715,0.00213179010658912,0.000482633760605016,34,86,Shot
33,5.77417201113224,1,0.0149088542135912,0.00258198996927142,0.000764527584454461,36,86,Shot
30,5.60210107521046,2,0.00924608172885786,0.00165046678107472,0.00047414002636018,38,86,Shot
29,4.02707972209828,2,0.00298618594184114,0.000741526403228295,0.000153131923630082,40,86,Shot
30,2.91015536785438,1,0.000832397888574126,0.000286032112844835,0.0000426854497293577,42,86,Shot
32,2.94485407209403,1,0.00111622815048359,0.000379043620891496,0.0000572402948853924,44,86,Shot
33,2.8999750462626,1,0.0021596696689994,0.000744720087085824,0.000110748083763169,46,86,Shot
31,2.40280134877148,1,0.00153718877736432,0.000639748591014511,0.0000788271993254514,48,86,Shot
33,2.60448194360252,1,0.000402506223143135,0.000154543679648778,0.0000206405607096875,50,86,Shot
28,3.48619566857,0,0,0,0,52,86,Shot
22,3.40159250893652,0,0,0,0,54,86,Shot
19,2.63885727509343,0,0,0,0,56,86,Shot
16,1.87740976767043,0,0,0,0,58,86,Shot
11,0.741565271664951,0,0,0,0,60,86,Shot
5,0.118712278774445,0,0,0,0,62,86,Shot
3,0.00719937926020021,0,0,0,0,64,86,Shot
2,0.00316864293178335,0,0,0,0,16,88,Shot
3,0.0484774873093455,0,0,0,0,18,88,Shot
6,0.28983874499835,0,0,0,0,20,88,Shot
12,0.727566384080682,0,0,0,0,22,88,Shot
20,1.07930396244065,0,0,0,0,24,88,Shot
23,1.83343624333152,0,0,0,0,26,88,Shot
30,4.07090662466876,0,0,0,0,28,88,Shot
36,6.66024627401524,1,0.00205845413044982,0.000309065768105426,0.000105557740488766,30,88,Shot
39,6.94605270738194,1,0.0240938176606103,0.00346870642588194,0.00123553345900722,32,88,Shot
37,6.72116271176952,1,0.103747003729917,0.0154358714673347,0.00532015707040143,34,88,Shot
42,7.55839498843743,2,0.166794074670522,0.0220673932661203,0.00855321738225345,36,88,Shot
38,7.47355044157707,2,0.109187994034742,0.0146099226717337,0.0055991716153955,38,88,Shot
