x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
84,50,Pass,120,0,1,0.001,0,0,0
84,50,Pass,120,2,1,0.001,0,0,0
84,50,Pass,120,4,1,0.003,0,0,0
84,50,Pass,120,6,1,0.003,0,0,0
84,50,Pass,120,8,1,0.003,0,0,0
84,50,Pass,120,10,1,0.002,0,0,0
84,50,Pass,120,12,1,0.001,0,0,0
84,50,Pass,120,14,1,0,0,0,0
84,50,Pass,120,24,1,0.001,0,0,0
84,50,Pass,120,26,1,0.008,0,0,0
84,50,Pass,120,28,1,0.035,0,0,0
84,50,Pass,120,30,2,0.106,0,0,0
84,50,Pass,120,32,2,0.226,0,0,0
84,50,Pass,120,34,3,0.337,0,0,0
84,50,Pass,120,36,3,0.35,0,0,0
84,50,Pass,120,38,2,0.254,0,0,0
84,50,Pass,120,40,2,0.13,0,0,0
84,50,Pass,120,42,3,0.048,0,0,0
84,50,Pass,120,44,3,0.013,0,0,0
84,50,Pass,120,46,3,0.003,0,0,0
84,50,Pass,120,48,4,0.001,0,0,0
84,50,Pass,120,50,3,0.001,0,0,0
84,50,Pass,120,52,3,0.001,0,0,0
84,50,Pass,120,54,2,0.001,0,0,0
84,50,Pass,120,56,2,0.002,0,0,0
84,50,Pass,120,58,2,0.002,0,0,0
84,50,Pass,120,60,3,0.002,0,0,0
84,50,Pass,120,62,3,0.002,0,0,0
84,50,Pass,120,64,2,0.001,0,0,0
84,50,Pass,120,66,2,0,0,0,0
84,50,Pass,120,68,1,0,0,0,0
84,50,Pass,120,70,1,0,0,0,0
84,50,Pass,120,72,1,0,0,0,0
84,50,Pass,118,0,1,0.003,0,0,0
84,50,Pass,118,2,1,0.008,0,0,0
84,50,Pass,118,4,1,0.013,0,0,0
84,50,Pass,118,6,1,0.016,0,0,0
84,50,Pass,118,8,1,0.013,0,0,0
84,50,Pass,118,10,1,0.008,0,0,0
84,50,Pass,118,12,1,0.003,0,0,0
84,50,Pass,118,14,1,0.001,0,0,0
84,50,Pass,118,16,1,0,0,0,0
84,50,Pass,118,22,1,0,0,0,0
84,50,Pass,118,24,1,0.002,0,0,0
84,50,Pass,118,26,1,0.012,0,0,0
84,50,Pass,118,28,2,0.053,0,0,0
84,50,Pass,118,30,3,0.162,0,0,0
84,50,Pass,118,32,3,0.347,0,0,0
84,50,Pass,118,34,3,0.516,0,0,0
84,50,Pass,118,36,3,0.537,0,0,0
84,50,Pass,118,38,3,0.391,0,0,0
84,50,Pass,118,40,4,0.202,0,0,0
84,50,Pass,118,42,5,0.075,0,0,0
84,50,Pass,118,44,4,0.021,0,0,0
84,50,Pass,118,46,6,0.005,0,0,0.001
84,50,Pass,118,48,7,0.001,0,0,0.006
84,50,Pass,118,50,5,0.001,0,0,0.018
84,50,Pass,118,52,6,0.001,0,0,0.012
84,50,Pass,118,54,5,0.001,0,0,0.006
84,50,Pass,118,56,5,0.002,0,0,0.001
84,50,Pass,118,58,4,0.003,0,0,0
84,50,Pass,118,60,5,0.004,0,0,0
84,50,Pass,118,62,6,0.004,0,0,0.011
84,50,Pass,118,64,5,0.004,0,0,0.027
84,50,Pass,118,66,5,0.003,0,0,0.053
84,50,Pass,118,68,4,0.002,0,0,0.079
84,50,Pass,118,70,3,0.001,0,0,0.105
84,50,Pass,118,72,2,0,0,0,0.137
84,50,Pass,116,0,1,0.011,0,0,0
84,50,Pass,116,2,1,0.026,0,0,0
84,50,Pass,116,4,1,0.046,0,0,0
84,50,Pass,116,6,1,0.056,0,0,0
84,50,Pass,116,8,2,0.047,0,0,0
84,50,Pass,116,10,2,0.028,0,0,0
84,50,Pass,116,12,2,0.012,0,0,0
84,50,Pass,116,14,2,0.004,0,0,0
84,50,Pass,116,16,2,0.001,0,0,0
84,50,Pass,116,18,1,0,0,0,0
84,50,Pass,116,22,2,0,0,0,0.006
84,50,Pass,116,24,2,0.002,0,0,0.002
84,50,Pass,116,26,3,0.013,0,0,0
84,50,Pass,116,28,4,0.057,0,0,0
84,50,Pass,116,30,5,0.174,0,0,0
84,50,Pass,116,32,5,0.371,0,0,0
84,50,Pass,116,34,4,0.552,0,0,0
84,50,Pass,116,36,6,0.575,0,0,0
84,50,Pass,116,38,6,0.421,0,0,0
84,50,Pass,116,40,8,0.219,0,0,0
84,50,Pass,116,42,9,0.084,0,0,0
84,50,Pass,116,44,10,0.025,0,0,0
84,50,Pass,116,46,9,0.007,0,0,0.004
84,50,Pass,116,48,8,0.002,0,0,0.028
84,50,Pass,116,50,8,0.001,0,0,0.076
84,50,Pass,116,52,7,0.001,0,0,0.073
84,50,Pass,116,54,8,0.002,0,0,0.026
84,50,Pass,116,56,8,0.004,0,0,0.006
84,50,Pass,116,58,9,0.008,0,0,0.001
84,50,Pass,116,60,9,0.014,0,0,0.009
84,50,Pass,116,62,8,0.019,0,0,0.02
84,50,Pass,116,64,8,0.02,0,0,0.039
84,50,Pass,116,66,6,0.019,0,0,0.063
84,50,Pass,116,68,5,0.015,0,0,0.082
84,50,Pass,116,70,5,0.01,0,0,0.095
84,50,Pass,116,72,4,0.004,0,0,0.106
84,50,Pass,116,74,2,0.001,0,0,0.118
84,50,Pass,116,76,1,0,0,0,0.139
84,50,Pass,114,0,2,0.027,0,0,0
84,50,Pass,114,2,2,0.066,0,0,0
84,50,Pass,114,4,2,0.115,0,0,0
84,50,Pass,114,6,3,0.139,0,0,0
84,50,Pass,114,8,3,0.118,0,0,0
84,50,Pass,114,10,3,0.07,0,0,0
84,50,Pass,114,12,2,0.03,0,0,0
84,50,Pass,114,14,2,0.011,0,0,0
84,50,Pass,114,16,2,0.004,0,0,0
84,50,Pass,114,18,2,0.001,0,0,0
84,50,Pass,114,20,2,0,0,0,0.007
84,50,Pass,114,22,2,0,0,0,0.032
84,50,Pass,114,24,2,0.002,0,0,0.012
84,50,Pass,114,26,4,0.011,0,0,0.004
84,50,Pass,114,28,5,0.044,0,0,0.001
84,50,Pass,114,30,5,0.132,0,0,0
84,50,Pass,114,32,6,0.28,0,0,0
84,50,Pass,114,34,9,0.415,0,0,0
84,50,Pass,114,36,10,0.433,0,0,0
84,50,Pass,114,38,10,0.318,0,0,0
84,50,Pass,114,40,9,0.169,0,0,0
84,50,Pass,114,42,11,0.068,0,0,0
84,50,Pass,114,44,11,0.023,0,0,0.002
84,50,Pass,114,46,11,0.008,0,0,0.019
84,50,Pass,114,48,11,0.004,0,0,0.074
84,50,Pass,114,50,11,0.003,0,0,0.119
84,50,Pass,114,52,13,0.004,0,0,0.101
84,50,Pass,114,54,13,0.006,0,0,0.045
84,50,Pass,114,56,11,0.014,0,0,0.01
84,50,Pass,114,58,12,0.032,0,0,0.006
84,50,Pass,114,60,13,0.057,0,0,0.011
84,50,Pass,114,62,11,0.079,0,0,0.024
84,50,Pass,114,64,9,0.092,0,0,0.044
84,50,Pass,114,66,8,0.092,0,0,0.066
84,50,Pass,114,68,6,0.077,0,0,0.083
84,50,Pass,114,70,5,0.05,0,0,0.095
84,50,Pass,114,72,5,0.024,0,0,0.101
84,50,Pass,114,74,3,0.008,0,0,0.107
84,50,Pass,114,76,3,0.002,0,0,0.109
84,50,Pass,112,0,2,0.05,0,0,0
84,50,Pass,112,2,2,0.122,0,0,0
84,50,Pass,112,4,3,0.208,0,0,0
84,50,Pass,112,6,3,0.249,0,0,0
84,50,Pass,112,8,3,0.21,0,0,0
84,50,Pass,112,10,3,0.128,0,0,0
84,50,Pass,112,12,3,0.061,0,0,0
84,50,Pass,112,14,2,0.026,0,0,0
84,50,Pass,112,16,2,0.012,0,0,0
84,50,Pass,112,18,3,0.006,0,0,0.001
84,50,Pass,112,20,2,0.002,0,0,0.007
84,50,Pass,112,22,2,0.002,0,0,0.032
84,50,Pass,112,24,5,0.004,0,0,0.032
84,50,Pass,112,26,4,0.011,0,0,0.019
84,50,Pass,112,28,5,0.032,0,0,0.007
84,50,Pass,112,30,7,0.083,0,0,0.002
84,50,Pass,112,32,8,0.164,0,0,0.001
84,50,Pass,112,34,10,0.237,0,0,0
84,50,Pass,112,36,11,0.242,0,0,0
84,50,Pass,112,38,11,0.177,0,0,0
84,50,Pass,112,40,12,0.096,0,0,0
84,50,Pass,112,42,12,0.041,0,0,0.002
84,50,Pass,112,44,13,0.017,0,0,0.012
84,50,Pass,112,46,12,0.01,0,0,0.054
84,50,Pass,112,48,13,0.01,0,0,0.106
84,50,Pass,112,50,15,0.012,0,0,0.122
84,50,Pass,112,52,14,0.013,0,0,0.105
84,50,Pass,112,54,13,0.02,0,0,0.05
84,50,Pass,112,56,12,0.045,0,0,0.013
84,50,Pass,112,58,13,0.1,0,0,0.007
84,50,Pass,112,60,13,0.178,0,0,0.013
84,50,Pass,112,62,13,0.255,0,0,0.026
84,50,Pass,112,64,11,0.309,0,0.001,0.047
84,50,Pass,112,66,8,0.322,0,0.001,0.067
84,50,Pass,112,68,7,0.276,0,0.002,0.083
84,50,Pass,112,70,5,0.181,0,0.001,0.092
84,50,Pass,112,72,5,0.087,0,0.001,0.098
84,50,Pass,112,74,5,0.03,0,0,0.101
84,50,Pass,112,76,4,0.008,0,0,0.101
84,50,Pass,112,78,2,0.001,0,0,0.114
84,50,Pass,110,0,2,0.081,0,0,0
84,50,Pass,110,2,3,0.187,0,0,0
84,50,Pass,110,4,4,0.304,0,0,0
84,50,Pass,110,6,4,0.351,0,0,0
84,50,Pass,110,8,4,0.291,0,0,0
84,50,Pass,110,10,3,0.184,0,0,0
84,50,Pass,110,12,3,0.103,0,0,0
84,50,Pass,110,14,4,0.062,0,0,0
84,50,Pass,110,16,4,0.037,0,0,0
84,50,Pass,110,18,4,0.02,0,0,0.001
84,50,Pass,110,20,3,0.009,0,0,0.006
84,50,Pass,110,22,4,0.007,0,0,0.027
84,50,Pass,110,24,6,0.012,0,0,0.037
84,50,Pass,110,26,5,0.023,0,0,0.031
84,50,Pass,110,28,5,0.043,0,0,0.018
84,50,Pass,110,30,8,0.08,0,0,0.008
84,50,Pass,110,32,10,0.128,0,0,0.003
84,50,Pass,110,34,12,0.16,0,0,0.001
84,50,Pass,110,36,12,0.147,0,0,0.001
84,50,Pass,110,38,13,0.1,0,0,0.001
84,50,Pass,110,40,13,0.052,0,0,0.003
84,50,Pass,110,42,13,0.025,0,0,0.009
84,50,Pass,110,44,13,0.015,0,0,0.034
84,50,Pass,110,46,17,0.017,0,0,0.079
84,50,Pass,110,48,16,0.023,0,0,0.109
84,50,Pass,110,50,17,0.03,0,0,0.118
