Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedExpectedGoals,y,x,event
1,0.000410391079686749,0,0,0,0,40,74,Shot
1,0.000402264791845879,0,0,0,0,42,74,Shot
1,0.000650089833005577,0,0,0,0,36,76,Shot
1,0.00470843357772564,0,0,0,0,38,76,Shot
1,0.0125454152358811,0,0,0,0,40,76,Shot
1,0.0122969993702931,0,0,0,0,42,76,Shot
1,0.00443423575223921,0,0,0,0,44,76,Shot
1,0.000588225605988196,0,0,0,0,46,76,Shot
1,0.000371337204928748,0,0,0,0,34,78,Shot
1,0.00731081880401576,0,0,0,0,36,78,Shot
1,0.0529503816085684,0,0,0,0,38,78,Shot
1,0.141083974789495,0,0,0,0,40,78,Shot
1,0.138290324913507,0,0,0,0,42,78,Shot
1,0.0498667914387015,0,0,0,0,44,78,Shot
1,0.00661510241035438,0,0,0,0,46,78,Shot
2,0.00224431379900393,0,0,0,0,34,80,Shot
2,0.0311280188725357,0,0,0,0,36,80,Shot
3,0.219819281673349,0,0,0,0,38,80,Shot
2,0.584262953805678,0,0,0,0,40,80,Shot
2,0.57247646259279,0,0,0,0,42,80,Shot
1,0.206304922150805,0,0,0,0,44,80,Shot
1,0.0273674753962334,0,0,0,0,46,80,Shot
2,0.00178433616567539,0,0,0,0,48,80,Shot
1,0.000559201882854552,0,0,0,0,50,80,Shot
2,0.00157898019175929,0,0,0,0,24,82,Shot
2,0.0082912204679068,0,0,0,0,26,82,Shot
2,0.0162476705496016,0,0,0,0,28,82,Shot
3,0.0124575797293495,0,0,0,0,30,82,Shot
3,0.00857452883916468,0,0,0,0,32,82,Shot
3,0.021470333479276,0,0,0,0,34,82,Shot
4,0.0720874401290845,0,0,0,0,36,82,Shot
4,0.354441226423342,0,0,0,0,38,82,Shot
3,0.906824741767236,0,0,0,0,40,82,Shot
2,0.88090521109582,0,0,0,0,42,82,Shot
3,0.316668289234188,0,0,0,0,44,82,Shot
2,0.0454665382463063,0,0,0,0,46,82,Shot
3,0.0167639062592695,0,0,0,0,48,82,Shot
2,0.0230171673850105,0,0,0,0,50,82,Shot
2,0.0170995696118013,0,0,0,0,52,82,Shot
2,0.00626816923177597,0,0,0,0,54,82,Shot
1,0.000955190271648877,0,0,0,0,56,82,Shot
2,0.00153084644313616,0,0,0,0,22,84,Shot
2,0.021390512246114,0,0,0,0,24,84,Shot
2,0.111518397469117,0,0,0,0,26,84,Shot
2,0.216977740632018,0,0,0,0,28,84,Shot
4,0.16381859351138,0,0,0,0,30,84,Shot
4,0.100265029238673,0,0,0,0,32,84,Shot
6,0.20173581965622,0,0,0,0,34,84,Shot
4,0.290513149459349,0,0,0,0,36,84,Shot
4,0.404056251864876,0,0,0,0,38,84,Shot
5,0.69460401690615,0,0,0,0,40,84,Shot
4,0.602162824508024,0,0,0,0,42,84,Shot
4,0.213419308630714,0,0,0,0,44,84,Shot
5,0.0730698243054447,0,0,0,0,46,84,Shot
4,0.162004274929174,0,0,0,0,48,84,Shot
3,0.258835129550047,0,0,0,0,50,84,Shot
3,0.203313695177863,0,0,0,0,52,84,Shot
3,0.0790773122488294,0,0,0,0,54,84,Shot
4,0.0151406602283191,0,0,0,0,56,84,Shot
2,0.00501650747078289,0,0,0,0,58,84,Shot
1,0.00499159390691019,0,0,0,0,60,84,Shot
1,0.00219845596304252,0,0,0,0,62,84,Shot
1,0.000356206478307032,0,0,0,0,64,84,Shot
1,0.000909696072957532,0,0,0,0,20,86,Shot
4,0.00933094087320147,0,0,0,0,22,86,Shot
4,0.111169582376339,0,0,0,0,24,86,Shot
3,0.563281380609799,0,0,0,0,26,86,Shot
4,1.07946189985371,0,0,0,0,28,86,Shot
5,0.800299558790111,0,0,0,0,30,86,Shot
6,0.444967920343839,0,0,0,0,32,86,Shot
6,0.82467418334886,0,0,0,0,34,86,Shot
6,1.08478014463795,0,0,0,0,36,86,Shot
6,0.909604648819723,0,0,0,0,38,86,Shot
6,0.888626356288291,0,0,0,0,40,86,Shot
6,0.603170894940902,0,0,0,0,42,86,Shot
5,0.266603325142241,0,0,0,0,44,86,Shot
5,0.247063994432923,0,0,0,0,46,86,Shot
4,0.655456190160378,0,0,0,0,48,86,Shot
4,1.08657219696083,0,0,0,0,50,86,Shot
3,0.917030419514857,0,0,0,0,52,86,Shot
4,0.394006004149525,0,0,0,0,54,86,Shot
5,0.0981872388872316,0,0,0,0,56,86,Shot
3,0.0713733277730157,0,0,0,0,58,86,Shot
1,0.0773047404432994,0,0,0,0,60,86,Shot
1,0.0340474547345992,0,0,0,0,62,86,Shot
1,0.00551656442076075,0,0,0,0,64,86,Shot
1,0.000759842031179241,0,0,0,0,16,88,Shot
1,0.00672179531606011,0,0,0,0,18,88,Shot
2,0.0222254394232642,0,0,0,0,20,88,Shot
4,0.0471413109606489,0,0,0,0,22,88,Shot
4,0.255148229205739,0,0,0,0,24,88,Shot
5,1.1356910092332,0,0,0,0,26,88,Shot
6,2.063555090422,0,0,0,0,28,88,Shot
6,1.4863679266639,0,0,0,0,30,88,Shot
7,0.807945233354144,0,0,0,0,32,88,Shot
7,1.47876913729923,0,0,0,0,34,88,Shot
7,1.93147847504085,0,0,0,0,36,88,Shot
6,1.46523446508046,0,0,0,0,38,88,Shot
7,1.24580393094765,0,0,0,0,40,88,Shot
7,0.994217634740484,0,0,0,0,42,88,Shot
5,0.730249071048141,0,0,0,0,44,88,Shot
6,0.573341021042042,0,0,0,0,46,88,Shot
4,1.02380080262222,0,0,0,0,48,88,Shot
4,1.74646445288874,0,0,0,0,50,88,Shot
5,1.69872761832039,0,0,0,0,52,88,Shot
5,0.918843158326555,0,0,0,0,54,88,Shot
5,0.358549860674933,0,0,0,0,56,88,Shot
4,0.400509897337924,0,0,0,0,58,88,Shot
3,0.442490954058544,0,0,0,0,60,88,Shot
1,0.193980042290891,0,0,0,0,62,88,Shot
1,0.0314297620183676,0,0,0,0,64,88,Shot
1,0.00187340059422242,0,0,0,0,66,88,Shot
1,0.00672179531606011,0,0,0,0,16,90,Shot
1,0.0594630599743032,0,0,0,0,18,90,Shot
2,0.195116251496927,0,0,0,0,20,90,Shot
4,0.27179472783822,0,0,0,0,22,90,Shot
5,0.447804439861646,0,0,0,0,24,90,Shot
5,1.25011801886771,0,0,0,0,26,90,Shot
7,1.86305893320468,0,0,0,0,28,90,Shot
7,1.2478215622729,0,0,0,0,30,90,Shot
7,0.717075382567139,0,0,0,0,32,90,Shot
9,1.33818394259245,0,0,0,0,34,90,Shot
9,1.87847866312892,0,0,0,0,36,90,Shot
7,1.38113172940093,0,0,0,0,38,90,Shot
7,0.947558645629508,0,0,0,0,40,90,Shot
8,1.00426378644278,0,0,0,0,42,90,Shot
6,1.08132112968979,0,0,0,0,44,90,Shot
5,0.694225586391767,0,0,0,0,46,90,Shot
4,0.661066175349346,0,0,0,0,48,90,Shot
5,1.18975329618636,0,0,0,0,50,90,Shot
5,1.61225857308231,0,0,0,0,52,90,Shot
5,1.33141261062582,0,0,0,0,54,90,Shot
5,0.789407345165619,0,0,0,0,56,90,Shot
4,0.892431413311465,0,0,0,0,58,90,Shot
3,0.93673579604742,0,0,0,0,60,90,Shot
2,0.407219099808708,0,0,0,0,62,90,Shot
1,0.0658747544264029,0,0,0,0,64,90,Shot
1,0.00392652683830562,0,0,0,0,66,90,Shot
1,0.000909696072957532,0,0,0,0,14,92,Shot
1,0.0218752372736906,0,0,0,0,16,92,Shot
1,0.193515048405254,0,0,0,0,18,92,Shot
2,0.632463649273981,0,0,0,0,20,92,Shot
4,0.807404515417585,0,0,0,0,22,92,Shot
5,0.722378878133806,0,0,0,0,24,92,Shot
