x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
66,22,Pass,94,16,1,0,0,0,0
66,22,Pass,94,18,1,0,0,0,0
66,22,Pass,92,10,3,0.002,0,0,0
66,22,Pass,92,12,4,0,0,0,0
66,22,Pass,92,14,3,0,0,0,0
66,22,Pass,92,16,3,0,0,0,0
66,22,Pass,92,18,1,0,0,0,0
66,22,Pass,92,20,1,0,0,0,0
66,22,Pass,92,22,1,0,0,0,0
66,22,Pass,90,8,6,0.021,0,0,0
66,22,Pass,90,10,6,0.007,0,0,0
66,22,Pass,90,12,5,0.002,0,0,0
66,22,Run,90,12,2,0,0,0,0
66,22,Pass,90,14,3,0,0,0,0
66,22,Run,90,14,2,0.001,0,0,0
66,22,Pass,90,16,3,0,0,0,0
66,22,Run,90,16,2,0.002,0,0,0
66,22,Pass,90,18,2,0,0,0,0
66,22,Run,90,18,2,0.002,0,0,0
66,22,Pass,90,20,2,0,0,0,0
66,22,Run,90,20,2,0.002,0,0,0
66,22,Pass,90,22,2,0,0,0,0
66,22,Run,90,22,3,0.001,0,0,0
66,22,Pass,90,24,1,0,0,0,0
66,22,Pass,90,26,1,0,0,0,0
66,22,Pass,88,6,7,0.128,0,0,0
66,22,Pass,88,8,7,0.053,0,0,0
66,22,Run,88,8,2,0,0,0,0
66,22,Pass,88,10,6,0.016,0,0,0
66,22,Run,88,10,2,0,0,0,0
66,22,Pass,88,12,6,0.004,0,0,0
66,22,Run,88,12,2,0,0,0,0
66,22,Pass,88,14,5,0.001,0,0,0
66,22,Run,88,14,2,0.001,0,0,0
66,22,Pass,88,16,3,0,0,0,0
66,22,Run,88,16,2,0.002,0,0,0
66,22,Pass,88,18,3,0,0,0,0
66,22,Run,88,18,2,0.002,0,0,0
66,22,Pass,88,20,2,0,0,0,0
66,22,Run,88,20,2,0.002,0,0,0
66,22,Pass,88,22,2,0,0,0,0
66,22,Run,88,22,2,0.001,0,0,0
66,22,Pass,88,24,2,0,0,0,0
66,22,Run,88,24,3,0,0,0,0
66,22,Pass,88,26,1,0,0,0,0
66,22,Pass,86,6,7,0.226,0,0,0
66,22,Run,86,6,2,0,0,0,0
66,22,Pass,86,8,7,0.092,0,0,0
66,22,Run,86,8,2,0,0,0,0
66,22,Pass,86,10,7,0.027,0,0,0
66,22,Run,86,10,2,0,0,0,0
66,22,Pass,86,12,6,0.006,0,0,0
66,22,Run,86,12,2,0,0,0,0
66,22,Pass,86,14,6,0.001,0,0,0
66,22,Run,86,14,2,0.001,0,0,0
66,22,Pass,86,16,4,0,0,0,0
66,22,Run,86,16,2,0.001,0,0,0
66,22,Pass,86,18,3,0,0,0,0
66,22,Run,86,18,2,0.001,0,0,0
66,22,Pass,86,20,2,0,0,0,0
66,22,Run,86,20,2,0.001,0,0,0
66,22,Pass,86,22,2,0,0,0,0
66,22,Run,86,22,2,0.001,0,0,0
66,22,Pass,86,24,2,0,0,0,0
66,22,Run,86,24,2,0,0,0,0
66,22,Pass,86,26,1,0,0,0,0
66,22,Run,86,26,3,0,0,0,0
66,22,Pass,86,28,1,0,0,0,0
66,22,Pass,84,4,8,0.496,0,0,0
66,22,Pass,84,6,8,0.281,0,0,0
66,22,Run,84,6,1,0,0,0,0
66,22,Pass,84,8,8,0.114,0,0,0
66,22,Run,84,8,2,0,0,0,0
66,22,Pass,84,10,8,0.034,0,0,0
66,22,Run,84,10,2,0,0,0,0
66,22,Pass,84,12,7,0.008,0,0,0
66,22,Run,84,12,2,0,0,0,0
66,22,Pass,84,14,6,0.002,0,0,0
66,22,Run,84,14,2,0.001,0,0,0
66,22,Pass,84,16,5,0.001,1,0,0.005
66,22,Run,84,16,2,0.001,0,0,0
66,22,Pass,84,18,4,0,1,0,0.01
66,22,Run,84,18,2,0.001,0,0,0
66,22,Pass,84,20,3,0,1,0,0.017
66,22,Run,84,20,2,0.001,0,0,0
66,22,Pass,84,22,2,0,0,0,0
66,22,Run,84,22,2,0,0,0,0
66,22,Pass,84,24,2,0,0,0,0
66,22,Run,84,24,2,0,0,0,0
66,22,Pass,84,26,2,0,0,0,0
66,22,Run,84,26,2,0,0,0,0
66,22,Pass,84,28,1,0,0,0,0
66,22,Run,84,28,3,0,0,0,0
66,22,Pass,82,4,9,0.434,0,0,0
66,22,Pass,82,6,9,0.246,0,0,0
66,22,Run,82,6,1,0,0,0,0
