x,y,WeightedExpectedGoals,GoalProbability
6,70,0,0
6,72,0,0
6,74,0,0
6,76,0,0
6,78,0,0
6,80,0,0
8,68,0,0
8,70,0,0
8,72,0,0
8,74,0,0
8,76,0,0
8,78,0,0
8,80,0,0
10,66,0,0
10,68,0,0
10,70,0,0
10,72,0,0
10,74,0,0
10,76,0,0
10,78,0,0
10,80,0,0
12,66,0,0
12,68,0,0
12,70,0,0
12,72,0,0
12,74,0,0
12,76,0,0
12,78,0,0
12,80,0,0
14,64,0,0
14,66,0,0
14,68,0,0
14,70,0,0
14,72,0,0
14,74,0,0
14,76,0,0
14,78,0,0
14,80,0,0
16,64,0,0
16,66,0,0
16,68,0,0
16,70,0,0
16,72,0,0
16,74,0,0
16,76,0,0
16,78,0,0
16,80,0,0
18,64,0,0
18,66,0,0
18,68,0,0
18,70,0,0
18,72,0,0
18,74,0,0
18,76,0,0
18,78,0,0
18,80,0,0
20,64,0,0
20,66,0,0
20,68,0,0
20,70,0,0
20,72,0,0
20,74,0,0
20,76,0,0
20,78,0,0
20,80,0,0
22,66,0,0
22,68,0,0
22,70,0,0
22,72,0,0
22,74,0,0
22,76,0,0
22,78,0,0
22,80,0,0
24,66,0,0
24,68,0,0
24,70,0,0
24,72,0,0
24,74,0,0
24,76,0,0
24,78,0,0
24,80,0,0
26,68,0,0
26,70,0,0
26,72,0,0
26,74,0,0
26,76,0,0
26,78,0,0
26,80,0,0
28,20,0,0
28,22,0,0
28,24,0,0
28,26,0,0
28,28,0,0
28,30,0,0
28,58,0,0
28,60,0,0
28,62,0,0
28,64,0,0
28,70,0,0
28,72,0,0
28,74,0,0
28,76,0,0
28,78,0,0
28,80,0,0
30,16,0,0
30,18,0,0
30,20,0,0
30,22,0,0
30,24,0,0
30,26,0,0
30,28,0,0
30,30,0,0
30,32,0,0
30,54,0,0
30,56,0,0
30,58,0,0
30,60,0,0
30,62,0,0
30,64,0,0
30,66,0,0
30,68,0,0
30,74,0,0
30,76,0,0
30,78,0,0
30,80,0,0
32,16,0,0
32,18,0,0
32,20,0,0
32,22,0,0
32,24,0,0
32,26,0,0
32,28,0,0
32,30,0,0
32,32,0,0
32,34,0,0
32,52,0,0
32,54,0,0
32,56,0,0
32,58,0,0
32,60,0,0
32,62,0,0
32,64,0,0
32,66,0,0
32,68,0,0
32,70,0,0
32,72,0,0
32,74,0,0
34,14,0,0
34,16,0,0
34,18,0,0
34,20,0,0
34,22,0,0
34,24,0,0
34,26,0,0
34,28,0,0
34,30,0,0
34,32,0,0
34,34,0,0
34,36,0,0
34,50,0,0
34,52,0,0
34,54,0,0
34,56,0,0
34,58,0,0
34,60,0,0
34,62,0,0
34,64,0,0
34,66,0,0
34,68,0,0
34,70,0,0
34,72,0,0
34,74,0,0
34,76,0,0
34,78,0,0
36,14,0,0
36,16,0,0
36,18,0,0
36,20,0,0
36,22,0,0
36,24,0,0
36,26,0,0
36,28,0,0
36,30,0,0
36,32,0,0
36,34,0,0
36,36,0,0
36,50,0,0
36,52,0,0
36,54,0,0
36,56,0,0
36,58,0,0
36,60,0,0
36,62,0,0
36,64,0,0
36,66,0,0
36,68,0,0
36,70,0,0
36,72,0,0
36,74,0,0
36,76,0,0
36,78,0,0
36,80,0,0
38,12,0,0
38,14,0,0
38,16,0,0
38,18,0,0
38,20,0,0
38,22,0,0
38,24,0,0
38,26,0,0
38,28,0,0
38,30,0,0
38,32,0,0
38,34,0,0
38,36,0,0
38,48,0,0
38,50,0,0
38,52,0,0
38,54,0,0
38,56,0,0
38,58,0,0
38,60,0,0
38,62,0,0
38,64,0,0
38,66,0,0
38,68,0,0
38,70,0,0
38,72,0,0
38,74,0,0
38,76,0,0
38,78,0,0
38,80,0,0
40,12,0,0
40,14,0,0
40,16,0,0
40,18,0,0
40,20,0,0
40,22,0,0
40,24,0,0
40,26,0,0
40,28,0,0
40,30,0,0
40,32,0,0
40,34,0,0
40,36,0,0
40,38,0,0
40,48,0,0
40,50,0,0
40,52,0,0
40,54,0,0
