x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
62,78,Pass,80,72,31,0.109,0,0,0.001
62,78,Pass,80,74,30,0.094,0,0,0.002
62,78,Pass,80,76,28,0.116,0,0,0.002
62,78,Pass,80,78,24,0.154,0,0,0.001
62,78,Pass,80,80,24,0.164,0,0,0.001
62,78,Pass,78,68,33,0.172,0,0,0
62,78,Pass,78,70,38,0.161,0,0,0
62,78,Pass,78,72,36,0.126,0,0,0
62,78,Pass,78,74,34,0.121,0,0,0
62,78,Pass,78,76,31,0.168,0,0,0
62,78,Pass,78,78,30,0.231,0,0,0
62,78,Pass,78,80,25,0.244,0,0,0
62,78,Pass,76,66,36,0.178,0,0,0
62,78,Pass,76,68,41,0.211,0,0,0
62,78,Pass,76,70,37,0.192,0,0,0
62,78,Pass,76,72,38,0.159,0,0,0
62,78,Pass,76,74,36,0.174,0,0,0
62,78,Pass,76,76,34,0.252,0,0,0
62,78,Pass,76,78,30,0.332,0,0,0
62,78,Pass,76,80,26,0.332,0,0,0
62,78,Pass,74,66,40,0.251,0,0,0
62,78,Pass,74,68,45,0.271,0,0,0
62,78,Pass,74,70,46,0.243,0,0,0
62,78,Pass,74,72,40,0.218,0,0,0
62,78,Pass,74,74,37,0.262,0,0,0
62,78,Pass,74,76,34,0.37,0,0,0
62,78,Pass,74,78,31,0.454,0,0,0
62,78,Pass,74,80,23,0.425,0,0,0
62,78,Pass,72,64,36,0.381,0,0,0
62,78,Pass,72,66,38,0.401,0,0,0
62,78,Pass,72,68,46,0.39,0,0,0
62,78,Pass,72,70,46,0.34,0,0,0
62,78,Pass,72,72,45,0.312,0,0,0
62,78,Pass,72,74,39,0.369,0,0,0
62,78,Pass,72,76,37,0.487,0,0,0
62,78,Pass,72,78,30,0.559,0,0,0
62,78,Pass,72,80,24,0.498,0,0,0
62,78,Pass,70,64,34,0.684,0,0,0
62,78,Pass,70,66,40,0.633,0,0,0
62,78,Pass,70,68,42,0.557,0,0,0
62,78,Pass,70,70,46,0.461,0,0,0
62,78,Pass,70,72,46,0.406,0,0,0
62,78,Pass,70,74,43,0.442,0,0,0
62,78,Pass,70,76,36,0.533,0,0,0
62,78,Pass,70,78,31,0.577,0,0,0
62,78,Pass,70,80,25,0.501,0,0,0
62,78,Pass,68,64,37,1.011,0,0,0
62,78,Pass,68,66,44,0.856,0,0,0
62,78,Pass,68,68,47,0.687,0,0,0
62,78,Pass,68,70,47,0.533,0,0,0
62,78,Pass,68,72,47,0.438,0,0,0
62,78,Pass,68,74,44,0.435,0,0,0
62,78,Pass,68,76,35,0.483,0,0,0
62,78,Pass,68,78,31,0.498,0,0,0
62,78,Pass,68,80,25,0.426,0,0,0
62,78,Pass,66,64,40,1.16,0,0,0
62,78,Pass,66,66,44,0.923,0,0,0
62,78,Pass,66,68,51,0.683,0,0,0
62,78,Pass,66,70,49,0.496,0,0,0
62,78,Pass,66,72,44,0.391,0,0,0
62,78,Pass,66,74,42,0.379,0,0,0
62,78,Pass,66,76,36,0.412,0,0,0
62,78,Pass,66,78,28,0.414,0,0,0
62,78,Pass,66,80,24,0.345,0,0,0
62,78,Pass,64,64,41,1.008,0,0,0
62,78,Pass,64,66,45,0.767,0,0,0
62,78,Pass,64,68,50,0.531,0,0,0
62,78,Pass,64,70,52,0.376,0,0,0
62,78,Pass,64,72,49,0.327,0,0,0
62,78,Pass,64,74,43,0.378,0,0,0
62,78,Pass,64,76,37,0.456,0,0,0
62,78,Pass,64,78,32,0.457,0,0,0
62,78,Pass,64,80,25,0.354,0,0,0
62,78,Pass,62,66,45,0.498,0,0,0
62,78,Pass,62,68,48,0.334,0,0,0
62,78,Pass,62,70,52,0.261,0,0,0
62,78,Pass,62,72,50,0.32,0,0,0
62,78,Pass,62,74,48,0.498,0,0,0
62,78,Pass,62,76,37,0.668,0,0,0
62,78,Pass,62,78,32,0.668,0,0,0
62,78,Pass,62,80,27,0.483,0,0,0
62,78,Pass,60,68,51,0.211,0,0,0
62,78,Pass,60,70,53,0.208,0,0,0
62,78,Pass,60,72,50,0.357,0,0,0
62,78,Pass,60,74,50,0.646,0,0,0
62,78,Pass,60,76,40,0.899,0,0,0
62,78,Pass,60,78,33,0.894,0,0,0
62,78,Pass,60,80,28,0.627,0,0,0
62,78,Pass,58,70,54,0.213,0,0,0
62,78,Pass,58,72,48,0.37,0,0,0
62,78,Pass,58,74,44,0.668,0,0,0
62,78,Pass,58,76,38,0.925,0,0,0
62,78,Pass,58,78,36,0.912,0,0,0
62,78,Pass,58,80,28,0.632,0,0,0
62,78,Pass,56,72,47,0.345,0,0,0
62,78,Pass,56,74,40,0.553,0,0,0
62,78,Pass,56,76,37,0.733,0,0,0
62,78,Pass,56,78,32,0.709,0,0,0
62,78,Pass,56,80,26,0.486,0,0,0
62,78,Pass,54,70,47,0.324,0,0,0
62,78,Pass,54,72,42,0.33,0,0,0
62,78,Pass,54,74,39,0.433,0,0,0
62,78,Pass,54,76,35,0.525,0,0,0
62,78,Pass,52,66,43,0.551,1,0,0.002
62,78,Pass,52,68,42,0.46,0,0,0.001
62,78,Pass,52,70,42,0.361,0,0,0.001
62,78,Pass,52,72,41,0.333,0,0,0
62,78,Pass,52,74,39,0.386,0,0,0
62,78,Pass,52,76,36,0.433,0,0,0
62,78,Pass,52,78,32,0.386,0,0,0
62,78,Pass,52,80,26,0.255,0,0,0
62,78,Pass,50,64,39,0.58,1,0,0.005
62,78,Pass,50,66,41,0.531,0,0,0.004
62,78,Pass,50,68,43,0.428,0,0,0.003
62,78,Pass,50,70,43,0.339,0,0,0.001
62,78,Pass,50,72,42,0.317,0,0,0
62,78,Pass,50,74,38,0.361,0,0,0
62,78,Pass,50,76,36,0.4,0,0,0
62,78,Pass,50,78,32,0.356,0,0,0
62,78,Pass,50,80,27,0.235,0,0,0
62,78,Pass,48,62,33,0.607,1,0,0.005
62,78,Pass,48,64,37,0.614,1,0,0.006
62,78,Pass,48,66,38,0.499,0,0,0.006
62,78,Pass,48,68,41,0.367,0,0,0.004
62,78,Pass,48,70,42,0.288,0,0,0.002
62,78,Pass,48,72,41,0.274,0,0,0.001
62,78,Pass,48,74,39,0.311,0,0,0
62,78,Pass,48,76,36,0.341,0,0,0
62,78,Pass,48,78,33,0.305,0,0,0
62,78,Pass,48,80,28,0.203,0,0,0
62,78,Pass,46,62,33,0.613,1,0,0.005
62,78,Pass,46,64,35,0.593,0,0,0.005
62,78,Pass,46,66,39,0.458,0,0,0.006
62,78,Pass,46,68,41,0.333,0,0,0.004
62,78,Pass,46,70,40,0.269,0,0,0.002
62,78,Pass,46,72,39,0.25,0,0,0.001
62,78,Pass,46,74,37,0.257,0,0,0
62,78,Pass,46,76,35,0.259,0,0,0
62,78,Pass,46,78,30,0.223,0,0,0
62,78,Pass,46,80,30,0.147,0,0,0
62,78,Pass,44,60,27,0.359,1,0,0.003
62,78,Pass,44,62,29,0.475,0,0,0.004
62,78,Pass,44,64,34,0.472,0,0,0.004
62,78,Pass,44,66,39,0.401,0,0,0.004
62,78,Pass,44,68,38,0.346,0,0,0.003
62,78,Pass,44,70,38,0.317,0,0,0.001
62,78,Pass,44,72,38,0.283,0,0,0
62,78,Pass,44,74,35,0.24,0,0,0
62,78,Pass,44,76,30,0.198,0,0,0
62,78,Pass,44,78,29,0.15,0,0,0
62,78,Pass,44,80,27,0.094,0,0,0
62,78,Pass,42,60,21,0.2,0,0,0.002
62,78,Pass,42,62,25,0.278,0,0,0.003
62,78,Pass,42,64,26,0.318,0,0,0.003
62,78,Pass,42,66,31,0.351,0,0,0.002
62,78,Pass,42,68,33,0.395,0,0,0.001
62,78,Pass,42,70,34,0.406,0,0,0
62,78,Pass,42,72,34,0.35,0,0,0
62,78,Pass,42,74,29,0.255,0,0,0
62,78,Pass,42,76,27,0.168,0,0,0
62,78,Pass,42,78,25,0.103,0,0,0
62,78,Pass,42,80,23,0.056,0,0,0
62,78,Pass,40,60,16,0.083,0,0,0.002
62,78,Pass,40,62,20,0.135,0,0,0.002
62,78,Pass,40,64,24,0.207,0,0,0.001
62,78,Pass,40,66,27,0.314,0,0,0.001
62,78,Pass,40,68,28,0.421,0,0,0
62,78,Pass,40,70,29,0.452,0,0,0
62,78,Pass,40,72,27,0.378,0,0,0
62,78,Pass,40,74,27,0.252,0,0,0
62,78,Pass,40,76,24,0.142,0,0,0
62,78,Pass,40,78,22,0.071,0,0,0
62,78,Pass,40,80,20,0.032,0,0,0
62,78,Pass,38,60,13,0.029,0,0,0.001
62,78,Pass,38,62,18,0.064,0,0,0.001
62,78,Pass,38,64,19,0.137,0,0,0
62,78,Pass,38,66,23,0.252,0,0,0
62,78,Pass,38,68,24,0.362,0,0,0
62,78,Pass,38,70,23,0.39,0,0,0
62,78,Pass,38,72,24,0.317,0,0,0
62,78,Pass,38,74,20,0.2,0,0,0
62,78,Pass,38,76,21,0.103,0,0,0
62,78,Pass,38,78,20,0.045,0,0,0
62,78,Pass,38,80,18,0.017,0,0,0
62,78,Pass,36,62,15,0.031,0,0,0
62,78,Pass,36,64,18,0.08,0,0,0
62,78,Pass,36,66,18,0.16,0,0,0
62,78,Pass,36,68,20,0.233,0,0,0
62,78,Pass,36,70,20,0.249,0,0,0
62,78,Pass,36,72,18,0.197,0,0,0
62,78,Pass,36,74,18,0.12,0,0,0
62,78,Pass,36,76,17,0.058,0,0,0
62,78,Pass,36,78,15,0.023,0,0,0
62,78,Pass,36,80,13,0.008,0,0,0
62,78,Pass,34,62,12,0.013,0,0,0
62,78,Pass,34,64,13,0.036,0,0,0
62,78,Pass,34,66,14,0.074,0,0,0
62,78,Pass,34,68,14,0.108,0,0,0
62,78,Pass,34,70,15,0.114,0,0,0
62,78,Pass,34,72,15,0.089,0,0,0
62,78,Pass,34,74,14,0.053,0,0,0
62,78,Pass,34,76,14,0.024,0,0,0
62,78,Pass,34,78,13,0.009,0,0,0
62,78,Pass,34,80,10,0.003,0,0,0
62,78,Pass,32,64,9,0.012,0,0,0
62,78,Pass,32,66,9,0.024,0,0,0
62,78,Pass,32,68,10,0.035,0,0,0
62,78,Pass,32,70,11,0.037,0,0,0
62,78,Pass,32,72,11,0.029,0,0,0
62,78,Pass,32,74,12,0.017,0,0,0
62,78,Pass,32,76,11,0.008,0,0,0
62,78,Pass,32,78,9,0.003,0,0,0
62,78,Pass,32,80,7,0.001,0,0,0
62,78,Pass,30,66,7,0.006,0,0,0
62,78,Pass,30,68,8,0.008,0,0,0
62,78,Pass,30,70,8,0.009,0,0,0
62,78,Pass,30,72,8,0.007,0,0,0
62,78,Pass,30,74,8,0.004,0,0,0
62,78,Pass,30,76,8,0.002,0,0,0
62,78,Pass,30,78,7,0.001,0,0,0
62,78,Pass,28,72,6,0.001,0,0,0
62,78,Pass,58,68,54,0.21,0,0,0
62,78,Pass,56,66,52,0.389,1,0,0
62,78,Pass,56,68,52,0.303,0,0,0
62,78,Pass,56,70,47,0.26,0,0,0
62,78,Pass,54,66,49,0.507,1,0,0.001
62,78,Pass,54,68,47,0.413,0,0,0.001
62,78,Pass,54,78,30,0.488,0,0,0
62,78,Pass,54,80,25,0.329,0,0,0
62,78,Pass,104,66,4,0.001,0,0,0.004
62,78,Pass,104,68,3,0,0,0,0.024
62,78,Pass,104,70,2,0,0,0,0.086
62,78,Pass,104,72,2,0,0,0,0.14
62,78,Pass,102,62,3,0.006,0,0,0.001
62,78,Pass,102,64,4,0.003,0,0,0.005
62,78,Pass,102,66,4,0.002,0,0,0.023
62,78,Pass,102,68,4,0.001,0,0,0.05
62,78,Pass,102,70,5,0.001,0,0,0.083
62,78,Pass,102,72,3,0.001,0,0,0.11
62,78,Pass,102,74,3,0.001,0,0,0.134
62,78,Pass,102,76,2,0.001,0,0,0.153
62,78,Pass,100,60,3,0.01,0,0,0.001
62,78,Pass,100,62,4,0.008,0,0,0.004
62,78,Pass,100,64,4,0.006,0,0,0.017
62,78,Pass,100,66,4,0.005,0,0,0.039
62,78,Pass,100,68,5,0.006,0,0,0.059
62,78,Pass,100,70,6,0.006,0,0,0.077
62,78,Pass,100,72,4,0.007,0,0,0.104
62,78,Pass,100,74,5,0.007,0,0,0.13
62,78,Pass,100,76,5,0.006,0,0,0.144
62,78,Pass,100,78,4,0.005,0,0,0.15
62,78,Pass,98,58,3,0.014,0,0,0
62,78,Pass,98,60,4,0.016,0,0,0.002
62,78,Pass,98,62,4,0.016,0,0,0.008
62,78,Pass,98,64,4,0.015,0,0,0.024
62,78,Pass,98,66,5,0.02,0,0,0.041
62,78,Pass,98,68,6,0.026,0,0,0.053
62,78,Pass,98,70,7,0.029,0,0,0.069
62,78,Pass,98,72,6,0.03,0,0,0.098
62,78,Pass,98,74,5,0.03,0,0,0.126
62,78,Pass,98,76,5,0.028,0,0,0.141
62,78,Pass,98,78,5,0.021,0,0,0.145
62,78,Pass,98,80,4,0.011,0,0,0.145
62,78,Pass,96,58,4,0.022,0,0,0.001
62,78,Pass,96,60,4,0.027,0,0,0.003
62,78,Pass,96,62,4,0.03,0,0,0.011
62,78,Pass,96,64,5,0.039,0,0,0.026
62,78,Pass,96,66,7,0.061,0,0,0.036
62,78,Pass,96,68,8,0.084,0,0,0.045
62,78,Pass,96,70,7,0.094,0,0,0.062
62,78,Pass,96,72,7,0.095,0,0.001,0.092
62,78,Pass,96,74,6,0.096,0,0.001,0.122
62,78,Pass,96,76,5,0.09,0,0.001,0.138
62,78,Pass,96,78,5,0.067,0,0.001,0.141
62,78,Pass,96,80,5,0.037,0,0,0.139
62,78,Pass,94,56,3,0.015,0,0,0
62,78,Pass,94,58,4,0.026,0,0,0.001
62,78,Pass,94,60,4,0.034,0,0,0.004
62,78,Pass,94,62,5,0.046,0,0,0.014
62,78,Pass,94,64,6,0.078,0,0,0.024
62,78,Pass,94,66,8,0.136,0,0,0.031
62,78,Pass,94,68,8,0.193,0,0.001,0.038
62,78,Pass,94,70,9,0.216,0,0.001,0.054
62,78,Pass,94,72,8,0.216,0,0.002,0.085
62,78,Pass,94,74,7,0.215,0,0.002,0.117
62,78,Pass,94,76,7,0.2,0,0.002,0.133
62,78,Pass,94,78,7,0.151,0,0.002,0.135
62,78,Pass,94,80,6,0.085,0,0.001,0.13
62,78,Pass,92,56,4,0.012,0,0,0
62,78,Pass,92,58,4,0.022,0,0,0.001
62,78,Pass,92,60,5,0.033,0,0,0.006
62,78,Pass,92,62,7,0.056,0,0,0.014
62,78,Pass,92,64,8,0.117,0,0,0.021
62,78,Pass,92,66,10,0.22,0,0,0.025
62,78,Pass,92,68,11,0.315,0,0.001,0.031
62,78,Pass,92,70,11,0.351,0,0.001,0.047
62,78,Pass,92,72,12,0.345,0,0.002,0.078
62,78,Pass,92,74,10,0.34,0,0.003,0.11
62,78,Pass,92,76,9,0.319,0,0.003,0.126
