Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedExpectedGoals,y,x,event
1,0.000476520411252716,0,0,0,0,26,82,Shot
1,0.000669486203643877,0,0,0,0,28,82,Shot
1,0.000346024837777119,0,0,0,0,30,82,Shot
1,0.00345131486588665,0,0,0,0,24,84,Shot
1,0.0131807216235387,0,0,0,0,26,84,Shot
1,0.0185182230868802,0,0,0,0,28,84,Shot
1,0.00957116831486901,0,0,0,0,30,84,Shot
1,0.00181985218176918,0,0,0,0,32,84,Shot
1,0.00338297425270598,0,0,0,0,22,86,Shot
1,0.0351194560029718,0,0,0,0,24,86,Shot
1,0.134122730360148,0,0,0,0,26,86,Shot
1,0.188435406859301,0,0,0,0,28,86,Shot
2,0.0989503941893389,0,0,0,0,30,86,Shot
2,0.0233875478686862,0,0,0,0,32,86,Shot
2,0.00689637348943581,0,0,0,0,34,86,Shot
1,0.00237015482254591,0,0,0,0,36,86,Shot
1,0.000368968235605115,0,0,0,0,38,86,Shot
1,0.0019844767531895,0,0,0,0,46,86,Shot
1,0.00672179531606014,0,0,0,0,48,86,Shot
1,0.00837587273111378,0,0,0,0,50,86,Shot
1,0.00383955040987005,0,0,0,0,52,86,Shot
1,0.000647494667464862,0,0,0,0,54,86,Shot
1,0.000448770022846789,0,0,0,0,20,88,Shot
1,0.0126638981363027,0,0,0,0,22,88,Shot
1,0.131466922359297,0,0,0,0,24,88,Shot
1,0.502077896006773,0,0,0,0,26,88,Shot
2,0.708119457261564,0,0,0,0,28,88,Shot
2,0.387755626942438,0,0,0,0,30,88,Shot
2,0.141775758606862,0,0,0,0,32,88,Shot
2,0.0881911377947109,0,0,0,0,34,88,Shot
1,0.0352672679058968,0,0,0,0,36,88,Shot
1,0.00549014836080381,0,0,0,0,38,88,Shot
2,0.00331458653214765,0,0,0,0,44,88,Shot
2,0.0266690897339242,0,0,0,0,46,88,Shot
1,0.08870846146699,0,0,0,0,48,88,Shot
1,0.110537549640223,0,0,0,0,50,88,Shot
2,0.051516055201678,0,0,0,0,52,88,Shot
2,0.00955669888329079,0,0,0,0,54,88,Shot
2,0.000975674279641855,0,0,0,0,56,88,Shot
1,0.000618013658263996,0,0,0,0,20,90,Shot
1,0.0174398057282248,0,0,0,0,22,90,Shot
1,0.181046748872787,0,0,0,0,24,90,Shot
2,0.692071352993865,0,0,0,0,26,90,Shot
2,0.986340234991322,0,0,0,0,28,90,Shot
2,0.628921552769416,0,0,0,0,30,90,Shot
2,0.492075312368209,0,0,0,0,32,90,Shot
2,0.462888512395122,0,0,0,0,34,90,Shot
2,0.193698663834293,0,0,0,0,36,90,Shot
3,0.0320219350464232,0,0,0,0,38,90,Shot
4,0.00626536100147666,0,0,0,0,40,90,Shot
4,0.010065429446843,0,0,0,0,42,90,Shot
3,0.0295221944628282,0,0,0,0,44,90,Shot
2,0.141236896665121,0,0,0,0,46,90,Shot
3,0.436683254707448,0,0,0,0,48,90,Shot
3,0.543754685696814,0,0,0,0,50,90,Shot
2,0.266735288464983,0,0,0,0,52,90,Shot
2,0.0663036238209207,0,0,0,0,54,90,Shot
2,0.0135042082844244,0,0,0,0,56,90,Shot
1,0.00177101933974691,0,0,0,0,58,90,Shot
