x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
54,80,Pass,94,70,30,0.197,0,0,0.005
54,80,Pass,94,72,27,0.169,0,0,0.006
54,80,Pass,94,74,26,0.167,0,0,0.004
54,80,Pass,94,76,24,0.218,0,0,0.002
54,80,Pass,94,78,21,0.3,0,0,0
54,80,Pass,94,80,19,0.335,0,0,0
54,80,Pass,92,66,29,0.467,0,0,0.001
54,80,Pass,92,68,30,0.285,0,0,0.004
54,80,Pass,92,70,29,0.199,0,0,0.008
54,80,Pass,92,72,29,0.18,0,0,0.009
54,80,Pass,92,74,30,0.198,0,0,0.006
54,80,Pass,92,76,27,0.239,0,0,0.002
54,80,Pass,92,78,22,0.281,0,0,0.001
54,80,Pass,92,80,20,0.281,0,0,0
54,80,Pass,90,64,30,0.766,0,0,0
54,80,Pass,90,66,33,0.536,0,0,0.001
54,80,Pass,90,68,40,0.334,0,0,0.003
54,80,Pass,90,70,40,0.243,0,0,0.007
54,80,Pass,90,72,40,0.257,0,0,0.007
54,80,Pass,90,74,38,0.325,0,0,0.004
54,80,Pass,90,76,34,0.397,0,0,0.002
54,80,Pass,90,78,33,0.436,0,0,0
54,80,Pass,90,80,29,0.406,0,0,0
54,80,Pass,88,64,43,0.644,0,0,0
54,80,Pass,88,66,44,0.5,0,0,0.001
54,80,Pass,88,68,46,0.362,0,0,0.002
54,80,Pass,88,70,44,0.324,0,0,0.004
54,80,Pass,88,72,45,0.396,0,0,0.003
54,80,Pass,88,74,45,0.528,0,0,0.002
54,80,Pass,88,76,44,0.659,0,0,0.001
54,80,Pass,88,78,41,0.73,0,0,0
54,80,Pass,88,80,37,0.679,0,0,0
54,80,Pass,86,64,51,0.442,0,0,0
54,80,Pass,86,66,56,0.411,0,0,0.001
54,80,Pass,86,68,59,0.407,0,0,0.001
54,80,Pass,86,70,65,0.474,0,0,0.001
54,80,Pass,86,72,64,0.596,0,0,0.001
54,80,Pass,86,74,60,0.744,0,0,0.001
54,80,Pass,86,76,57,0.892,0,0,0
54,80,Pass,86,78,51,0.98,0,0,0
54,80,Pass,86,80,45,0.915,0,0,0
54,80,Pass,84,62,50,0.29,0,0,0
54,80,Pass,84,64,58,0.314,0,0,0
54,80,Pass,84,66,65,0.4,0,0,0
54,80,Pass,84,68,75,0.576,0,0,0
54,80,Pass,84,70,83,0.787,0,0,0
54,80,Pass,84,72,81,0.931,0,0,0
54,80,Pass,84,74,78,0.997,0,0,0
54,80,Pass,84,76,72,1.054,0,0,0
54,80,Pass,84,78,67,1.092,0,0,0
54,80,Pass,84,80,56,0.996,0,0,0
54,80,Pass,82,62,58,0.287,0,0,0
54,80,Pass,82,64,71,0.334,0,0,0
54,80,Pass,82,66,85,0.545,0,0,0
