x,y,WeightedExpectedGoals,GoalProbability
0,0,0.0021942235780219,0.001
0,2,0.00496166846966413,0.001
0,4,0.00840895889194506,0.001
0,6,0.0106573616206578,0.001
0,8,0.0109839581483671,0.001
0,10,0.0116204923562988,0.002
0,12,0.0146316447866198,0.002
0,14,0.0177466621956185,0.003
0,16,0.016588537291823,0.002
0,18,0.0110590613932583,0.001
0,20,0.00519325743075998,0.001
0,22,0.00189651056794861,0
0,24,0.00138287997478428,0
0,26,0.00372120163127182,0
0,28,0.0101304929022019,0
0,30,0.0212022609939331,0.001
0,32,0.0396077195922276,0.001
0,34,0.0757185681699681,0.002
0,36,0.13864656034605,0.003
0,38,0.212173216459705,0.004
0,40,0.255036477313524,0.005
0,42,0.242785846757044,0.005
0,44,0.189085895923852,0.004
0,46,0.12210597457897,0.003
0,48,0.0640488987773437,0.002
0,50,0.0276966308173845,0.001
0,52,0.0126347684901598,0
0,54,0.00942821599421165,0
0,56,0.00866993599428126,0
0,58,0.00666415131880355,0
0,60,0.0041587026419991,0
0,62,0.00269716660893644,0
0,64,0.00263811019708391,0
0,66,0.00297458460661134,0
0,68,0.00279236394749785,0
0,70,0.00187778960014309,0
0,72,0.000880364783655994,0
0,74,0.00028775257491073,0
0,76,0.0000655717237140319,0
0,78,0.0000104172912605276,0
0,80,0,0
2,0,0.0100673689981252,0.002
2,2,0.0214673343585797,0.002
2,4,0.034783556523076,0.003
2,6,0.0425953275600792,0.003
2,8,0.0421798080008917,0.003
2,10,0.0419676616954008,0.003
2,12,0.0502333612227661,0.004
2,14,0.0595888757681126,0.005
2,16,0.0554301377853893,0.004
2,18,0.0369938675595632,0.003
2,20,0.0174159373844309,0.001
2,22,0.00633127324356911,0
2,24,0.00403437208142029,0
2,26,0.00939897189097928,0
2,28,0.0240050440671821,0.001
2,30,0.0495752233804263,0.001
2,32,0.09266131366585,0.001
2,34,0.175479016905513,0.002
2,36,0.317005203525256,0.003
2,38,0.478977051582992,0.004
2,40,0.572105824908279,0.005
2,42,0.547487840288529,0.005
2,44,0.434372358868586,0.004
2,46,0.287678564634422,0.003
2,48,0.155096160217654,0.002
2,50,0.0701162456032349,0.001
2,52,0.0365723683245916,0.001
2,54,0.0320670163290484,0.001
2,56,0.0320041076932944,0.001
2,58,0.0257807468585449,0.001
2,60,0.0162755921461368,0.001
2,62,0.00886859671808831,0
2,64,0.00562893092517084,0
2,66,0.00490424914497173,0
2,68,0.00416577480779872,0
2,70,0.00269343255240065,0
2,72,0.00126276296668462,0
2,74,0.000412741742867575,0
2,76,0.0000940536762771169,0
2,78,0.0000149421806291854,0
2,80,0.00000165498100492123,0
4,0,0.0338528497573289,0.004
4,2,0.0675909075100443,0.005
4,4,0.103361242703022,0.005
4,6,0.121064556693558,0.005
4,8,0.114504326256725,0.005
4,10,0.106748778259298,0.005
4,12,0.120558112170601,0.006
4,14,0.139750811657162,0.007
4,16,0.129160623511955,0.006
4,18,0.0861719691475005,0.004
4,20,0.0408693314565394,0.002
4,22,0.0152467077712162,0.001
4,24,0.00954197215692013,0
4,26,0.0191434544115551,0
4,28,0.0440700586845435,0.001
4,30,0.0865208946519682,0.001
4,32,0.158169280027366,0.001
4,34,0.29653915745492,0.002
4,36,0.529583390574159,0.003
4,38,0.790672116734311,0.004
4,40,0.937630545590577,0.005
4,42,0.899782783706735,0.005
4,44,0.723657013210542,0.004
4,46,0.488755195254143,0.003
4,48,0.269774004187068,0.002
4,50,0.128980673795325,0.001
4,52,0.0790879170368154,0.001
4,54,0.0812982949494504,0.001
4,56,0.0874050494153441,0.002
4,58,0.0745815100590009,0.002
4,60,0.0493611122415041,0.001
4,62,0.0263800875309565,0.001
4,64,0.0130493212879266,0
4,66,0.00740516370160746,0
4,68,0.00473547797434064,0
4,70,0.00283957964030228,0
4,72,0.00133616313574096,0
4,74,0.000544411163310861,0
4,76,0.000258723345296916,0
4,78,0.000158518602541161,0
4,80,0.0000889307058214543,0
6,0,0.0835124599994317,0.006
6,2,0.155474525813873,0.008
6,4,0.222598698783946,0.009
6,6,0.246541567069694,0.008
6,8,0.220830050395652,0.007
6,10,0.191755282572348,0.006
6,12,0.202844218578407,0.006
6,14,0.228729576842732,0.008
6,16,0.209941359685148,0.007
6,18,0.140187599351461,0.005
6,20,0.0674647396315363,0.002
6,22,0.0278171723358861,0.001
6,24,0.0213337422962623,0
6,26,0.0380462048319717,0.001
6,28,0.0732348646591149,0.001
6,30,0.126104024679804,0.001
6,32,0.213127940046583,0.001
6,34,0.383829078591389,0.002
6,36,0.670232366348322,0.003
6,38,0.984832684502303,0.004
6,40,1.15521854107444,0.005
6,42,1.10362686958495,0.005
6,44,0.890497474182378,0.004
6,46,0.607132820243937,0.003
6,48,0.341406487642538,0.002
6,50,0.174740074535418,0.001
6,52,0.128661215009244,0.001
6,54,0.152537757519809,0.002
6,56,0.175876647302722,0.002
6,58,0.160773172975196,0.003
6,60,0.115315966417548,0.002
6,62,0.0664020081409938,0.002
6,64,0.0318658599805964,0.001
6,66,0.0135929296173267,0
6,68,0.00581983502176525,0
6,70,0.0026864238095661,0
6,72,0.00142638342773698,0
6,74,0.00114081232551653,0
6,76,0.00113243346209978,0
6,78,0.00094062011479204,0
6,80,0.000565441905913152,0
8,0,0.150552422542998,0.009
8,2,0.262445401831359,0.011
8,4,0.350137611421296,0.011
8,6,0.362890806668728,0.01
8,8,0.304769920161753,0.007
8,10,0.244460264330476,0.006
8,12,0.239916867468222,0.006
8,14,0.261661885416531,0.006
8,16,0.238242492201289,0.006
8,18,0.159707570302518,0.004
8,20,0.0800460800297454,0.002
8,22,0.0414937239130729,0.001
8,24,0.0458936033582209,0.001
8,26,0.0794516902653573,0.001
8,28,0.128871540738596,0.001
8,30,0.185114365376485,0.001
8,32,0.265729809374833,0.002
8,34,0.426074607727761,0.002
8,36,0.69715456732224,0.003
8,38,0.98771005825164,0.004
8,40,1.12993409582652,0.004
8,42,1.05702501371964,0.004
8,44,0.838136692255024,0.003
8,46,0.565806813724595,0.003
8,48,0.321372473895751,0.002
8,50,0.179410509382265,0.001
8,52,0.160470986964934,0.001
8,54,0.215529508661647,0.002
8,56,0.268241996644288,0.003
8,58,0.268487708662974,0.004
8,60,0.215403629776697,0.004
8,62,0.139216629213433,0.003
8,64,0.0718548976636241,0.001
8,66,0.0294394983655795,0.001
8,68,0.0100162214696408,0
8,70,0.00372502713294593,0
8,72,0.00292573624069923,0
8,74,0.00405789186119651,0
8,76,0.00485072212364554,0
8,78,0.00420664689810378,0
8,80,0.00255401441387824,0
10,0,0.196867215334418,0.009
10,2,0.324396856898693,0.01
10,4,0.404340377859584,0.01
10,6,0.390031105082176,0.008
10,8,0.304315509772061,0.006
10,10,0.223562945765862,0.004
10,12,0.20118059724704,0.004
10,14,0.210600310333865,0.004
10,16,0.189956686579053,0.004
10,18,0.12890060630241,0.003
10,20,0.0716868993161718,0.001
10,22,0.0560237229440124,0.001
10,24,0.0872518510332778,0.001
10,26,0.152234275716675,0.002
10,28,0.226863391215856,0.002
10,30,0.289489146759952,0.002
10,32,0.35450295491934,0.002
10,34,0.476622802451817,0.002
10,36,0.682034514943063,0.003
10,38,0.890042316748285,0.003
10,40,0.962684306974729,0.004
10,42,0.856085040283125,0.003
10,44,0.645543470646465,0.003
10,46,0.419710302376538,0.002
10,48,0.239883005490058,0.001
10,50,0.152220899567641,0.001
10,52,0.166753774511285,0.001
10,54,0.247811245843437,0.002
10,56,0.335835696435008,0.003
10,58,0.376496407111443,0.004
10,60,0.34282043297713,0.005
10,62,0.247818187937192,0.004
10,64,0.138386738238832,0.002
10,66,0.059038408933631,0.001
10,68,0.0204196135580385,0
10,70,0.00842767149740857,0
10,72,0.00852547744090581,0
10,74,0.0125721741059893,0
10,76,0.0152930061509991,0
10,78,0.0132326095455516,0
10,80,0.00804265650935134,0
12,0,0.185202324250731,0.007
12,2,0.292177725163704,0.007
12,4,0.343691745576601,0.007
12,6,0.310375059470747,0.006
12,8,0.226481985602913,0.004
12,10,0.154094591908366,0.002
12,12,0.126800575112471,0.002
12,14,0.125286482205311,0.002
12,16,0.110984534703299,0.002
12,18,0.0783155946887729,0.001
12,20,0.0560042445380768,0.001
12,22,0.0729338636981395,0.001
12,24,0.137946959566217,0.002
12,26,0.239419665064547,0.003
12,28,0.344536128513017,0.003
12,30,0.42063249733737,0.003
12,32,0.47739028764149,0.003
12,34,0.562605190168729,0.003
12,36,0.693312096943174,0.003
12,38,0.804321287442851,0.003
12,40,0.798219894149789,0.003
12,42,0.65926655280078,0.003
12,44,0.463520498237709,0.002
12,46,0.287471895026277,0.001
12,48,0.171481127596076,0.001
12,50,0.13508238732495,0.001
12,52,0.176018927177574,0.001
12,54,0.273023519665653,0.002
12,56,0.393888497807768,0.003
12,58,0.486449704188656,0.005
12,60,0.486324066371347,0.006
12,62,0.376750453990762,0.005
12,64,0.221009070498076,0.003
12,66,0.0997793457536142,0.001
12,68,0.0393535895212473,0.001
12,70,0.0202920420930726,0
12,72,0.0208128374531046,0
12,74,0.0288394715356826,0.001
12,76,0.0340183610075866,0.001
12,78,0.0292348239824086,0.001
12,80,0.0177213365727888,0.001
14,0,0.124556491911659,0.004
14,2,0.191389822239576,0.004
14,4,0.218364586073518,0.004
14,6,0.193775716879884,0.003
14,8,0.144938205138136,0.002
14,10,0.104755455662433,0.002
14,12,0.085215868069319,0.001
14,14,0.0762688744540378,0.001
14,16,0.0629528792065145,0.001
14,18,0.0479430671168271,0.001
14,20,0.0511146014514178,0.001
14,22,0.0933716480719609,0.001
14,24,0.182132827326237,0.002
14,26,0.304029781753877,0.003
14,28,0.423590824769013,0.004
14,30,0.507647837046313,0.004
14,32,0.562583830123441,0.004
14,34,0.623027102616752,0.004
14,36,0.696075365927641,0.004
14,38,0.733568863123368,0.003
14,40,0.677399306647175,0.003
14,42,0.533536369758007,0.002
14,44,0.365998169133057,0.002
14,46,0.230103436573709,0.001
14,48,0.154798179169198,0.001
14,50,0.15200328480382,0.001
14,52,0.212351379225504,0.001
14,54,0.319809460785367,0.002
14,56,0.461580092749073,0.004
14,58,0.587010660698123,0.006
14,60,0.604021124361116,0.007
14,62,0.477507130227854,0.006
14,64,0.288504168646523,0.004
14,66,0.142743428870685,0.002
14,68,0.070723036009393,0.001
14,70,0.0450446925859475,0.001
14,72,0.0413830997295307,0.001
14,74,0.0488792591468326,0.001
14,76,0.0540940846863846,0.001
14,78,0.0457131076087631,0.001
14,80,0.0275849434886711,0.001
16,0,0.0603099404409939,0.002
16,2,0.0942515370825906,0.002
16,4,0.115493896717911,0.002
16,6,0.123813478767017,0.002
16,8,0.127086037259918,0.002
16,10,0.124655317396303,0.002
16,12,0.112018930844492,0.002
16,14,0.0905351061043004,0.001
16,16,0.0656391321521236,0.001
16,18,0.0498731136199632,0.001
16,20,0.0622525618051265,0.001
16,22,0.116450505206873,0.001
16,24,0.21019690318014,0.002
16,26,0.324035148577489,0.003
16,28,0.428168751466195,0.004
16,30,0.500084074827655,0.004
16,32,0.545503320011287,0.004
16,34,0.584857702167639,0.004
16,36,0.619642030366191,0.004
16,38,0.620399422967011,0.003
16,40,0.558377595692988,0.002
16,42,0.445948554287368,0.002
16,44,0.322141976188675,0.002
16,46,0.21889539222799,0.001
16,48,0.164167527579216,0.001
16,50,0.177295267144029,0.001
16,52,0.247781241886027,0.002
16,54,0.356978834355928,0.003
16,56,0.495015845634263,0.004
16,58,0.613192262206453,0.006
16,60,0.620127640599415,0.007
16,62,0.489077404239028,0.006
16,64,0.309733749271953,0.004
16,66,0.182130756277493,0.002
16,68,0.120888337900797,0.001
16,70,0.0905887032149205,0.001
16,72,0.0729130414408806,0.001
16,74,0.0677858735936679,0.001
16,76,0.0658054308274293,0.001
16,78,0.0532452046752682,0.001
16,80,0.0320478409086908,0.001
18,0,0.0227110481269693,0.001
18,2,0.0426658915896483,0.001
18,4,0.0744458936180278,0.001
18,6,0.123865763534868,0.002
18,8,0.178512035327189,0.003
18,10,0.20566184281959,0.003
18,12,0.188782115090082,0.003
18,14,0.144018979951305,0.002
18,16,0.0968285475194952,0.002
18,18,0.0693224443985522,0.001
18,20,0.0801900313423927,0.001
18,22,0.135984805150423,0.002
18,24,0.220786494187451,0.003
18,26,0.308967150561165,0.004
18,28,0.381035277279689,0.004
18,30,0.429783969194756,0.004
18,32,0.458604016030254,0.004
18,34,0.475481987830625,0.004
18,36,0.481655495618294,0.003
18,38,0.466692909854026,0.003
18,40,0.420604514855939,0.002
18,42,0.351152509874426,0.002
18,44,0.272889624119218,0.001
18,46,0.199308425520083,0.001
18,48,0.157938310811037,0.001
18,50,0.174283545596412,0.001
18,52,0.24226144151968,0.002
18,54,0.340238540494867,0.003
18,56,0.450181057830152,0.005
18,58,0.528984812712876,0.006
18,60,0.514621551634867,0.007
18,62,0.407510520298515,0.006
18,64,0.287973491255314,0.004
18,66,0.220834694248869,0.003
18,68,0.192587960840843,0.002
18,70,0.161600853166409,0.002
18,72,0.121808155300668,0.001
18,74,0.0921420680658432,0.001
18,76,0.0744563649449178,0.001
18,78,0.055864568561822,0.001
18,80,0.03398961637653,0.001
20,0,0.00990450994775643,0
20,2,0.0288232869124959,0.001
20,4,0.0747360474032834,0.001
20,6,0.155472224124813,0.003
20,8,0.243371023683885,0.004
20,10,0.283732174772609,0.005
20,12,0.254090612071584,0.005
20,14,0.186457297889237,0.003
20,16,0.123043245121595,0.002
20,18,0.0881012323508054,0.002
20,20,0.0953263255603969,0.002
20,22,0.14523956188474,0.002
20,24,0.217705241377284,0.003
20,26,0.287757139490344,0.004
20,28,0.343464988867468,0.004
20,30,0.382938242302084,0.004
20,32,0.401962583819668,0.004
20,34,0.396408476510204,0.004
20,36,0.373231861520314,0.003
20,38,0.340647425989093,0.003
20,40,0.301925547240649,0.002
20,42,0.26054133192068,0.002
20,44,0.217231050779237,0.002
20,46,0.172440662197745,0.001
20,48,0.145534148811819,0.001
20,50,0.161559667517117,0.002
20,52,0.222987556854189,0.002
20,54,0.310228296099776,0.004
20,56,0.390933319102544,0.005
20,58,0.424013112393393,0.005
20,60,0.386507313664285,0.006
20,62,0.310444660399949,0.005
20,64,0.259796830861086,0.004
20,66,0.258992081439044,0.004
20,68,0.269568803718958,0.004
20,70,0.244283644612221,0.003
20,72,0.187213628885122,0.002
20,74,0.134458165886842,0.002
20,76,0.0994173395275672,0.001
20,78,0.071774436715062,0.001
20,80,0.0459208959059001,0.001
22,0,0.00952024698308325,0
22,2,0.0323041506246897,0.001
22,4,0.0864095136006055,0.001
22,6,0.175755742021855,0.003
22,8,0.265785485674327,0.004
22,10,0.298695475054432,0.005
22,12,0.258852425945979,0.005
22,14,0.189551492516374,0.004
22,16,0.137072170907995,0.003
22,18,0.116328497029183,0.002
22,20,0.126536979995427,0.002
22,22,0.164964152871969,0.002
22,24,0.223670282464521,0.003
22,26,0.290833021613167,0.004
22,28,0.355640622895998,0.004
22,30,0.405646537632565,0.005
22,32,0.420742896850192,0.005
22,34,0.389670689840628,0.005
22,36,0.331243610804364,0.004
22,38,0.275947122703108,0.003
22,40,0.238601329466658,0.002
22,42,0.22105069951519,0.002
22,44,0.213203676977246,0.002
22,46,0.200489548435309,0.002
22,48,0.188591820118107,0.002
22,50,0.20385548964688,0.002
22,52,0.263990723610645,0.003
22,54,0.355537647941632,0.004
22,56,0.427839826819884,0.005
22,58,0.428286571495856,0.005
22,60,0.359673004915085,0.005
22,62,0.282392407206382,0.004
22,64,0.255534113100062,0.004
22,66,0.283271272469472,0.004
22,68,0.31479773590613,0.004
22,70,0.299777209657348,0.004
22,72,0.24355954803464,0.003
22,74,0.186153018968207,0.002
22,76,0.143596765259546,0.002
22,78,0.107282380599318,0.002
22,80,0.0726415894227915,0.002
24,0,0.0158171545161018,0
24,2,0.0468011079151173,0.001
24,4,0.107313013302514,0.002
24,6,0.189996472707603,0.003
24,8,0.257327125254897,0.003
24,10,0.267507286598545,0.004
24,12,0.225483671524572,0.003
24,14,0.182365338017312,0.003
24,16,0.175862768346025,0.003
24,18,0.198317486232828,0.003
24,20,0.225106645741057,0.003
24,22,0.248446269942612,0.003
24,24,0.279934887773638,0.003
24,26,0.331587724078155,0.003
24,28,0.398744276883611,0.004
24,30,0.45444336363905,0.005
24,32,0.459949906518196,0.005
24,34,0.400822233289487,0.005
24,36,0.312096729276667,0.004
24,38,0.246079069767474,0.003
24,40,0.228136087143937,0.003
24,42,0.256063287236104,0.003
24,44,0.301698746742763,0.004
24,46,0.326702046246371,0.004
24,48,0.325041890978539,0.004
24,50,0.332020315701572,0.003
24,52,0.386871169441135,0.004
24,54,0.4865415157998,0.005
24,56,0.56676207706978,0.006
24,58,0.555734277594916,0.006
24,60,0.45676372906285,0.005
24,62,0.343942463225693,0.004
24,64,0.285697377784072,0.004
24,66,0.290222606826157,0.004
24,68,0.311147990278879,0.004
24,70,0.300823487307238,0.003
24,72,0.259739827553704,0.003
24,74,0.216903837502424,0.002
24,76,0.180483329446741,0.002
24,78,0.141484034971714,0.002
24,80,0.0993886284255917,0.002
26,0,0.0269324324952779,0.001
26,2,0.0720568620242176,0.001
26,4,0.145450715495247,0.002
26,6,0.224300449657331,0.003
26,8,0.267288981524126,0.003
26,10,0.253694357114107,0.003
26,12,0.216118615696607,0.003
26,14,0.21494004899353,0.003
26,16,0.2754963428876,0.003
26,18,0.364366309026823,0.004
26,20,0.426678984557202,0.004
26,22,0.436909603560871,0.004
26,24,0.416764230102723,0.004
26,26,0.408556086195459,0.004
26,28,0.432096587379412,0.004
26,30,0.462625524141802,0.004
26,32,0.449491733775535,0.005
26,34,0.373774934075411,0.004
26,36,0.279612922352996,0.004
26,38,0.229959474825371,0.003
26,40,0.25339534799464,0.003
26,42,0.339640830193506,0.004
26,44,0.44144395956106,0.006
26,46,0.498532442720893,0.006
26,48,0.49911444732592,0.005
26,50,0.491430254567815,0.004
26,52,0.530184224920205,0.004
26,54,0.623112174389204,0.005
26,56,0.708050958389381,0.006
26,58,0.706322629911637,0.006
