x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
100,68,Pass,72,58,28,0.094,0,0,0
100,68,Pass,72,60,34,0.078,0,0,0
100,68,Pass,72,62,42,0.057,0,0,0
100,68,Pass,72,64,49,0.039,0,0,0
100,68,Pass,72,66,58,0.025,0,0,0
100,68,Pass,70,54,13,0.016,0,0,0
100,68,Pass,70,56,16,0.023,0,0,0
100,68,Pass,70,58,17,0.024,0,0,0
100,68,Pass,70,60,22,0.021,0,0,0
100,68,Pass,70,62,26,0.016,0,0,0
100,68,Pass,70,64,32,0.011,0,0,0
100,68,Pass,70,66,33,0.007,0,0,0
100,68,Pass,70,68,37,0.005,0,0,0
100,68,Pass,70,70,37,0.003,0,0,0
100,68,Pass,68,52,9,0.002,0,0,0
100,68,Pass,68,54,11,0.003,0,0,0
100,68,Pass,68,56,14,0.005,0,0,0
100,68,Pass,68,58,11,0.006,0,0,0
100,68,Pass,68,60,13,0.005,0,0,0
100,68,Pass,68,62,18,0.005,0,0,0
100,68,Pass,68,64,18,0.004,0,0,0
100,68,Pass,68,66,21,0.003,0,0,0
100,68,Pass,68,68,24,0.002,0,0,0
100,68,Pass,68,70,26,0.002,0,0,0
100,68,Pass,68,72,27,0.002,0,0,0
100,68,Pass,66,52,5,0,0,0,0
100,68,Pass,66,54,5,0.001,0,0,0
100,68,Pass,66,56,5,0.001,0,0,0
100,68,Pass,66,58,7,0.002,0,0,0
100,68,Pass,66,60,10,0.002,0,0,0
100,68,Pass,66,62,11,0.002,0,0,0
100,68,Pass,66,64,13,0.002,0,0,0
100,68,Pass,66,66,14,0.002,0,0,0
100,68,Pass,66,68,17,0.002,0,0,0
100,68,Pass,66,70,20,0.002,0,0,0
100,68,Pass,66,72,19,0.003,0,0,0
100,68,Pass,64,50,3,0,0,0,0
100,68,Pass,64,52,4,0,0,0,0
100,68,Pass,64,54,5,0,0,0,0
100,68,Pass,64,56,5,0.001,0,0,0
100,68,Pass,64,58,5,0.001,0,0,0
100,68,Pass,64,60,8,0.001,0,0,0
100,68,Pass,64,62,9,0.001,0,0,0
100,68,Pass,64,64,9,0.001,0,0,0
100,68,Pass,64,66,9,0.001,0,0,0
100,68,Pass,64,68,11,0.001,0,0,0
100,68,Pass,64,70,15,0.002,0,0,0
100,68,Pass,64,72,13,0.002,0,0,0
100,68,Pass,64,74,13,0.002,0,0,0
100,68,Pass,62,50,3,0,0,0,0
100,68,Pass,62,52,3,0,0,0,0
100,68,Pass,62,54,4,0,0,0,0
100,68,Pass,62,56,4,0.001,0,0,0
100,68,Pass,62,58,4,0.001,0,0,0
100,68,Pass,62,60,6,0.001,0,0,0
100,68,Pass,62,62,7,0.001,0,0,0
100,68,Pass,62,64,7,0.001,0,0,0
100,68,Pass,62,66,7,0.001,0,0,0
100,68,Pass,62,68,7,0.001,0,0,0
100,68,Pass,62,70,7,0.001,0,0,0
100,68,Pass,62,72,7,0.002,0,0,0
100,68,Pass,62,74,7,0.002,0,0,0
100,68,Pass,60,50,3,0,0,0,0
100,68,Pass,60,52,3,0,0,0,0
100,68,Pass,60,54,4,0,0,0,0
100,68,Pass,60,56,4,0,0,0,0
100,68,Pass,60,58,4,0.001,0,0,0
100,68,Pass,60,60,5,0.001,0,0,0
100,68,Pass,60,62,5,0.001,0,0,0
100,68,Pass,60,64,6,0.001,0,0,0
100,68,Pass,60,66,7,0.001,0,0,0
100,68,Pass,60,68,7,0.001,0,0,0
100,68,Pass,60,70,7,0.001,0,0,0
100,68,Pass,60,72,5,0.001,0,0,0
100,68,Pass,60,74,4,0.001,0,0,0
100,68,Pass,58,50,3,0,0,0,0
100,68,Pass,58,52,3,0,0,0,0
100,68,Pass,58,54,3,0,0,0,0
100,68,Pass,58,56,3,0,0,0,0
100,68,Pass,58,58,3,0,0,0,0
100,68,Pass,58,60,3,0.001,0,0,0
100,68,Pass,58,62,5,0.001,0,0,0
100,68,Pass,58,64,6,0.001,0,0,0
100,68,Pass,58,66,6,0,0,0,0
100,68,Pass,58,68,6,0,0,0,0
100,68,Pass,58,70,5,0,0,0,0
100,68,Pass,58,72,4,0,0,0,0
100,68,Pass,58,74,4,0,0,0,0
100,68,Pass,56,50,3,0,0,0,0
100,68,Pass,56,52,3,0,0,0,0
100,68,Pass,56,54,2,0,0,0,0
100,68,Pass,56,56,2,0,0,0,0
100,68,Pass,56,58,2,0,0,0,0
100,68,Pass,56,60,2,0,0,0,0
100,68,Pass,56,62,3,0.001,0,0,0
100,68,Pass,56,64,4,0,0,0,0
100,68,Pass,56,66,5,0,0,0,0
100,68,Pass,56,68,5,0,0,0,0
100,68,Pass,56,70,4,0,0,0,0
100,68,Pass,56,72,4,0,0,0,0
100,68,Pass,56,74,4,0,0,0,0
100,68,Pass,54,50,1,0,0,0,0
100,68,Pass,54,52,2,0,0,0,0
100,68,Pass,54,54,2,0,0,0,0
100,68,Pass,54,56,2,0,0,0,0
100,68,Pass,54,58,2,0,0,0,0
100,68,Pass,54,60,2,0,0,0,0
100,68,Pass,54,62,2,0,0,0,0
100,68,Pass,54,64,2,0,0,0,0
100,68,Pass,54,66,4,0,0,0,0
100,68,Pass,54,68,4,0,0,0,0
100,68,Pass,54,70,4,0,0,0,0
100,68,Pass,54,72,4,0,0,0,0
100,68,Pass,54,74,4,0,0,0,0
100,68,Pass,52,52,1,0,0,0,0
100,68,Pass,52,54,1,0,0,0,0
100,68,Pass,52,56,2,0,0,0,0
