x,y,WeightedExpectedGoals,GoalProbability
0,0,0,0
0,2,0,0
0,4,0,0
0,6,0,0
0,8,0,0
0,10,0,0
0,12,0,0
0,14,0,0
0,16,0,0
0,18,0,0
0,20,0,0
0,22,0,0
0,24,0,0
0,26,0,0
0,28,0,0
0,30,0,0
0,32,0,0
0,34,0,0
0,36,0,0
0,38,0,0
0,40,0,0
0,42,0,0
0,44,0.0000580445462805831,0
0,46,0.0000725922252277627,0
0,48,0.000125917676027582,0
0,50,0.000475517027412748,0.002
0,52,0.0025172796339972,0.005
0,54,0.00929046980817676,0.011
0,56,0.0239047780247609,0.018
0,58,0.0428817577508533,0.028
0,60,0.0536291937189906,0.037
0,62,0.0467595993240934,0.04
0,64,0.0284237332898776,0.029
0,66,0.0120457066467283,0.013
0,68,0.00355896953427147,0.004
0,70,0.000733089641616105,0.001
0,72,0.000105276326090163,0
0,74,0,0
0,76,0,0
0,78,0,0
0,80,0,0
2,0,0,0
2,2,0,0
2,4,0,0
2,6,0,0
2,8,0,0
2,10,0,0
2,12,0,0
2,14,0,0
2,16,0,0
2,18,0,0
2,20,0,0
2,22,0,0
2,24,0,0
2,26,0,0
2,28,0,0
2,30,0,0
2,32,0,0
2,34,0,0
2,36,0,0
2,38,0,0
2,40,0.000108729749026945,0
2,42,0.000279766316326598,0
2,44,0.00050186081590631,0
2,46,0.00062764197010265,0.001
2,48,0.000651764158423866,0.001
2,50,0.00112629065030834,0.002
2,52,0.00434231201865362,0.005
2,54,0.0155057831157415,0.012
2,56,0.03989704623502,0.021
2,58,0.0715696029409932,0.03
2,60,0.0895070608535721,0.037
2,62,0.078041715937792,0.037
2,64,0.047439177224883,0.027
2,66,0.0201042701388068,0.013
2,68,0.0059399159411051,0.004
2,70,0.00122352574433765,0.001
2,72,0.000175706063663156,0
2,74,0,0
2,76,0,0
2,78,0,0
2,80,0,0
4,0,0,0
4,2,0,0
4,4,0,0
4,6,0,0
4,8,0,0
4,10,0,0
