Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedExpectedGoals,y,x,event
1,0.000384641048552178,0,0,0,0,30,74,Shot
1,0.00042509410075799,0,0,0,0,32,74,Shot
1,0.000900104221209987,0,0,0,0,34,74,Shot
1,0.00142583168060246,0,0,0,0,36,74,Shot
1,0.000830900920050552,0,0,0,0,38,74,Shot
1,0.000410391079686749,0,0,0,0,40,74,Shot
1,0.000402264791845879,0,0,0,0,42,74,Shot
1,0.000479292260229601,0,0,0,0,26,76,Shot
1,0.00391398203481351,0,0,0,0,28,76,Shot
2,0.0121626947446373,0,0,0,0,30,76,Shot
2,0.0177288058808133,0,0,0,0,32,76,Shot
2,0.0256674250343333,0,0,0,0,34,76,Shot
3,0.0337302347235181,0,0,0,0,36,76,Shot
2,0.0235253312590541,0,0,0,0,38,76,Shot
2,0.0165794024862431,0,0,0,0,40,76,Shot
1,0.0122969993702931,0,0,0,0,42,76,Shot
1,0.00443423575223921,0,0,0,0,44,76,Shot
1,0.000588225605988196,0,0,0,0,46,76,Shot
1,0.000475092992218079,0,0,0,0,48,76,Shot
1,0.000848534342281534,0,0,0,0,50,76,Shot
1,0.000557526791099942,0,0,0,0,52,76,Shot
1,0.00539005332925385,0,0,0,0,26,78,Shot
1,0.0440160913244878,0,0,0,0,28,78,Shot
2,0.13560111544739,0,0,0,0,30,78,Shot
2,0.185577573802052,0,0,0,0,32,78,Shot
4,0.230304322506887,0,0,0,0,34,78,Shot
5,0.288095417018255,0,0,0,0,36,78,Shot
8,0.215938731212514,0,0,0,0,38,78,Shot
7,0.181388965090044,0,0,0,0,40,78,Shot
6,0.147032775317766,0,0,0,0,42,78,Shot
4,0.0534560796323002,0,0,0,0,44,78,Shot
3,0.0100311291196233,0,0,0,0,46,78,Shot
2,0.0128739079684383,0,0,0,0,48,78,Shot
2,0.0228927250948554,0,0,0,0,50,78,Shot
2,0.0149829856420685,0,0,0,0,52,78,Shot
1,0.00351048877170819,0,0,0,0,54,78,Shot
1,0.000728152539089456,0,0,0,0,22,80,Shot
2,0.00187632253283663,0,0,0,0,24,80,Shot
2,0.0226832491199108,0,0,0,0,26,80,Shot
2,0.182794453349241,0,0,0,0,28,80,Shot
3,0.558783895029652,0,0,0,0,30,80,Shot
6,0.729029096218239,0,0,0,0,32,80,Shot
8,0.78817700495508,0,0,0,0,34,80,Shot
10,0.963995808620294,0,0,0,0,36,80,Shot
11,0.829327578323461,0,0,0,0,38,80,Shot
13,0.836080324229931,0,0,0,0,40,80,Shot
14,0.717889151170906,0,0,0,0,42,80,Shot
13,0.293143895119308,0,0,0,0,44,80,Shot
12,0.0904575216508759,0,0,0,0,46,80,Shot
8,0.147907412648087,0,0,0,0,48,80,Shot
5,0.245425084683654,0,0,0,0,50,80,Shot
4,0.158471407850228,0,0,0,0,52,80,Shot
5,0.0398394041350547,0,0,0,0,54,80,Shot
2,0.00691796804135237,0,0,0,0,56,80,Shot
1,0.00302755474537581,0,0,0,0,58,80,Shot
1,0.000858778093974334,0,0,0,0,60,80,Shot
1,0.000645813367965929,0,0,0,0,18,82,Shot
1,0.00571306283900261,0,0,0,0,20,82,Shot
1,0.0185924443227377,0,0,0,0,22,82,Shot
4,0.0249054752105506,0,0,0,0,24,82,Shot
