x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
106,28,Pass,116,2,1,0,0,0,0
106,28,Pass,116,4,1,0,0,0,0
106,28,Pass,116,6,1,0,0,0,0
106,28,Pass,116,8,1,0,0,0,0
106,28,Pass,116,10,1,0,0,0,0
106,28,Pass,114,0,1,0,0,0,0
106,28,Pass,114,2,1,0,0,0,0
106,28,Pass,114,4,1,0,0,0,0
106,28,Pass,114,6,2,0,0,0,0
106,28,Pass,114,8,2,0,0,0,0
106,28,Pass,114,10,2,0,0,0,0
106,28,Pass,114,12,1,0,0,0,0
106,28,Pass,114,14,1,0,0,0,0
106,28,Pass,112,0,1,0,0,0,0
106,28,Pass,112,2,2,0,0,0,0
106,28,Pass,112,4,2,0,0,0,0
106,28,Pass,112,6,2,0,0,0,0
106,28,Pass,112,8,2,0,0,0,0
106,28,Pass,112,10,2,0,0,0,0
106,28,Pass,112,12,2,0,0,0,0
106,28,Pass,112,14,2,0,0,0,0
106,28,Pass,112,16,2,0,0,0,0
106,28,Pass,110,0,2,0,0,0,0
106,28,Pass,110,2,2,0,0,0,0
106,28,Pass,110,4,2,0,0,0,0
106,28,Pass,110,6,2,0,0,0,0
106,28,Pass,110,8,2,0,0,0,0
106,28,Pass,110,10,2,0,0,0,0
106,28,Pass,110,12,2,0,0,0,0
106,28,Pass,110,14,2,0,0,0,0
106,28,Pass,110,16,2,0,0,0,0
106,28,Pass,110,18,2,0,0,0,0
106,28,Pass,108,0,2,0,0,0,0
106,28,Pass,108,2,2,0,0,0,0
106,28,Pass,108,4,2,0.001,0,0,0
106,28,Pass,108,6,2,0.001,0,0,0
106,28,Pass,108,8,2,0.001,0,0,0
106,28,Pass,108,10,2,0.001,0,0,0
106,28,Pass,108,12,2,0,0,0,0
106,28,Pass,108,14,2,0,0,0,0
106,28,Pass,108,16,2,0,0,0,0
106,28,Pass,108,18,2,0,0,0,0
106,28,Pass,106,0,2,0,0,0,0
106,28,Pass,106,2,2,0.001,0,0,0
106,28,Pass,106,4,2,0.002,0,0,0
106,28,Pass,106,6,2,0.002,0,0,0
106,28,Pass,106,8,2,0.002,0,0,0
106,28,Pass,106,10,2,0.001,0,0,0
106,28,Pass,106,12,2,0.001,0,0,0
106,28,Pass,106,14,2,0,0,0,0
106,28,Pass,106,16,2,0,0,0,0
106,28,Pass,106,18,2,0,0,0,0
106,28,Pass,106,20,1,0,0,0,0
106,28,Pass,106,40,1,0,0,0,0.259
106,28,Pass,106,42,1,0,0,0,0.259
106,28,Pass,106,44,1,0,0,0,0.259
106,28,Pass,106,46,1,0,0,0,0.259
106,28,Pass,106,48,1,0,0,0,0.259
106,28,Pass,104,0,2,0,0,0,0
106,28,Pass,104,2,2,0.001,0,0,0
106,28,Pass,104,4,2,0.002,0,0,0
106,28,Pass,104,6,2,0.003,0,0,0
106,28,Pass,104,8,2,0.003,0,0,0
106,28,Pass,104,10,2,0.002,0,0,0
106,28,Pass,104,12,2,0.001,0,0,0
106,28,Pass,104,14,2,0,0,0,0
106,28,Pass,104,16,2,0,0,0,0
106,28,Pass,104,18,2,0,0,0,0
106,28,Pass,104,20,1,0,0,0,0
106,28,Pass,104,36,1,0,0,0,0.259
106,28,Pass,104,38,1,0,0,0,0.259
106,28,Pass,104,40,1,0,0,0,0.259
106,28,Pass,104,42,1,0,0,0,0.259
106,28,Pass,104,44,1,0,0,0,0.259
106,28,Pass,104,46,1,0,0,0,0.259
106,28,Pass,104,48,1,0,0,0,0.259
106,28,Pass,104,50,1,0,0,0,0.259
106,28,Pass,102,0,2,0,0,0,0
106,28,Pass,102,2,2,0.001,0,0,0
106,28,Pass,102,4,2,0.002,0,0,0
106,28,Pass,102,6,2,0.003,0,0,0
106,28,Pass,102,8,2,0.003,0,0,0
106,28,Pass,102,10,2,0.002,0,0,0
106,28,Pass,102,12,2,0.001,0,0,0
106,28,Pass,102,14,2,0,0,0,0
106,28,Pass,102,16,2,0,0,0,0
106,28,Pass,102,18,2,0,0,0,0
106,28,Pass,102,20,1,0,0,0,0
106,28,Pass,102,34,1,0,0,0,0.259
106,28,Pass,102,36,1,0,0,0,0.259
106,28,Pass,102,38,1,0,0,0,0.259
106,28,Pass,102,40,1,0,0,0,0.259
106,28,Pass,102,42,1,0,0,0,0.259
106,28,Pass,102,44,1,0,0,0,0.259
106,28,Pass,102,46,1,0,0,0,0.259
106,28,Pass,102,48,1,0,0,0,0.259
106,28,Pass,102,50,1,0,0,0,0.259
106,28,Pass,102,52,1,0,0,0,0.259
106,28,Pass,100,0,2,0,0,0,0
106,28,Pass,100,2,2,0.001,0,0,0
106,28,Pass,100,4,2,0.001,0,0,0
106,28,Pass,100,6,2,0.002,0,0,0
106,28,Pass,100,8,2,0.002,0,0,0
106,28,Pass,100,10,2,0.001,0,0,0
106,28,Pass,100,12,2,0.001,0,0,0
106,28,Pass,100,14,2,0,0,0,0
106,28,Pass,100,16,2,0,0,0,0
106,28,Pass,100,18,2,0,0,0,0
106,28,Pass,100,20,1,0,0,0,0
106,28,Pass,100,32,1,0,0,0,0.259
106,28,Pass,100,34,1,0,0,0,0.259
106,28,Pass,100,36,1,0,0,0,0.259
106,28,Pass,100,38,1,0,0,0,0.259
106,28,Pass,100,40,1,0.001,0,0,0.259
106,28,Pass,100,42,1,0.001,0,0,0.259
106,28,Pass,100,44,1,0.001,0,0,0.259
106,28,Pass,100,46,1,0.001,0,0,0.259
106,28,Pass,100,48,1,0,0,0,0.259
106,28,Pass,100,50,1,0,0,0,0.259
106,28,Pass,100,52,1,0,0,0,0.259
106,28,Pass,100,54,1,0,0,0,0.259
106,28,Pass,98,0,2,0,0,0,0
106,28,Pass,98,2,2,0,0,0,0
106,28,Pass,98,4,2,0.001,0,0,0
106,28,Pass,98,6,2,0.001,0,0,0
106,28,Pass,98,8,2,0.001,0,0,0
