Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedExpectedGoals,y,x,event
1,0.00036595506694842,0,0,0,0,36,80,Shot
1,0.00217006100266004,0,0,0,0,38,80,Shot
1,0.00473392789174211,0,0,0,0,40,80,Shot
1,0.00379906612132193,0,0,0,0,42,80,Shot
1,0.00112159892515324,0,0,0,0,44,80,Shot
2,0.00111858858247472,0,0,0,0,48,80,Shot
3,0.00521373864837924,0,0,0,0,50,80,Shot
3,0.00818361425915229,0,0,0,0,52,80,Shot
2,0.00465461898388758,0,0,0,0,54,80,Shot
1,0.000946064319697603,0,0,0,0,56,80,Shot
1,0.000932538612310569,0,0,0,0,28,82,Shot
1,0.00131016787647325,0,0,0,0,30,82,Shot
1,0.000677162015363356,0,0,0,0,32,82,Shot
1,0.000358708671112725,0,0,0,0,34,82,Shot
1,0.00578203258390514,0,0,0,0,36,82,Shot
1,0.0342866230301731,0,0,0,0,38,82,Shot
1,0.0747953172179146,0,0,0,0,40,82,Shot
1,0.0600246480669431,0,0,0,0,42,82,Shot
1,0.0177210868683588,0,0,0,0,44,82,Shot
4,0.00425312521321098,0,0,0,0,46,82,Shot
3,0.0237901908556547,0,0,0,0,48,82,Shot
3,0.0932267999037333,0,0,0,0,50,82,Shot
3,0.140194352689807,0,0,0,0,52,82,Shot
3,0.0806752671427916,0,0,0,0,54,82,Shot
3,0.0176702493256738,0,0,0,0,56,82,Shot
1,0.00125176590578064,0,0,0,0,58,82,Shot
3,0.00185608698635648,0,0,0,0,24,84,Shot
3,0.0135071685392043,0,0,0,0,26,84,Shot
3,0.0392263151063744,0,0,0,0,28,84,Shot
3,0.045174076908478,0,0,0,0,30,84,Shot
3,0.0203511695423626,0,0,0,0,32,84,Shot
3,0.00547905960042159,0,0,0,0,34,84,Shot
1,0.0336077024063444,0,0,0,0,36,84,Shot
2,0.200037079933581,0,0,0,0,38,84,Shot
2,0.435976721613461,0,0,0,0,40,84,Shot
2,0.349637739115373,0,0,0,0,42,84,Shot
2,0.103342220412756,0,0,0,0,44,84,Shot
4,0.0290277778503762,0,0,0,0,46,84,Shot
4,0.174833268569875,0,0,0,0,48,84,Shot
3,0.651183033381918,0,0,0,0,50,84,Shot
3,0.932784901935807,0,0,0,0,52,84,Shot
3,0.513058958128351,0,0,0,0,54,84,Shot
3,0.108086366268333,0,0,0,0,56,84,Shot
3,0.00867600256899051,0,0,0,0,58,84,Shot
1,0.000488974606150696,0,0,0,0,20,86,Shot
3,0.00435111143833395,0,0,0,0,22,86,Shot
4,0.0298108997488154,0,0,0,0,24,86,Shot
4,0.157147535680563,0,0,0,0,26,86,Shot
4,0.412743799363516,0,0,0,0,28,86,Shot
3,0.447245833327655,0,0,0,0,30,86,Shot
3,0.192505554530629,0,0,0,0,32,86,Shot
4,0.0367239813346735,0,0,0,0,34,86,Shot
3,0.0775662672349973,0,0,0,0,36,86,Shot
2,0.443770838070216,0,0,0,0,38,86,Shot
2,0.95867805669134,0,0,0,0,40,86,Shot
2,0.76365837016929,0,0,0,0,42,86,Shot
5,0.22647694577416,0,0,0,0,44,86,Shot
5,0.078398019180102,0,0,0,0,46,86,Shot
6,0.504098694346523,0,0,0,0,48,86,Shot
5,1.79080617505695,0,0,0,0,50,86,Shot
4,2.43878338006187,0,0,0,0,52,86,Shot
4,1.27448358997314,0,0,0,0,54,86,Shot
3,0.255790859192157,0,0,0,0,56,86,Shot
3,0.0196960295729498,0,0,0,0,58,86,Shot
1,0.00045138045190567,0,0,0,0,60,86,Shot
1,0.000355068439409815,0,0,0,0,18,88,Shot
2,0.00692815842615334,0,0,0,0,20,88,Shot
5,0.0497633540955638,0,0,0,0,22,88,Shot
5,0.203843189856667,0,0,0,0,24,88,Shot
4,0.733547910259754,0,0,0,0,26,88,Shot
4,1.68240692461983,0,0,0,0,28,88,Shot
4,1.70218014493392,0,0,0,0,30,88,Shot
3,0.693693249187208,0,0,0,0,32,88,Shot
5,0.117726130492088,0,0,0,0,34,88,Shot
5,0.0975903421996282,0,0,0,0,36,88,Shot
2,0.488135529216545,0,0,0,0,38,88,Shot
2,0.983382547712182,0,0,0,0,40,88,Shot
3,0.740868244015636,0,0,0,0,42,88,Shot
5,0.218715493637943,0,0,0,0,44,88,Shot
7,0.111976978198239,0,0,0,0,46,88,Shot
7,0.607384778996094,0,0,0,0,48,88,Shot
6,1.98315343871532,0,0,0,0,50,88,Shot
6,2.55644964162637,0,0,0,0,52,88,Shot
4,1.26375397493599,0,0,0,0,54,88,Shot
4,0.23987900911425,0,0,0,0,56,88,Shot
3,0.01739190525691,0,0,0,0,58,88,Shot
2,0.00427297962453359,0,0,0,0,18,90,Shot
3,0.0455383024771742,0,0,0,0,20,90,Shot
6,0.248314916946544,0,0,0,0,22,90,Shot
6,0.702698055951775,0,0,0,0,24,90,Shot
6,1.50785404183319,0,0,0,0,26,90,Shot
5,2.70256073000124,0,0,0,0,28,90,Shot
4,2.49688803894188,0,0,0,0,30,90,Shot
4,0.957976339205624,0,0,0,0,32,90,Shot
5,0.15623194856839,0,0,0,0,34,90,Shot
6,0.134593821122303,0,0,0,0,36,90,Shot
3,0.587552188996793,0,0,0,0,38,90,Shot
4,1.02062579743061,0,0,0,0,40,90,Shot
4,0.669327744533966,0,0,0,0,42,90,Shot
8,0.237039348858926,0,0,0,0,44,90,Shot
8,0.286756510790322,0,0,0,0,46,90,Shot
6,0.612297078832426,0,0,0,0,48,90,Shot
6,1.21958892859875,0,0,0,0,50,90,Shot
6,1.34261841973336,0,0,0,0,52,90,Shot
6,0.602360821403421,0,0,0,0,54,90,Shot
4,0.104151391446897,0,0,0,0,56,90,Shot
4,0.00693963354517537,0,0,0,0,58,90,Shot
1,0.00185105413400992,0,0,0,0,16,92,Shot
3,0.0298847404272178,0,0,0,0,18,92,Shot
3,0.198266659681884,0,0,0,0,20,92,Shot
5,0.679181726229623,0,0,0,0,22,92,Shot
6,1.28059925756741,0,0,0,0,24,92,Shot
