x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
72,22,Pass,120,0,8,0.304,0,0,0
72,22,Run,120,0,2,0,0,0,0.006
72,22,Pass,120,2,8,0.444,0,0,0
72,22,Run,120,2,2,0,0,0,0.006
72,22,Pass,120,4,9,0.531,0,0,0
72,22,Run,120,4,2,0.001,0,0,0.006
72,22,Pass,120,6,11,0.574,0,0,0
72,22,Run,120,6,2,0.001,0,0,0.006
72,22,Pass,120,8,10,0.564,0,0,0
72,22,Run,120,8,2,0.001,0,0,0.006
72,22,Pass,120,10,11,0.462,0,0,0
72,22,Run,120,10,2,0,0,0,0.006
72,22,Pass,120,12,14,0.303,0,0,0
72,22,Run,120,12,2,0,0,0,0.006
72,22,Pass,120,14,13,0.181,0,0,0
72,22,Run,120,14,3,0,0,0,0.001
72,22,Run,120,16,3,0.001,0,0,0
72,22,Pass,120,16,8,0.14,0,0,0
72,22,Run,120,18,3,0.001,0,0,0
72,22,Pass,120,18,10,0.166,0,0,0
72,22,Run,120,20,3,0.002,0,0,0
72,22,Pass,120,20,9,0.244,0,0,0
72,22,Run,120,22,3,0.002,0,0,0
72,22,Pass,120,22,6,0.348,0,0,0
72,22,Run,120,24,2,0.002,0,0,0
72,22,Pass,120,24,6,0.4,0,0,0
72,22,Run,120,26,2,0.001,0,0,0
72,22,Pass,120,26,7,0.349,0,0,0
72,22,Run,120,28,2,0,0,0,0
72,22,Pass,120,28,8,0.235,0,0,0
72,22,Pass,120,30,6,0.13,0,0,0
72,22,Run,120,30,1,0,0,0,0
72,22,Pass,120,32,5,0.063,0,0,0
72,22,Pass,120,34,5,0.027,0,0,0
72,22,Pass,120,36,5,0.009,0,0,0
72,22,Pass,120,38,5,0.003,0,0,0
72,22,Pass,120,40,6,0.001,0,0,0
72,22,Pass,120,42,5,0.002,0,0,0
72,22,Pass,120,44,5,0.006,0,0,0
72,22,Pass,120,46,5,0.015,0,0,0
72,22,Pass,120,48,6,0.029,0,0,0
72,22,Pass,120,50,6,0.041,0,0,0
72,22,Pass,120,52,5,0.042,0,0,0
72,22,Pass,120,54,5,0.033,0,0,0
72,22,Pass,120,56,5,0.023,0,0,0
72,22,Pass,120,58,6,0.017,0,0,0
72,22,Pass,120,60,4,0.013,0,0,0
72,22,Pass,120,62,3,0.01,0,0,0
72,22,Pass,120,64,3,0.012,0,0,0
72,22,Pass,120,66,2,0.017,0,0,0
72,22,Pass,120,68,2,0.02,0,0,0
72,22,Pass,120,70,1,0.017,0,0,0
72,22,Pass,120,72,1,0.01,0,0,0
72,22,Pass,120,74,1,0.004,0,0,0
72,22,Pass,120,76,1,0.001,0,0,0
72,22,Pass,120,78,1,0,0,0,0
72,22,Pass,118,0,9,0.319,0,0,0
72,22,Run,118,0,2,0,0,0,0.006
72,22,Pass,118,2,9,0.456,0,0,0
72,22,Run,118,2,2,0.001,0,0,0.006
