x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
40,64,Pass,70,74,202,2.688,1,0.002,0.013
40,64,Pass,70,76,191,2.837,1,0.003,0.018
40,64,Pass,70,78,172,2.661,1,0.003,0.02
40,64,Pass,70,80,152,2.063,1,0.002,0.018
40,64,Pass,68,72,242,3.241,3,0.001,0.005
40,64,Pass,68,74,233,3.459,3,0.002,0.009
40,64,Pass,68,76,215,3.633,3,0.002,0.012
40,64,Pass,68,78,193,3.372,3,0.002,0.013
40,64,Pass,68,80,170,2.559,2,0.002,0.012
40,64,Pass,66,70,277,3.643,3,0,0.001
40,64,Pass,66,72,274,3.779,3,0.001,0.003
40,64,Pass,66,74,262,4.166,3,0.001,0.006
40,64,Pass,66,76,244,4.461,3,0.002,0.008
40,64,Pass,66,78,228,4.13,3,0.002,0.008
40,64,Pass,66,80,196,3.069,3,0.001,0.007
40,64,Pass,64,68,308,3.671,3,0,0
40,64,Pass,64,70,317,3.708,3,0,0.001
40,64,Pass,64,72,308,3.958,3,0.001,0.003
40,64,Pass,64,74,284,4.522,3,0.001,0.005
40,64,Pass,64,76,266,4.942,3,0.001,0.005
40,64,Pass,64,78,240,4.581,3,0.001,0.005
40,64,Pass,64,80,221,3.36,3,0.001,0.005
40,64,Pass,62,68,341,3.642,3,0,0
40,64,Pass,62,70,352,3.738,3,0,0.001
40,64,Pass,62,72,337,4.078,3,0.001,0.003
40,64,Pass,62,74,322,4.739,3,0.001,0.004
40,64,Pass,62,76,295,5.207,3,0.001,0.005
40,64,Pass,62,78,269,4.804,3,0.001,0.004
40,64,Pass,62,80,242,3.496,3,0.001,0.004
40,64,Pass,60,68,386,3.871,3,0,0
40,64,Pass,60,70,383,4.121,3,0,0.001
40,64,Pass,60,72,378,4.672,3,0.001,0.003
40,64,Pass,60,74,351,5.513,3,0.001,0.004
40,64,Pass,60,76,328,6.014,3,0.001,0.004
40,64,Pass,60,78,298,5.457,3,0.001,0.004
40,64,Pass,60,80,268,3.913,3,0.001,0.003
40,64,Pass,58,68,414,4.485,3,0,0
40,64,Pass,58,70,414,4.996,3,0,0.001
40,64,Pass,58,72,401,6.029,3,0.001,0.002
40,64,Pass,58,74,379,7.36,3,0.001,0.003
40,64,Pass,58,76,358,8.027,3,0.001,0.003
40,64,Pass,58,78,326,7.168,3,0.001,0.003
40,64,Pass,58,80,288,5.055,3,0.001,0.003
40,64,Pass,56,68,452,5.579,5,0,0
40,64,Pass,56,70,449,6.347,3,0,0.001
40,64,Pass,56,72,433,7.974,4,0.001,0.002
40,64,Pass,56,74,418,9.964,4,0.001,0.002
40,64,Pass,56,76,388,10.905,4,0.001,0.003
40,64,Pass,56,78,352,9.68,4,0.001,0.002
40,64,Pass,56,80,314,6.774,4,0.001,0.002
40,64,Pass,54,68,484,7.227,6,0,0.001
40,64,Pass,54,70,485,8.149,5,0,0.001
40,64,Pass,54,72,457,10.085,4,0.001,0.002
40,64,Pass,54,74,430,12.422,4,0.001,0.002
40,64,Pass,54,76,402,13.472,4,0.001,0.002
40,64,Pass,54,78,367,11.895,4,0.001,0.002
40,64,Pass,54,80,323,8.294,4,0.001,0.001
40,64,Pass,52,70,494,10.15,6,0.001,0.001
40,64,Pass,52,72,474,11.971,5,0.001,0.002
40,64,Pass,52,74,440,14.071,5,0.001,0.002
40,64,Pass,52,76,419,14.86,4,0.001,0.001
40,64,Pass,52,78,379,12.968,4,0.001,0.001
40,64,Pass,52,80,334,8.99,4,0,0.001
40,64,Pass,50,70,515,11.765,6,0.001,0.002
40,64,Pass,50,72,486,13.277,5,0.001,0.002
40,64,Pass,50,74,453,14.801,5,0.001,0.002
40,64,Pass,50,76,417,15.073,4,0.001,0.001
40,64,Pass,50,78,388,12.904,4,0.001,0.001
40,64,Pass,50,80,342,8.847,4,0,0.001
40,64,Pass,48,74,461,14.672,5,0.001,0.002
40,64,Pass,48,76,416,14.418,5,0.001,0.001
40,64,Pass,48,78,393,12.047,4,0.001,0.001
40,64,Pass,48,80,350,8.125,4,0,0.001
40,64,Pass,46,76,424,13.084,5,0.001,0.002
40,64,Pass,46,78,400,10.678,3,0.001,0.001
40,64,Pass,46,80,354,7.081,3,0,0.001
40,64,Pass,76,68,173,1.314,0,0,0.004
40,64,Pass,76,70,183,1.499,0,0,0.003
40,64,Pass,76,72,177,1.792,0,0,0.004
40,64,Pass,76,74,178,2.154,0,0.001,0.006
40,64,Pass,74,64,166,1.404,0,0,0.004
40,64,Pass,74,66,180,1.376,0,0,0.004
40,64,Pass,74,68,200,1.37,0,0,0.004
40,64,Pass,74,70,199,1.479,0,0,0.004
40,64,Pass,74,72,193,1.745,0,0.001,0.007
40,64,Pass,74,74,186,2.117,0,0.001,0.011
40,64,Pass,74,76,175,2.406,0,0.002,0.014
40,64,Pass,74,78,158,2.384,0,0.002,0.015
40,64,Pass,72,62,156,1.543,0,0,0.002
40,64,Pass,72,64,178,1.691,0,0,0.002
40,64,Pass,72,66,191,1.726,0,0,0.002
40,64,Pass,72,68,212,1.712,0,0,0.002
40,64,Pass,72,70,212,1.756,0,0,0.004
40,64,Pass,72,72,197,1.933,0,0.001,0.008
40,64,Pass,72,74,189,2.219,1,0.002,0.014
40,64,Pass,72,76,177,2.43,1,0.002,0.02
40,64,Pass,72,78,162,2.326,1,0.003,0.021
40,64,Pass,72,80,145,1.842,1,0.002,0.019
40,64,Pass,70,62,166,1.904,0,0,0.001
40,64,Pass,70,64,189,2.206,0,0,0.001
40,64,Pass,70,66,211,2.388,0,0,0.001
40,64,Pass,70,68,221,2.43,0,0,0.001
40,64,Pass,70,70,223,2.424,1,0,0.002
40,64,Pass,70,72,209,2.496,1,0.001,0.007
40,64,Pass,68,60,163,1.94,0,0,0
40,64,Pass,68,62,175,2.316,0,0,0
40,64,Pass,68,64,198,2.753,0,0,0
40,64,Pass,68,66,224,3.092,0,0,0
40,64,Pass,68,68,241,3.214,2,0,0.001
40,64,Pass,68,70,252,3.195,3,0,0.002
40,64,Pass,66,60,182,2.17,0,0,0
40,64,Pass,66,62,196,2.584,0,0,0
40,64,Pass,66,64,225,3.077,0,0,0
40,64,Pass,66,66,251,3.482,2,0,0
40,64,Pass,66,68,269,3.641,3,0,0
40,64,Pass,64,60,199,2.179,0,0,0
40,64,Pass,64,62,220,2.668,0,0,0
40,64,Pass,64,64,253,3.162,2,0,0
40,64,Pass,64,66,285,3.529,3,0,0
40,64,Pass,62,60,232,2.122,1,0,0
40,64,Pass,62,62,246,2.705,2,0,0
40,64,Pass,62,64,294,3.188,3,0,0
40,64,Pass,62,66,331,3.501,3,0,0
40,64,Pass,60,60,260,2.393,1,0,0.001
40,64,Pass,60,62,284,3.013,2,0,0
40,64,Pass,60,64,329,3.434,4,0,0
40,64,Pass,60,66,377,3.686,3,0,0
40,64,Pass,58,60,289,3.417,2,0,0.002
40,64,Pass,58,62,326,3.989,2,0,0.001
40,64,Pass,58,64,377,4.226,4,0,0
40,64,Pass,58,66,416,4.302,4,0,0
40,64,Pass,56,62,347,5.735,4,0,0.001
40,64,Pass,56,64,412,5.697,5,0,0
40,64,Pass,56,66,447,5.486,5,0,0
40,64,Pass,54,62,378,7.833,4,0.001,0.002
40,64,Pass,54,64,436,7.556,5,0,0.001
40,64,Pass,54,66,472,7.163,6,0,0
40,64,Pass,52,64,472,9.178,5,0,0.001
40,64,Pass,52,66,500,8.864,7,0,0
40,64,Pass,52,68,503,9.132,7,0,0.001
40,64,Pass,50,62,433,10.502,4,0.001,0.002
40,64,Pass,50,64,507,9.994,5,0.001,0.001
40,64,Pass,50,66,540,9.946,6,0,0.001
40,64,Pass,50,68,523,10.612,7,0.001,0.001
40,64,Pass,48,60,421,11.046,3,0.002,0.004
40,64,Pass,48,62,465,10.551,3,0.001,0.002
40,64,Pass,48,64,518,9.986,5,0.001,0.002
40,64,Pass,48,66,561,10.184,6,0.001,0.002
40,64,Pass,48,68,564,11.192,6,0.001,0.002
40,64,Pass,48,70,539,12.467,6,0.001,0.002
40,64,Pass,48,72,500,13.707,6,0.001,0.002
40,64,Pass,46,60,443,10.805,4,0.002,0.003
40,64,Pass,46,62,472,10.233,4,0.002,0.003
40,64,Pass,46,64,522,9.685,5,0.001,0.003
40,64,Pass,46,66,564,9.937,6,0.001,0.003
40,64,Pass,46,68,574,10.96,7,0.001,0.002
40,64,Pass,46,70,552,12.148,5,0.001,0.002
40,64,Pass,46,72,516,13.142,5,0.001,0.002
40,64,Pass,46,74,476,13.7,4,0.001,0.002
40,64,Pass,44,60,449,10.397,4,0.002,0.003
40,64,Pass,44,62,472,10.007,4,0.002,0.004
40,64,Pass,44,64,520,9.543,5,0.002,0.004
