x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
4,48,Pass,58,0,1,0,0,0,0
4,48,Pass,58,2,1,0,0,0,0
4,48,Pass,58,4,1,0,0,0,0
4,48,Pass,56,0,1,0,0,0,0
4,48,Pass,56,2,1,0,0,0,0
4,48,Pass,56,4,1,0,0,0,0
4,48,Pass,56,6,1,0,0,0,0
4,48,Pass,56,8,1,0,0,0,0
4,48,Pass,54,0,1,0,0,0,0
4,48,Pass,54,2,1,0,0,0,0
4,48,Pass,54,4,1,0,0,0,0
4,48,Pass,54,6,1,0,0,0,0
4,48,Pass,54,8,1,0,0,0,0
4,48,Pass,54,10,1,0,0,0,0
4,48,Pass,52,0,1,0.001,0,0,0
4,48,Pass,52,2,1,0.001,0,0,0
4,48,Pass,52,4,1,0.001,0,0,0
4,48,Pass,52,6,1,0,0,0,0
4,48,Pass,52,8,1,0,0,0,0
4,48,Pass,52,10,1,0,0,0,0
4,48,Pass,50,0,1,0.004,0,0,0
4,48,Pass,50,2,1,0.003,0,0,0
4,48,Pass,50,4,1,0.002,0,0,0
4,48,Pass,50,6,1,0.001,0,0,0
4,48,Pass,50,8,1,0,0,0,0
4,48,Pass,50,10,1,0,0,0,0
4,48,Pass,50,12,1,0,0,0,0
4,48,Pass,48,0,1,0.006,0,0,0
4,48,Pass,48,2,1,0.005,0,0,0
4,48,Pass,48,4,1,0.003,0,0,0
4,48,Pass,48,6,1,0.001,0,0,0
4,48,Pass,48,8,1,0,0,0,0
4,48,Pass,48,10,1,0,0,0,0
4,48,Pass,48,12,1,0,0,0,0
4,48,Pass,46,0,1,0.008,0,0,0
4,48,Pass,46,2,1,0.006,0,0,0
4,48,Pass,46,4,1,0.004,0,0,0
4,48,Pass,46,6,1,0.002,0,0,0
4,48,Pass,46,8,1,0,0,0,0
4,48,Pass,46,10,1,0,0,0,0
4,48,Pass,46,12,1,0,0,0,0
4,48,Pass,44,0,1,0.007,0,0,0
4,48,Pass,44,2,1,0.005,0,0,0
4,48,Pass,44,4,1,0.003,0,0,0
4,48,Pass,44,6,1,0.001,0,0,0
4,48,Pass,44,8,1,0,0,0,0
4,48,Pass,44,10,1,0,0,0,0
4,48,Pass,44,12,1,0,0,0,0
4,48,Pass,42,0,1,0.004,0,0,0
4,48,Pass,42,2,1,0.003,0,0,0
4,48,Pass,42,4,1,0.002,0,0,0
4,48,Pass,42,6,1,0.001,0,0,0
4,48,Pass,42,8,1,0,0,0,0
4,48,Pass,42,10,1,0,0,0,0
4,48,Pass,42,12,1,0,0,0,0
4,48,Pass,40,0,1,0.002,0,0,0
4,48,Pass,40,2,1,0.001,0,0,0
4,48,Pass,40,4,1,0.001,0,0,0
4,48,Pass,40,6,1,0,0,0,0
4,48,Pass,40,8,1,0,0,0,0
4,48,Pass,40,10,1,0,0,0,0
4,48,Pass,38,0,1,0,0,0,0
4,48,Pass,38,2,1,0,0,0,0
4,48,Pass,38,4,1,0,0,0,0
4,48,Pass,38,6,1,0,0,0,0
4,48,Pass,38,8,1,0,0,0,0
4,48,Pass,38,10,1,0,0,0,0
4,48,Pass,36,0,1,0,0,0,0
4,48,Pass,36,2,1,0,0,0,0
4,48,Pass,36,4,1,0,0,0,0
4,48,Pass,36,6,1,0,0,0,0
4,48,Pass,36,8,1,0,0,0,0
4,48,Pass,34,0,1,0,0,0,0
4,48,Pass,34,2,1,0,0,0,0
4,48,Pass,34,4,1,0,0,0,0
4,48,Pass,30,54,1,0,1,0,0.507
4,48,Pass,30,56,1,0,1,0,0.507
4,48,Pass,30,58,1,0,1,0,0.507
4,48,Pass,30,60,1,0,1,0,0.507
4,48,Pass,30,62,1,0,1,0,0.507
4,48,Pass,28,50,1,0,1,0,0.507
4,48,Pass,28,52,1,0,1,0,0.507
4,48,Pass,28,54,1,0,1,0,0.507
4,48,Pass,28,56,1,0,1,0,0.507
4,48,Pass,28,58,1,0,1,0,0.507
4,48,Pass,28,60,1,0,1,0,0.507
4,48,Pass,28,62,1,0,1,0,0.507
4,48,Pass,28,64,1,0,1,0,0.507
4,48,Pass,26,48,1,0,1,0,0.507
4,48,Pass,26,50,1,0,1,0,0.507
4,48,Pass,26,52,1,0,1,0,0.507
4,48,Pass,26,54,1,0.001,1,0,0.507
4,48,Pass,26,56,1,0.001,1,0,0.507
4,48,Pass,26,58,1,0.001,1,0,0.507
4,48,Pass,26,60,1,0.001,1,0,0.507
4,48,Pass,26,62,1,0.001,1,0,0.507
4,48,Pass,26,64,1,0,1,0,0.507
4,48,Pass,26,66,1,0,1,0,0.507
4,48,Pass,24,46,1,0,1,0,0.507
4,48,Pass,24,48,1,0,1,0,0.507
4,48,Pass,24,50,1,0,1,0,0.507
4,48,Pass,24,52,1,0.001,1,0,0.507
4,48,Pass,24,54,1,0.003,1,0,0.507
4,48,Pass,24,56,1,0.005,1,0,0.507
4,48,Pass,24,58,1,0.005,1,0,0.507
4,48,Pass,24,60,1,0.004,1,0,0.507
4,48,Pass,24,62,1,0.002,1,0,0.507
4,48,Pass,24,64,1,0.001,1,0,0.507
4,48,Pass,24,66,1,0,1,0,0.507
4,48,Pass,24,68,1,0,1,0,0.507
4,48,Pass,22,46,1,0,1,0,0.507
4,48,Pass,22,48,1,0,1,0,0.507
4,48,Pass,22,50,1,0.001,1,0,0.507
4,48,Pass,22,52,1,0.003,1,0,0.507
4,48,Pass,22,54,1,0.008,1,0,0.507
4,48,Pass,22,56,1,0.012,1,0,0.507
4,48,Pass,22,58,1,0.014,1,0.001,0.507
4,48,Pass,22,60,1,0.011,1,0,0.507
4,48,Pass,22,62,1,0.006,1,0,0.507
4,48,Pass,22,64,1,0.002,1,0,0.507
4,48,Pass,22,66,1,0.001,1,0,0.507
4,48,Pass,22,68,1,0,1,0,0.507
4,48,Pass,22,70,1,0,1,0,0.507
4,48,Pass,20,46,1,0,1,0,0.507
4,48,Pass,20,48,1,0,1,0,0.507
4,48,Pass,20,50,1,0.002,1,0,0.507
4,48,Pass,20,52,1,0.006,1,0,0.507
4,48,Pass,20,54,1,0.014,1,0.001,0.507
4,48,Pass,20,56,1,0.023,1,0.001,0.507
4,48,Pass,20,58,1,0.025,1,0.001,0.507
4,48,Pass,20,60,1,0.02,1,0.001,0.507
4,48,Pass,20,62,1,0.011,1,0,0.507
4,48,Pass,20,64,1,0.004,1,0,0.507
4,48,Pass,20,66,1,0.001,1,0,0.507
4,48,Pass,20,68,1,0,1,0,0.507
4,48,Pass,20,70,2,0,1,0,0.484
4,48,Pass,18,46,1,0,1,0,0.507
4,48,Pass,18,48,1,0.001,1,0,0.507
4,48,Pass,18,50,1,0.002,1,0,0.507
4,48,Pass,18,52,1,0.008,1,0,0.507
4,48,Pass,18,54,1,0.019,1,0.001,0.507
4,48,Pass,18,56,1,0.03,1,0.001,0.507
4,48,Pass,18,58,1,0.033,1,0.001,0.507
4,48,Pass,18,60,1,0.026,1,0.001,0.507
4,48,Pass,18,62,1,0.014,1,0.001,0.507
4,48,Pass,18,64,1,0.005,1,0,0.507
4,48,Pass,18,66,1,0.001,1,0,0.507
4,48,Pass,18,68,1,0,1,0,0.507
4,48,Pass,18,70,2,0,1,0,0.445
4,48,Pass,16,46,1,0,1,0,0.507
4,48,Pass,16,48,1,0,1,0,0.507
4,48,Pass,16,50,1,0.002,1,0,0.507
4,48,Pass,16,52,1,0.007,1,0,0.507
4,48,Pass,16,54,1,0.017,1,0.001,0.507
4,48,Pass,16,56,1,0.027,1,0.001,0.507
4,48,Pass,16,58,1,0.03,1,0.001,0.507
4,48,Pass,16,60,1,0.024,1,0.001,0.507
4,48,Pass,16,62,1,0.013,1,0.001,0.507
4,48,Pass,16,64,1,0.005,1,0,0.507
4,48,Pass,16,66,1,0.001,1,0,0.507
4,48,Pass,16,68,2,0,1,0,0.503
4,48,Pass,16,70,2,0,1,0,0.357
4,48,Pass,14,46,1,0,1,0,0.507
4,48,Pass,14,48,1,0,1,0,0.507
4,48,Pass,14,50,1,0.001,1,0,0.507
4,48,Pass,14,52,1,0.005,1,0,0.507
4,48,Pass,14,54,1,0.011,1,0,0.507
4,48,Pass,14,56,1,0.017,1,0.001,0.507
4,48,Pass,14,58,1,0.019,1,0.001,0.507
4,48,Pass,14,60,1,0.015,1,0.001,0.507
4,48,Pass,14,62,1,0.008,1,0,0.507
4,48,Pass,14,64,1,0.003,1,0,0.507
4,48,Pass,14,66,1,0.001,1,0,0.507
4,48,Pass,14,68,2,0,1,0,0.495
4,48,Pass,14,70,2,0,1,0,0.223
4,48,Pass,12,46,1,0,1,0,0.507
4,48,Pass,12,48,1,0,1,0,0.507
4,48,Pass,12,50,1,0.001,1,0,0.507
4,48,Pass,12,52,1,0.002,1,0,0.507
4,48,Pass,12,54,1,0.005,1,0,0.507
4,48,Pass,12,56,1,0.008,1,0,0.507
4,48,Pass,12,58,1,0.009,1,0,0.507
4,48,Pass,12,60,1,0.007,1,0,0.507
4,48,Pass,12,62,1,0.004,1,0,0.507
4,48,Pass,12,64,2,0.001,1,0,0.506
4,48,Pass,12,66,2,0,1,0,0.499
4,48,Pass,12,68,3,0,1,0,0.428
4,48,Pass,10,48,1,0,1,0,0.507
4,48,Pass,10,50,1,0,1,0,0.507
4,48,Pass,10,52,1,0.001,1,0,0.507
4,48,Pass,10,54,1,0.001,1,0,0.507
4,48,Pass,10,56,1,0.002,1,0,0.507
4,48,Pass,10,58,1,0.003,1,0,0.507
4,48,Pass,10,60,1,0.002,1,0,0.507
4,48,Pass,10,62,2,0.001,1,0,0.504
4,48,Pass,10,64,2,0,1,0,0.484
4,48,Pass,10,66,2,0,1,0,0.374
4,48,Pass,10,68,3,0,1,0,0.13
4,48,Pass,8,50,1,0,1,0,0.507
4,48,Pass,8,52,1,0,1,0,0.507
4,48,Pass,8,54,1,0,1,0,0.507
4,48,Pass,8,56,1,0.001,1,0,0.507
4,48,Pass,8,58,1,0.001,1,0,0.507
4,48,Pass,8,60,2,0,1,0,0.497
4,48,Pass,8,62,2,0,1,0,0.443
4,48,Pass,8,64,2,0,1,0,0.242
4,48,Pass,8,66,2,0,1,0,0.054
4,48,Pass,6,52,1,0,1,0,0.507
4,48,Pass,6,54,1,0,1,0,0.507
4,48,Pass,6,56,1,0,1,0,0.507
4,48,Pass,6,58,2,0,1,0,0.479
4,48,Pass,6,60,2,0,1,0,0.352
4,48,Pass,6,62,2,0,1,0,0.116
4,48,Pass,6,64,2,0,1,0,0.019
4,48,Pass,12,70,2,0,0,0,0
4,48,Pass,12,72,2,0,0,0,0
4,48,Pass,12,74,2,0.001,0,0,0
4,48,Pass,10,70,2,0,0,0,0
4,48,Pass,10,72,2,0,0,0,0
4,48,Pass,10,74,2,0.001,0,0,0
4,48,Pass,10,76,2,0.001,0,0,0
4,48,Pass,8,68,2,0,0,0,0
4,48,Pass,8,70,2,0,0,0,0
4,48,Pass,8,72,2,0,0,0,0
4,48,Pass,8,74,2,0,0,0,0
4,48,Pass,8,76,2,0.001,0,0,0
4,48,Pass,8,78,2,0.001,0,0,0
4,48,Pass,6,66,1,0.001,0,0,0
4,48,Pass,6,68,2,0.001,0,0,0
4,48,Pass,6,70,2,0.001,0,0,0
4,48,Pass,6,72,2,0.001,0,0,0
4,48,Pass,6,74,2,0,0,0,0
4,48,Pass,6,76,2,0,0,0,0
4,48,Pass,6,78,2,0.001,0,0,0
4,48,Pass,6,80,2,0.001,0,0,0
4,48,Pass,4,58,1,0,0,0,0
4,48,Pass,4,60,1,0,0,0,0
4,48,Pass,4,62,1,0,0,0,0
4,48,Pass,4,64,1,0.001,0,0,0
4,48,Pass,4,66,1,0.002,0,0,0
4,48,Pass,4,68,1,0.002,0,0,0
4,48,Pass,4,70,2,0.002,0,0,0
4,48,Pass,4,72,2,0.002,0,0,0
4,48,Pass,4,74,2,0.001,0,0,0
4,48,Pass,4,76,2,0,0,0,0
4,48,Pass,4,78,2,0,0,0,0
4,48,Pass,4,80,2,0,0,0,0
4,48,Pass,2,56,1,0,0,0,0
4,48,Pass,2,58,1,0,0,0,0
4,48,Pass,2,60,1,0,0,0,0
4,48,Pass,2,62,1,0.001,0,0,0
4,48,Pass,2,64,1,0.001,0,0,0
4,48,Pass,2,66,1,0.003,0,0,0
4,48,Pass,2,68,1,0.004,0,0,0
4,48,Pass,2,70,1,0.004,0,0,0
4,48,Pass,2,72,2,0.003,0,0,0
4,48,Pass,2,74,2,0.001,0,0,0
4,48,Pass,2,76,2,0,0,0,0
4,48,Pass,2,78,2,0,0,0,0
4,48,Pass,2,80,2,0,0,0,0
4,48,Pass,0,56,1,0,0,0,0
4,48,Pass,0,58,1,0,0,0,0
4,48,Pass,0,60,1,0,0,0,0
4,48,Pass,0,62,1,0.001,0,0,0
4,48,Pass,0,64,1,0.002,0,0,0
4,48,Pass,0,66,1,0.004,0,0,0
4,48,Pass,0,68,1,0.005,0,0,0
4,48,Pass,0,70,1,0.005,0,0,0
4,48,Pass,0,72,1,0.003,0,0,0
4,48,Pass,0,74,2,0.002,0,0,0
4,48,Pass,0,76,2,0.001,0,0,0
4,48,Pass,0,78,2,0,0,0,0
4,48,Pass,0,80,2,0,0,0,0
4,48,Pass,66,54,1,0,0,0,0
4,48,Pass,66,56,1,0,0,0,0
4,48,Pass,66,58,1,0,0,0,0
4,48,Pass,66,60,1,0,0,0,0
4,48,Pass,64,50,1,0,0,0,0
4,48,Pass,64,52,1,0,0,0,0
4,48,Pass,64,54,1,0,0,0,0
4,48,Pass,64,56,1,0,0,0,0
4,48,Pass,64,58,1,0,0,0,0
4,48,Pass,64,60,1,0,0,0,0
4,48,Pass,64,62,1,0,0,0,0
4,48,Pass,64,64,1,0,0,0,0
4,48,Pass,62,48,1,0,0,0,0
4,48,Pass,62,50,1,0,0,0,0
4,48,Pass,62,52,1,0,0,0,0
4,48,Pass,62,54,1,0,0,0,0
4,48,Pass,62,56,1,0,0,0,0
4,48,Pass,62,58,1,0,0,0,0
4,48,Pass,62,60,1,0,0,0,0
4,48,Pass,62,62,1,0,0,0,0
4,48,Pass,62,64,1,0,0,0,0
4,48,Pass,62,66,1,0,0,0,0
4,48,Pass,60,48,1,0,0,0,0
4,48,Pass,60,50,1,0,0,0,0
4,48,Pass,60,52,1,0,0,0,0
4,48,Pass,60,54,1,0,0,0,0
4,48,Pass,60,56,1,0,0,0,0
4,48,Pass,60,58,1,0,0,0,0
4,48,Pass,60,60,1,0,0,0,0
4,48,Pass,60,62,1,0,0,0,0
4,48,Pass,60,64,1,0,0,0,0
4,48,Pass,60,66,1,0,0,0,0
4,48,Pass,60,68,1,0,0,0,0
4,48,Pass,58,46,1,0,0,0,0
4,48,Pass,58,48,1,0,0,0,0
4,48,Pass,58,50,1,0,0,0,0
4,48,Pass,58,52,1,0,0,0,0
4,48,Pass,58,54,1,0.001,0,0,0
4,48,Pass,58,56,1,0.001,0,0,0
4,48,Pass,58,58,1,0.001,0,0,0
4,48,Pass,58,60,1,0.001,0,0,0
4,48,Pass,58,62,1,0,0,0,0
4,48,Pass,58,64,1,0,0,0,0
4,48,Pass,58,66,1,0,0,0,0
4,48,Pass,58,68,1,0,0,0,0
4,48,Pass,58,70,1,0,0,0,0
4,48,Pass,56,46,1,0,0,0,0
4,48,Pass,56,48,1,0,0,0,0
4,48,Pass,56,50,1,0,0,0,0
4,48,Pass,56,52,1,0.001,0,0,0
4,48,Pass,56,54,1,0.001,0,0,0
4,48,Pass,56,56,1,0.002,0,0,0
4,48,Pass,56,58,1,0.002,0,0,0
4,48,Pass,56,60,1,0.002,0,0,0
4,48,Pass,56,62,1,0.001,0,0,0
4,48,Pass,56,64,1,0,0,0,0
4,48,Pass,56,66,1,0,0,0,0
4,48,Pass,56,68,1,0,0,0,0
4,48,Pass,56,70,1,0,0,0,0
4,48,Pass,54,46,1,0,0,0,0
4,48,Pass,54,48,1,0,0,0,0
4,48,Pass,54,50,1,0,0,0,0
4,48,Pass,54,52,1,0.001,0,0,0
4,48,Pass,54,54,1,0.002,0,0,0
4,48,Pass,54,56,1,0.003,0,0,0
4,48,Pass,54,58,1,0.003,0,0,0
4,48,Pass,54,60,1,0.002,0,0,0
4,48,Pass,54,62,1,0.001,0,0,0
4,48,Pass,54,64,1,0,0,0,0
4,48,Pass,54,66,1,0,0,0,0
4,48,Pass,54,68,1,0,0,0,0
4,48,Pass,54,70,1,0,0,0,0
4,48,Pass,52,46,1,0,0,0,0
4,48,Pass,52,48,1,0,0,0,0
4,48,Pass,52,50,1,0,0,0,0
4,48,Pass,52,52,1,0.001,0,0,0
4,48,Pass,52,54,1,0.002,0,0,0
4,48,Pass,52,56,1,0.003,0,0,0
4,48,Pass,52,58,1,0.003,0,0,0
4,48,Pass,52,60,1,0.002,0,0,0
4,48,Pass,52,62,1,0.001,0,0,0
4,48,Pass,52,64,1,0,0,0,0
4,48,Pass,52,66,1,0,0,0,0
4,48,Pass,52,68,1,0,0,0,0
4,48,Pass,52,70,1,0,0,0,0
4,48,Pass,50,46,1,0,0,0,0
4,48,Pass,50,48,1,0,0,0,0
4,48,Pass,50,50,1,0,0,0,0
4,48,Pass,50,52,1,0,0,0,0
4,48,Pass,50,54,1,0.001,0,0,0
4,48,Pass,50,56,1,0.002,0,0,0
4,48,Pass,50,58,1,0.002,0,0,0
4,48,Pass,50,60,1,0.001,0,0,0
4,48,Pass,50,62,1,0.001,0,0,0
4,48,Pass,50,64,1,0,0,0,0
4,48,Pass,50,66,1,0,0,0,0
4,48,Pass,50,68,1,0,0,0,0
4,48,Pass,50,70,1,0,0,0,0
4,48,Pass,48,46,1,0,0,0,0
4,48,Pass,48,48,1,0,0,0,0
4,48,Pass,48,50,1,0,0,0,0
4,48,Pass,48,52,1,0,0,0,0
4,48,Pass,48,54,1,0,0,0,0
4,48,Pass,48,56,1,0.001,0,0,0
4,48,Pass,48,58,1,0.001,0,0,0
4,48,Pass,48,60,1,0.001,0,0,0
4,48,Pass,48,62,1,0,0,0,0
4,48,Pass,48,64,1,0,0,0,0
4,48,Pass,48,66,1,0,0,0,0
4,48,Pass,48,68,1,0,0,0,0
4,48,Pass,46,48,1,0,0,0,0
4,48,Pass,46,50,1,0,0,0,0
4,48,Pass,46,52,1,0,0,0,0
4,48,Pass,46,54,1,0,0,0,0
4,48,Pass,46,56,1,0,0,0,0
4,48,Pass,46,58,1,0,0,0,0
4,48,Pass,46,60,1,0,0,0,0
4,48,Pass,46,62,1,0,0,0,0
4,48,Pass,46,64,1,0,0,0,0
4,48,Pass,46,66,1,0,0,0,0
4,48,Pass,46,68,1,0,0,0,0
4,48,Pass,44,50,1,0,0,0,0
4,48,Pass,44,52,1,0,0,0,0
4,48,Pass,44,54,1,0,0,0,0
4,48,Pass,44,56,1,0,0,0,0
4,48,Pass,44,58,1,0,0,0,0
4,48,Pass,44,60,1,0,0,0,0
4,48,Pass,44,62,1,0,0,0,0
4,48,Pass,44,64,1,0,0,0,0
4,48,Pass,44,66,1,0,0,0,0
4,48,Pass,42,52,1,0,0,0,0
4,48,Pass,42,54,1,0,0,0,0
4,48,Pass,42,56,1,0,0,0,0
4,48,Pass,42,58,1,0,0,0,0
4,48,Pass,42,60,1,0,0,0,0
4,48,Pass,42,62,1,0,0,0,0
4,48,Pass,42,64,1,0,0,0,0
4,48,Pass,24,76,1,0,0,0,0
4,48,Pass,24,78,1,0,0,0,0
4,48,Pass,24,80,1,0,0,0,0
4,48,Pass,22,72,1,0,0,0,0
4,48,Pass,22,74,1,0,0,0,0
4,48,Pass,22,76,1,0,0,0,0
4,48,Pass,22,78,1,0,0,0,0
4,48,Pass,22,80,1,0,0,0,0
4,48,Pass,20,72,1,0,0,0,0
4,48,Pass,20,74,1,0,0,0,0
4,48,Pass,20,76,1,0,0,0,0
4,48,Pass,20,78,1,0,0,0,0
4,48,Pass,20,80,1,0,0,0,0
4,48,Pass,18,72,1,0,0,0,0
4,48,Pass,18,74,1,0,0,0,0
4,48,Pass,18,76,1,0,0,0,0
4,48,Pass,18,78,1,0,0,0,0
4,48,Pass,18,80,1,0,0,0,0
4,48,Pass,16,72,1,0,0,0,0
4,48,Pass,16,74,1,0,0,0,0
4,48,Pass,16,76,1,0.001,0,0,0
4,48,Pass,16,78,1,0.001,0,0,0
4,48,Pass,16,80,1,0.001,0,0,0
4,48,Pass,14,72,1,0,0,0,0
4,48,Pass,14,74,1,0,0,0,0
4,48,Pass,14,76,1,0.001,0,0,0
4,48,Pass,14,78,1,0.002,0,0,0
4,48,Pass,14,80,1,0.002,0,0,0
4,48,Pass,12,76,1,0.001,0,0,0
4,48,Pass,12,78,1,0.002,0,0,0
4,48,Pass,12,80,1,0.003,0,0,0
4,48,Pass,10,78,1,0.002,0,0,0
4,48,Pass,10,80,1,0.003,0,0,0
4,48,Pass,8,80,1,0.002,0,0,0
