Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedExpectedGoals,y,x,event
1,0.000677162015363356,0,0,0,0,30,82,Shot
2,0.00185349444688716,0,0,0,0,32,82,Shot
2,0.00198376269582434,0,0,0,0,34,82,Shot
2,0.0015067056509474,0,0,0,0,36,82,Shot
2,0.004017388836769,0,0,0,0,38,82,Shot
2,0.00643881639979007,0,0,0,0,40,82,Shot
2,0.0038136013689451,0,0,0,0,42,82,Shot
1,0.000758475545728977,0,0,0,0,44,82,Shot
2,0.00340972052013727,0,0,0,0,28,84,Shot
3,0.0186232287197197,0,0,0,0,30,84,Shot
2,0.0435991196761839,0,0,0,0,32,84,Shot
5,0.049545290278301,0,0,0,0,34,84,Shot
6,0.0419188295755151,0,0,0,0,36,84,Shot
6,0.0753235058365611,0,0,0,0,38,84,Shot
4,0.108474153106254,0,0,0,0,40,84,Shot
2,0.0623953547734843,0,0,0,0,42,84,Shot
2,0.0134857198565715,0,0,0,0,44,84,Shot
1,0.000945118728252442,0,0,0,0,46,84,Shot
1,0.000623476178293434,0,0,0,0,24,86,Shot
2,0.00646850766783421,0,0,0,0,26,86,Shot
3,0.0399174264751066,0,0,0,0,28,86,Shot
4,0.169986847835593,0,0,0,0,30,86,Shot
5,0.389834730452889,0,0,0,0,32,86,Shot
7,0.45167973718592,0,0,0,0,34,86,Shot
6,0.365938060399963,0,0,0,0,36,86,Shot
6,0.539455756362261,0,0,0,0,38,86,Shot
5,0.714033749453712,0,0,0,0,40,86,Shot
5,0.398422823963144,0,0,0,0,42,86,Shot
5,0.089126762013818,0,0,0,0,44,86,Shot
4,0.0180865287681337,0,0,0,0,46,86,Shot
2,0.00938441882791331,0,0,0,0,48,86,Shot
1,0.00272578178073423,0,0,0,0,50,86,Shot
1,0.00687268788245686,0,0,0,0,24,88,Shot
2,0.0573383745013946,0,0,0,0,26,88,Shot
5,0.229245780581999,0,0,0,0,28,88,Shot
6,0.648430789371559,0,0,0,0,30,88,Shot
8,1.327877157307,0,0,0,0,32,88,Shot
8,1.60755873350531,0,0,0,0,34,88,Shot
7,1.36888428288839,0,0,0,0,36,88,Shot
6,1.68525544060217,0,0,0,0,38,88,Shot
8,1.93150428408009,0,0,0,0,40,88,Shot
