x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
22,48,Pass,94,24,9,0.048,0,0,0
22,48,Pass,94,26,7,0.046,0,0,0
22,48,Pass,92,18,10,0.075,0,0,0
22,48,Pass,92,20,11,0.041,0,0,0
22,48,Pass,92,22,12,0.035,0,0,0
22,48,Pass,92,24,10,0.04,0,0,0
22,48,Pass,92,26,10,0.039,0,0,0
22,48,Pass,92,28,9,0.027,0,0,0
22,48,Pass,92,30,10,0.014,0,0,0
22,48,Pass,90,16,10,0.134,0,0,0
22,48,Pass,90,18,11,0.079,0,0,0
22,48,Pass,90,20,11,0.039,0,0,0
22,48,Pass,90,22,11,0.028,0,0,0
22,48,Pass,90,24,12,0.032,0,0,0
22,48,Pass,90,26,12,0.036,0,0,0
22,48,Pass,90,28,14,0.031,0,0,0
22,48,Pass,90,30,13,0.023,0,0,0
22,48,Pass,90,32,12,0.017,0,0,0
22,48,Pass,90,34,10,0.016,0,0,0
22,48,Pass,88,14,11,0.127,0,0,0
22,48,Pass,88,16,11,0.105,0,0,0
22,48,Pass,88,18,10,0.064,0,0,0
22,48,Pass,88,20,11,0.035,0,0,0
22,48,Pass,88,22,13,0.031,0,0,0
22,48,Pass,88,24,14,0.047,0,0,0
22,48,Pass,88,26,15,0.067,0,0,0
22,48,Pass,88,28,16,0.073,0,0,0
22,48,Pass,88,30,13,0.063,0,0,0
22,48,Pass,88,32,13,0.051,0,0,0
22,48,Pass,88,34,14,0.049,0,0,0
22,48,Pass,86,14,11,0.075,0,0,0
22,48,Pass,86,16,13,0.066,0,0,0
22,48,Pass,86,18,12,0.045,0,0,0
22,48,Pass,86,20,13,0.035,0,0,0
22,48,Pass,86,22,13,0.055,0,0,0
22,48,Pass,86,24,14,0.104,0,0,0
22,48,Pass,86,26,15,0.16,0,0,0
22,48,Pass,86,28,16,0.182,0,0,0
22,48,Pass,86,30,13,0.158,0,0,0
22,48,Pass,86,32,13,0.124,0,0,0
22,48,Pass,86,34,14,0.113,0,0,0
22,48,Pass,86,36,15,0.114,0,0,0
22,48,Pass,84,12,13,0.031,0,0,0
22,48,Pass,84,14,13,0.038,0,0,0
22,48,Pass,84,16,13,0.036,0,0,0
22,48,Pass,84,18,17,0.032,0,0,0
22,48,Pass,84,20,19,0.045,0,0,0
22,48,Pass,84,22,17,0.098,0,0,0
22,48,Pass,84,24,19,0.199,0,0,0
22,48,Pass,84,26,18,0.308,0,0,0
22,48,Pass,84,28,18,0.35,0,0,0
22,48,Pass,84,30,14,0.3,0,0,0
22,48,Pass,84,32,14,0.223,0,0,0
