x,y,WeightedExpectedGoals,GoalProbability
0,0,0.00344049950961819,0.001
0,2,0.0117608595160785,0.003
0,4,0.0281120405486693,0.006
0,6,0.0470268358514129,0.009
0,8,0.0551124445012615,0.01
0,10,0.0453113885112033,0.008
0,12,0.0263415692437312,0.004
0,14,0.0111931103130835,0.002
0,16,0.00427885110439494,0.001
0,18,0.00250746350646138,0
0,20,0.00208342707217173,0
0,22,0.00153992858113634,0
0,24,0.00095865517675968,0
0,26,0.00103972577286782,0
0,28,0.00240740647956702,0
0,30,0.00518415268403869,0
0,32,0.0093724620326534,0
0,34,0.0182254475677612,0
0,36,0.0463881166239828,0.001
0,38,0.117219062334312,0.002
0,40,0.230467431725674,0.005
0,42,0.329614116908714,0.007
0,44,0.339569043154152,0.008
0,46,0.252783429530176,0.007
0,48,0.136940643372377,0.005
0,50,0.054871837384242,0.003
0,52,0.0171160430416442,0.001
0,54,0.00486305301639466,0
0,56,0.00146002745785872,0
0,58,0.000504839430372487,0
0,60,0.000255499464781423,0
0,62,0.000250752614453995,0
0,64,0.00049762008684474,0
0,66,0.000688479733056262,0
0,68,0.000664087403915773,0
0,70,0.000446580905679031,0
0,72,0.00020937068901812,0
0,74,0,0
0,76,0,0
0,78,0,0
0,80,0,0
2,0,0.00467883882750989,0.001
2,2,0.0163471662112558,0.003
2,4,0.0401694146138836,0.005
2,6,0.0695338752709208,0.008
2,8,0.0849594784234089,0.009
2,10,0.0735902653574477,0.007
2,12,0.045752890028748,0.004
2,14,0.0220660681086625,0.002
2,16,0.0115870066474372,0.001
2,18,0.00983395229837692,0.001
2,20,0.00928964321847217,0.001
2,22,0.00683575747643584,0
2,24,0.00394701413651479,0
2,26,0.0031444892936181,0
2,28,0.00608967587830285,0
2,30,0.012826154767338,0
2,32,0.0223861449005101,0
2,34,0.039658106077875,0
2,36,0.0928048370872101,0.001
2,38,0.22734598597236,0.002
2,40,0.443513632083096,0.005
2,42,0.632773293255542,0.007
2,44,0.651037627343212,0.007
2,46,0.484466576209352,0.006
2,48,0.264329968759019,0.005
2,50,0.110458165800562,0.003
2,52,0.0407931041609018,0.002
2,54,0.0171987549478528,0.001
2,56,0.00844730991390808,0.001
2,58,0.00385500557600821,0
2,60,0.00180343776187947,0
2,62,0.00189773338152826,0
2,64,0.00324732393511767,0.001
2,66,0.00449281846754426,0.001
2,68,0.00433364122300531,0.001
2,70,0.00291425708550731,0
2,72,0.00136629221314523,0
2,74,0.000446580905679031,0
2,76,0.000101764787933634,0
2,78,0,0
2,80,0,0
4,0,0.00517656002432508,0.001
4,2,0.0190946364544893,0.002
4,4,0.0500681897764196,0.004
4,6,0.0929652014165994,0.007
4,8,0.122749140930515,0.009
4,10,0.115490319281078,0.007
4,12,0.0790889650772892,0.005
4,14,0.0442776020330568,0.002
4,16,0.0299579537766505,0.002
4,18,0.0301462895732536,0.001
4,20,0.0295464258697292,0.001
4,22,0.0218146729175116,0.001
4,24,0.0120959301174799,0
4,26,0.00744729100917481,0
4,28,0.0111578912401343,0
4,30,0.0226240198959587,0
4,32,0.0383155352696145,0
4,34,0.0639022504911271,0.001
4,36,0.1379450738018,0.001
4,38,0.323676214076246,0.002
4,40,0.619786255599663,0.004
4,42,0.874904577442003,0.006
4,44,0.893701329705141,0.007
4,46,0.66474736339971,0.006
4,48,0.372226189449645,0.004
4,50,0.176321955903305,0.003
4,52,0.0916239544892131,0.003
4,54,0.0582811967279982,0.002
4,56,0.0355890092657149,0.001
4,58,0.0174870131074376,0.001
4,60,0.0084820242125948,0
4,62,0.00891574613133321,0.001
4,64,0.0149859739462654,0.001
4,66,0.0204403066553708,0.002
4,68,0.019716121666719,0.002
4,70,0.0132585611750559,0.001
4,72,0.00621601607527191,0.001
4,74,0.00203174259642456,0
4,76,0.000462984090523298,0
4,78,0,0
4,80,0,0
6,0,0.00569933545927023,0.001
6,2,0.0224428880171705,0.002
6,4,0.0631709946563252,0.004
6,6,0.126460072446636,0.007
6,8,0.179584736595785,0.009
6,10,0.18108458179242,0.009
6,12,0.132923788397566,0.006
6,14,0.0816853453823401,0.004
6,16,0.0627747795818555,0.003
6,18,0.0676117805205377,0.003
6,20,0.0674127647951739,0.002
6,22,0.0502464420426858,0.001
6,24,0.027674890063127,0.001
6,26,0.0145180808975046,0
6,28,0.0157155493789712,0
6,30,0.0292262908777667,0
6,32,0.049361641630179,0
6,34,0.0809197804409348,0.001
6,36,0.162800646763808,0.001
6,38,0.357013992726567,0.002
6,40,0.655038449756379,0.004
6,42,0.899049790594068,0.005
6,44,0.902379949578794,0.006
6,46,0.6742845066861,0.005
6,48,0.409591391654879,0.004
6,50,0.25712417240206,0.004
6,52,0.204061432431501,0.005
6,54,0.168036037937026,0.005
6,56,0.11290765569721,0.004
6,58,0.0582663456712767,0.002
6,60,0.0289835883928434,0.001
6,62,0.0292832045722289,0.002
6,64,0.0480387577982232,0.003
6,66,0.0648775534611916,0.005
6,68,0.0625361081550714,0.004
6,70,0.0420538496180778,0.003
6,72,0.019716121666719,0.001
6,74,0.00644433407852955,0
6,76,0.00146850499547868,0
6,78,0.000233299406954092,0
6,80,0,0
8,0,0.00715910930018625,0.001
8,2,0.0279818211705196,0.002
8,4,0.0798742600528037,0.004
8,6,0.16364646234597,0.007
8,8,0.238468501742397,0.01
8,10,0.246693283469007,0.01
8,12,0.186152154666756,0.007
8,14,0.119431827543192,0.005
8,16,0.0974436532743976,0.004
8,18,0.10863217928365,0.004
8,20,0.110308822052405,0.003
8,22,0.0844930153317396,0.002
8,24,0.0487739463293852,0.001
8,26,0.0253361558149538,0
8,28,0.020809124632294,0
8,30,0.032279406997019,0
8,32,0.0554074496863541,0
8,34,0.0935310059355735,0.001
8,36,0.17471917898795,0.001
8,38,0.339454492229728,0.002
8,40,0.567852150727161,0.003
8,42,0.732519850564546,0.004
8,44,0.710308303614653,0.005
8,46,0.544081273838479,0.004
8,48,0.400490186311623,0.004
8,50,0.372869509603756,0.005
8,52,0.399030910751122,0.008
8,54,0.36971971473624,0.01
8,56,0.262026845451334,0.008
8,58,0.141952197607559,0.005
8,60,0.0726200781622926,0.003
8,62,0.068641592392854,0.003
8,64,0.107500645979145,0.006
8,66,0.143965648778676,0.008
8,68,0.138309625574385,0.007
8,70,0.0929942171453823,0.005
8,72,0.0435985127685309,0.002
8,74,0.0142690711883622,0.001
8,76,0.00329323535191719,0
8,78,0.000594767538697152,0
8,80,0.0000944580651549501,0
10,0,0.0108838267567267,0.001
10,2,0.0369818866158061,0.002
10,4,0.0957695782113924,0.004
10,6,0.184662233706217,0.007
10,8,0.259925941944586,0.009
10,10,0.264389743747606,0.01
10,12,0.198693340314057,0.007
10,14,0.129189759777259,0.005
10,16,0.10905974455907,0.004
10,18,0.125596721475276,0.004
10,20,0.132573346749955,0.004
10,22,0.109141044112029,0.003
10,24,0.0722403438290489,0.001
10,26,0.0444830915078805,0.001
10,28,0.0341762448833171,0
10,30,0.042130435949374,0
10,32,0.0692496294685149,0.001
10,34,0.118605446961868,0.001
10,36,0.19943463851597,0.001
10,38,0.320117550506589,0.002
10,40,0.453854967986797,0.003
10,42,0.523839037265884,0.003
10,44,0.482073651676518,0.003
10,46,0.395270559163943,0.003
10,48,0.387014063079366,0.004
10,50,0.492748524085501,0.007
10,52,0.609457217793581,0.012
10,54,0.602089931125221,0.014
10,56,0.452223733495988,0.012
10,58,0.264001972303007,0.008
10,60,0.14184955536197,0.005
10,62,0.120077869353844,0.005
10,64,0.17063105848729,0.007
10,66,0.223341084500476,0.009
10,68,0.213594413193544,0.008
10,70,0.143498871257036,0.006
10,72,0.0674053883593814,0.003
10,74,0.0222207271869275,0.001
10,76,0.0053823049870671,0
10,78,0.00131375006999773,0
10,80,0.000708960419137883,0
12,0,0.0194188396998266,0.001
12,2,0.0553219822620331,0.002
12,4,0.119618356308191,0.004
12,6,0.196813647264146,0.006
12,8,0.245357179299929,0.008
12,10,0.229667540430634,0.007
12,12,0.163978061813548,0.006
12,14,0.104193167821649,0.004
12,16,0.0892113596272537,0.003
12,18,0.107884128826253,0.004
12,20,0.124344365775813,0.003
12,22,0.119845107246133,0.003
12,24,0.10078000873085,0.002
12,26,0.0797364210283739,0.001
12,28,0.0660601530374116,0.001
12,30,0.0694690777627234,0.001
12,32,0.100008299706584,0.001
12,34,0.161095749015958,0.001
12,36,0.24151938515835,0.001
12,38,0.318817783162036,0.002
12,40,0.367919337014936,0.002
12,42,0.365928290943323,0.002
12,44,0.319831558752546,0.002
12,46,0.291633882925399,0.002
12,48,0.358610647308179,0.004
12,50,0.528156677233743,0.007
12,52,0.699403674927621,0.012
12,54,0.736681412139098,0.016
12,56,0.605581597396145,0.015
12,58,0.398201622164745,0.011
12,60,0.231903160861958,0.008
12,62,0.168843050870778,0.006
12,64,0.197733020806053,0.007
12,66,0.243939441699602,0.008
12,68,0.230706141556153,0.008
12,70,0.155140311606625,0.005
12,72,0.0736027531973794,0.003
12,74,0.0251658947691456,0.001
12,76,0.00733618241713831,0
12,78,0.00346150349413515,0
12,80,0.00300500608974981,0
14,0,0.0329965150644803,0.001
14,2,0.0857153134192898,0.003
14,4,0.162287117435063,0.004
14,6,0.226529516282371,0.006
14,8,0.23686100878232,0.007
14,10,0.188540427866015,0.006
14,12,0.118005729400434,0.004
14,14,0.0680726051336793,0.002
14,16,0.0570756833975113,0.002
14,18,0.0752407828502238,0.002
14,20,0.10271407070885,0.003
14,22,0.125475377446867,0.002
14,24,0.135378919776051,0.002
14,26,0.128609992371383,0.002
14,28,0.113728452962005,0.001
14,30,0.109877471572958,0.001
14,32,0.135680835017688,0.001
14,34,0.196641323785319,0.001
14,36,0.269108104765964,0.002
14,38,0.312280882816539,0.002
14,40,0.306797323143626,0.002
14,42,0.26989943872379,0.002
14,44,0.234634691496026,0.002
14,46,0.23469130084043,0.002
14,48,0.302479400844581,0.003
14,50,0.447346337753877,0.006
14,52,0.616855844932644,0.01
14,54,0.713188650757201,0.014
14,56,0.673735955655311,0.015
14,58,0.519904484582738,0.013
14,60,0.335038637452862,0.01
14,62,0.210794711486202,0.007
14,64,0.179724665842826,0.006
14,66,0.19198843498736,0.006
14,68,0.177179060665327,0.005
14,70,0.121265348322075,0.004
14,72,0.0610836088713431,0.002
14,74,0.0248148734122536,0.001
14,76,0.0115307782972451,0
14,78,0.00947546719300171,0.001
14,80,0.00944149980348261,0.001
16,0,0.0442805175182264,0.002
16,2,0.11146009140682,0.003
16,4,0.200103425606714,0.005
16,6,0.257019296623836,0.006
16,8,0.238739597014006,0.006
16,10,0.16373220668223,0.005
16,12,0.0868260948067726,0.003
16,14,0.0431278846211352,0.001
16,16,0.0349676790916947,0.001
16,18,0.0518451574617713,0.002
16,20,0.0851466612777327,0.002
16,22,0.126361848070012,0.002
16,24,0.158236972658626,0.002
16,26,0.164740607090785,0.002
16,28,0.150851327519345,0.001
16,30,0.139395942391109,0.001
16,32,0.151701549707198,0.001
16,34,0.195080229808066,0.001
16,36,0.249326508409738,0.002
16,38,0.273754151824466,0.002
16,40,0.252929004496893,0.002
16,42,0.218087628285551,0.002
16,44,0.202878848484844,0.002
16,46,0.212290246464479,0.002
16,48,0.247000897824599,0.003
16,50,0.326969189551116,0.004
16,52,0.458000588201625,0.008
16,54,0.597644122005527,0.012
16,56,0.666438215181187,0.014
16,58,0.601000343495456,0.015
16,60,0.424691806371627,0.012
16,62,0.245116304480247,0.008
16,64,0.146939015652337,0.005
16,66,0.118830486197702,0.004
16,68,0.105819040920788,0.003
16,70,0.0815308287388328,0.002
16,72,0.0535247465765791,0.002
16,74,0.0332124165967454,0.001
16,76,0.0235151651057591,0.001
16,78,0.0219224821100489,0.001
16,80,0.021570777396964,0.002
18,0,0.044390825761327,0.002
18,2,0.109040970385703,0.003
18,4,0.191712849603595,0.005
18,6,0.239074047691852,0.006
18,8,0.211905116728232,0.006
18,10,0.135599671103494,0.004
18,12,0.0669861181820562,0.002
18,14,0.0347844790649545,0.001
18,16,0.0337944663015241,0.001
18,18,0.0506375916311947,0.002
18,20,0.0790360009946133,0.002
18,22,0.116074465878454,0.002
18,24,0.148277223512851,0.002
18,26,0.158659973023669,0.002
18,28,0.148338374171047,0.002
18,30,0.134818948091247,0.001
18,32,0.134722530619674,0.001
18,34,0.156847949292735,0.001
18,36,0.19359187256513,0.001
18,38,0.217373733630321,0.002
18,40,0.211581432958083,0.002
18,42,0.195523674885906,0.002
18,44,0.194582163498299,0.002
18,46,0.206469372768878,0.002
18,48,0.223623817730116,0.003
18,50,0.26372641090884,0.004
18,52,0.353787655186243,0.006
18,54,0.489673682583733,0.01
18,56,0.605988391121092,0.014
18,58,0.602238886623106,0.015
18,60,0.453229675270763,0.013
18,62,0.257576067545066,0.009
18,64,0.124765642325045,0.005
18,66,0.0753097191322956,0.003
18,68,0.0710868859107502,0.002
18,70,0.0772037861244228,0.002
18,72,0.0753724777466704,0.002
18,74,0.0619063627911193,0.002
18,76,0.0463588330788025,0.002
18,78,0.0386609399799914,0.002
18,80,0.0349201950936049,0.002
20,0,0.0380990399159347,0.001
20,2,0.0843189125753016,0.002
20,4,0.142473675877557,0.004
20,6,0.174672234397369,0.004
20,8,0.153479732596356,0.004
20,10,0.0992064953294828,0.003
20,12,0.0563615036238301,0.002
20,14,0.047041744153615,0.001
20,16,0.0637489696984051,0.002
20,18,0.0855642668013928,0.003
20,20,0.0994736635767678,0.003
20,22,0.108702984067589,0.002
20,24,0.117128567721817,0.002
20,26,0.118672344192298,0.002
20,28,0.110723906429022,0.001
20,30,0.100912293876666,0.001
20,32,0.0982859277759583,0.001
20,34,0.113062546209972,0.001
20,36,0.15029192575166,0.001
20,38,0.194198307762615,0.002
20,40,0.21657740026057,0.002
20,42,0.210933878221802,0.002
20,44,0.202011997913785,0.002
20,46,0.213129777855699,0.003
20,48,0.249770214451699,0.004
20,50,0.306077501821514,0.005
20,52,0.374407172751794,0.007
20,54,0.454843940636898,0.01
20,56,0.527148475991665,0.012
20,58,0.523799963665126,0.013
20,60,0.406776017623438,0.012
20,62,0.239997312102738,0.009
20,64,0.118112648898288,0.005
20,66,0.0726238959974743,0.003
20,68,0.0814155452548146,0.003
20,70,0.109525262101587,0.004
20,72,0.122156834937157,0.004
20,74,0.103995945486524,0.003
20,76,0.0723966179813001,0.003
20,78,0.0509173401286827,0.002
20,80,0.0404184545829769,0.003
22,0,0.0461108315901955,0.002
22,2,0.0757727474253164,0.002
22,4,0.110885618412837,0.003
22,6,0.130423710158406,0.003
22,8,0.117055497456696,0.003
22,10,0.0856989776330415,0.002
22,12,0.0697647772879986,0.002
22,14,0.0887120147838091,0.002
22,16,0.132765353234097,0.004
22,18,0.166863610472237,0.004
22,20,0.162641694425412,0.004
22,22,0.130898928451842,0.002
22,24,0.101520175964043,0.002
22,26,0.084698382555786,0.001
22,28,0.0749904516447129,0.001
22,30,0.0700001582632715,0.001
22,32,0.0740694832518607,0.001
22,34,0.09801896738519,0.001
22,36,0.154413182860469,0.002
22,38,0.231773607343278,0.003
22,40,0.282899332668046,0.004
22,42,0.273852187639953,0.004
22,44,0.237854407011943,0.004
22,46,0.244268048641141,0.004
22,48,0.324255694791803,0.006
22,50,0.437340601006155,0.008
22,52,0.508270613955069,0.009
22,54,0.511989211690454,0.01
22,56,0.481028154798149,0.01
22,58,0.424626088643144,0.01
22,60,0.327053441733415,0.009
22,62,0.21282191656248,0.007
22,64,0.132433500238245,0.005
22,66,0.105089226565884,0.004
22,68,0.119462668667088,0.004
22,70,0.150210828619264,0.005
22,72,0.161164562625419,0.005
22,74,0.13248650612499,0.004
22,76,0.0853426373523203,0.003
22,78,0.050888013374132,0.002
22,80,0.033852919298247,0.002
24,0,0.0886264259448149,0.003
24,2,0.120818190018525,0.003
24,4,0.152332532434086,0.003
24,6,0.16733497174269,0.004
24,8,0.152136893953794,0.003
24,10,0.12388147716613,0.002
24,12,0.118067201693294,0.002
24,14,0.154948201459333,0.003
24,16,0.220683538925119,0.005
24,18,0.265856130868201,0.006
24,20,0.246690430634731,0.005
24,22,0.179345603768109,0.003
24,24,0.116485616409049,0.002
24,26,0.0828466879343147,0.001
24,28,0.0707648229141863,0.001
24,30,0.072992332375489,0.001
24,32,0.0898790032383207,0.001
24,34,0.127704197985446,0.002
24,36,0.199738595622483,0.003
24,38,0.29811306599167,0.005
24,40,0.365651169148203,0.006
24,42,0.351468666062206,0.006
24,44,0.293402340919137,0.005
24,46,0.291519927280476,0.005
24,48,0.400328982721224,0.007
24,50,0.561168989452951,0.009
