x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
86,44,Run,80,66,3,0.346,0,0,0
86,44,Run,80,68,3,0.349,0,0,0
86,44,Run,80,70,3,0.246,0,0,0
86,44,Run,80,72,3,0.122,0,0,0
86,44,Run,80,74,3,0.044,0,0,0
86,44,Run,80,76,3,0.012,0,0,0
86,44,Run,78,64,3,0.334,0,0,0
86,44,Run,78,66,3,0.482,0,0,0
86,44,Run,78,68,3,0.486,0,0,0
86,44,Run,78,70,3,0.343,0,0,0
86,44,Run,78,72,3,0.17,0,0,0
86,44,Run,78,74,3,0.061,0,0,0
86,44,Run,78,76,3,0.017,0,0,0
86,44,Run,78,78,3,0.004,0,0,0
86,44,Run,76,62,3,0.156,0,0,0
86,44,Run,76,64,3,0.324,0,0,0
86,44,Run,76,66,3,0.469,0,0,0
86,44,Run,76,68,3,0.472,0,0,0
86,44,Run,76,70,3,0.333,0,0,0
86,44,Run,76,72,3,0.165,0,0,0
86,44,Run,76,74,3,0.059,0,0,0
86,44,Run,76,76,3,0.016,0,0,0
86,44,Run,76,78,3,0.004,0,0,0
86,44,Run,76,80,3,0.001,0,0,0
86,44,Run,74,60,2,0.036,0,0,0
86,44,Run,74,62,3,0.106,0,0,0
86,44,Run,74,64,3,0.22,0,0,0
86,44,Run,74,66,3,0.317,0,0,0
86,44,Run,74,68,3,0.32,0,0,0
86,44,Run,74,70,3,0.225,0,0,0
86,44,Run,74,72,3,0.112,0,0,0
86,44,Run,74,74,3,0.04,0,0,0
86,44,Run,74,76,3,0.011,0,0,0
86,44,Run,74,78,3,0.003,0,0,0
86,44,Run,74,80,2,0,0,0,0
86,44,Run,72,60,2,0.017,0,0,0
86,44,Run,72,62,2,0.05,0,0,0
86,44,Run,72,64,3,0.104,0,0,0
86,44,Run,72,66,3,0.15,0,0,0
86,44,Run,72,68,3,0.151,0,0,0
86,44,Run,72,70,3,0.107,0,0,0
86,44,Run,72,72,3,0.053,0,0,0
86,44,Run,72,74,3,0.019,0,0,0
86,44,Run,72,76,3,0.005,0,0,0
86,44,Run,72,78,3,0.001,0,0,0
86,44,Run,72,80,2,0,0,0,0
86,44,Run,70,58,2,0.001,0,0,0
86,44,Run,70,60,2,0.006,0,0,0
86,44,Run,70,62,2,0.016,0,0,0
86,44,Run,70,64,3,0.034,0,0,0
86,44,Run,70,66,3,0.05,0,0,0
86,44,Run,70,68,3,0.05,0,0,0
86,44,Run,70,70,3,0.036,0,0,0
86,44,Run,70,72,3,0.018,0,0,0
86,44,Run,70,74,3,0.006,0,0,0
86,44,Run,70,76,3,0.002,0,0,0
86,44,Run,70,78,3,0,0,0,0
86,44,Run,70,80,2,0,0,0,0
86,44,Run,68,58,3,0,0,0,0
86,44,Run,68,60,2,0.001,0,0,0
86,44,Run,68,62,2,0.004,0,0,0
86,44,Run,68,64,2,0.008,0,0,0
86,44,Run,68,66,3,0.012,0,0,0
86,44,Run,68,68,3,0.012,0,0,0
86,44,Run,68,70,3,0.009,0,0,0
86,44,Run,68,72,3,0.005,0,0,0
86,44,Run,68,74,3,0.002,0,0,0
86,44,Run,68,76,3,0.001,0,0,0
86,44,Run,68,78,2,0,0,0,0
86,44,Run,68,80,2,0,0,0,0
86,44,Run,66,58,2,0,0,0,0
86,44,Run,66,60,3,0,0,0,0
86,44,Run,66,62,2,0.001,0,0,0
86,44,Run,66,64,2,0.001,0,0,0
86,44,Run,66,66,2,0.002,0,0,0
86,44,Run,66,68,3,0.002,0,0,0
86,44,Run,66,70,3,0.002,0,0,0
86,44,Run,66,72,3,0.001,0,0,0
86,44,Run,66,74,3,0.001,0,0,0
86,44,Run,66,76,2,0,0,0,0
86,44,Run,66,78,2,0,0,0,0
86,44,Run,66,80,2,0,0,0,0
86,44,Run,64,60,2,0,0,0,0
86,44,Run,64,62,2,0,0,0,0
86,44,Run,64,64,1,0,0,0,0
86,44,Run,64,66,2,0,0,0,0
86,44,Run,64,68,2,0,0,0,0
86,44,Run,64,70,1,0,0,0,0
86,44,Run,64,72,1,0,0,0,0
86,44,Run,64,74,1,0,0,0,0
86,44,Run,64,76,1,0,0,0,0
86,44,Run,64,78,1,0,0,0,0
86,44,Run,64,80,1,0,0,0,0
86,44,Run,62,60,2,0,0,0,0
86,44,Run,62,62,2,0,0,0,0
86,44,Run,62,64,2,0,0,0,0
86,44,Run,62,66,1,0,0,0,0
86,44,Run,62,68,1,0,0,0,0
86,44,Run,62,70,1,0,0,0,0
86,44,Run,62,72,1,0,0,0,0
86,44,Run,62,74,1,0,0,0,0
86,44,Run,62,76,1,0,0,0,0
86,44,Run,62,78,1,0,0,0,0
86,44,Run,62,80,1,0,0,0,0
86,44,Run,60,62,2,0,0,0,0
86,44,Run,60,64,2,0,0,0,0
86,44,Run,60,66,1,0,0,0,0
86,44,Run,60,68,1,0,0,0,0
86,44,Run,60,70,1,0,0,0,0
86,44,Run,60,72,1,0,0,0,0
86,44,Run,60,74,1,0,0,0,0
86,44,Run,60,76,1,0,0,0,0
86,44,Run,60,78,1,0,0,0,0
86,44,Run,60,80,1,0,0,0,0
86,44,Run,58,62,3,0,0,0,0
86,44,Run,58,64,2,0,0,0,0
86,44,Run,58,66,1,0,0,0,0
86,44,Run,58,68,1,0,0,0,0
86,44,Run,58,70,1,0,0,0,0
86,44,Run,58,72,1,0,0,0,0
86,44,Run,58,74,1,0,0,0,0
86,44,Run,58,76,1,0,0,0,0
86,44,Run,58,78,1,0,0,0,0
86,44,Run,56,66,1,0,0,0,0
86,44,Run,56,68,1,0,0,0,0
86,44,Run,56,70,1,0,0,0,0
86,44,Run,56,72,1,0,0,0,0
