x,y,WeightedExpectedGoals,GoalProbability
0,0,0.308637385255841,0.019
0,2,0.25813023442295,0.019
0,4,0.152221569972414,0.018
0,6,0.0680365754121427,0.017
0,8,0.033191847816258,0.021
0,10,0.028196360773162,0.041
0,12,0.0273147046832219,0.061
0,14,0.0202633008904102,0.036
0,16,0.0106624464129854,0.012
0,18,0.00391150918620045,0.003
0,20,0.00100039767185164,0.001
0,22,0.000178378215540609,0
0,24,0,0
0,26,0,0
0,28,0,0
0,30,0,0
0,32,0,0
0,34,0,0
0,36,0,0
0,38,0,0
0,40,0,0
0,42,0,0
0,44,0,0
0,46,0,0
0,48,0,0
0,50,0,0
0,52,0,0
0,54,0,0
0,56,0,0
0,58,0,0
0,60,0,0
0,62,0,0
0,64,0,0
0,66,0,0
0,68,0,0
0,70,0,0
0,72,0,0
0,74,0,0
0,76,0,0
0,78,0,0
0,80,0,0
2,0,0.257845053993714,0.019
2,2,0.216466559548188,0.018
2,4,0.131388540357772,0.018
2,6,0.0705084424605381,0.019
2,8,0.0582285117836785,0.032
2,10,0.0709267097781547,0.073
2,12,0.0741040862804756,0.104
2,14,0.0556359981260649,0.072
2,16,0.0292753807417857,0.026
2,18,0.0107396479443547,0.007
2,20,0.00274674512792723,0.002
2,22,0.000489764728817941,0
2,24,0,0
2,26,0,0
2,28,0,0
2,30,0,0
2,32,0,0
2,34,0,0
2,36,0,0
2,38,0,0
2,40,0,0
2,42,0,0
2,44,0,0
2,46,0,0
2,48,0,0
2,50,0,0
2,52,0,0
2,54,0,0
2,56,0,0
2,58,0,0
2,60,0,0
2,62,0,0
2,64,0,0
2,66,0,0
2,68,0,0
2,70,0,0
2,72,0,0
2,74,0,0
2,76,0,0
2,78,0,0
2,80,0,0
4,0,0.150368841549106,0.018
4,2,0.127800418960997,0.017
4,4,0.0846921869007437,0.017
4,6,0.0672687512177792,0.023
4,8,0.0923063311219032,0.053
4,10,0.131989292034073,0.109
4,12,0.141330170400311,0.141
4,14,0.106498232275335,0.106
4,16,0.0560388310302809,0.042
4,18,0.0205577963882592,0.011
4,20,0.00525780988007646,0.002
4,22,0.000937505924342962,0
4,24,0.000116542408286133,0
4,26,0,0
4,28,0,0
4,30,0,0
4,32,0,0
4,34,0,0
4,36,0,0
4,38,0,0
4,40,0,0
4,42,0,0
4,44,0,0
4,46,0,0
4,48,0,0
4,50,0,0
4,52,0,0
4,54,0,0
4,56,0,0
4,58,0,0
4,60,0,0
4,62,0,0
4,64,0,0
4,66,0,0
4,68,0,0
4,70,0,0
4,72,0,0
4,74,0,0
4,76,0,0
4,78,0,0
4,80,0,0
6,0,0.0613889873299683,0.015
6,2,0.0542566974821538,0.013
6,4,0.0453257419026415,0.014
6,6,0.0622974734227565,0.028
6,8,0.115411679195382,0.073
6,10,0.174609861384296,0.13
6,12,0.188305886288429,0.153
6,14,0.142124758350868,0.116
6,16,0.0747853288104609,0.048
6,18,0.0274349327823008,0.012
6,20,0.00701668884727335,0.002
6,22,0.00125112689763029,0
6,24,0.000155528981668655,0
6,26,0,0
6,28,0,0
6,30,0,0
6,32,0,0
6,34,0,0
6,36,0,0
6,38,0,0
6,40,0,0
6,42,0,0
6,44,0,0
6,46,0,0
6,48,0,0
6,50,0,0
6,52,0,0
6,54,0,0
6,56,0,0
6,58,0,0
6,60,0,0
6,62,0,0
6,64,0,0
6,66,0,0
6,68,0,0
6,70,0,0
6,72,0,0
6,74,0,0
6,76,0,0
6,78,0,0
6,80,0,0
8,0,0.0177077160157375,0.008
8,2,0.0175754593698319,0.007
8,4,0.0230164393491595,0.01
8,6,0.0501877592145818,0.027
8,8,0.10517918998044,0.071
8,10,0.162022580723001,0.119
8,12,0.1751991766575,0.129
8,14,0.132232407263034,0.095
8,16,0.0695800237151603,0.039
8,18,0.0255253711386945,0.01
8,20,0.00652830420298812,0.002
8,22,0.00116404434656459,0
8,24,0.000144703652508191,0
8,26,0,0
8,28,0,0
8,30,0,0
8,32,0,0
8,34,0,0
8,36,0,0
8,38,0,0
8,40,0,0
8,42,0,0
8,44,0,0
8,46,0,0
8,48,0,0
8,50,0,0
8,52,0,0
8,54,0,0
8,56,0,0
8,58,0,0
8,60,0,0
8,62,0,0
8,64,0,0
8,66,0,0
8,68,0,0
8,70,0,0
8,72,0,0
8,74,0,0
8,76,0,0
8,78,0,0
8,80,0,0
10,0,0.00371246714301055,0.002
10,2,0.00490956404519055,0.002
10,4,0.0111511973345099,0.005
10,6,0.0310207800848285,0.018
10,8,0.0677903970705653,0.048
10,10,0.10497261886125,0.074
10,12,0.113642571058128,0.074
10,14,0.0857722680281408,0.052
10,16,0.0451329334996496,0.022
10,18,0.0165569773714459,0.006
10,20,0.00423457055239188,0.001
10,22,0.000755054874646381,0
10,24,0.0000938617145711841,0
10,26,0,0
10,28,0,0
10,30,0,0
10,32,0,0
10,34,0,0
10,36,0,0
10,38,0,0
10,40,0,0
10,42,0,0
10,44,0,0
10,46,0,0
10,48,0,0
10,50,0,0
10,52,0,0
10,54,0,0
10,56,0,0
10,58,0,0
10,60,0,0
10,62,0,0
10,64,0,0
10,66,0,0
10,68,0,0
10,70,0,0
10,72,0,0
10,74,0,0
10,76,0,0
10,78,0,0
10,80,0,0
12,0,0.000609804577829214,0
12,2,0.00132758165356669,0.001
12,4,0.00452318364819383,0.003
12,6,0.0137251874391173,0.009
12,8,0.0305704374282412,0.021
12,10,0.0474707230526538,0.028
12,12,0.0513914492770966,0.026
12,14,0.0387879394201235,0.019
12,16,0.0204100174879661,0.009
12,18,0.00748739715094508,0.003
12,20,0.00191495771106958,0.001
12,22,0.000341450953903237,0
12,24,0,0
12,26,0,0
12,28,0,0
12,30,0,0
12,32,0,0
12,34,0,0
12,36,0,0
12,38,0,0
12,40,0,0
12,42,0,0
12,44,0,0
12,46,0,0
12,48,0,0
12,50,0,0
12,52,0,0
12,54,0,0
12,56,0,0
12,58,0,0
12,60,0,0
12,62,0,0
12,64,0,0
12,66,0,0
12,68,0,0
12,70,0,0
12,72,0,0
12,74,0,0
12,76,0,0
12,78,0,0
12,80,0,0
14,0,0,0
14,2,0.00029557293238941,0
14,4,0.00135446060991026,0.001
14,6,0.00432721948057805,0.003
14,8,0.00963811918460656,0.006
14,10,0.0149663702927018,0.007
14,12,0.0162024803984238,0.006
14,14,0.0122288987173959,0.005
14,16,0.00643478463697728,0.003
14,18,0.00236059514335331,0.001
14,20,0.00060373982858746,0
14,22,0.000107651223412878,0
14,24,0,0
14,26,0,0
14,28,0,0
14,30,0,0
14,32,0,0
14,34,0,0
14,36,0,0
14,38,0,0
14,40,0,0
14,42,0,0
14,44,0,0
14,46,0,0
14,48,0,0
14,50,0,0
14,52,0,0
14,54,0,0
14,56,0,0
14,58,0,0
14,60,0,0
14,62,0,0
14,64,0,0
14,66,0,0
14,68,0,0
14,70,0,0
14,72,0,0
14,74,0,0
14,76,0,0
14,78,0,0
14,80,0,0
16,0,0,0
16,2,0,0
16,4,0.000297713030649034,0
16,6,0.000951131111839265,0.001
