Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedExpectedGoals,y,x,event
1,0.00110115021003269,0,0,0,0,36,74,Shot
1,0.00137211765360314,0,0,0,0,38,74,Shot
1,0.000628986980629699,0,0,0,0,40,74,Shot
1,0.000799599164688732,0,0,0,0,32,76,Shot
1,0.00736217406937222,0,0,0,0,34,76,Shot
1,0.0249370657005626,0,0,0,0,36,76,Shot
2,0.0321247213821135,0,0,0,0,38,76,Shot
2,0.017402329629201,0,0,0,0,40,76,Shot
2,0.00589231551259612,0,0,0,0,42,76,Shot
1,0.00141900408786708,0,0,0,0,44,76,Shot
1,0.00666157057606204,0,0,0,0,32,78,Shot
1,0.061335284380229,0,0,0,0,34,78,Shot
3,0.210600656055335,0,0,0,0,36,78,Shot
3,0.277609979840669,0,0,0,0,38,78,Shot
2,0.172723510074942,0,0,0,0,40,78,Shot
2,0.0797496841258456,0,0,0,0,42,78,Shot
2,0.0255288846591124,0,0,0,0,44,78,Shot
1,0.00363262409747302,0,0,0,0,46,78,Shot
1,0.000471967703267761,0,0,0,0,60,78,Shot
1,0.00328430571322397,0,0,0,0,62,78,Shot
1,0.00840776159796601,0,0,0,0,64,78,Shot
1,0.007918131679796,0,0,0,0,66,78,Shot
1,0.00274328272742382,0,0,0,0,68,78,Shot
1,0.000349642274154056,0,0,0,0,70,78,Shot
2,0.00108242819767733,1,0.000723073269499733,0.66801037801057,0.0000370662482347667,26,80,Shot
3,0.00381377385642227,1,0.00114540155545943,0.300332845779677,0.0000587156795500416,28,80,Shot
5,0.00996562488650763,1,0.000667480754710434,0.0669783141862113,0.000034216459644738,30,80,Shot
6,0.0340556930929347,0,0,0,0,32,80,Shot
6,0.206133776113337,0,0,0,0,34,80,Shot
6,0.676024995549481,0,0,0,0,36,80,Shot
7,0.93273387630231,0,0,0,0,38,80,Shot
7,0.721842337293858,0,0,0,0,40,80,Shot
5,0.44788423453626,0,0,0,0,42,80,Shot
4,0.16058759667397,0,0,0,0,44,80,Shot
1,0.0228729566176664,0,0,0,0,46,80,Shot
3,0.00280421978269911,0,0,0,0,48,80,Shot
2,0.00379648428399933,0,0,0,0,50,80,Shot
2,0.00344146076013618,0,0,0,0,52,80,Shot
2,0.00115147259186347,0,0,0,0,54,80,Shot
1,0.00610528798830822,0,0,0,0,60,80,Shot
1,0.0424851787146598,0,0,0,0,62,80,Shot
1,0.108761268063927,0,0,0,0,64,80,Shot
1,0.102427504890256,0,0,0,0,66,80,Shot
1,0.0354866042068393,0,0,0,0,68,80,Shot
1,0.00452290858424791,0,0,0,0,70,80,Shot
1,0.000837072393146909,0,0,0,0,20,82,Shot
2,0.00167097292036071,1,0.000344988318819613,0.206459550969349,0.0000176848228289641,22,82,Shot
3,0.00521591001462107,1,0.0040380232552784,0.774174256066371,0.000206997518330976,24,82,Shot
5,0.0262078631964541,1,0.0173875647117456,0.663448392622032,0.000891322936401079,26,82,Shot
7,0.0808347699073864,1,0.0275431889222843,0.340734425963492,0.00141192147578184,28,82,Shot
9,0.165345389883239,1,0.0160507452092678,0.0970740413180086,0.000822794772501174,30,82,Shot
10,0.241344790290971,1,0.00344097643668663,0.0142575127995848,0.000176391649577162,32,82,Shot
13,0.457761762588294,0,0,0,0,34,82,Shot
16,1.05724734287952,0,0,0,0,36,82,Shot
11,1.46279271680246,0,0,0,0,38,82,Shot
11,1.43633383173949,0,0,0,0,40,82,Shot
10,1.10494914875877,0,0,0,0,42,82,Shot
7,0.425012279786587,0,0,0,0,44,82,Shot
8,0.0715002056961084,0,0,0,0,46,82,Shot
8,0.0372620472342508,0,0,0,0,48,82,Shot
6,0.080209540986051,0,0,0,0,50,82,Shot
3,0.0757964925930911,0,0,0,0,52,82,Shot
3,0.0293863163307564,0,0,0,0,54,82,Shot
3,0.00505038551175666,0,0,0,0,56,82,Shot
1,0.0015359595181117,0,0,0,0,58,82,Shot
1,0.0290539741864462,0,0,0,0,60,82,Shot
1,0.202179371070802,0,0,0,0,62,82,Shot
1,0.517575433110751,0,0,0,0,64,82,Shot
1,0.487434186358211,0,0,0,0,66,82,Shot
1,0.168874406017306,0,0,0,0,68,82,Shot
1,0.0215237134605354,0,0,0,0,70,82,Shot
1,0.00100919731673994,0,0,0,0,72,82,Shot
1,0.000388584464479289,0,0,0,0,14,84,Shot
2,0.00146133941916803,0,0,0,0,16,84,Shot
2,0.00559074855572825,0,0,0,0,18,84,Shot
2,0.019752222308182,0,0,0,0,20,84,Shot
6,0.037410586436066,1,0.00305187232395954,0.0815777728899045,0.000156445358876235,22,84,Shot
9,0.0733385001694504,1,0.0357215903960298,0.487078278305313,0.00183116344195101,24,84,Shot
13,0.252063545765915,1,0.153815722533429,0.610225973240391,0.00788491567082634,26,84,Shot
13,0.64268878629679,1,0.243655484548335,0.379118929322374,0.0124902897880313,28,84,Shot
16,1.14999252086319,1,0.14198980780188,0.123470201089048,0.00727869454561996,30,84,Shot
19,1.39583052476807,1,0.030439931387972,0.0218077559186705,0.00156041455364054,32,84,Shot
20,1.45162230612198,1,0.00240068779844451,0.00165379643748928,0.000123064278026603,34,84,Shot
23,1.82879883371737,0,0,0,0,36,84,Shot
21,2.10490550356921,0,0,0,0,38,84,Shot
16,2.16392897160026,0,0,0,0,40,84,Shot
