x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
120,16,Pass,120,0,6,0.002,0,0,0
120,16,Pass,120,2,11,0.009,0,0,0
120,16,Pass,120,4,15,0.034,0,0,0
120,16,Pass,120,6,15,0.09,0,0,0
120,16,Pass,120,8,16,0.178,0,0,0
120,16,Pass,120,10,22,0.269,0,0,0
120,16,Pass,120,12,27,0.315,0,0,0
120,16,Pass,120,14,28,0.298,0,0,0
120,16,Pass,120,16,30,0.269,0,0,0
120,16,Pass,120,18,30,0.294,0,0,0
120,16,Pass,120,20,30,0.369,0,0,0
120,16,Pass,120,22,30,0.406,0,0,0
120,16,Pass,120,24,35,0.344,1,0,0
120,16,Pass,120,26,34,0.223,1,0,0
120,16,Pass,120,28,39,0.126,4,0,0
120,16,Pass,120,30,44,0.1,4,0,0.002
120,16,Pass,120,32,50,0.151,5,0,0.006
120,16,Pass,120,34,54,0.26,5,0,0.009
120,16,Pass,120,36,53,0.388,5,0,0.013
120,16,Pass,120,38,54,0.479,5,0,0.017
120,16,Pass,120,40,53,0.486,5,0.001,0.02
120,16,Pass,120,42,50,0.415,5,0.001,0.021
120,16,Pass,120,44,50,0.32,5,0,0.02
120,16,Pass,120,46,46,0.238,3,0,0.017
120,16,Pass,120,48,39,0.168,1,0,0.012
120,16,Pass,120,50,28,0.107,1,0,0.008
120,16,Pass,120,52,22,0.073,0,0,0.003
120,16,Pass,120,54,19,0.072,0,0,0.001
120,16,Pass,120,56,16,0.08,0,0,0
120,16,Pass,120,58,13,0.081,0,0,0
120,16,Pass,120,60,8,0.081,0,0,0
120,16,Pass,120,62,7,0.1,0,0,0
120,16,Pass,120,64,7,0.125,0,0,0
120,16,Pass,120,66,6,0.123,0,0,0
120,16,Pass,120,68,7,0.088,0,0,0
120,16,Pass,120,70,6,0.046,0,0,0
120,16,Pass,120,72,6,0.022,0,0,0
120,16,Pass,120,74,6,0.014,0,0,0
120,16,Pass,120,76,5,0.011,0,0,0
120,16,Pass,120,78,4,0.008,0,0,0
120,16,Pass,120,80,3,0.005,0,0,0
120,16,Pass,118,0,8,0.003,0,0,0
120,16,Pass,118,2,15,0.015,0,0,0
120,16,Pass,118,4,15,0.054,0,0,0
120,16,Pass,118,6,16,0.146,0,0,0
120,16,Pass,118,8,19,0.3,0,0,0
120,16,Pass,118,10,26,0.473,0,0,0
120,16,Pass,118,12,28,0.577,0,0,0
120,16,Pass,118,14,28,0.563,0,0,0
120,16,Pass,118,16,30,0.502,0,0,0
120,16,Pass,118,18,31,0.521,0,0,0
120,16,Pass,118,20,32,0.63,0,0,0
120,16,Pass,118,22,36,0.69,0,0,0
120,16,Pass,118,24,41,0.596,1,0,0
120,16,Pass,118,26,41,0.407,3,0,0
120,16,Pass,118,28,49,0.26,4,0,0.001
120,16,Pass,118,30,56,0.239,5,0,0.003
120,16,Pass,118,32,54,0.359,5,0,0.007
120,16,Pass,118,34,61,0.595,5,0,0.012
120,16,Pass,118,36,61,0.881,5,0.001,0.017
120,16,Pass,118,38,62,1.099,5,0.001,0.022
120,16,Pass,118,40,60,1.127,5,0.002,0.026
120,16,Pass,118,42,61,0.963,5,0.002,0.028
120,16,Pass,118,44,62,0.734,5,0.001,0.027
120,16,Pass,118,46,58,0.541,5,0.001,0.023
120,16,Pass,118,48,48,0.382,3,0,0.017
120,16,Pass,118,50,39,0.249,1,0,0.01
120,16,Pass,118,52,31,0.174,1,0,0.004
120,16,Pass,118,54,21,0.166,0,0,0.001
120,16,Pass,118,56,20,0.178,0,0,0
120,16,Pass,118,58,17,0.163,0,0,0
120,16,Pass,118,60,10,0.132,0,0,0
120,16,Pass,118,62,8,0.123,0,0,0
120,16,Pass,118,64,9,0.132,0,0,0
120,16,Pass,118,66,8,0.126,0,0,0
120,16,Pass,118,68,7,0.09,0,0,0
120,16,Pass,118,70,6,0.051,0,0,0
120,16,Pass,118,72,6,0.031,0,0,0
120,16,Pass,118,74,6,0.027,0,0,0
120,16,Pass,118,76,5,0.025,0,0,0
120,16,Pass,118,78,4,0.019,0,0,0
120,16,Pass,118,80,3,0.01,0,0,0
120,16,Pass,116,0,11,0.003,0,0,0
120,16,Pass,116,2,15,0.017,0,0,0
120,16,Pass,116,4,15,0.062,0,0,0
120,16,Pass,116,6,17,0.173,0,0,0
120,16,Pass,116,8,21,0.37,0,0,0
120,16,Pass,116,10,28,0.609,0,0,0
120,16,Pass,116,12,28,0.775,0,0,0
120,16,Pass,116,14,30,0.779,0,0,0
120,16,Pass,116,16,30,0.696,0,0,0
120,16,Pass,116,18,34,0.696,0,0,0
120,16,Pass,116,20,37,0.812,0,0,0
120,16,Pass,116,22,44,0.881,1,0,0
120,16,Pass,116,24,44,0.778,1,0,0
120,16,Pass,116,26,48,0.576,3,0,0
120,16,Pass,116,28,56,0.443,5,0,0.001
120,16,Pass,116,30,60,0.486,5,0,0.004
120,16,Pass,116,32,67,0.723,5,0,0.009
120,16,Pass,116,34,66,1.127,5,0.001,0.015
120,16,Pass,116,36,64,1.621,5,0.002,0.021
120,16,Pass,116,38,68,2.01,5,0.003,0.028
120,16,Pass,116,40,68,2.057,5,0.004,0.033
120,16,Pass,116,42,68,1.74,5,0.004,0.036
120,16,Pass,116,44,67,1.304,5,0.003,0.036
120,16,Pass,116,46,63,0.953,5,0.002,0.03
120,16,Pass,116,48,60,0.683,4,0.001,0.021
120,16,Pass,116,50,45,0.46,1,0,0.013
120,16,Pass,116,52,37,0.324,1,0,0.006
120,16,Pass,116,54,28,0.292,0,0,0.002
120,16,Pass,116,56,23,0.294,0,0,0
120,16,Pass,116,58,18,0.257,0,0,0
120,16,Pass,116,60,16,0.193,0,0,0
120,16,Pass,116,62,10,0.159,0,0,0
120,16,Pass,116,64,9,0.16,0,0,0
120,16,Pass,116,66,8,0.149,0,0,0
120,16,Pass,116,68,7,0.108,0,0,0
120,16,Pass,116,70,6,0.064,0,0,0
120,16,Pass,116,72,6,0.044,0,0,0
120,16,Pass,116,74,6,0.043,0,0,0
120,16,Pass,116,76,8,0.041,0,0,0
120,16,Pass,116,78,5,0.03,0,0,0
120,16,Pass,116,80,5,0.016,0,0,0
120,16,Run,114,0,1,0,0,0,0
120,16,Pass,114,0,13,0.003,0,0,0
120,16,Run,114,2,1,0,0,0,0
120,16,Pass,114,2,15,0.014,0,0,0
120,16,Pass,114,4,16,0.052,0,0,0
120,16,Pass,114,6,18,0.151,0,0,0
120,16,Pass,114,8,22,0.337,0,0,0
120,16,Pass,114,10,27,0.581,0,0,0
120,16,Pass,114,12,28,0.77,0,0,0
120,16,Pass,114,14,31,0.798,0,0,0
120,16,Pass,114,16,34,0.722,0,0,0
120,16,Pass,114,18,35,0.71,0,0,0
120,16,Pass,114,20,38,0.801,0,0,0
120,16,Pass,114,22,45,0.859,1,0,0
120,16,Pass,114,24,48,0.783,3,0,0
120,16,Pass,114,26,54,0.658,4,0,0
120,16,Pass,114,28,59,0.645,5,0,0.001
120,16,Pass,114,30,68,0.831,5,0,0.004
