x,y,WeightedExpectedGoals,GoalProbability
0,0,0.000193499104291564,0
0,2,0.000936329075915987,0
0,4,0.00302709060583508,0.001
0,6,0.00813523134728602,0.002
0,8,0.0167045105857001,0.004
0,10,0.0250572295667279,0.005
0,12,0.0271874276325615,0.006
0,14,0.0219915540799798,0.005
0,16,0.0151888380868637,0.004
0,18,0.0114249451461113,0.002
0,20,0.0102409934269504,0.002
0,22,0.0114641425926229,0.002
0,24,0.0243139677341099,0.002
0,26,0.067100996105575,0.005
0,28,0.148144945585286,0.008
0,30,0.234780716687575,0.009
0,32,0.266855366997159,0.007
0,34,0.230067043724883,0.005
0,36,0.181737435438835,0.003
0,38,0.177077396006569,0.003
0,40,0.20686945940319,0.004
0,42,0.228561989803098,0.005
0,44,0.222442090591101,0.006
0,46,0.191347849495746,0.007
0,48,0.140219226720947,0.007
0,50,0.0812598524509009,0.005
0,52,0.0354247017037189,0.003
0,54,0.0115664598602247,0.001
0,56,0.00309718468824792,0
0,58,0.000863320032041586,0
0,60,0.000237944375974165,0
0,62,0.0000812140376155713,0
0,64,0.0000431923047449709,0
0,66,0.0000606269894891278,0
0,68,0.0000593289213831459,0
0,70,0.0000404769450427529,0
0,72,0,0
0,74,0,0
0,76,0,0
0,78,0,0
0,80,0,0
2,0,0.00116009870619753,0
2,2,0.00370511527160411,0.001
2,4,0.0105778065722535,0.002
2,6,0.0260432426236021,0.004
2,8,0.0507004145737428,0.006
2,10,0.07367684361935,0.008
2,12,0.0783254433234187,0.009
2,14,0.0641328865669036,0.008
2,16,0.0486316587659658,0.006
2,18,0.0429808666631669,0.005
2,20,0.0410440995018232,0.004
2,22,0.0372106568557058,0.003
2,24,0.0476541353356892,0.003
2,26,0.105760302021344,0.004
2,28,0.227226029430318,0.006
2,30,0.363744067955069,0.007
2,32,0.424981010844541,0.006
2,34,0.389253268166515,0.004
2,36,0.340512958258183,0.003
2,38,0.35416418490833,0.003
2,40,0.405418087385808,0.003
2,42,0.428604774089533,0.004
2,44,0.404254180577393,0.005
2,46,0.344620771498651,0.006
2,48,0.253786464151563,0.006
2,50,0.149341657933161,0.005
2,52,0.0670279311348019,0.003
2,54,0.0238249744896776,0.001
2,56,0.0080835337072879,0.001
2,58,0.00321391639632583,0
2,60,0.00135429494681313,0
2,62,0.000587802024326703,0
2,64,0.00044186993891842,0
2,66,0.000480717208219489,0
2,68,0.000470424701841644,0
2,70,0.000320945575265538,0
2,72,0.000152655864062371,0
2,74,0.0000506216638660884,0
2,76,0,0
2,78,0,0
2,80,0,0
4,0,0.0037910043710705,0.001
4,2,0.0109818800280467,0.001
4,4,0.0278043280478716,0.003
4,6,0.0620579397251094,0.006
4,8,0.113702646737818,0.009
4,10,0.159151785757728,0.011
4,12,0.166252301104389,0.012
4,14,0.139165449709138,0.01
4,16,0.117469211829915,0.009
4,18,0.119332217684352,0.009
4,20,0.120358588856969,0.008
4,22,0.100195860521601,0.005
4,24,0.084794328123031,0.003
4,26,0.126783038040422,0.003
4,28,0.250912079499898,0.004
4,30,0.40671137133364,0.005
4,32,0.500160850398033,0.004
4,34,0.509154632458455,0.004
4,36,0.513212917523249,0.003
4,38,0.566692110516276,0.003
4,40,0.619399976984047,0.003
4,42,0.606930682377078,0.004
4,44,0.538171949554289,0.005
4,46,0.444444015630643,0.005
4,48,0.32617239066559,0.005
4,50,0.195041759059346,0.004
4,52,0.0926659633740295,0.002
4,54,0.0392177757889056,0.001
4,56,0.0187288904962709,0.001
4,58,0.00998819362235819,0
4,60,0.00481070083180198,0
4,62,0.00243806292307997,0
4,64,0.00224958818833989,0
4,66,0.00271650802445742,0
4,68,0.00260048653060253,0
4,70,0.00177417266199483,0
4,72,0.000843874730126989,0
4,74,0.000279834274274069,0
4,76,0.0000646940969240312,0
4,78,0,0
4,80,0,0
6,0,0.0089809810666339,0.001
6,2,0.0240555547604027,0.002
6,4,0.0545536055009129,0.004
6,6,0.109642163035038,0.007
6,8,0.187273580001704,0.011
6,10,0.251633732436329,0.014
6,12,0.258887415791751,0.013
6,14,0.223825398537397,0.012
6,16,0.211377354688046,0.012
6,18,0.240091362778231,0.013
6,20,0.252580123463966,0.012
6,22,0.205265922488464,0.008
6,24,0.13799642491504,0.004
6,26,0.127814974684526,0.003
6,28,0.208901333346955,0.003
6,30,0.344534186180366,0.004
6,32,0.467324972611297,0.004
6,34,0.563780532279578,0.003
6,36,0.67090830216259,0.003
6,38,0.771901399988005,0.003
6,40,0.786305122871819,0.004
6,42,0.688876183107363,0.004
6,44,0.547416077547703,0.004
6,46,0.420057857585666,0.004
6,48,0.300652353553867,0.004
6,50,0.184283730237407,0.003
6,52,0.0985539521379379,0.002
6,54,0.0560775118990094,0.001
6,56,0.0374788852598672,0.001
6,58,0.0235921764321765,0.001
6,60,0.0123161143154221,0.001
6,62,0.00736807579976397,0
