x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedProbabiliticGoals,GoalProbability
110,12,Pass,120,0,35,0,0,0,0
110,12,Pass,120,2,47,0.001,1,0,0
110,12,Pass,120,4,54,0.002,1,0,0
110,12,Pass,120,6,58,0.004,1,0,0
110,12,Pass,120,8,58,0.007,1,0,0
110,12,Pass,120,10,68,0.011,1,0,0
110,12,Pass,120,12,72,0.013,1,0,0
110,12,Pass,120,14,72,0.012,1,0,0
110,12,Pass,120,16,66,0.009,1,0,0.001
110,12,Pass,120,18,62,0.006,1,0,0.003
110,12,Pass,120,20,60,0.004,1,0,0.009
110,12,Pass,120,22,57,0.003,0,0,0.018
110,12,Pass,120,24,64,0.003,1,0,0.021
110,12,Pass,120,26,71,0.004,2,0,0.018
110,12,Pass,120,28,80,0.006,5,0,0.017
110,12,Pass,120,30,90,0.01,5,0,0.018
110,12,Pass,120,32,104,0.014,7,0,0.023
110,12,Pass,120,34,116,0.018,9,0.001,0.032
110,12,Pass,120,36,116,0.021,9,0.001,0.04
110,12,Pass,120,38,117,0.024,9,0.001,0.045
110,12,Pass,120,40,118,0.025,9,0.001,0.046
110,12,Pass,120,42,114,0.024,9,0.001,0.047
110,12,Pass,120,44,110,0.022,9,0.001,0.044
110,12,Pass,120,46,94,0.021,7,0.001,0.035
110,12,Pass,120,48,82,0.022,5,0,0.022
110,12,Pass,120,50,61,0.022,5,0,0.011
110,12,Pass,120,52,46,0.021,2,0,0.005
110,12,Pass,120,54,35,0.017,2,0,0.002
110,12,Pass,120,56,26,0.012,2,0,0.001
110,12,Pass,120,58,20,0.011,0,0,0
110,12,Pass,120,60,14,0.015,0,0,0
110,12,Pass,120,62,13,0.02,0,0,0
110,12,Pass,120,64,13,0.023,0,0,0
110,12,Pass,120,66,10,0.018,0,0,0
110,12,Pass,120,68,9,0.011,0,0,0
110,12,Pass,120,70,8,0.006,0,0,0
110,12,Pass,120,72,8,0.004,0,0,0
110,12,Pass,120,74,8,0.004,0,0,0
110,12,Pass,120,76,6,0.004,0,0,0
110,12,Pass,120,78,5,0.003,0,0,0
110,12,Pass,120,80,4,0.002,0,0,0
110,12,Pass,118,0,50,0,1,0,0.001
110,12,Pass,118,2,65,0.001,1,0,0.001
110,12,Pass,118,4,70,0.004,1,0,0.001
110,12,Pass,118,6,78,0.009,1,0,0
110,12,Pass,118,8,82,0.017,1,0,0
110,12,Pass,118,10,86,0.026,1,0,0
110,12,Pass,118,12,87,0.031,1,0,0
110,12,Pass,118,14,84,0.03,1,0,0
110,12,Pass,118,16,82,0.024,1,0,0.001
110,12,Pass,118,18,79,0.017,1,0,0.005
110,12,Pass,118,20,76,0.012,1,0,0.013
110,12,Pass,118,22,76,0.009,0,0,0.023
110,12,Pass,118,24,82,0.008,1,0,0.026
110,12,Pass,118,26,87,0.01,4,0,0.021
110,12,Pass,118,28,103,0.015,5,0,0.017
110,12,Pass,118,30,116,0.023,6,0,0.019
110,12,Pass,118,32,127,0.032,9,0.001,0.026
110,12,Pass,118,34,134,0.04,9,0.001,0.036
110,12,Pass,118,36,139,0.046,9,0.002,0.047
110,12,Pass,118,38,138,0.049,9,0.003,0.053
110,12,Pass,118,40,133,0.049,9,0.003,0.054
110,12,Pass,118,42,131,0.045,9,0.002,0.053
110,12,Pass,118,44,126,0.039,9,0.002,0.051
110,12,Pass,118,46,117,0.035,9,0.002,0.044
110,12,Pass,118,48,98,0.032,7,0.001,0.031
110,12,Pass,118,50,85,0.029,5,0.001,0.019
110,12,Pass,118,52,64,0.026,5,0,0.01
110,12,Pass,118,54,45,0.021,2,0,0.005
110,12,Pass,118,56,36,0.016,2,0,0.002
110,12,Pass,118,58,25,0.013,0,0,0.001
110,12,Pass,118,60,17,0.015,0,0,0
110,12,Pass,118,62,14,0.019,0,0,0
110,12,Pass,118,64,15,0.021,0,0,0
110,12,Pass,118,66,12,0.016,0,0,0
110,12,Pass,118,68,9,0.01,0,0,0
110,12,Pass,118,70,8,0.007,0,0,0
110,12,Pass,118,72,8,0.008,0,0,0
110,12,Pass,118,74,8,0.01,0,0,0
110,12,Pass,118,76,6,0.01,0,0,0
110,12,Pass,118,78,5,0.007,0,0,0
110,12,Pass,118,80,4,0.004,0,0,0
110,12,Pass,116,0,67,0.001,1,0,0.001
110,12,Pass,116,2,81,0.003,1,0,0.001
110,12,Pass,116,4,88,0.008,1,0,0.001
110,12,Pass,116,6,91,0.018,1,0,0.001
110,12,Pass,116,8,95,0.032,1,0,0
110,12,Pass,116,10,105,0.048,1,0,0
110,12,Pass,116,12,101,0.058,1,0,0
110,12,Pass,116,14,98,0.057,1,0,0.001
110,12,Pass,116,16,96,0.048,1,0,0.002
110,12,Pass,116,18,95,0.037,1,0,0.007
110,12,Pass,116,20,100,0.028,1,0,0.017
110,12,Pass,116,22,101,0.022,2,0.001,0.028
110,12,Pass,116,24,103,0.02,1,0.001,0.032
110,12,Pass,116,26,117,0.022,4,0.001,0.024
110,12,Pass,116,28,129,0.03,6,0.001,0.018
110,12,Pass,116,30,140,0.043,6,0.001,0.019
110,12,Pass,116,32,155,0.058,9,0.002,0.026
110,12,Pass,116,34,153,0.071,9,0.003,0.038
110,12,Pass,116,36,147,0.081,9,0.004,0.049
110,12,Pass,116,38,149,0.085,9,0.005,0.056
110,12,Pass,116,40,147,0.082,9,0.005,0.056
110,12,Pass,116,42,147,0.073,9,0.004,0.053
110,12,Pass,116,44,143,0.062,9,0.003,0.051
110,12,Pass,116,46,123,0.052,9,0.002,0.047
110,12,Pass,116,48,116,0.043,8,0.002,0.039
110,12,Pass,116,50,97,0.035,5,0.001,0.029
110,12,Pass,116,52,78,0.029,5,0.001,0.02
110,12,Pass,116,54,60,0.024,2,0,0.012
110,12,Pass,116,56,45,0.017,2,0,0.007
110,12,Pass,116,58,31,0.013,0,0,0.004
110,12,Pass,116,60,26,0.013,0,0,0.002
110,12,Pass,116,62,18,0.014,0,0,0.001
110,12,Pass,116,64,15,0.014,0,0,0
110,12,Pass,116,66,13,0.011,0,0,0
110,12,Pass,116,68,10,0.008,0,0,0
110,12,Pass,116,70,8,0.008,0,0,0
110,12,Pass,116,72,9,0.012,0,0,0
110,12,Pass,116,74,9,0.017,0,0,0
110,12,Pass,116,76,9,0.017,0,0,0
110,12,Pass,116,78,6,0.012,0,0,0
110,12,Pass,116,80,6,0.006,0,0,0
110,12,Pass,114,0,82,0.002,1,0,0.001
110,12,Pass,114,2,95,0.006,1,0,0.001
110,12,Pass,114,4,103,0.015,1,0,0.001
110,12,Pass,114,6,111,0.029,1,0,0.001
110,12,Pass,114,8,113,0.05,1,0,0.001
110,12,Pass,114,10,125,0.072,1,0,0
110,12,Pass,114,12,117,0.086,1,0,0
110,12,Pass,114,14,117,0.087,1,0,0.001
110,12,Pass,114,16,113,0.077,1,0,0.003
110,12,Pass,114,18,112,0.064,1,0.001,0.009
110,12,Pass,114,20,109,0.052,1,0.001,0.021
110,12,Pass,114,22,119,0.042,2,0.001,0.035
110,12,Pass,114,24,118,0.036,3,0.001,0.038
110,12,Pass,114,26,134,0.037,5,0.001,0.028
110,12,Pass,114,28,138,0.047,6,0.001,0.018
110,12,Pass,114,30,156,0.064,7,0.001,0.018
110,12,Pass,114,32,161,0.085,9,0.002,0.026
110,12,Pass,114,34,164,0.106,9,0.004,0.037
110,12,Pass,114,36,160,0.122,9,0.006,0.047
110,12,Pass,114,38,159,0.128,9,0.007,0.052
110,12,Pass,114,40,157,0.123,9,0.006,0.05
110,12,Pass,114,42,155,0.108,9,0.005,0.046
110,12,Pass,114,44,149,0.09,9,0.004,0.044
