x,y,WeightedProbabiliticGoals,GoalProbability
0,8,0,0
0,10,0,0
0,12,0,0
0,14,0,0
0,16,0,0
0,18,0,0
0,20,0,0
0,22,0,0
2,6,0,0
2,8,0,0
2,10,0,0
2,12,0,0
2,14,0,0
2,16,0,0
2,18,0,0
2,20,0,0
2,22,0,0
2,24,0,0
2,26,0,0
2,32,0,0
2,34,0,0
2,36,0,0
2,38,0,0
2,40,0,0
2,60,0.0000125403784309808,0.122
2,62,0.000012814751618605,0.122
2,64,0.0000091295751579609,0.122
4,6,0,0
4,8,0,0
4,10,0,0
4,12,0,0
4,14,0,0
4,16,0,0
4,18,0,0
4,20,0,0
4,22,0,0
4,24,0,0
4,26,0,0
4,28,0,0
4,30,0,0
4,32,0,0
4,34,0,0
4,36,0.0000421953812661569,0.017
4,38,0.0000825374374649766,0.038
4,40,0.000112558389851784,0.071
4,42,0.000107015229542079,0.115
4,44,0.0000709339472540289,0.158
4,46,0.0000327795881565622,0.226
4,54,0.0000117520056307076,0.122
4,56,0.0000354396208462703,0.122
4,58,0.0000745086968624513,0.122
4,60,0.000109210826406092,0.122
4,62,0.000111600269653681,0.122
4,64,0.0000795070462366784,0.122
4,66,0.0000394899714228728,0.122
4,68,0.00001367441778418,0.122
6,4,0,0
6,6,0,0
6,8,0,0
6,10,0,0
6,12,0,0
6,14,0,0
6,16,0,0
6,18,0,0
6,20,0,0
6,22,0,0
6,24,0,0
6,26,0,0
6,28,0,0
6,30,0,0
6,32,0.0000258349982918611,0.003
6,34,0.000103971151369883,0.009
6,36,0.000291714552120004,0.021
6,38,0.00057061628265319,0.044
6,40,0.000778163848688753,0.082
6,42,0.000739841632404576,0.129
6,44,0.00049039643753402,0.17
6,46,0.000226619184157941,0.197
6,48,0.0000730107587316234,0.226
6,52,0.0000164957328870495,0.122
6,54,0.0000713522819011901,0.122
6,56,0.00021517159679425,0.122
6,58,0.000452379424387652,0.122
6,60,0.000663073344011003,0.122
6,62,0.000677580844564214,0.122
6,64,0.000482726893985402,0.119
6,66,0.000239763293328605,0.116
6,68,0.0000830242039726379,0.122
6,70,0.0000200432235392518,0.122
