Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedProbabiliticGoals,y,x,event
1,0.000163665521834324,0,0,0,0,16,62,Shot
1,0.000343032379710812,0,0,0,0,18,62,Shot
1,0.000264495660357993,0,0,0,0,20,62,Shot
1,0.0000750252590522603,0,0,0,0,22,62,Shot
1,0.000612669013155164,0,0,0,0,14,64,Shot
1,0.00349058577237451,0,0,0,0,16,64,Shot
1,0.00731604268670848,0,0,0,0,18,64,Shot
1,0.00564104631539316,0,0,0,0,20,64,Shot
1,0.00160010550103296,0,0,0,0,22,64,Shot
1,0.000166971784691556,0,0,0,0,24,64,Shot
1,0.000310388532760263,0,0,0,0,12,66,Shot
1,0.00480698258093302,0,0,0,0,14,66,Shot
1,0.0273870305903776,0,0,0,0,16,66,Shot
1,0.0574014500509159,0,0,0,0,18,66,Shot
1,0.0442594790891829,0,0,0,0,20,66,Shot
1,0.0125543794544291,0,0,0,0,22,66,Shot
1,0.00131005558186494,0,0,0,0,24,66,Shot
1,0.000895896456360673,0,0,0,0,12,68,Shot
1,0.0138747350675215,0,0,0,0,14,68,Shot
1,0.0790491305782601,0,0,0,0,16,68,Shot
1,0.165681880168878,0,0,0,0,18,68,Shot
1,0.12774927644313,0,0,0,0,20,68,Shot
1,0.036236596645526,0,0,0,0,22,68,Shot
1,0.00378130642582353,0,0,0,0,24,68,Shot
1,0.000145158296100841,0,0,0,0,26,68,Shot
1,0.000951295599284245,0,0,0,0,12,70,Shot
1,0.0147327007683289,0,0,0,0,14,70,Shot
1,0.0839372558206331,0,0,0,0,16,70,Shot
1,0.175927075463664,0,0,0,0,18,70,Shot
1,0.135648850522042,0,0,0,0,20,70,Shot
1,0.0384773426406426,0,0,0,0,22,70,Shot
1,0.00401512935662625,0,0,0,0,24,70,Shot
1,0.000154134383834126,0,0,0,0,26,70,Shot
1,0.000371602540734492,0,0,0,0,12,72,Shot
1,0.00575500301011714,0,0,0,0,14,72,Shot
1,0.0327882285471484,0,0,0,0,16,72,Shot
1,0.0687220126693263,0,0,0,0,18,72,Shot
1,0.0529882168482969,0,0,0,0,20,72,Shot
1,0.0150303210660624,0,0,0,0,22,72,Shot
1,0.00156842128926337,0,0,0,0,24,72,Shot
1,0.000827016663536405,0,0,0,0,14,74,Shot
